age,sex,mode,speed
0,MALE,bicycle,2.3477841348420756
1,MALE,bicycle,2.3477841348420756
2,MALE,bicycle,2.3477841348420756
3,MALE,bicycle,2.3477841348420756
4,MALE,bicycle,2.3477841348420756
5,MALE,bicycle,2.3477841348420756
6,MALE,bicycle,2.3477841348420756
7,MALE,bicycle,2.3477841348420756
8,MALE,bicycle,2.3477841348420756
9,MALE,bicycle,2.3477841348420756
10,MALE,bicycle,2.3477841348420756
0,FEMALE,bicycle,2.376603440393942
1,FEMALE,bicycle,2.376603440393942
2,FEMALE,bicycle,2.376603440393942
3,FEMALE,bicycle,2.376603440393942
4,FEMALE,bicycle,2.376603440393942
5,FEMALE,bicycle,2.376603440393942
6,FEMALE,bicycle,2.376603440393942
7,FEMALE,bicycle,2.376603440393942
8,FEMALE,bicycle,2.376603440393942
9,FEMALE,bicycle,2.376603440393942
10,FEMALE,bicycle,2.376603440393942
11,MALE,bicycle,2.9621229119305172
12,MALE,bicycle,2.9621229119305172
13,MALE,bicycle,2.9621229119305172
14,MALE,bicycle,2.9621229119305172
15,MALE,bicycle,2.9621229119305172
11,FEMALE,bicycle,2.877208599296369
12,FEMALE,bicycle,2.877208599296369
13,FEMALE,bicycle,2.877208599296369
14,FEMALE,bicycle,2.877208599296369
15,FEMALE,bicycle,2.877208599296369
16,MALE,bicycle,3.733395067622731
17,MALE,bicycle,3.733395067622731
16,FEMALE,bicycle,2.9099330230617517
17,FEMALE,bicycle,2.9099330230617517
18,MALE,bicycle,3.786986230539333
19,MALE,bicycle,3.786986230539333
20,MALE,bicycle,3.786986230539333
18,FEMALE,bicycle,3.1287171203849455
19,FEMALE,bicycle,3.1287171203849455
20,FEMALE,bicycle,3.1287171203849455
21,MALE,bicycle,3.8098013881582653
22,MALE,bicycle,3.8098013881582653
23,MALE,bicycle,3.8098013881582653
24,MALE,bicycle,3.8098013881582653
25,MALE,bicycle,3.8098013881582653
26,MALE,bicycle,3.8098013881582653
27,MALE,bicycle,3.8098013881582653
28,MALE,bicycle,3.8098013881582653
