minute,arrival_HBW,arrival_HBE,arrival_HBA,arrival_HBS,arrival_HBR,arrival_HBO,arrival_NHBW,arrival_NHBO,duration_HBW,duration_HBE,duration_HBA,duration_HBS,duration_HBR,duration_HBO
1,6.52488073731681e-06,0,5.83935802965472e-06,6.6834365114867e-07,1.92660137182419e-06,9.56920973726108e-07,5.97787766196679e-06,1.90846518088728e-05,0.000155830940342563,4.89229054602024e-05,0.0196328096159135,0.00448540424463217,0.000782407633962412,0.00514930085756747
2,6.62885324492778e-06,0,5.87280593428084e-06,6.78867146086588e-07,1.9417792689142e-06,9.70637491225593e-07,6.02488612829758e-06,1.92339398803536e-05,0.00015952667160045,5.11884976545126e-05,0.0201417506294342,0.00472242308389298,0.00081306344519139,0.00531499686584315
3,6.72743527783824e-06,2.74309872449557e-19,5.90564865038665e-06,6.89355445841072e-07,1.95669266056944e-06,9.84372143369494e-07,6.0713846842602e-06,1.93793476122456e-05,0.000163225672222399,5.34021441347701e-05,0.0205341851561975,0.00495856002112703,0.000844486099883591,0.00547772612537234
4,6.82053929068136e-06,3.58905571993428e-19,5.93787820242577e-06,6.99803550769997e-07,1.97133559180715e-06,9.98120806641384e-07,6.11735987655132e-06,1.9520793939674e-05,0.000166925642680397,5.55637593559731e-05,0.0207963101433798,0.00519252331686025,0.000876680689136042,0.0056372159228068
5,6.90735202768918e-06,9.77383200619254e-20,5.96948697741471e-06,7.10206507109508e-07,1.98569856668006e-06,1.01187852095096e-06,6.16279850294563e-06,1.9658201124688e-05,0.000170623996497704,5.76679186816229e-05,0.0209423567403447,0.00542355826195755,0.000909721309976762,0.00579303241703624
6,6.98840417329511e-06,2.43726570441877e-19,6.00046773220274e-06,7.2055941348444e-07,1.99976701315122e-06,1.02564108790566e-06,6.20768762109955e-06,1.97914948491994e-05,0.000174318575169742,5.96989637109431e-05,0.0209641252940567,0.00565091549232411,0.000943595253967441,0.00594411857007031
7,7.06388920662277e-06,0,6.03081360047754e-06,7.30857427277546e-07,2.01354767096665e-06,1.03940427831458e-06,6.25201455713112e-06,1.99206043029348e-05,0.000178007326585578,6.16616895921004e-05,0.0208587710322791,0.00587317115945978,0.000978253844392398,0.0060907481030286
8,7.13383965441658e-06,0,6.06051809949942e-06,7.41095770841313e-07,2.02703536274067e-06,1.05316383539422e-06,6.29576691396428e-06,2.0045401056251e-05,0.000181688259111988,6.35560584257873e-05,0.0206455286504888,0.00608971603157035,0.00101369959448273,0.0062325931160757
9,7.19750791138463e-06,1.63467985103216e-19,6.08957513655854e-06,7.51263195051501e-07,2.04022511052031e-06,1.06691547805865e-06,6.33893257943229e-06,2.01655970628223e-05,0.000185358501495207,6.53715147266e-05,0.0203219830232636,0.00630020929115229,0.0010499529450901,0.00636893378698099
10,7.25571109694168e-06,7.61820095735275e-21,6.11797901514811e-06,7.61360450754869e-07,2.05311214000854e-06,1.08065490429306e-06,6.38149027216441e-06,2.02814100422388e-05,0.000189016030047509,6.71156635125226e-05,0.0198952717815789,0.006503414133366,0.00108710071853548,0.00649929967645298
11,7.3086740360063e-06,0,6.14572444084838e-06,7.71383347756694e-07,2.06569188454888e-06,1.09437779460858e-06,6.42342990851797e-06,2.03927847830952e-05,0.000192659738208583,6.87943182274637e-05,0.0193855084463025,0.0066985747057389,0.00112503849937119,0.00662396251195244
12,7.35653878396424e-06,0,6.17280652691508e-06,7.81327450213754e-07,2.07795998886887e-06,1.10807981557555e-06,6.46474771683242e-06,2.0499669955545e-05,0.000196287942614347,7.04039152095845e-05,0.0187957090751874,0.00688595539782784,0.00116376529848102,0.00674269854927648
13,7.39868946756857e-06,0,6.1992207995678e-06,7.91188416878338e-07,2.08991231257806e-06,1.12175662343542e-06,6.50543282607888e-06,2.06020181645794e-05,0.000199899039691196,7.1953527057123e-05,0.0181388625963723,0.00706473520092844,0.00120327917986837,0.00685441656618315
14,7.43612485557592e-06,0,6.22496320297349e-06,8.00962005933698e-07,2.1015449334174e-06,1.13540386778602e-06,6.54547468743617e-06,2.06997859974039e-05,0.000203489525370096,7.34536172730523e-05,0.0174323813391878,0.00723380921811173,0.0012436660548289,0.00695957638821338
