,carD,carP,pt,bike,walk
asc,0 [ NA  ],-0.9702 [ 0 *** ],-3.3854 [ 0.627  ],2.7913 [ 0.007 ** ],17.2277 [ 0.013 * ]
p.age_group_agg_5_14,0 [ NA  ],17.0639 [ 0 *** ],15.6709 [ 0.192  ],16.3546 [ 0 *** ],15.9737 [ 0 *** ]
p.age_group_agg_15_24,0 [ NA  ],1.6701 [ 0 *** ],2.1715 [ 0.163  ],3.1389 [ 0 *** ],2.4719 [ 0 *** ]
p.age_group_agg_25_39,0 [ NA  ],-0.1197 [ 0 *** ],-0.517 [ 0.258  ],0.6477 [ 0 *** ],0.4551 [ 0 *** ]
p.female_FALSE,0 [ NA  ],-1.0516 [ 0 *** ],-0.5752 [ 0.088 . ],0.9379 [ 0 *** ],-0.2229 [ 0 *** ]
hh.cars_gr_0,0 [ NA  ],4.4511 [ 0 *** ],7.6054 [ 0.608  ],8.6267 [ 0 *** ],6.5187 [ 0 *** ]
hh.cars_gr_1,0 [ NA  ],0.4905 [ 0 *** ],1.2462 [ 0.612  ],2.4694 [ 0 *** ],0.553 [ 0 *** ]
hh.cars_gr_2,0 [ NA  ],0.2241 [ 0 *** ],0.5077 [ 0.622  ],1.8778 [ 0 *** ],0.457 [ 0 *** ]
time,-0.1739 [ 0 *** ],-0.1538 [ 0 *** ],-0.0318 [ 0 *** ],NA,NA
logDist,NA,NA,NA,-1.459 [ 0 *** ],-2.6181 [ 0 *** ]
stressLink,NA,NA,NA,-1.6726 [ 0 *** ],-1.2458 [ 0 *** ]
vgviDay,NA,NA,NA,3.2452 [ 0 *** ],0.2347 [ 0 *** ]
,r2,0.500643733505941,,,
