,carD,carP,pt,bike,walk
asc,0 [ NA  ],-2.5986 [ 0 *** ],-3.4978 [ 0.838  ],6.5091 [ 0.114  ],18.3769 [ 0.153  ]
p.age_group_agg_5_14,0 [ NA  ],17.2599 [ 0 *** ],15.763 [ 0.598  ],14.3276 [ 0 *** ],15.6149 [ 0 *** ]
p.age_group_agg_15_24,0 [ NA  ],2.1231 [ 0 *** ],2.6214 [ 0.708  ],2.7057 [ 0 *** ],2.5356 [ 0 *** ]
p.age_group_agg_25_39,0 [ NA  ],0.3055 [ 0 *** ],0.4824 [ 0.654  ],0.9331 [ 0 *** ],0.2582 [ 0 *** ]
p.female_FALSE,0 [ NA  ],-0.3899 [ 0 *** ],-0.3558 [ 0.39  ],1.1207 [ 0 *** ],-0.0056 [ 0 *** ]
hh.cars_gr_0,0 [ NA  ],5.2376 [ 0 *** ],7.5268 [ 0.823  ],7.8031 [ 0 *** ],7.3757 [ 0 *** ]
hh.cars_gr_1,0 [ NA  ],1.6817 [ 0 *** ],2.1479 [ 0.824  ],2.4377 [ 0 *** ],1.9015 [ 0 *** ]
hh.cars_gr_2,0 [ NA  ],0.6711 [ 0 *** ],0.8632 [ 0.827  ],0.681 [ 0 *** ],0.7512 [ 0 *** ]
time,-0.0959 [ 0 *** ],-0.1971 [ 0 *** ],-0.0201 [ 0.003 ** ],NA,NA
logDist,NA,NA,NA,-1.5864 [ 0 *** ],-2.8409 [ 0 *** ]
,r2,0.504394919405455,,,
