variable,autoDriver,autoPassenger,pt,bicycle,walk
asc,0,-1.1797043485021044,-2.6882007292114003,-3.9689634803948417,1.4750135412665195
age_5_14,0,0,-1.172721839911086,-0.9116965300810992,-0.7822356421741103
age_15_24,0,1.4582617679043537,2.5727793880432577,2.310924520328903,1.8235807508088664
age_40_54,0,-0.22259628728129696,0.5736341909652666,0,-0.12032330726873666
age_55_69,0,-0.22259628728129696,0.5736341909652666,0,-0.12032330726873666
age_70,0,-0.1371842873760365,0.3285876299963969,-1.562070793415907,-0.8943931265359646
female,0,1.233049605644218,0.5148767201711533,-0.9519790965222956,0.2469422709576237
occupation_worker,0,-0.576716232800909,-0.6187949001196706,-0.22171420611149828,-0.3723898979576133
income_low,0,0,0,0,0
income_high,0,0,0.4590234931776151,0.9507852545940506,0.416209397415009
recreation_trip,0,0.42899614955765064,0.3136266531371737,1.7525191179741653,1.3200115226222977
other_trip,0,0,-0.5497409873227371,0.5882361930142508,0.14394840237590883
cars_0,0,3.6634117606606753,6.1496833677809715,5.886978664809459,5.943000014762398
cars_2,0,-0.15976149861022074,-0.7864165114645474,-0.9716636181139096,-0.3797951813075052
cars_3,0,-0.3365095307891492,-1.2970623255565883,-3.260315701248887,-0.7670123710663563
cost,-0.22328396226346048,-0.22328396226346048,-0.04766450112354318,-0.06070687034504991,-0.08615381274488747
