variable,autoDriver,autoPassenger,pt,bicycle,walk
asc,0,1.5217887155654155,-0.9536500280842758,-0.27996134601574263,3.3966387836360776
age_5_14,0,0,0,0,0
age_15_24,0,1.2749570680040534,3.138771546612362,4.574439525866306,3.150262087380578
age_40_54,0,0,0,0,0
age_55_69,0,0,0,0,0
age_70,0,0,0,0,0
female,0,-1.1066450074026577,-0.4792320411441214,-2.622992161860214,-0.9726948158881888
occupation_worker,0,0,0,0,0
income_low,0,0,0,0,0
income_high,0,0,0,0,0
recreation_trip,0,0,0,0,0
other_trip,0,0,0,0,0
cars_0,0,0,2.548059543513688,2.1761824360819713,2.504460620983498
cars_2,0,0,0,-2.7306580802548774,0
cars_3,0,0,0,-2.7306580802548774,0
cost,-0.27105799913588435,-0.27105799913588435,-0.01742646047047707,-0.14332348171740175,-0.1371272626163168
