variable,autoDriver,autoPassenger,pt,bicycle,walk
asc,0,-1.5585221430858038,-3.080186232170403,-3.7079573413289006,1.7573069107639785
age_5_14,0,0,-1.700831575273596,0,-1.4898036339566445
age_15_24,0,1.576471838995827,2.5777257809258325,0,1.9762784556761055
age_40_54,0,0,0,0,-0.45827568291229515
age_55_69,0,0,0,0,-0.45827568291229515
age_70,0,0,0,0,-0.9477417476412296
female,0,0.867969733091709,0,0,0
occupation_worker,0,-0.7008982179112714,-0.5654638177664097,0,0
income_low,0,0,0,0,0
income_high,0,0,0,0,0
recreation_trip,0,0,0,0,0
other_trip,0,0,0,0,0
cars_0,0,0,2.8316331571325444,0,1.881846052520096
cars_2,0,0,-0.793619031025229,0,0
cars_3,0,0,-0.793619031025229,0,0
cost,-0.3092765383789777,-0.3092765383789777,-0.07304981731283625,-0.28041525462021466,-0.06944336272483424
