Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_stressJct,g_walk_speed
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,3936.593277522496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004516781626683367,4.722651590583374E-4,-0.0023986672083464626,-2.609634983995232E-4,-0.0031933087629549446,-0.0029422720512593684,-6.927420517266511E-4,-0.0016920175396064093,-3.118861806281319E-4,-0.006359943044462773,0.0,0.0,0.0,-0.0038990399227140744,-0.003213773564969029,-6.240917309748526E-4,0.0,0.0,-0.003193094122277757,0.0,0.0,0.0,-0.0022338095638508373,0.0,0.0,0.0,0.0,0.006722713240273734,4.3227194951759554E-4,0.0015638249646034,1.3986786204987369E-5,0.005570528989709426,0.0024878004512794323,0.0025593921695103473,0.0,6.913445460608964E-5,0.03004762164934066,-0.18478612531287975,-0.11565923141921447,-0.03857890683066108,-0.0032989787062472427,-1.932624587029051E-4,-0.0031863802475526667
2,3894.8395811870937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006921520404615061,5.176351771988295E-4,-0.0035999425878823397,-4.0020990195057066E-4,-0.004770043552691542,-0.0043819590483666244,-0.0010072059834727726,-0.002590093934717405,-4.832446036780082E-4,-0.0064230924224983705,0.0,0.0,0.0,-0.003942170537524539,-0.0032510386032777857,-5.999440271519834E-4,0.0,0.0,-0.0044358998226337295,0.0,0.0,0.0,-0.0031011775300900783,0.0,0.0,0.0,0.0,0.008471321831584118,5.052858304964032E-4,0.0018716018214035438,-4.389467830828996E-6,0.007137230665373792,0.0030609762001983626,0.003383685042461513,0.0,6.745671319387027E-5,0.030801253815577048,-0.1829628571376018,-0.12135544983314693,-0.02966847232200263,-0.0034958292335500038,-2.060757805424587E-4,-0.00336063552678109
3,3196.9384623718997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6067270891898691,0.018668573621751113,-0.30617328089648094,-0.035487184575373094,-0.400996094291498,-0.36757869870051096,-0.08090469579317984,-0.2264492410269425,-0.043741872561082557,-0.03754155577330653,0.0,0.0,0.0,-0.02423955403931361,-0.020343919976994005,0.004147866935893456,0.0,0.0,-0.3048121371994951,0.0,0.0,0.0,-0.21509368931249426,0.0,0.0,0.0,0.0,0.3930099122826152,0.010136596590453769,0.0495142348239153,-0.008826031551393713,0.37438831882356394,0.11517701583279234,0.2140823870245037,0.0,-0.00466624002703077,0.5447963877307376,-0.13263742778666845,-1.4207904544064835,-0.13102864349020626,-0.0010275986031511833,-4.712533296211432E-4,0.00558949305854332
4,2339.492150107349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0200670560754954,0.02948481381158469,-0.49398516480665267,-0.065445726473128,-0.6419421440467472,-0.5975949233354951,-0.14499504892571363,-0.36153801206714886,-0.07508600898582851,-0.09128409210179939,0.0,0.0,0.0,-0.060371011693722054,-0.048235018986465414,0.006827501408654084,0.0,0.0,-0.35318271587778743,0.0,0.0,0.0,-0.25971326142805023,0.0,0.0,0.0,0.0,0.8420072096244269,0.02331065053356538,0.104103486005716,-0.02049392615266084,0.7945394160067106,0.23974784836479177,0.45807783211352715,0.0,-0.011391443777163045,0.2804575872072674,-0.17694060318500732,-1.400283334532688,-0.20429378818591007,-0.23263283045796843,-0.013920551420493378,-0.21351892424129426
5,2257.131333828279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0190030758661983,0.0376917533629737,-0.49672829035717747,-0.06787829323551177,-0.6326433906487862,-0.6019155547040069,-0.14575219351214702,-0.36037522150740614,-0.07715385901277791,-0.09810710099594463,0.0,0.0,0.0,-0.06296075887063281,-0.05225475354772363,0.009718374741887213,0.0,0.0,-0.3656944483032948,0.0,0.0,0.0,-0.26954149784572146,0.0,0.0,0.0,0.0,0.8730748481008755,0.02204003421575613,0.10009543232576695,-0.02305958007332727,0.8210792190486913,0.23814817273828107,0.4865007182306907,0.0,-0.013734328449138123,0.22885088995924788,-0.1842859920664998,-1.4449217066920477,-0.21833934498920493,-0.3058246144794224,-0.017856548414633844,-0.28903348807592544
6,2160.695655881537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0997970073023764,0.08024652488613498,-0.5476841080843716,-0.08921479981521695,-0.6315791370444493,-0.6669775395690182,-0.15677603700287154,-0.38164629900932223,-0.09422314859345512,-0.13118177123300148,0.0,0.0,0.0,-0.07342606681103857,-0.07438613992237894,0.027872091684692894,0.0,0.0,-0.37114217373514835,0.0,0.0,0.0,-0.2783676663896718,0.0,0.0,0.0,0.0,0.8139401941216658,-0.001308398892134039,0.009969765015773333,-0.036778678956354754,0.7623325105921512,0.13016130200640863,0.5847430321463669,0.0,-0.02906728239587443,-0.016269586722224977,-0.22732628089321943,-1.5551811335027208,-0.24867779072511964,-0.30266978721848103,-0.01687937153353176,-0.3405192895534448
7,2038.7186278358731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8875863563245602,0.8706146079849004,-0.6539968420083931,-0.2552540838988837,-0.25375957112395564,-0.9385341036987919,-0.21291183668841102,-0.22444562782933725,-0.2190070644101011,-0.5620426826397117,0.0,0.0,0.0,-0.2282253936719582,-0.3863898948673039,0.2790843399785325,0.0,0.0,-0.37936909470185415,0.0,0.0,0.0,-0.3639205442939671,0.0,0.0,0.0,0.0,0.8102286682823098,-0.5370418985549197,-0.448420443168944,-0.23576194072194587,0.9605194848666868,-0.07107863471762818,1.7163606264069413,0.0,-0.18648400259046044,-0.08948681740860022,-0.2150191668036966,-1.6016498203820075,-0.24580756494667683,0.26875945333004325,0.003964879226091261,-0.7258077329829623
8,1999.3674836383375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0180042541923258,1.1582748735078412,-0.7185433937180683,-0.36037373407967865,-0.2515988929526869,-1.073122561803611,-0.2148584378600027,-0.26258158518691055,-0.29035478880182425,-0.7394869749261719,0.0,0.0,0.0,-0.26069633599419717,-0.5389169840736341,0.448181109787926,0.0,0.0,-0.34825091070368575,0.0,0.0,0.0,-0.3838864484153324,0.0,0.0,0.0,0.0,0.6633047645534058,-0.7718078131725161,-0.5435796736526436,-0.3538373952365922,0.7920709868480567,-0.09350948392021198,1.9746062755504095,0.0,-0.2682203933378057,0.05440134805177811,-0.1820708033821514,-1.5144138876197784,-0.22398769993942202,0.3852567058688538,0.006885372800079843,-1.1484202860727533
9,1986.851447972774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1066157680106823,1.4190708496162947,-0.6051352339927716,-0.5126812432334026,-0.21973008626333618,-1.0206210294093123,-0.14852521695287682,-0.31456439892344423,-0.3920635171942222,-0.9836279412668751,0.0,0.0,0.0,-0.2587151634262278,-0.7796328077683043,0.7918752117570955,0.0,0.0,-0.33696990226118595,0.0,0.0,0.0,-0.4481148303864864,0.0,0.0,0.0,0.0,0.7326048444872603,-1.0116990675899302,-0.31988266208474836,-0.5743897587810571,0.6017043211160342,0.1395643164200696,1.9959572040356062,0.0,-0.3891367377874337,-0.09195398804038281,-0.19684228280925295,-1.5884296801293925,-0.24825456631883341,0.77887344013302,0.02238230535121822,-1.5222272666977363
10,1914.0063062644965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.705049046288762,2.0569640832233618,0.07750284353534287,-1.1653348559637517,0.0493587229720705,-0.49603343000703504,0.1776902322997063,-0.6114687999937682,-0.8629077758427173,-2.049293012764216,0.0,0.0,0.0,-0.1739809235832435,-1.828654741001613,2.4396503364713897,0.0,0.0,-0.3379523390966907,0.0,0.0,0.0,-0.8094733717972895,0.0,0.0,0.0,0.0,1.2709740421730131,-1.5765336235434695,-0.011451841009842312,-1.6025645947955325,-0.07468521136388206,0.0871514310150861,2.2345031280012306,0.0,-0.9975835906972466,-0.17262693121865288,-0.16613323929467483,-1.6311147365841443,-0.26452280811462037,0.4589111381153825,-0.005523959933819114,-1.1658592898545306
