Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_stressJct,g_walk_aadt
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,3938.6169677395715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004462046856426456,4.6654220693935635E-4,-0.00236959994111441,-2.5780111900841987E-4,-0.0031546119571436654,-0.002906617331135724,-6.843473405844162E-4,-0.0016715135172835445,-3.0810671554570737E-4,-0.006282872676630682,0.0,0.0,0.0,-0.0038517910025689154,-0.0031748287648270123,-6.16528930658728E-4,0.0,0.0,-0.0031543999175017113,0.0,0.0,0.0,-0.0022067400565377628,0.0,0.0,0.0,0.0,0.006641246790238672,4.270336387465861E-4,0.0015448743915551205,1.3817293058575355E-5,0.00550302481313822,0.002457653059308701,0.0025283772225915273,0.0,6.829667700193307E-5,0.029683501839335387,-0.18254687025217134,-0.11546947142969737,-0.039323213219903265,-0.0032590013824594028,-1.9092048666381032E-4,-0.00196447619687517
2,3890.4516921235336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0071997103701358645,5.173633000017313E-4,-0.003736931576758109,-4.16302953570953E-4,-0.004949169824384238,-0.004545194990889878,-0.0010420885025967676,-0.002694009540280706,-5.031440886202502E-4,-0.006356820351402875,0.0,0.0,0.0,-0.0039025371048038286,-0.0032180545375734984,-5.896610880295205E-4,0.0,0.0,-0.004570811985101916,0.0,0.0,0.0,-0.0031949096315613155,0.0,0.0,0.0,0.0,0.008642124475802742,5.116441064640621E-4,0.0019001923140524548,-6.462944310729618E-6,0.007292122722438594,0.003115755236672068,0.003466845689132695,0.0,6.704967976482333E-5,0.030499993911558117,-0.18046296220992034,-0.1219734754193002,-0.02881672462960619,-0.003493486268127607,-2.0609969070215889E-4,-0.0020161566224880683
3,3174.015805803673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6165723786544696,0.01899186967845256,-0.3111722278931601,-0.03606214734959378,-0.40751019633889124,-0.37357812903681165,-0.08221066207723708,-0.23013825374152055,-0.044453676956523996,-0.03851394478101097,0.0,0.0,0.0,-0.024945949609149504,-0.020807222562501705,0.00409821760345432,0.0,0.0,-0.3104842601013465,0.0,0.0,0.0,-0.21902071613257598,0.0,0.0,0.0,0.0,0.40015991332597906,0.01039347030603211,0.05056277581947907,-0.008954999831402284,0.3810131451171539,0.1173965255661073,0.21771153231138,0.0,-0.004725705088419642,0.5547135098855305,-0.12835855252942296,-1.4485943607912242,-0.12795932580893665,-0.0020391631609390504,-5.355912663685707E-4,0.027583021672602022
4,2160.4883184959294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.246694620260239,0.03649120903691623,-0.5967028732816246,-0.08235041837407667,-0.7722962793276912,-0.7236203819574492,-0.18059385697837027,-0.434821586682701,-0.09255848099316955,-0.1250950502251232,0.0,0.0,0.0,-0.0832621620661704,-0.06552385974075445,0.007824872136651829,0.0,0.0,-0.37882010168150804,0.0,0.0,0.0,-0.28374881122922935,0.0,0.0,0.0,0.0,1.1014572073454942,0.03090802640568801,0.13508715944234828,-0.027399400592119608,1.037199355044419,0.31092490667456485,0.5996252286962928,0.0,-0.015443497451485617,0.1261622756947458,-0.20133305838617094,-1.3915415022785576,-0.23630796015761846,-0.35864321385750086,-0.021388745062755142,-0.15483050091574593
5,2105.7646898623525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1951709990408454,0.0817919865927188,-0.59129924994916,-0.0906447933871204,-0.7025958394427184,-0.7241531078665064,-0.18037131488496586,-0.41387751152364277,-0.09972838494113745,-0.1542037704452407,0.0,0.0,0.0,-0.09191988873190639,-0.08356791741957668,0.02292854847249398,0.0,0.0,-0.4117907362586012,0.0,0.0,0.0,-0.31183966667480245,0.0,0.0,0.0,0.0,1.1271162868680489,0.014267958443748056,0.07787165784114652,-0.04093090583502006,1.0590363523993624,0.2504591813132009,0.7073691825212614,0.0,-0.029363865237646263,-0.003118037026695719,-0.2200993203540861,-1.4991101076044218,-0.2609648029834782,-0.49679375440774726,-0.028067722250563046,-0.21354581679836587
6,1952.8737542531735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0859004812779953,0.3955751345707678,-0.6539327689276024,-0.16967947418066665,-0.3666402764059409,-0.8463825500945193,-0.2104272938353286,-0.3435971399950861,-0.16620747407652314,-0.3753633381053868,0.0,0.0,0.0,-0.16784293850608398,-0.2214012924777758,0.12797797214564416,0.0,0.0,-0.5490011940693553,0.0,0.0,0.0,-0.4481819269690917,0.0,0.0,0.0,0.0,1.2173754541125037,-0.12022679325270769,-0.3617247682902765,-0.14203710366781153,1.1621493170782609,-0.20934989180032193,1.483003799351978,0.0,-0.13092862052640009,-0.6747137507309957,-0.3266363666131089,-1.8324028603673137,-0.3382755720835331,-0.5164851284100788,-0.024687855817952506,0.27082375156570626
7,1889.4977012962484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4137391669696977,0.9681860251450687,-0.9476067221236295,-0.39744221200157126,-0.03774758663733674,-1.293972433992394,-0.24488141149786075,-0.40698727222468234,-0.34131885405907125,-0.8716866673672494,0.0,0.0,0.0,-0.2982630170070105,-0.5390372601926643,0.4050922271858687,0.0,0.0,-0.6454927995137174,0.0,0.0,0.0,-0.6050779286233987,0.0,0.0,0.0,0.0,1.0154754877209005,-0.43093949922709424,-0.9407912526249238,-0.3856770849419603,0.7357890938347915,-0.7336446079510528,2.5417704998185577,0.0,-0.33175357118620385,-0.6291685723978377,-0.30129660079067044,-1.6744008741614624,-0.302969167707867,-0.3995890281710218,5.551484854667416E-4,-0.14691439008816876
8,1846.9295987848307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.317703958039011,1.4803677432512536,-0.985146641503499,-0.5687625049002234,0.3565258789393788,-1.439068690182092,-0.18777855027309703,-0.35164510342272975,-0.47444918204618963,-1.2786917491617233,0.0,0.0,0.0,-0.3720847421358473,-0.8127587332935677,0.6970410652258974,0.0,0.0,-0.7500518493683008,0.0,0.0,0.0,-0.7553803713087188,0.0,0.0,0.0,0.0,1.1966524543314438,-0.7456450340092007,-0.8488086348054367,-0.6336529507866571,0.5999947198161802,-0.48823415507786905,3.0622787640945477,0.0,-0.47608347365078724,-0.40197422732881943,-0.2385292655176618,-1.5569172847744617,-0.277268662944125,-0.3973132505328938,0.012761703891684135,-0.16008971189798588
9,1821.5366984731231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4890397095121668,1.643635209573039,-0.9006975152717268,-0.7120171764338369,0.36833315266203104,-1.401576719384908,-0.07444721699462291,-0.41986313109722284,-0.5873232968261011,-1.543591355187523,0.0,0.0,0.0,-0.3701347126035532,-1.019263143498946,0.9933031398612879,0.0,0.0,-0.8158565794038284,0.0,0.0,0.0,-0.8720122467412598,0.0,0.0,0.0,0.0,1.1931764568734264,-0.8851049571481834,-0.7377166548472105,-0.8540517831361576,0.33314978373747567,-0.39898805737732224,3.1014852176866685,0.0,-0.5883675927258893,-0.48463949014095625,-0.24351619804841582,-1.5594663488475045,-0.2859813810353562,-0.5009162432189175,0.023050438813882135,-0.061722474125008336
