Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_stressJct
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,4707.072014040696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008547984488125385,8.937592267167025E-4,-0.004539464553254552,-4.938719913107799E-4,-0.006043319342754501,-0.005568233740907622,-0.0013110105384438757,-0.0032021339257908665,-5.90242888502795E-4,-0.012036157375478041,0.0,0.0,0.0,-0.007378911697002861,-0.006082048868471555,-0.0011810901824486927,0.0,0.0,-0.006042913136448604,0.0,0.0,0.0,-0.004227472364043437,0.0,0.0,0.0,0.0,0.012722697984000511,8.180722967210109E-4,0.0029595301797640298,2.6469916281241416E-5,0.010542195600820654,0.004708148727283749,0.004843635661896851,0.0,1.30836576662618E-4,0.05686495938751519,-0.3497067300008344,-0.12963500968845806,0.016239082392994847,-0.006243299131635042,-3.657481445129013E-4
2,4270.359965056671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01411973962126599,0.0015081318343737123,-0.007475453216862342,-8.056887890978063E-4,-0.010036099420670143,-0.009195002812217055,-0.0022023554781931565,-0.005278367962823417,-9.582176316394657E-4,-0.018072706513891874,0.0,0.0,0.0,-0.011072174170385876,-0.00914363922368789,-0.0017371315096935634,0.0,0.0,-0.009901935054150754,0.0,0.0,0.0,-0.006948464685466851,0.0,0.0,0.0,0.0,0.01883509324693135,0.0010959756032598792,0.0038459715187798456,-9.96156900432697E-5,0.016196051889356432,0.006610473060154949,0.007870441419408895,0.0,4.601001263319636E-5,0.10027776885073124,-0.52388388710874,-0.14755762108460801,-0.052849694343658604,-0.010285655465008401,-5.96770374188257E-4
3,2719.9801943139664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7192539441553885,0.014376839291768978,-0.8394205103985919,-0.09621076644014967,-1.126627540805625,-1.0109018407390677,-0.22896153670450695,-0.6361065588658803,-0.11666988837318623,-0.03462498399722355,0.0,0.0,0.0,-0.013360890519995366,-0.027594479872478834,0.026323639575687834,0.0,0.0,-0.7055094440227481,0.0,0.0,0.0,-0.5053927817449881,0.0,0.0,0.0,0.0,1.2133670077907455,0.054187899261013944,0.2098171643565363,-0.01515195504532296,1.0897691250515154,0.39551898550015074,0.5710711835284067,0.0,-0.005075223010335946,0.7237442222672699,-0.37303805381530536,-2.754704274852254,-0.041534369441575694,-0.36473555572271543,-0.0213539081323127
4,2640.785884163371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6452108284731415,0.20709610127628575,-0.8950345383427313,-0.11956542621824129,-1.0326181433302455,-1.105726713769516,-0.2532397069685029,-0.6125222939387659,-0.1471499000282751,-0.0649320195695856,0.0,0.0,0.0,-0.014122417945897206,-0.06207750168866455,0.0792714607195758,0.0,0.0,-0.7982853547706735,0.0,0.0,0.0,-0.5938375952286161,0.0,0.0,0.0,0.0,0.8781055157324098,-0.07143976173288388,-0.15554532343461802,-0.0653192872007378,0.9292938625287115,-0.04897064864316253,0.9221216347059972,0.0,-0.06373347746107608,1.034776862165012,-0.3078178489963135,-3.1488814698185736,0.004106529418141422,-0.15528916742262056,-0.010531015073158283
5,2414.0872324904044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7252890912296839,1.1480058808202833,-0.8625407680290765,-0.21224531096654806,-0.1280378458238961,-1.2298604167884395,-0.3178232598696255,-0.27125682905257875,-0.26624615167837473,-0.2655358976260571,0.0,0.0,0.0,-0.04493534781116579,-0.2639981686537427,0.3561909351024855,0.0,0.0,-1.0774266471314216,0.0,0.0,0.0,-0.9164580121383034,0.0,0.0,0.0,0.0,0.9048937805660805,-0.5868968207329516,-1.1980073335443053,-0.3276198214764288,1.3848695559523583,-1.2401982319842908,2.8679254388027076,0.0,-0.3204420655064434,0.1583118945633123,-0.4057303694383325,-4.448777953566352,-0.07563654187555668,0.3342927459128348,0.014187245219944602
6,2379.2947135793725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.068765846894521,1.3694703512734159,-0.9993196895073417,-0.38456764999729554,-0.06819415907796664,-1.4532868655112536,-0.28008986393983254,-0.3976590581245959,-0.3825843863361731,-0.3956279656076158,0.0,0.0,0.0,-0.05860330282579076,-0.40593041990224715,0.5498207711453288,0.0,0.0,-0.9951669036343228,0.0,0.0,0.0,-0.9464045552623264,0.0,0.0,0.0,0.0,0.8201993494247326,-0.7599446819044823,-1.2953450342311135,-0.5374845687860456,1.0854642930914373,-1.2639021513962834,3.3807373657837423,0.0,-0.44441001836049926,-0.22904204989579974,-0.48510537863237513,-4.3415213284574,-0.11871134109638617,0.5361699780134644,0.02507305660003411
7,2327.4413259280786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.379362734536971,1.8264544554243025,-1.0254307301413643,-0.710663020738018,0.2632817450335674,-1.6375521417028667,-0.15312445863128105,-0.4962625231015701,-0.6084632977352213,-0.6817626831488199,0.0,0.0,0.0,-0.07888583308109154,-0.7283997643024658,1.009669259915849,0.0,0.0,-0.7989178807130881,0.0,0.0,0.0,-1.0151310171003534,0.0,0.0,0.0,0.0,0.8988902224686826,-1.1351865535029608,-1.3336034783327535,-1.010461137599685,0.7010819984687737,-1.0294664204953248,4.266573903393179,0.0,-0.7118627455415182,-0.13930275015907456,-0.4584245670551711,-4.068329710904233,-0.10679317806719785,0.020087006691454246,-0.0020263287325318347
8,2296.928406719357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4893848414844146,2.116593956596274,-0.8501686002872626,-0.9519994624494741,0.5597253832122214,-1.5783521925332777,0.055413286244973936,-0.5207994024682958,-0.8435829217257175,-0.9977130543695552,0.0,0.0,0.0,-0.08500887364309487,-1.0982061575588768,1.5757198437290818,0.0,0.0,-0.6258160800270163,0.0,0.0,0.0,-1.1428688273303662,0.0,0.0,0.0,0.0,1.1457368097522345,-1.4272245133238899,-1.0524094835650697,-1.5280798078517974,0.5995745698433247,-0.6808120852917574,4.719983299993469,0.0,-0.942342527342977,0.19234325374575018,-0.38271420844376003,-3.966388953547582,-0.0758733051314245,0.4059932239113472,0.01563573650730264
9,2243.290481946804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1097437739139813,2.19029738906163,-0.23853242842984934,-1.3099284454255615,0.48197697554033636,-1.0470192796520619,0.6142899072302508,-0.6461816303781074,-1.361479151712663,-1.7442160160477491,0.0,0.0,0.0,-0.06617395525566779,-1.9998606316174405,3.0232900128629265,0.0,0.0,-0.12152631956619031,0.0,0.0,0.0,-1.4242441121245608,0.0,0.0,0.0,0.0,1.7238009852806193,-1.7976688008945456,-1.033694208130006,-2.648393786520269,0.9799898632267776,-1.0740427229246823,5.238476411544184,0.0,-1.4604395772144674,0.6380426250223242,-0.27966883618107397,-3.4722119555341995,-0.03383360641101303,0.7908316309195028,0.037133732206959175
