Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_speed
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,3938.463330951747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004461357281237487,4.664701064122074E-4,-0.002369233737580527,-2.577612778186976E-4,-0.00315412443601122,-0.002906168135674567,-6.84241579940952E-4,-0.0016712551976632822,-3.080591000110814E-4,-0.006281901706747878,0.0,0.0,0.0,-0.0038511957377512372,-0.0031743381193416803,-6.164336508314328E-4,0.0,0.0,-0.00315391242913837,0.0,0.0,0.0,-0.002206399021752505,0.0,0.0,0.0,0.0,0.006640220436379621,4.2696764396625103E-4,0.0015446356430424385,1.3815157701691289E-5,0.005502174362773731,0.0024572732478393635,0.0025279864812440805,0.0,6.828612227324802E-5,0.029678914481324876,-0.18251865903059522,-0.11546708074129189,-0.03933259035287747,-0.003258497728740276,-0.0031472809387618705
2,3892.949369556397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007006608593426665,5.137448540553761E-4,-0.003640482428323009,-4.051258724900727E-4,-0.004822558239974472,-0.004429597640508196,-0.0010168393462046856,-0.0026218857358933055,-4.893938417345398E-4,-0.0063506404479212585,0.0,0.0,0.0,-0.0038983720584009752,-0.0032145181110721887,-5.91454154068276E-4,0.0,0.0,-0.00447080083826187,0.0,0.0,0.0,-0.0031251346300274524,0.0,0.0,0.0,0.0,0.00850022733754038,5.055987554177103E-4,0.001874856640318257,-5.055116138555326E-6,0.007165392220977882,0.003068975576064629,0.0034004996934828427,0.0,6.711298276605537E-5,0.03043894753257993,-0.18057988918345158,-0.12151419038832913,-0.029585129127710566,-0.003476398819987425,-0.003341317573667283
3,3177.303693615367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5897381262690571,0.01820510885700023,-0.29766676711801565,-0.034504697640162015,-0.38976249006994573,-0.3573485190707292,-0.07862205621434258,-0.22013434855255967,-0.04253338606508605,-0.037147119131028694,0.0,0.0,0.0,-0.02405253644829338,-0.020056568337438185,0.0038867917148795897,0.0,0.0,-0.2965869581261339,0.0,0.0,0.0,-0.20926108500206494,0.0,0.0,0.0,0.0,0.38232919711130003,0.009869814543406703,0.04818593496234926,-0.008578071984063958,0.364183570004555,0.11206280472998817,0.208227480945216,0.0,-0.004531476128318833,0.530648358095912,-0.13131865749545815,-1.386654804738265,-0.12704459771403778,-6.709484881349988E-4,0.0057686926447495625
4,2264.1054329514263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0620848247536538,0.03010466586421201,-0.5124545199976069,-0.06859453967085052,-0.6656576957403939,-0.6201830702034354,-0.15148119210069033,-0.37482576061618217,-0.07825030713490375,-0.09869675976790843,0.0,0.0,0.0,-0.06555657727531776,-0.051910147759103194,0.006625491962430679,0.0,0.0,-0.3498753529686992,0.0,0.0,0.0,-0.2586991354592607,0.0,0.0,0.0,0.0,0.8852840690457899,0.024463795665070072,0.10884960693396381,-0.02169072518107181,0.8352191385281407,0.2511707042993684,0.48233416551025776,0.0,-0.012122406224307249,0.2307907441395537,-0.18203781336136987,-1.358050623845341,-0.20908385377159067,-0.24688446842576534,-0.22677402693605417
5,2128.1018758833297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0420320126917486,0.057141674017898096,-0.5138552001385445,-0.07531919774426403,-0.6261801363945014,-0.6253375318277281,-0.1518220970015639,-0.3653260618983916,-0.08372853540482769,-0.11934757993207959,0.0,0.0,0.0,-0.0728667732539358,-0.06417977059882149,0.015882394130865393,0.0,0.0,-0.3844176727732624,0.0,0.0,0.0,-0.2859818041508527,0.0,0.0,0.0,0.0,0.9551846092291588,0.018387834855721784,0.08823481592391219,-0.029798552525617177,0.8944570313467698,0.23447800297764196,0.5636581711088273,0.0,-0.019918977889127443,0.09233308036270274,-0.20146853271347137,-1.4814741150477544,-0.24551604998548415,-0.4374205255813279,-0.42712662971743565
6,1935.507121423408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0892558592409676,0.5100231591985067,-0.687912328832489,-0.22312771283357052,-0.20450591990505623,-0.8842598616330801,-0.19968195677422346,-0.3168640496239922,-0.1989096224084912,-0.4590047421519494,0.0,0.0,0.0,-0.1985665958512104,-0.2736752840294961,0.16888507433863845,0.0,0.0,-0.5312891455606612,0.0,0.0,0.0,-0.44690979708932393,0.0,0.0,0.0,0.0,0.9451838854410206,-0.1870839196629004,-0.660258694468794,-0.1779497127028542,0.9597048191888384,-0.5887793198496649,1.724045445608895,0.0,-0.1729758163745548,-0.9872455492796541,-0.3785889886164321,-1.9600236865727703,-0.3602821169440604,0.0032790266290068093,-0.35922569108081714
7,1900.6302336989315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2916914888411284,1.0361164499659474,-0.9050890300222313,-0.41380537528640415,0.07784528831407428,-1.2247380001442476,-0.20530636355381898,-0.33532260151560983,-0.3402126750296516,-0.8860880155124335,0.0,0.0,0.0,-0.310498073974371,-0.5406521517147376,0.40423525514820674,0.0,0.0,-0.5531570995996342,0.0,0.0,0.0,-0.52984092777979,0.0,0.0,0.0,0.0,0.7975183565942623,-0.5061592645726989,-1.0921287441438599,-0.3841044698367777,0.7151455786335259,-0.9711856272374577,2.592553267153898,0.0,-0.34330581578734426,-0.6809151786050585,-0.30586887993103096,-1.7617408108705608,-0.3071445439141073,0.10906055845601897,-0.897894066669465
8,1861.0694701712405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.16910133641149,1.404783955661109,-0.9131653181228176,-0.5294691053959106,0.39335168476469357,-1.3015235325922259,-0.1564832710720175,-0.2671479743647371,-0.42514799610838516,-1.1790685601831514,0.0,0.0,0.0,-0.3732614395511261,-0.7296329716339847,0.591980735657311,0.0,0.0,-0.5962518251867187,0.0,0.0,0.0,-0.6068256441385935,0.0,0.0,0.0,0.0,0.9783073005947625,-0.7301527274356412,-1.0786737173815442,-0.5571526110244049,0.7259803341493253,-0.8614679717403997,3.0684335791015576,0.0,-0.4485869617858903,-0.5054285419973742,-0.2573022545654925,-1.6937003613684711,-0.2882278916244764,0.27292073390637805,-1.0224301698547167
9,1831.7264759944765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3331365173765775,1.6048815835241717,-0.8253806092280671,-0.6956799417809453,0.4346171199756116,-1.2667557022620084,0.013068157185315898,-0.3479116943659354,-0.5463221809363114,-1.4913310539128954,0.0,0.0,0.0,-0.3795525994298621,-0.9629914643163313,0.9089677466547953,0.0,0.0,-0.6190203499193322,0.0,0.0,0.0,-0.6875719785700654,0.0,0.0,0.0,0.0,1.011042315205382,-0.8972709941295525,-0.901880270629643,-0.8232158104004488,0.38808875628887735,-0.6825827162284765,3.2086858181169964,0.0,-0.5853030777559344,-0.6296839086464298,-0.2675299953233116,-1.7307172492995138,-0.30370448257845234,0.34733022639830957,-1.070982301197663
10,1801.3113320065872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.603900185713024,1.851044239438319,-0.564074371613196,-0.9640381882098276,0.4922490676310657,-1.0862974268336287,0.3515646242559102,-0.4478738612390333,-0.7681564291900342,-2.0738379805496265,0.0,0.0,0.0,-0.3643932655677809,-1.3903204218976875,1.551856957258843,0.0,0.0,-0.6384226974006774,0.0,0.0,0.0,-0.8355076124281087,0.0,0.0,0.0,0.0,1.1564337164871288,-1.1025832527097017,-0.8374639725263716,-1.2975218585204378,0.062355563614472864,-0.6534475294890324,3.3962422757742385,0.0,-0.8392673812914828,-0.6408810722178376,-0.24668394461586374,-1.7216806229702577,-0.3040497216226815,0.017151003060324355,-0.7432439759602116
11,1745.4703686188243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9539074426726655,1.9425698736251296,-0.007055699521496206,-1.2563917010540515,0.46083508497255127,-0.6193944668684045,1.045551480252982,-0.49976020383710634,-1.1717947508890434,-3.062221277396789,0.0,0.0,0.0,-0.19321379163834557,-2.1421485683537336,2.9488198391930065,0.0,0.0,-0.5836877663148924,0.0,0.0,0.0,-1.0896251149002236,0.0,0.0,0.0,0.0,1.4215123584415228,-1.2707344646934347,-1.0185654263533117,-2.122132205845878,0.28726787603724996,-0.9155256163674568,3.1077830794210892,0.0,-1.2338470604295442,-0.6014121860598057,-0.20248219521054628,-1.7261664504766046,-0.30208661493765854,0.22418346608365666,-0.9042105345603142
12,1704.4675322972466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9718439690895242,1.7332861922745468,-0.37222713881878,-1.0891910859539857,0.717364472458912,-0.9181086975349374,1.400065456155009,-0.29501336932667654,-1.482005684198533,-3.8729510637447633,0.0,0.0,0.0,0.19049230686498736,-2.7749569822875073,4.52499962264496,0.0,0.0,-0.4096922835689095,0.0,0.0,0.0,-1.275481038214275,0.0,0.0,0.0,0.0,1.3464480027923729,-1.1102610272312305,-1.0701818251291484,-2.752718419123525,0.4336459514417001,-0.8383628471264011,2.7879128220159997,0.0,-1.4971576300873195,-0.6858427562469172,-0.19492606337057095,-1.764234898280906,-0.3131487640760419,0.20310251628139328,-0.8555740750283073
