Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_aadt
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,3940.3644885876233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00441348032067607,4.6146419240892844E-4,-0.0023438083562303345,-2.549951181604505E-4,-0.003120276016862233,-0.0028749806542769903,-6.76898656011706E-4,-0.0016533201581354921,-3.04753170346169E-4,-0.0062144876124924095,0.0,0.0,0.0,-0.0038098667127870077,-0.0031402727774809246,-6.098184062479726E-4,0.0,0.0,-0.0031200662851366195,0.0,0.0,0.0,-0.0021827210976840938,0.0,0.0,0.0,0.0,0.006568961052315344,4.2238564979664195E-4,0.0015280594185659293,1.3666900631311541E-5,0.005443127895888773,0.002430903072361555,0.002500857448209374,0.0,6.75533112077192E-5,0.029360415843230164,-0.18055996393193532,-0.1153010960940265,-0.03998364136626615,-0.0032235292298252796,-0.0019430941257055432
2,3886.215187533297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007481254075747094,5.176566393661936E-4,-0.003875795585342369,-4.32590141097131E-4,-0.005130785054640366,-0.004710757463663841,-0.0010775305609767977,-0.0027991912639800808,-5.23270950809217E-4,-0.00629952696850402,0.0,0.0,0.0,-0.0038684532623584674,-0.003189570837689221,-5.803456407119548E-4,0.0,0.0,-0.004708859195534685,0.0,0.0,0.0,-0.003290802016051091,0.0,0.0,0.0,0.0,0.008820786376226731,5.186085268944462E-4,0.001930863528042075,-8.461309966915761E-6,0.00745321563321469,0.0031736198116959625,0.003552594790996502,0.0,6.677804067499682E-5,0.030237339160081447,-0.17821854974949125,-0.12260862109933773,-0.02788467202271,-0.0034964776631479593,-0.0020084673747550806
3,3150.064748855042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.629910181812456,0.019401875267476065,-0.31791602588490114,-0.03683710962015763,-0.41633187098772284,-0.3816764382473887,-0.08398486589430784,-0.23512403496149095,-0.04541160412271683,-0.03964064122057309,0.0,0.0,0.0,-0.025748689279662007,-0.0213589601564464,0.004082084453425339,0.0,0.0,-0.31794952264480003,0.0,0.0,0.0,-0.22420578605757344,0.0,0.0,0.0,0.0,0.4097255546802661,0.010737160425743906,0.05196814719577798,-0.009128195808226443,0.3898743257995925,0.12036234598808014,0.22256798128064093,0.0,-0.004805425041950712,0.5675310439873085,-0.12403471329307932,-1.4843194834441125,-0.12580736927004946,-0.0035433483202159874,0.02713708513068773
4,3014.764408351322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.823837787618417,0.0548635851228243,-0.8582630296511942,-0.12561236398647166,-1.1034989096001013,-1.044657359187477,-0.27150343137207655,-0.6211773670649398,-0.13719575185235122,-0.21177139123979138,0.0,0.0,0.0,-0.14181674782881282,-0.10988367437799182,0.010546689551048517,0.0,0.0,-0.4453999577619851,0.0,0.0,0.0,-0.345980589198165,0.0,0.0,0.0,0.0,1.7710919193407906,0.050666030791125964,0.21566241657246576,-0.045125703680188145,1.6626957851743749,0.4948537469669779,0.9642893868385807,0.0,-0.025814375245429982,-0.27955592652308703,-0.2673669149023221,-1.3742166766838435,-0.3365638071312465,-0.6888632442698872,-0.32367512298841544
5,2691.724870026661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4340447335403237,0.09969175932634072,-1.1384527190064575,-0.17691759003988297,-1.4388990751472552,-1.3936040551482871,-0.3756719255490095,-0.8119566516601974,-0.18900983431503815,-0.32199066780932195,0.0,0.0,0.0,-0.21297672959538747,-0.1676376092534054,0.01916871319226915,0.0,0.0,-0.4680925161164451,0.0,0.0,0.0,-0.3833874399066557,0.0,0.0,0.0,0.0,2.4150713429078254,0.05185956456861711,0.23058443543089135,-0.07421241999895918,2.299654917541344,0.6107283438415494,1.4177228750726845,0.0,-0.04910705231725794,-0.5532416511926956,-0.3214409264417036,-1.0840955403045087,-0.3756077276057303,-0.3209763154427522,0.2524235949882105
6,2517.507035058846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5827682042375626,0.22994970951747756,-1.2520440040782543,-0.20384500725098956,-1.467475412333277,-1.562443613687368,-0.43455502879714464,-0.8490905716466718,-0.22505650327258875,-0.44401598596444547,0.0,0.0,0.0,-0.2604490036064948,-0.23149091351551637,0.055473277091487215,0.0,0.0,-0.516033470940129,0.0,0.0,0.0,-0.42380553800521475,0.0,0.0,0.0,0.0,2.5406831871788076,0.021644796151333977,0.04977288982478506,-0.1107158368202204,2.385077657578714,0.4356559579166711,1.8192785919230225,0.0,-0.08679812239632588,-0.9221129853650132,-0.38592862933683647,-1.1292712500970816,-0.41257042717597675,0.3605191645825335,-0.11639991687960993
7,2156.812152511954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8059845643799264,1.4048507671711468,-1.3545649406840266,-0.2849174834132371,-0.616279211456334,-1.940664270847939,-0.6364061230228006,-0.5211946329116866,-0.38093948753449025,-1.3158118612937781,0.0,0.0,0.0,-0.5102454825699978,-0.650736174891154,0.36421354327010746,0.0,0.0,-1.0016345091793826,0.0,0.0,0.0,-0.6036263169121284,0.0,0.0,0.0,0.0,3.1408929698828527,-0.21511592856286998,-0.9306731414332103,-0.4223231356543216,2.4570031103885808,-0.5365147103256583,4.12540963595896,0.0,-0.4265261896727662,-1.1234002226446747,-0.3663774802757025,-1.3464763365252002,-0.4354002014341651,0.3233500601337697,-0.04660455246481568
8,2108.286455034597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8270366712295019,1.9829274715820677,-1.515132656637551,-0.43304069414253665,-0.09632120347049766,-2.334448577478404,-0.7994531496581858,-0.507579628762212,-0.5486667937200633,-1.9432959065938502,0.0,0.0,0.0,-0.6377130160286878,-0.9734731414038309,0.7012103081100509,0.0,0.0,-1.2298699492660106,0.0,0.0,0.0,-0.7822277577287033,0.0,0.0,0.0,0.0,3.4704902153245167,-0.39312925662023734,-1.113972619695573,-0.7592243404440355,2.0212508163912584,-0.7253538263379633,5.677752638393373,0.0,-0.6948810612662493,-0.23970279509477366,-0.1803518175066857,-0.8017838117376455,-0.3130691581664437,0.3779292747300774,-0.5131026172644461
9,1990.775968236975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.101582148953206,2.208746473744573,-1.6019205189405916,-0.603460962005518,0.3327013401445966,-2.6277741818860485,-0.902931518207042,-0.631487454452905,-0.7220556104581712,-2.421765315948387,0.0,0.0,0.0,-0.714084275523211,-1.2703939759066816,1.072836845978577,0.0,0.0,-1.4536162888558812,0.0,0.0,0.0,-1.0286071560314916,0.0,0.0,0.0,0.0,3.428806629198157,-0.5159850649616269,-0.8270714050779848,-1.1340138388579324,1.0698152477043654,-0.5427148763687664,6.705040890454323,0.0,-0.907810573253885,-0.3447473889265892,-0.18194451531794445,-0.7393687927618499,-0.31525462644412267,0.28604815817937157,-0.43371410625649787
