Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,4188.360921404945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007623682032982105,7.971161117568183E-4,-0.00404860752871996,-4.404690991168138E-4,-0.005389848935375712,-0.004966134833886643,-0.001169249605081661,-0.002855883853224909,-5.264193109411049E-4,-0.010734675157289665,0.0,0.0,0.0,-0.0065810222989465305,-0.0054243905971867725,-0.0010533776723359886,0.0,0.0,-0.0053894866525802465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01134697941560649,7.296132882384442E-4,0.0026395131026358946,2.3607696697177325E-5,0.009402257023489876,0.004199051707529746,0.004319888298956487,0.0,1.1668908151919608E-4,0.05071609217249876,-0.3118925774869958,-0.1264305452616346,0.0036700294906761993,-0.005568204701646234
2,4036.8191752381135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010493542864170266,0.0010473614810624088,-0.005539684617771871,-6.029366455863356E-4,-0.0074021408252343025,-0.006794279102688846,-0.0016084590274273425,-0.0039217432553550445,-7.20196601475067E-4,-0.012516689914728199,0.0,0.0,0.0,-0.007667419387770847,-0.006335193068240001,-0.0011932871252043555,0.0,0.0,-0.007168408593612661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013655056289964815,7.876337960284718E-4,0.0028399871983033577,-5.656207914004346E-5,0.011694719739848477,0.004824547021402936,0.005663601045735634,0.0,5.293938703012685E-5,0.0667219016588629,-0.36224367141460617,-0.13431499595600274,-0.03598944749068359,-0.006602323024131488
3,3678.959685287915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5301430859408964,0.06659976452531964,-1.7498303492458702,-0.20170559256919102,-2.3236345151875595,-2.1044820481908277,-0.4708319587234991,-1.310903583881675,-0.24612987009241388,-0.06884852422481928,0.0,0.0,0.0,-0.02974246863042484,-0.05353392002833161,0.053914050711382534,0.0,0.0,-1.617938793480902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3580442175853964,0.08235491285767967,0.35515083573337836,-0.040664214420858595,2.1813009854886167,0.7308224143175813,1.195689981414555,0.0,-0.01906676570151275,2.178288978395491,0.06608890347763752,-6.641508692489298,0.04659310215231203,-0.3247528169457026
4,3231.4890900487194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.984502349357977,0.6703302217259056,-1.8337955009721942,-0.189545228500147,-1.9695783160708857,-2.3209759494560567,-0.5131323705555745,-1.1893802807888216,-0.3178151975809667,-0.25993573719714375,0.0,0.0,0.0,-0.0034670529390756245,-0.17436982921421756,0.2069729968475623,0.0,0.0,-1.9921719740942592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358280129664652,-0.21977642091307958,-0.5709038243934172,-0.18308894584005286,1.4369711083109742,-0.5236904520864257,2.0785834045162623,0.0,-0.18809200754411715,1.5876425190224943,-1.0725792517222998E-4,-8.253025345857868,0.016700800488039146,-1.0391471395452874
5,2927.8131873341495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6454491517371914,0.9801274521176488,-1.8472048676237902,-0.18035482458020868,-1.7408517720162882,-2.3996919554831555,-0.5290701164995237,-1.1051317283819155,-0.3517490026259013,-0.3823647628776314,0.0,0.0,0.0,-0.006659971604424391,-0.25358549105570116,0.2883310257280352,0.0,0.0,-2.1694362118105452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1806690684871497,-0.3606909281211382,-0.876367479658005,-0.25746422914587963,1.305469620786005,-0.9336655401449516,2.544181694777996,0.0,-0.26571922619543437,0.8402242540898309,-0.10765047418504266,-9.017157523979355,-0.05969556991207036,-1.328496974013933
6,2574.4327370118067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819136513196268,2.1274635734017258,-1.59372668832627,-0.13843774077429394,-0.53804383420666,-2.3190931880088193,-0.5022296661048512,-0.5651880443951824,-0.4304663750072699,-0.7735822258711154,0.0,0.0,0.0,-0.08633330946782596,-0.5612569259666088,0.5873826117594585,0.0,0.0,-2.5602820390971255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042709869192962,-1.018273332646454,-0.7185988122585711,-0.5960595981448739,1.10039804774841,-0.5653415452282649,3.3832895644212004,0.0,-0.43881072667042514,0.698457362533951,-0.03248273267234905,-10.836197442048725,-0.06060813177411379,-1.8959206816489425
7,2552.10673530964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6294257319441294,2.1194248136461233,-1.3479451669019862,-0.28351073867878585,-0.10201784105542894,-2.1366822540199744,-0.4728156482301776,-0.48764633704190474,-0.5065855102550348,-1.148322209069555,0.0,0.0,0.0,-0.2093507857493021,-0.8242171255439488,0.8028833998310861,0.0,0.0,-2.624080044800375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2144757841921914,-0.9156052541270423,-0.7961005138795931,-0.8060852274446362,0.9441341143974502,-0.6965108314897319,3.7536066501058425,0.0,-0.550601042408237,0.784389310966753,0.009431966841610864,-11.19490663677929,-0.04662350301277567,-1.3507122516419408
8,2504.5021426774047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8658076711965402,2.0406045399005257,-1.0286297628799765,-0.5997613034123226,0.10505650794341731,-1.8654783968949245,-0.39905174869132254,-0.5073013470811782,-0.6559927364548128,-1.6624355229827148,0.0,0.0,0.0,-0.3715425123548695,-1.2035756470854637,1.1854914821415734,0.0,0.0,-2.615498400683859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2470074323717928,-0.8782830691650397,-0.6703794718061753,-1.1699487110969,0.5134538384690835,-0.5091551320063235,3.913707372194684,0.0,-0.6989586958143573,0.7168014942076112,0.028724850550720937,-11.406606460838143,-0.053459416707623844,-1.4438006676213218
9,2470.962870078207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0045853240904385,2.143092119797797,-0.8125595640263376,-0.7452963763883759,0.12323892775580746,-1.5901868309419025,-0.23884493920753147,-0.4876957113875255,-0.8255383865784451,-2.161699866750703,0.0,0.0,0.0,-0.4769235698136918,-1.5247728211617384,1.683058481135695,0.0,0.0,-2.5175860214121113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3064282835122696,-0.9862022642734275,-0.7366800094047845,-1.577588192032542,0.7411218373545202,-0.6465916913209486,3.95256733569834,0.0,-0.8441126027236587,0.7938924294391608,0.07027172511606858,-11.385372924856304,-0.04415086227694459,-1.6408942083575027
