Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_stressJct,g_walk_speed
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,3936.593277522496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004516781626683367,4.722651590583374E-4,-0.0023986672083464626,-2.609634983995232E-4,-0.0031933087629549446,-0.0029422720512593684,-6.927420517266511E-4,-0.0016920175396064093,-3.118861806281319E-4,-0.006359943044462773,0.0,0.0,0.0,-0.0038990399227140744,-0.003213773564969029,-6.240917309748526E-4,0.0,0.0,-0.003193094122277757,0.0,0.0,0.0,-0.0022338095638508373,0.0,0.0,0.0,0.0,0.006722713240273734,4.3227194951759554E-4,0.0015638249646034,1.3986786204987369E-5,0.005570528989709426,0.0024878004512794323,0.0025593921695103473,0.0,6.913445460608964E-5,0.03004762164934066,-0.18478612531287975,-0.11565923141921447,-0.03857890683066108,-0.0032989787062472427,-1.932624587029051E-4,-0.0031863802475526667
2,3894.8395811870937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006921520404615061,5.176351771988295E-4,-0.0035999425878823397,-4.0020990195057066E-4,-0.004770043552691542,-0.0043819590483666244,-0.0010072059834727726,-0.002590093934717405,-4.832446036780082E-4,-0.0064230924224983705,0.0,0.0,0.0,-0.003942170537524539,-0.0032510386032777857,-5.999440271519834E-4,0.0,0.0,-0.0044358998226337295,0.0,0.0,0.0,-0.0031011775300900783,0.0,0.0,0.0,0.0,0.008471321831584118,5.052858304964032E-4,0.0018716018214035438,-4.389467830828996E-6,0.007137230665373792,0.0030609762001983626,0.003383685042461513,0.0,6.745671319387027E-5,0.030801253815577048,-0.1829628571376018,-0.12135544983314693,-0.02966847232200263,-0.0034958292335500038,-2.060757805424587E-4,-0.00336063552678109
3,3196.071722828131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6054614558710297,0.018630273823184468,-0.3055348291743148,-0.035413148510163014,-0.4001600285433544,-0.3668123271979447,-0.0807361062860841,-0.22597688196588764,-0.04365059371387038,-0.03747589355525206,0.0,0.0,0.0,-0.02419672508576263,-0.02030785275570202,0.004137848709889735,0.0,0.0,-0.30417832151988805,0.0,0.0,0.0,-0.2146463697139123,0.0,0.0,0.0,0.0,0.39219850792463307,0.010116273825150698,0.0494137054076124,-0.008807417245810583,0.37361339235115,0.11494044284527792,0.2136377974585803,0.0,-0.004656251583062431,0.5437118206625762,-0.13274361809813962,-1.4180485521584185,-0.13081476616643692,-0.0010328067490687665,-4.706937857306091E-4,0.005570607637108465
4,2337.2206870209943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0205806152000643,0.029447760029033508,-0.49416357369068675,-0.06548446363254798,-0.6421988619959487,-0.5978154105765731,-0.14507549856702234,-0.36167439102342164,-0.07511819981947984,-0.09136338724992857,0.0,0.0,0.0,-0.06042738347555396,-0.048275782927347216,0.006825658196109708,0.0,0.0,-0.3526813167900211,0.0,0.0,0.0,-0.25939140089941753,0.0,0.0,0.0,0.0,0.8423941794272061,0.02332130879796617,0.10413729801764604,-0.020505268552603866,0.7948979154624033,0.2398362398627688,0.4583051619284304,0.0,-0.01139956927767246,0.2785999161972626,-0.17720047468333353,-1.397263103591486,-0.20425811986300257,-0.2326864177533478,-0.013917722021721047,-0.2137212896222625
5,2256.799255392738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0193086243888363,0.037547942709251235,-0.49676566216873574,-0.06787075764749835,-0.6328924532032363,-0.6019528746667229,-0.14579287084914436,-0.36044674547043914,-0.07714207246494004,-0.09807791331737287,0.0,0.0,0.0,-0.06297258631324161,-0.05223269103291756,0.009674470040638742,0.0,0.0,-0.3649703077587629,0.0,0.0,0.0,-0.26904431464130274,0.0,0.0,0.0,0.0,0.8727522983580014,0.022049724400829723,0.10011508908534422,-0.023032849071407194,0.8208306722503278,0.23815569955281743,0.4862351685413349,0.0,-0.013711312147323483,0.2279961684007907,-0.18439820002660004,-1.441079160560428,-0.2180182587227129,-0.30441479304148733,-0.01777578835461885,-0.2877243805075409
6,2160.4322067025096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0998408960540154,0.08020550904754248,-0.5476319351557388,-0.08922925533037296,-0.6315565079391878,-0.6669104583181245,-0.15676970412853974,-0.3816146718832696,-0.09421760815754479,-0.13121063917420145,0.0,0.0,0.0,-0.0734463417667509,-0.07440296578715438,0.027868109428249306,0.0,0.0,-0.37047526743889264,0.0,0.0,0.0,-0.27790392163786615,0.0,0.0,0.0,0.0,0.8135277351842831,-0.0013490517228521327,0.009874381225823778,-0.036776067733327526,0.7619519604459815,0.13003432779685342,0.584579040126728,0.0,-0.029069082210141064,-0.017030676529099148,-0.22741032075122258,-1.5515503620109823,-0.24836663899394762,-0.3016191222360058,-0.01682317835509757,-0.33957617902191684
7,2041.344363993395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8383332192613187,1.0640972373600943,-0.6806990950152065,-0.29607790235881637,-0.16466838928708682,-1.005790148046358,-0.22642752067704858,-0.18689806671523823,-0.24954813033953363,-0.6671428247498778,0.0,0.0,0.0,-0.2657205483224322,-0.4627597907157819,0.3408465096778887,0.0,0.0,-0.37938936506901205,0.0,0.0,0.0,-0.38310299171202844,0.0,0.0,0.0,0.0,0.8060916073977216,-0.6693227561292208,-0.5567739806008579,-0.28414357025885495,1.004901877761919,-0.11566661660918731,1.9872994348975639,0.0,-0.22447015662580433,-0.10562209643563265,-0.21170906510334814,-1.6077461726491251,-0.2444948612556288,0.40892195718138874,0.008949675531683254,-0.822221028981345
8,2004.380124883901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9611388838510116,1.3268594191077043,-0.737328706515604,-0.39339175775537516,-0.17403934911648974,-1.1253667512550098,-0.22594338528398974,-0.22540067752279302,-0.3151960194570099,-0.8321250650468291,0.0,0.0,0.0,-0.29647903433171124,-0.6042195124938192,0.4966974801104271,0.0,0.0,-0.3485182529057741,0.0,0.0,0.0,-0.4001627405057582,0.0,0.0,0.0,0.0,0.6622277951238864,-0.8907989165887569,-0.6515560625679316,-0.3932602955351623,0.8508511692306375,-0.14476343296429428,2.2313706038989976,0.0,-0.30050507811687327,0.03526002716290079,-0.17984855550409096,-1.523556958757929,-0.22308074421742569,0.49540203222719603,0.009869831210517484,-1.2013412189318982
9,1987.11531844305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0484959181162488,1.548489040200777,-0.6208051309135048,-0.53415144522573,-0.16624697472191224,-1.0617826429581396,-0.15786972330520455,-0.2790279420116404,-0.4089404228607998,-1.0598412153798953,0.0,0.0,0.0,-0.29518149431054225,-0.8295395863825015,0.815104451496819,0.0,0.0,-0.33185830275085654,0.0,0.0,0.0,-0.45528036918986564,0.0,0.0,0.0,0.0,0.7140554906163147,-1.1230302392820808,-0.439631992972027,-0.5977578583466361,0.6685704090847966,0.07572646265063604,2.2503414173648033,0.0,-0.4116365719343748,-0.0926510475294373,-0.19218731540578435,-1.590116947980832,-0.24442238279445003,0.7830208569132935,0.01780728386110731,-1.477639121844419
10,1917.3111820557906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6045803922071713,2.1630832590805578,0.05061957239110593,-1.1574865697289796,0.001522735797068353,-0.5505159318421583,0.17130017631509398,-0.5635045706878822,-0.8686350159305103,-2.1307225999353516,0.0,0.0,0.0,-0.23344285918943286,-1.8813107495880728,2.421892898302361,0.0,0.0,-0.29256392967748857,0.0,0.0,0.0,-0.7809241350790899,0.0,0.0,0.0,0.0,1.120176644598801,-1.8095513937341339,-0.11659649823074758,-1.6032894483148057,0.03306667145839348,0.12230008596215333,2.539509479239225,0.0,-0.9949034324590527,-0.18656572745083583,-0.16315137189834825,-1.6490485851340644,-0.261671813809008,0.3570842390779009,-0.033667278081473594,-1.0400225324168821
