Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi
0,5315.135494088622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3883.1064452125124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003201794734110198,2.791356101814663E-4,-0.001675064139787016,-1.81746428623635E-4,-0.002243106747062739,-0.002047613595056107,-4.8131260322938746E-4,-0.0011969742099379678,-2.162668824466018E-4,-0.0044140302420375074,0.0,0.0,0.0,-0.0027074171267926174,-0.0022258177907671685,-4.361366520485554E-4,0.0,0.0,-0.001616786396532143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046037760795400945,3.0319886402834824E-4,0.001100438313757073,1.395146735077765E-5,0.0037920348144494073,0.0017224066293848048,0.0017165110232799448,0.0,5.059481074679911E-5,0.01802820924192226,-0.12715838082091407,-0.1092177022086171,-0.039911630596578734,-0.0030050991766683425
2,3798.4528255908044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004913530259549339,2.8380800340039924E-4,-0.002522080678022338,-2.800449934073095E-4,-0.003350456507924505,-0.0030575191440568045,-6.962364697584067E-4,-0.0018377832628380915,-3.3670685652451124E-4,-0.004479279021996296,0.0,0.0,0.0,-0.002758396436258756,-0.0022573394793496196,-4.3015119065813027E-4,0.0,0.0,-0.002264030848444875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005855417743213282,3.637991640563117E-4,0.0013485946111891861,7.259727328285782E-6,0.0048831219090577915,0.0021522020569782387,0.002266885407914366,0.0,5.4936095002281104E-5,0.017165483237334293,-0.1249468697688565,-0.11285759318838919,-0.02736486181873131,-0.003225083223184351
3,3311.262985780656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1623411013932534,0.028183472442873385,-0.5871959926423931,-0.0684919502641793,-0.7621246694313986,-0.7013932058704336,-0.1499919311371472,-0.4356431071230965,-0.08412495709145594,-0.10619194856782176,0.0,0.0,0.0,-0.07327651492114277,-0.052680370535944036,-0.0015483312460387098,0.0,0.0,-0.4359741604609473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702807516014819,0.014609098265573899,0.08393613282780979,-0.01610275312335584,0.6754135967549346,0.20244142004975021,0.3912547500045236,0.0,-0.008998236973788954,0.4637098390951983,-0.10903003456932858,-2.3796255507657276,-0.16150759199723924,0.06439000653719257
4,2461.70074549231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.507547528779832,0.09008076360980058,-0.7626382534703058,-0.10561909856137693,-0.9317134191791107,-0.9236013131791776,-0.21794954081169232,-0.5422617341034669,-0.12238620485992749,-0.25686245441711086,0.0,0.0,0.0,-0.16998655322663156,-0.12396158571552834,-0.002092973454597284,0.0,0.0,-0.5024418066829368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4870828269022733,0.024271067021333192,0.16165154086554587,-0.043252804322539085,1.4282619174899622,0.39518231463486875,0.8559744035170365,0.0,-0.02768121096234194,-0.03911845384036422,-0.1796127628382107,-2.320585949077825,-0.26775882969400033,-0.688221126179706
5,2277.3556446989146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4839888706110196,0.534612574832209,-0.9432897052065486,-0.19565012521956313,-0.6526557345155228,-1.218305589983433,-0.2975049862271664,-0.5200936736062993,-0.2182830595985355,-0.6646076104805556,0.0,0.0,0.0,-0.3074039228005261,-0.3367707490485983,0.12276092296480128,0.0,0.0,-0.6524387003493214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.299515817917939,-0.1780767493896253,-0.4818665666862155,-0.19012142684517633,1.3880208971110857,-0.3430999304190371,1.8919583847446095,0.0,-0.18303231667920555,-0.15713378900625596,-0.18047319769296624,-2.3962707160534733,-0.2682216772316482,-0.9532950031077017
6,2255.209770341074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4487591766178682,1.1876975702889114,-1.1827483175618319,-0.33494930250966803,-0.26922393336201833,-1.6247960001941415,-0.40423287698054067,-0.4845870979465406,-0.36115286895010446,-1.2731265466387587,0.0,0.0,0.0,-0.5282378002991197,-0.6704132486514727,0.31490759653862516,0.0,0.0,-0.8370468789417927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4309737799371405,-0.4898317756327068,-1.0261034073575526,-0.43235975534559096,1.6030034591732607,-0.8872144827903199,3.3342418550279103,0.0,-0.39107466838412036,-0.05649738791445483,-0.1371061799812399,-2.116747540959746,-0.22782408123705192,-0.38694561952588025
7,2194.1034829413547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2879786790924157,1.6630169673341935,-1.2485621453044937,-0.459515508458349,0.11154229685406103,-1.8272757038185412,-0.4093154686723075,-0.4707558310545508,-0.4871179950413531,-1.6425051841902953,0.0,0.0,0.0,-0.5670125643272451,-0.928280970389445,0.5914543512662043,0.0,0.0,-1.0626285799888056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4703490987459322,-0.7778837493202235,-0.7846735253494534,-0.7011202022206304,1.2431080709729987,-0.5569912802653012,3.8488123577078497,0.0,-0.5585238072728432,0.05583488189913943,-0.09756553296192493,-2.167238169122825,-0.22312668759961715,-0.5046297093276684
8,2155.564406687493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.603001695978657,1.9239197702159154,-1.2830195250659417,-0.642672360235011,0.11087127222111394,-1.989761019479841,-0.3887245583751478,-0.6223628756066556,-0.6479201336642763,-1.9937814595896104,0.0,0.0,0.0,-0.5544790674568069,-1.2020534090200137,0.9657961346277248,0.0,0.0,-1.2750833718752816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.384943185032725,-1.0022791606355215,-0.597614212146261,-1.0192251156772112,0.7364608237703404,-0.36742133232666657,4.127416013650694,0.0,-0.7435889530202179,-0.22342149495420482,-0.13707760099474514,-2.029624191002891,-0.23801343410596804,-0.4346219575064626
9,2124.951930950562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54248044079963,2.4443987236635625,-0.20657426877661966,-1.3847134893187283,0.14922336831055621,-1.639362684293598,0.06719116913348183,-1.158852404952746,-1.6419445851564989,-3.734402221603035,0.0,0.0,0.0,-0.04937140895448189,-2.6982963175205024,3.9179724355641854,0.0,0.0,-2.8609052141788123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584698809533844,-1.8321370038135991,-0.7445626232595398,-3.053925374840011,0.6891802855267869,-0.6843262961314005,3.478529526736269,0.0,-1.7200268257863993,0.5084887643603383,0.05040684728946737,-1.4245030467112176,-0.16054917213817055,-0.8107462888616129
