Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost
0,5315.135494088622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
1,3984.4605342932696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026470173542424437,2.3076957322273013E-4,-0.001384824517402313,-1.502550883456446E-4,-0.0018544419552065608,-0.0016928220485697538,-3.97915206740404E-4,-9.895735890036574E-4,-1.787941571910783E-4,-0.0036492079046632976,0.0,0.0,0.0,-0.002238300926491129,-0.0018401486693617292,-3.6056692657237367E-4,0.0,0.0,-0.0013366446025194797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038060763382995336,2.506633689909774E-4,9.097645401049653E-4,1.1534086117771802E-5,0.003134986092270098,0.0014239639382475462,0.0014190898682432803,0.0,4.182820986449282E-5,0.014904447877588333,-0.10512555261100148,-0.1076205440194245,-0.0503231875221416
2,3811.6425419935777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005186404228722899,2.3213767920539642E-4,-0.0026401288449164452,-2.957005277257164E-4,-0.0034942980137034367,-0.003188688834052879,-7.149642179619434E-4,-0.0019411528848477485,-3.5721347102958534E-4,-0.0038168681147362086,0.0,0.0,0.0,-0.0023633476599874003,-0.0019182619321789914,-3.6564535960427615E-4,0.0,0.0,-0.0023060817147663158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005784643695271494,3.574426905880311E-4,0.0013297613928497111,6.868760591159775E-6,0.004827477644049182,0.0021235348154503304,0.0022457299048976296,0.0,5.403829936361973E-5,0.01334168631779177,-0.10249858406757228,-0.11317588746796911,-0.02768591828104259
3,3102.2484946964614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8125368723687376,0.02134009500194049,-0.4125110666043891,-0.048317669911291536,-0.5322245043620698,-0.49210136215903477,-0.10407078271953253,-0.30526467900600185,-0.05945491936216491,-0.09219294680859808,0.0,0.0,0.0,-0.06437317137621389,-0.04455635196027845,-0.004859476540818451,0.0,0.0,-0.30330567526777374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49092954912595566,0.009700970910715508,0.05709391552925209,-0.011431971276308116,0.4731641159438464,0.1402272998251069,0.2756007332525566,0.0,-0.006444317812206953,0.318737264760456,-0.09258871642389777,-1.6880095181155543,-0.13198667322856475
4,2408.0713063503563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2943033663089334,0.06943134440153022,-0.6423709696247073,-0.09392297669014837,-0.7887738686777592,-0.7749053957164775,-0.18485760402559076,-0.4549891694326602,-0.10450648416105326,-0.2708281541925071,0.0,0.0,0.0,-0.18483000019556195,-0.1282227303155848,-0.015490761924375894,0.0,0.0,-0.34400798741583155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2062119748760038,0.018222233179051337,0.12347722062488284,-0.034861685755344034,1.1636048411379818,0.3152887347982234,0.7047233302625594,0.0,-0.022342388842942134,-0.24038188500401741,-0.18338395003202385,-1.4564857743682786,-0.21715471381120427
5,2212.0166640256516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0855079090395268,0.5868489093148467,-0.7847592139980731,-0.18658363569110709,-0.38504637870678926,-1.0167899600354833,-0.22853990992608475,-0.3800435606114066,-0.19730157591243913,-0.8082898617983771,0.0,0.0,0.0,-0.3293100276097827,-0.36523210682960217,0.12984665338436585,0.0,0.0,-0.5988104934433518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4924485427173442,-0.180628879389298,-0.37608832034039086,-0.19214073231475315,1.5209523121440054,-0.23717621751546147,1.8102110048188234,0.0,-0.1930422835391808,0.32373308056699873,-0.056227368183457443,-1.2632728431764182,-0.15924239051065195
6,2146.0786673202056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3318604145602402,0.9739902393942198,-0.9938179568759861,-0.35164644217564067,-0.24574898440626927,-1.3350984796281875,-0.2337583272495036,-0.5066532318015482,-0.331179711556018,-1.1804733474946678,0.0,0.0,0.0,-0.2877558622130511,-0.5934688567435403,0.4052328802309653,0.0,0.0,-0.8727938377926203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3039399189831535,-0.39261447418042295,-0.598864352681769,-0.41540971795214665,1.0322919832693478,-0.5558700830853305,2.339315049846079,0.0,-0.3873199206638698,0.06241925645100904,-0.09399861393698176,-1.182056432265083,-0.16300749299357356
7,2097.4562382696517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2017646811962155,1.401268639676151,-0.9857911787279549,-0.5088930315036897,0.08032901031456904,-1.4348617730101723,-0.16721697573458563,-0.528844873171905,-0.47004782565854986,-1.481326137497399,0.0,0.0,0.0,-0.13692021370633298,-0.8066986277564333,0.8109005532581453,0.0,0.0,-1.3001101629498208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4530401825887558,-0.6578357954746338,-0.45087999373636134,-0.7146217995028188,0.7123942086289502,-0.3598767873397033,2.6128322706896725,0.0,-0.6008583089068111,-0.1650133499263493,-0.12217231180115344,-1.2798370009296451,-0.18789478012325805
8,2054.9650241653085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3830309999208854,1.61324850950069,-0.8755391279589829,-0.6797353255361538,0.04958040921600683,-1.410606730239703,-0.09141399372805503,-0.6270000999714368,-0.6257887088812906,-1.6968434218957418,0.0,0.0,0.0,0.09033939222524492,-0.9671083002526867,1.3101470756653575,0.0,0.0,-1.729080061033482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6184405398438435,-0.8663438154746977,-0.3472725172148834,-1.0555513211992098,0.5009523748658765,-0.21928159258029653,2.6652855588766236,0.0,-0.8259602593849354,0.03159796778090493,-0.08478076087393346,-1.0723835461708981,-0.16720902386610673
9,1984.3277678840757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5865976452692805,1.696884766646297,-0.3582205545168524,-0.9180594013998779,0.023300664098367185,-1.024799473652444,0.10814957763993532,-0.7375957522626677,-1.0118133436834627,-2.124543046923142,0.0,0.0,0.0,0.6351545301877747,-1.1976722425030732,2.635230950809788,0.0,0.0,-2.922026749901325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.916469477034117,-1.1325588741032888,-0.6522060083631975,-1.9456119310719955,0.5623773959441029,-0.6324830754519747,2.497586751850551,0.0,-1.3581870309626716,-0.13977114219911874,-0.11069871527973163,-0.9909794163918118,-0.17876587204019959
