| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_24    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| asc_carP                       | -2,0979261 | 0,24748 |  -8,47705   | 0,00000 *** |
| b_carP_p.age_group_agg_5_24    |  1,7959744 | 0,26521 |   6,77189   | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,4045210 | 0,20544 |  -1,96903   | 0,04895 *   |
| b_carP_p.age_group_agg_70      | -0,6928622 | 0,37391 |  -1,85302   | 0,06388 .   |
| b_carP_p.female                |  0,6306372 | 0,19773 |   3,18940   | 0,00143 **  |
| b_carP_p.occupation_worker     | -1,0451817 | 0,19205 |  -5,44211   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  2,1313788 | 0,46187 |   4,61472   | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,5214707 | 0,18269 |  -2,85444   | 0,00431 **  |
| b_carP_hh.cars_gr_3            | -2,1646147 | 0,64737 |  -3,34370   | 0,00083 *** |
| asc_pt                         | -5,7044621 | 0,59309 |  -9,61817   | 0,00000 *** |
| b_pt_p.age_group_agg_5_24      |  0,0000000 |         |             |             |
| b_pt_p.age_group_agg_40_69     |  0,0000000 |         |             |             |
| b_pt_p.age_group_agg_70        |  0,0000000 |         |             |             |
| b_pt_p.female                  |  1,2030764 | 0,45685 |   2,63340   | 0,00845 **  |
| b_pt_p.occupation_worker       | -0,9730472 | 0,41457 |  -2,34715   | 0,01892 *   |
| b_pt_hh.cars_gr_0              |  5,8121591 | 0,49077 |   11,84289  | 0,00000 *** |
| b_pt_hh.cars_gr_2              |  0,0000000 |         |             |             |
| b_pt_hh.cars_gr_3              |  0,0000000 |         |             |             |
| asc_bike                       | -3,5835719 | 0,40745 |  -8,79512   | 0,00000 *** |
| b_bike_p.age_group_agg_5_24    |  0,0000000 |         |             |             |
| b_bike_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_bike_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_bike_p.female                |  0,0000000 |         |             |             |
| b_bike_p.occupation_worker     |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_3            |  0,0000000 |         |             |             |
| asc_walk                       |  1,4458988 | 0,18084 |   7,99533   | 0,00000 *** |
| b_walk_p.age_group_agg_5_24    | -0,9539509 | 0,27528 |  -3,46538   | 0,00053 *** |
| b_walk_p.age_group_agg_40_69   | -0,6792433 | 0,12224 |  -5,55654   | 0,00000 *** |
| b_walk_p.age_group_agg_70      | -3,3738302 | 0,60437 |  -5,58240   | 0,00000 *** |
| b_walk_p.female                |  0,8152393 | 0,13830 |   5,89457   | 0,00000 *** |
| b_walk_p.occupation_worker     | -0,5320371 | 0,12069 |  -4,40841   | 0,00001 *** |
| b_walk_hh.cars_gr_0            |  4,8458092 | 0,39602 |   12,23614  | 0,00000 *** |
| b_walk_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_walk_hh.cars_gr_3            | -1,3303978 | 0,35931 |  -3,70263   | 0,00021 *** |
| b_car_time                     |  0,0932171 | 0,06246 |   1,49236   | 0,13560     |
| b_pt_time                      |  0,0269743 | 0,01403 |   1,92289   | 0,05449 .   |
| b_bike_cost                    | -0,0794513 | 0,04107 |  -1,93458   | 0,05304 .   |
| b_walk_cost                    | -0,0854743 | 0,00753 |  -11,35660  | 0,00000 *** |


Iterations: 50

Start LL = 5315.135494088622
Final LL = 1618.2475339561074
