Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_p.disability_lot,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_p.disability_lot,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_p.disability_lot,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_p.disability_lot,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_p.disability_lot,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20553.084717673806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.443375458874001E-4,0.0,-6.618195562459269E-5,-5.215809494857782E-4,-5.094349579680792E-5,1.2828915562089095E-4,-5.261925496719796E-4,1.1116327603583685E-4,-5.16993456182916E-4,1.1381296028600512E-4,-4.676000312619848E-6,0.0,-5.207246880331882E-5,0.0,-0.003059140484875478,-6.147225090723845E-4,-1.9687740963749047E-4,-0.0011792036859060596,-4.120605296028541E-4,-0.0012414267245054243,-0.0011827861493982296,-1.5849261273429737E-4,-4.552181026081727E-5,-0.0011234206887873637,-2.9258760391845623E-4,-3.2649099635566114E-4,-9.98985822784863E-4,-8.96789563528714E-4,-0.0016586236278698491,-2.761148776443047E-4,-1.5231255941350937E-4,0.0,-3.0230809920319323E-4,-7.768241929627789E-4,-4.977491400082322E-4,-1.3247524989157822E-4,-3.7631703020184985E-4,-4.1355973553257964E-4,-1.1112375930069831E-4,-1.1488073794028156E-4,-4.261969702042096E-4,-4.1485312969920094E-4,0.0035575436554532835,3.8043728104530646E-4,6.901990742566267E-4,0.0012278420481579575,3.8864761300541725E-4,0.0015060249235215515,0.001044270000300759,1.8804344855261043E-4,0.0017230812120649136,5.202299501984479E-4,1.1164384943044024E-4,2.0919289986805306E-4,0.0013137766449933573,8.59117851933375E-4,0.013859216441999332,-0.0971031247463933,-0.10848860334089255,-0.05816809048079016,1.1044064245373191E-5,6.017342023107268E-4,1.1355823480679862E-4,-0.002298756352520788,-1.2999839700360866E-4,-0.002095727764066287,-1.7297139365375812E-4,-3.7111633364945854E-4
2,20151.61822970242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.801837299902526E-4,0.0,-1.3533854336436832E-4,-9.054326533039152E-4,-1.5472865931698157E-4,-1.5044319657321555E-5,-8.958766593593093E-4,1.257731396711228E-4,-8.120333615115214E-4,-1.2810373286492084E-6,-4.561224710852918E-5,0.0,-2.375816152342903E-4,0.0,-0.0032138094512643126,-6.91455882750223E-4,-1.6888345461683185E-4,-0.0012489387496171015,-3.78384943627632E-4,-0.0012577679858209409,-0.0013010400184352686,-1.452096031227009E-4,1.4099443282121696E-4,-0.0012545383919606295,-3.280719569544128E-4,-3.5595889717712607E-4,-0.0010667695649476349,-9.707934205411943E-4,-0.0024264652234198643,-4.1219742469152023E-4,-2.229363668895053E-4,0.0,-4.391700364508143E-4,-0.0011294762762728686,-7.257628887984777E-4,-1.9240022541674152E-4,-5.506067413288493E-4,-6.058093865644264E-4,-1.6236740990438443E-4,-1.688526822487435E-4,-6.272895471692831E-4,-6.067128435516314E-4,0.004855143336392466,5.043438012705384E-4,9.585203497529901E-4,0.0016736401042430564,5.20703489009489E-4,0.0020553561006657955,0.0014243217481814151,2.534965051617934E-4,0.002396861387893003,6.91204615480226E-4,1.465655988796556E-4,2.82662438750932E-4,0.0018082564827570382,0.001171423118796015,0.012074792388151383,-0.09622669244417068,-0.11249762552735428,-0.04438845725554684,1.655076477539429E-5,9.030799592476464E-4,1.7540520771158364E-4,-0.00286087370386285,-1.62055587961669E-4,-0.002601681650765915,-2.0333099588262218E-4,-4.513014763069828E-4
3,19998.356991138364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0650212286426288,0.0,-0.00772534598112519,-0.048028796177529566,-0.010849596962326489,-0.00895298373312392,-0.04739280190307385,0.004458953152107119,-0.03888023802090656,-0.00820559821473588,-0.003993382208286754,0.0,-0.01849690300651577,0.0,-0.02954913140363003,-0.012478122087098448,0.003732297815545601,-0.01303291749513221,0.004081403834657296,-0.005229404405746128,-0.020315485382279622,0.0016332201843190708,0.02784005089041036,-0.02203491688704089,-0.0059570750752475235,-0.0051112836197863875,-0.012278911257983808,-0.012940132700112792,-0.09508220359081497,-0.015960223375641687,-0.008644466449515782,0.0,-0.01732081037608739,-0.04474392794215621,-0.02824683776505924,-0.007640620925371406,-0.02184403136250331,-0.023315425777819417,-0.006343001102633968,-0.006438445340342088,-0.024143256710055887,-0.023733226597029446,0.12608354753143838,0.006533015590883306,0.03399792490569799,0.0413660375999652,0.007634160718513303,0.05231653964785051,0.03523017817925,0.0047415480673153,0.0881022125249281,0.006139190013987963,2.3989521969442536E-4,0.005442010902380723,0.05489228788660255,0.02970378907702914,-0.015127450196993998,-0.10988208403942436,-0.5322124447343564,-0.091971056975367,7.137374206584425E-4,0.03839382062826878,0.007805001776366374,0.016992508070806347,7.731653338887348E-4,0.020052731432822844,0.0055552356747390974,0.007969964498833982
4,18074.462491056136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6165655870319432,0.0,-0.0685542211106865,-0.39901208858066545,-0.1013020726808309,-0.09489437659824321,-0.3901949668044704,0.030249082640924605,-0.32698883839068404,-0.09268768670064667,-0.0373964652936717,0.0,-0.17529788340052138,0.0,-0.23130626917383149,-0.1015326230953282,0.030724115589917476,-0.10094489523164445,0.03399414965677731,-0.03789955928089482,-0.15917910773791255,0.013499124320979505,0.22274563235112194,-0.1738374931772619,-0.046939886576367995,-0.040075516864363225,-0.09591446366468646,-0.10188564532364613,-0.423229752377586,-0.06885091426695776,-0.03397129076823005,0.0,-0.08169208536748308,-0.21146190486417263,-0.12202056300894122,-0.037029610489807976,-0.09704590877509847,-0.09875237319440894,-0.02866713699582926,-0.025495039087429578,-0.09582900018092448,-0.10538540039901646,0.9584649550787764,0.042106847024224084,0.2653376345986018,0.31277852138507156,0.05524088919112387,0.39585089940263385,0.26632978016886294,0.03443088999251082,0.6858468717749663,0.03960204553924787,-3.635623126920846E-4,0.04020264789888888,0.4222355618951657,0.22427723279863357,-1.3816502146526897,-0.3854939294370188,-1.1298534503430322,-0.3470168506672641,0.0013790507784055374,0.039162332116394444,0.03349503011241555,0.05269529356252782,0.0015866351041228196,0.08414124140082513,0.04194815428664129,0.05027134691699949
5,17998.41689148621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6691354661974126,0.0,-0.07071158809675125,-0.479556823301448,-0.108802355778239,0.02421701684866462,-0.48128731458214324,0.07301847286030405,-0.43998680056416073,-0.058450809653794324,-0.036593232727867034,0.0,-0.17755266002999734,0.0,-0.32121591472588235,-0.15291400416158119,0.05131714845776063,-0.1397003849353529,0.05735953496363441,-0.04081076903827488,-0.240479257031944,0.02491948653141572,0.3684424958324884,-0.27498582262887955,-0.0713930416584575,-0.061167838868833264,-0.13945818981376742,-0.14079603149494918,-0.5760562247134128,-0.09758591139580693,-0.04184276497424701,0.0,-0.11382841659884216,-0.2891577121661315,-0.16199061850520977,-0.05164795773243966,-0.12459027058802884,-0.13452163962189082,-0.040019693248008664,-0.033316355000906676,-0.12261882226631049,-0.14143078295102324,1.3363335798980138,0.044587475428935215,0.38895748802274366,0.423924192148162,0.06962431471947711,0.5318513781925286,0.3587769617677341,0.039437012032829954,1.0004923302012325,0.03541266276146641,-0.00744234010780597,0.05405921718342216,0.600812404665291,0.3079587488977104,-1.380326203240549,-0.3779962635352369,-1.1221100043412278,-0.4016702791767999,2.3206294722274588E-5,-0.08652177273176673,0.059661035973747674,-0.2597497487586987,-0.015448058992399314,-0.19864577428024544,0.06840563469741516,0.020636190061146645
6,17051.5865209987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.690993555330964,0.0,-0.06879411991436234,-0.5442169335960856,-0.11186464341367451,0.15743925832169373,-0.5579480061370037,0.1174882746763701,-0.5422358498244633,-0.017499023392595667,-0.03373845551274871,0.0,-0.17028088057233998,0.0,-0.3998642235577858,-0.20213552888683908,0.07252268718366747,-0.173316590562356,0.0812101713358967,-0.03881986601876884,-0.3174624260091339,0.03699401464892233,0.5158785968612254,-0.3731287345474884,-0.09509816693482509,-0.08134256394052858,-0.17963718943740403,-0.17578473527492736,-0.7059279329156471,-0.12317377548560446,-0.04674028369267055,0.0,-0.14234508937526077,-0.35638124791443393,-0.1949376568409854,-0.06456697700534207,-0.14506560390260878,-0.16553015551369515,-0.050132540108230525,-0.039669711149099694,-0.14285626409911859,-0.17165367851489133,1.6372625594972388,0.042387047013075316,0.5001208804273328,0.5019464630383089,0.0754089998369435,0.6278847745496118,0.42400438420596204,0.0386201201402963,1.2821118458328362,0.018045999411880186,-0.01785920082889632,0.06333870267880046,0.7556941279410415,0.37217455647962505,-1.257382315864316,-0.3489514042128784,-1.037771762665108,-0.3989656904313188,-0.00191235653165928,-0.2501436536313071,0.08301897604397035,-0.22747060986442497,-0.013532219530415711,-0.17943293567033294,0.13555522069855885,0.06806985927840754
7,15050.926437297743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2577983074711699,0.0,0.03929516208961238,-0.6715719905191988,-0.1064572724523869,1.4426145283441305,-0.8153754480161728,0.5080052070730243,-1.0910629754655607,0.3613907244021299,0.044071472293165,0.0,0.06884748344980701,0.0,-0.9022612753565062,-0.6222738506222435,0.2617345758304118,-0.3471933083280888,0.2719934216266345,0.07280752535783828,-0.8353514501015374,0.14135384293686068,1.698339032473863,-1.0709704780320117,-0.27894730784069466,-0.2171926064117902,-0.45939805712554793,-0.4048719550974165,-1.523775625060751,-0.31820029722686327,-0.02617520634288404,0.0,-0.35734722546505526,-0.7404528063682463,-0.3760449956953611,-0.15147772740266935,-0.16194691123170749,-0.3934889852312604,-0.13000161373153107,-0.07701223947855672,-0.20849800672805618,-0.34080144832352544,2.845989526297926,0.08768927013993306,1.1276531698416643,0.5289066421125057,0.0658726452146331,0.6972116411812082,0.41451447609436354,-0.05651222238148059,2.8892172448946054,-0.23643221510190204,-0.1488908180104796,0.07787396623979835,1.5953107474828374,0.5491221313889277,-0.9175098747617044,-0.24128520703368111,-0.4596361629486393,-0.36592213904389187,0.018564779817267833,1.0031192555131678,0.7819919902373706,0.2225467865229816,0.03971956003832343,-0.1570905768769253,-0.043486356029675016,-0.1876191379597381
8,14520.331806571468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36511523278711566,0.0,0.04310586314696516,-0.7650198186691815,-0.15538204621127,1.4796358723412486,-0.9186028939079891,0.5553114750012369,-1.1584185300010097,0.32412405145350554,0.04158137692963006,0.0,0.06530444846987951,0.0,-0.9621388508469726,-0.6878413538354411,0.2963106966947299,-0.36252872248135454,0.30277739613885823,0.10742361138214145,-0.9085582131462954,0.15869543161062943,1.8899561343566007,-1.16915084359875,-0.30837463501321993,-0.23525043644863425,-0.49484562638449264,-0.4363024111496123,-1.6597947519499718,-0.34903670192953584,-0.0217734950982644,0.0,-0.3933460059007882,-0.8076999031336691,-0.4088327903729611,-0.1664957613038395,-0.1624532133504899,-0.43340287086744644,-0.14396741293383303,-0.08347459142530754,-0.21874554850953376,-0.36891611075431735,2.9609513897260693,0.08294268150220135,1.2170094313151676,0.507077366568874,0.040066409311940256,0.6873576871576006,0.3975153041651295,-0.07996376996161882,3.0978408766369503,-0.27199318696963326,-0.17155547559146722,0.08048512377454084,1.69801157460597,0.5557519879647356,-0.7879728849735376,-0.21493629500603795,-0.3382909703381134,-0.3525502315628138,0.021700069007627585,1.2500934673598347,0.8808855860098097,0.26667282113922275,0.04884959029790236,-0.17796165082738227,-0.052364736205732364,-0.15343080628788128
9,14014.927851942022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2704650190023045,0.0,0.07764528825135608,-0.7529697678533408,-0.32862295626453425,1.426852405691948,-0.9096598704216737,0.6708642027953469,-1.0863513181252145,0.23095215388015053,0.06378713506179079,0.0,0.21997675235333863,0.0,-1.135025687736308,-0.8669243684612495,0.40562577244527676,-0.37438010354453133,0.3464165197024849,0.18574358285504255,-1.0727369683728898,0.18980791215943701,2.3216817818336963,-1.3859821002681476,-0.38519339749126214,-0.27502511078087755,-0.5544825593066325,-0.5285753537118001,-2.0120972170566587,-0.4169447895157909,-0.0073645612209011935,0.0,-0.48003552121614923,-0.9807777857831568,-0.5164505655343333,-0.20697445416703186,-0.14668192472890867,-0.5393648460628881,-0.18481176854222328,-0.09922125725073097,-0.23782707724287086,-0.4368276032347918,2.8693692659741625,-0.0721009546349228,1.3913214509537726,0.3753618588807899,-0.11826445300891986,0.5742287177404984,0.29926321045157656,-0.17242425187280874,3.436245752402977,-0.37377225530411873,-0.23622059554053246,0.07795433901238638,1.7705438596132794,0.48131073168150146,-0.8182451481840112,-0.2132648176239185,-0.2559948387354788,-0.346318173614179,0.026734014555364782,1.440832692582587,0.9471530204616586,0.2535984851634944,0.06776912109292943,-0.27439658132966044,0.35964727179504974,0.12486832370642939
