| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_p.disability_lot        |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,2747774 | 0,08690 |  -14,66901  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4834482 | 0,11819 |   12,55129  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2537953 | 0,06980 |  -3,63604   | 0,00028 *** |
| b_carP_p.age_group_agg_70      | -0,1940407 | 0,08894 |  -2,18161   | 0,02914 *   |
| b_carP_p.female                |  1,2473964 | 0,05604 |   22,25759  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,4991441 | 0,06434 |  -7,75754   | 0,00000 *** |
| b_carP_p.disability_lot        |  0,7384312 | 0,09560 |   7,72454   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,5808327 | 0,29795 |   12,01839  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1328746 | 0,05885 |  -2,25775   | 0,02396 *   |
| b_carP_hh.cars_gr_3            | -0,3115508 | 0,09696 |  -3,21331   | 0,00131 **  |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4396621 | 0,05927 |   7,41825   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6515262 | 0,15219 |  -17,42278  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,2976087 | 0,17585 |  -7,37895   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5534918 | 0,16445 |   15,52772  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5681655 | 0,12336 |   4,60584   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3383191 | 0,14363 |   2,35551   | 0,01850 *   |
| b_pt_p.female                  |  0,4972195 | 0,08311 |   5,98299   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6347279 | 0,10605 |  -5,98540   | 0,00000 *** |
| b_pt_p.disability_lot          | -0,1928777 | 0,14650 |  -1,31656   | 0,18799     |
| b_pt_hh.cars_gr_0              |  6,1676050 | 0,30006 |   20,55437  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7880530 | 0,11372 |  -6,92967   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2934186 | 0,20682 |  -6,25395   | 0,00000 *** |
