Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_p.disability_lot,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_p.disability_lot,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_p.disability_lot,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_p.disability_lot,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_p.disability_lot,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_d
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20504.835172023526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.380016704771359E-4,0.0,-6.49641952314749E-5,-5.119837622148036E-4,-5.000612592184969E-5,1.2592861110226398E-4,-5.165105080928683E-4,1.091178509128089E-4,-5.074806796489041E-4,1.1171878047593792E-4,-4.589961030081649E-6,0.0,-5.111432561334968E-5,0.0,-0.0030028517263414193,-6.034114996402581E-4,-1.9325482838413336E-4,-0.001157506116975635,-4.044785385936456E-4,-0.0012185842399974733,-0.0011610226624678098,-1.5557631894140341E-4,-4.4684200416328974E-5,-0.0011027495374636635,-2.8720393714393237E-4,-3.2048350080314606E-4,-9.806042963281024E-4,-8.802884674048506E-4,-0.0016281046421123672,-2.71034312121988E-4,-1.495099797605254E-4,0.0,-2.967455734927626E-4,-7.625304821517576E-4,-4.885904625002919E-4,-1.3003768045344576E-4,-3.6939272628380064E-4,-4.059501588531516E-4,-1.090790612930066E-4,-1.1276691082115916E-4,-4.183548660372449E-4,-4.0721975432458566E-4,0.0034920841851261678,3.73437163739159E-4,6.774992818726743E-4,0.001205249524242031,3.814964240517034E-4,0.0014783137825375079,0.0010250552364865747,1.8458341383965066E-4,0.00169137619467195,5.106576215676828E-4,1.095895816668404E-4,2.053437112852045E-4,0.0012896029083822624,8.433099223666013E-4,0.013604204260756952,-0.09531640904347753,-0.10833241144774176,-0.058937805459748145,1.0840851392411405E-5,5.906621801584221E-4,1.114687419933118E-4,-0.002256458804599924,-1.276064021230438E-4,-0.002057165980242406,-8.323398566835864E-5
2,20104.235800298164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.602691869245983E-4,0.0,-1.3263027791206034E-4,-8.876738025875681E-4,-1.5157815383609006E-4,-1.433711855475264E-5,-8.783481930678457E-4,1.2342317205910253E-4,-7.961524009661967E-4,-9.72908145286934E-7,-4.4673721900613497E-5,0.0,-2.3272042933735162E-4,0.0,-0.0031575810610193563,-6.791236285483477E-4,-1.6623706179170843E-4,-0.0012269085865432912,-3.7207122824820134E-4,-0.0012360106768592592,-0.0012776817775092702,-1.4282300474611988E-4,1.368966639216314E-4,-0.0012317983573904288,-3.2210165708843985E-4,-3.495231998032657E-4,-0.0010477922857692118,-9.534782851017595E-4,-0.002380386564536924,-4.0435338498795014E-4,-2.1870026587656063E-4,0.0,-4.3083487302635916E-4,-0.0011080242204368081,-7.120189640149371E-4,-1.88743693296243E-4,-5.400938371214373E-4,-5.943603882854092E-4,-1.592965064171003E-4,-1.656625636283063E-4,-6.15411280659273E-4,-5.951999370797597E-4,0.004766112879784885,4.954392431442593E-4,9.405196034992234E-4,0.0016430210724585022,5.114247336110943E-4,0.002017690768086851,0.0013982483269481946,2.4893160587489646E-4,0.002351736186843388,6.790487749152503E-4,1.4403400639183633E-4,2.775594427626277E-4,0.0017747165069400496,0.0011499711002846212,0.011851814593901461,-0.09448515724940085,-0.11226593185177744,-0.04535221164302383,1.623871804204209E-5,8.861760356261297E-4,1.7209317130070876E-4,-0.0028127276272189305,-1.5932001507472306E-4,-0.0025580954978241463,-1.0020782504682659E-4
3,19872.16247993876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05902097253776204,0.0,-0.007013837701913815,-0.043735755288864184,-0.009858604386255777,-0.00803147467026831,-0.04318064722851772,0.004095921962369144,-0.035396053822732504,-0.007423349866177631,-0.003630680377228021,0.0,-0.016795836363068566,0.0,-0.02747026455767061,-0.011470513807083959,0.0033531411856803413,-0.012076161480403198,0.0036418320725759195,-0.004992500429351862,-0.018696492903937618,0.001454898241031273,0.02529407659253715,-0.020237071986819434,-0.00546777722070576,-0.00469946577746283,-0.011340092197426727,-0.011928818235165636,-0.08631875966621529,-0.014468644658592784,-0.007842287292121443,0.0,-0.015735112399176004,-0.040648268829678584,-0.02564566624768529,-0.006942349356122178,-0.019828543199691264,-0.021161287550985893,-0.0057603883366280206,-0.005840117210873646,-0.021899876689511825,-0.021544915149386504,0.11452327677472508,0.005864699692845116,0.030972213145698244,0.03755255029632762,0.006884877133376013,0.04751663461396228,0.03199577289265785,0.004287240630659024,0.08027121564749021,0.005481361718943549,1.8774480799389322E-4,0.0049329123239833,0.04995439831889591,0.02698691806955191,-0.014371247649000548,-0.10722551242328317,-0.49109667241904453,-0.08907495391544251,6.506531472010923E-4,0.035056335081817394,0.0071389255066089275,0.018641609015196667,8.804232509164167E-4,0.02119077483466107,0.0022160465746741205
4,17897.55436023819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5833718871443119,0.0,-0.06489831617404952,-0.3789899201341129,-0.09596559630771095,-0.09082550396176108,-0.3707630403720603,0.02859514479127794,-0.3092671501120512,-0.08818954937483903,-0.035598149841976984,0.0,-0.16618620157962144,0.0,-0.22162414796952384,-0.09647303139865367,0.02876526660046598,-0.09653284985919808,0.031740977140768026,-0.03710372150131481,-0.15148929367272312,0.012574347067239979,0.21011913134128304,-0.16515708219318273,-0.044571946415548395,-0.038079914288571645,-0.09143488487456504,-0.09700193501272518,-0.4035337216508541,-0.0656410926348022,-0.032642661064137574,0.0,-0.07767956354833934,-0.20132774652476687,-0.11619551567587426,-0.03523583521813253,-0.09312455068780455,-0.09372350401551395,-0.02720211482690258,-0.024243651058425724,-0.09151097278817755,-0.10045766307231555,0.9024759738157118,0.03895953899086385,0.25079785611617506,0.2944033781233377,0.05134951256066861,0.3728602913212513,0.2508795237779819,0.03226125148481364,0.6484920528589606,0.03622194246950298,-6.64934518736814E-4,0.0377383918522092,0.39857030945822153,0.21131333631137264,-1.3114245231323247,-0.36917088856953795,-1.055990901883017,-0.3290119615744852,0.0015804102405210319,0.04997957563876865,0.033974027509030336,0.08863506573610834,0.0036709184135301255,0.11476000756376764,0.016461795739223642
5,17539.756473173282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6465229811754745,0.0,-0.06855004784809664,-0.46779274019779893,-0.1053846977319352,0.026578969798656565,-0.47015725893310184,0.07206616390045503,-0.42869928666514695,-0.05511936414545425,-0.03552925198341342,0.0,-0.17101388279462337,0.0,-0.31805057418396404,-0.15039544029266783,0.049709820283764736,-0.13810630347763758,0.05608704388347007,-0.04143188735650031,-0.23690963985308425,0.02427219942106441,0.360096283534844,-0.2705757261331556,-0.07011903996466803,-0.06017084541571481,-0.1375757994590817,-0.13812484193664462,-0.5695370679344396,-0.09646718663125506,-0.04197354004965168,0.0,-0.1118387067118386,-0.2848570114046269,-0.15992387761230722,-0.05093526872178915,-0.12418707646371407,-0.13208206556744642,-0.03931185009788753,-0.03277338045529981,-0.12149659033063956,-0.13952926954239558,1.3046954200495886,0.04094345077118721,0.38202668882713064,0.415056167410196,0.06500108162685775,0.5202986304391822,0.3522661360338048,0.038478670325035214,0.9812170676993899,0.032937933781573926,-0.007691932466723118,0.05262800929759927,0.5876603149464978,0.30076368767602163,-1.324879229334941,-0.3644921739141568,-1.0483340428906158,-0.39010852900925586,8.526690660411833E-4,-0.04692599885370817,0.06676388241033321,-0.23632407331420063,-0.01413616621383382,-0.18697685348973575,0.025404640027526307
6,15953.316059217028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6924775102623276,0.0,-0.06510807341876922,-0.6107278389563708,-0.11325499434557103,0.310792590152961,-0.6392748024790741,0.1676073453129565,-0.6490485786548744,0.03330574376477556,-0.029686087943019523,0.0,-0.15373641124350582,0.0,-0.4900749930879481,-0.2570708497622469,0.09522604610201962,-0.21174495150007414,0.10819090889544555,-0.037697386111510606,-0.40446980116391773,0.05027299595190013,0.6789676676288945,-0.483329908219544,-0.1216695866172469,-0.10394875621864998,-0.22506844437186754,-0.21378973059775336,-0.858873241135582,-0.15269804096429493,-0.05380366134633694,0.0,-0.17447448761123602,-0.4333125981621291,-0.2337710296307135,-0.07958681698938679,-0.17072266685402307,-0.20057429790739556,-0.061612360339695166,-0.04694468873941092,-0.1674122764220427,-0.20656051307780132,1.9485180733639438,0.02875618318024893,0.624415141887396,0.5842860704121458,0.07274887481351146,0.727751573021617,0.49599284794896226,0.037889183836482154,1.5905711086731698,-0.007130843644027635,-0.030528261732720958,0.07206792603901292,0.9206116218674746,0.43788650218614855,-1.046579124116592,-0.2992777238154448,-0.8519314474948789,-0.3803708525581323,-0.0022065072133318816,-0.3463611424099653,0.12463450001880436,-0.12633838858475682,-0.0077419724775525485,-0.12252995164780746,0.11006028215491306
7,15348.492638002854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6279956299002748,0.0,-0.05161571403674234,-0.6403742903823672,-0.11202547309918114,0.5045530351813545,-0.6895499196055257,0.22717864493622716,-0.7407434864036287,0.09482046471139531,-0.01815687818780876,0.0,-0.1146708105358422,0.0,-0.5751784800076697,-0.3219478205217019,0.12396918527752238,-0.24336499720215637,0.139161184040662,-0.024305622273325,-0.4905756255283353,0.06574126344398588,0.8645496801553092,-0.5957815132088741,-0.1513238313875688,-0.1264725017735174,-0.2709407903458823,-0.25226485629498346,-0.9963318115415232,-0.17907372401551816,-0.053118283457187644,0.0,-0.2082867430871046,-0.4992325670848671,-0.26873713383328884,-0.09466439195682023,-0.17770884480916405,-0.23720779443322224,-0.07502063818953954,-0.0534566990461404,-0.18011446351073898,-0.23570866974916266,2.1744188053480538,0.014580204067068083,0.7371290428176559,0.6186352581249056,0.061796254011885564,0.7692270864109318,0.5264985695633276,0.031179684174913274,1.8677281163595278,-0.044557295321202506,-0.048499328368112195,0.07657784713437966,1.0632105515397419,0.47567208638430514,-0.9694323520651213,-0.27739349940160396,-0.7436268293776549,-0.37317374127192443,0.001875700598445486,-0.11238160002582584,0.2083083289793634,-0.05937032871432876,-9.60938196200422E-4,-0.10115948492465096,0.1478672289784854
8,15160.085194880565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20344179663185502,0.0,0.032987458942736414,-0.5438981512089589,-0.16767037617560818,1.062607926454994,-0.6677146783933943,0.41214354230861017,-0.813896642000062,0.21309537536652978,0.040177307061080234,0.0,0.09817196387143194,0.0,-0.7533775737471363,-0.5367125573791629,0.23317729370672935,-0.27561011343936254,0.23415532740053235,0.08992792693839062,-0.6997878097653595,0.11559256158201059,1.4611213049696403,-0.8823417177928702,-0.2451058233677808,-0.17931307016586942,-0.3768822420358794,-0.3414327374401174,-1.3458354937597208,-0.24123429665233118,-0.03271064681236974,0.0,-0.3086083350177341,-0.6892466915140253,-0.3610705919169024,-0.14019597462451402,-0.15889602147558446,-0.3465715590766696,-0.11608338248469764,-0.06880701154197466,-0.189591899426895,-0.30372790289710366,2.1543354035586595,-0.06875546668784295,0.9556016186648465,0.4049084511207618,-0.05164317263172529,0.5321765111136592,0.35405686628810273,-0.019854630092349338,2.3598034495264657,-0.21657638303807367,-0.13107690386759582,0.06321540935503936,1.2567534884093428,0.39010762368995355,-1.2066069292658046,-0.30744205912307326,-0.7718327157849743,-0.3862219282898884,0.0025045449055422302,-0.23312779354865057,0.2792351130883634,0.052927314875723136,0.03073557802402942,-0.20449443028535233,0.19863607477279216
9,14340.762595185028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38260178874600337,0.0,0.10283038151169646,-0.7274931943001904,-0.453021704699929,1.2570061687662286,-0.9020674595366069,0.6106118952210321,-0.8954727392320294,0.009978533334973172,0.059565141149452924,0.0,0.18924799653265312,0.0,-0.9293116949154038,-0.8364382597749189,0.41189011118931407,-0.2728789813949627,0.3611353226351228,0.31111054366560037,-0.963895930178326,0.18629258047499433,2.3550397558013456,-1.2503501208388828,-0.382741462930782,-0.239956825214111,-0.48991520680374234,-0.4539434576523017,-1.7669324669602877,-0.30104099997019884,0.017198557702303705,0.0,-0.44647535824241963,-0.9223091154392592,-0.4825160318236542,-0.20335810585264602,-0.08378974520867558,-0.4906227606793945,-0.17720077348381322,-0.08475322536554526,-0.16188018341573804,-0.3793196595233286,1.8690466978885598,-0.2140169841166768,1.2149845145588472,-0.0036622830153153485,-0.24962801963666098,0.11367623424722584,0.006375020987004987,-0.09777034300639756,2.8993005292362586,-0.4498989760949173,-0.25986945009532253,0.04218837847640137,1.4314411984953084,0.1995097647495003,-1.2065861978241257,-0.3070242326671611,-0.7091301682140835,-0.37114256731987805,0.0061192062529994515,-0.24831952378992145,0.31497874121031205,0.16943986626401775,0.082464758313137,-0.4341559375421449,0.22202313432390955
