Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_p.disability_lot,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_p.disability_lot,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_p.disability_lot,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_p.disability_lot,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_p.disability_lot,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_d,g_walk_speed,g_walk_speed_d
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20541.06655859113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.427658764932389E-4,0.0,-6.58798794921952E-5,-5.192002831173409E-4,-5.07109729885005E-5,1.277036018760255E-4,-5.237908344491338E-4,1.1065589041731543E-4,-5.146337286371722E-4,1.1329348064030044E-4,-4.654657514931338E-6,0.0,-5.183479299226058E-5,0.0,-0.0030451775652637707,-6.119167141047715E-4,-1.9597879662585515E-4,-0.0011738214138745724,-4.101797503191147E-4,-0.0012357604461361261,-0.00117738752582944,-1.577692005139042E-4,-4.531403380190873E-5,-0.0011182930286340557,-2.912521382171935E-4,-3.250007844616343E-4,-9.944261241356038E-4,-8.926963220950244E-4,-0.001651053126123844,-2.748545988636455E-4,-1.516173549815917E-4,0.0,-3.0092826597617685E-4,-7.732785127913727E-4,-4.954772498276104E-4,-1.3187058944073518E-4,-3.745993959620353E-4,-4.116721133817076E-4,-1.1061655404950517E-4,-1.1435638460746655E-4,-4.2425166757324625E-4,-4.129596040735248E-4,0.0035413058604511177,3.787008406304923E-4,6.87048779512869E-4,0.0012222377747030226,3.86873697945123E-4,0.0014991509322667118,0.0010395036098263082,1.8718515663413544E-4,0.0017152165047827684,5.178554502334621E-4,1.1113427031746849E-4,2.082380749233868E-4,0.001307780137878867,8.551965565359142E-4,0.013795958436681289,-0.09665991426567729,-0.10844985857364484,-0.05835902502358373,1.0993655517167643E-5,5.989876902312655E-4,1.1303991781165113E-4,-0.002288264075256687,-1.294050417209773E-4,-5.615735026247717E-6,-0.0020861621758096003,-8.440718654250122E-5
2,20136.2892401065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.816188084266805E-4,0.0,-1.3535929061550084E-4,-9.048729624482228E-4,-1.5498939128573763E-4,-1.6307014433929385E-5,-8.952309852703225E-4,1.2533601025187412E-4,-8.110494301421288E-4,-2.359388694441985E-6,-4.5789839577241576E-5,0.0,-2.3823568573278024E-4,0.0,-0.003201433970910084,-6.891692932367587E-4,-1.6794920134467523E-4,-0.001244180523425738,-3.764859823720817E-4,-0.0012525447609287787,-0.0012964365927693137,-1.4448630500056578E-4,1.4183935890271085E-4,-0.0012502160431161079,-3.269476358001531E-4,-3.546592529239191E-4,-0.0010627473119120005,-9.672451520363263E-4,-0.0024227332924274545,-4.1161656574605223E-4,-2.2259336271428253E-4,0.0,-4.384752720610432E-4,-0.0011276899955423054,-7.246390498956345E-4,-1.9209386992674854E-4,-5.497458884268886E-4,-6.048971561666615E-4,-1.6211941431370152E-4,-1.6860253514728292E-4,-6.263594556424186E-4,-6.057805604766903E-4,0.004846099054158428,5.033850518339426E-4,9.567450970530552E-4,0.001670524313595438,5.197370749481558E-4,0.0020515333838136457,0.001421670264152147,2.5302281223613034E-4,0.0023924242847556962,6.899134420283966E-4,1.4629019843176113E-4,2.821354762534542E-4,0.0018049008140497533,0.0011692408177917599,0.012001559406705713,-0.09578636767990376,-0.11248038688852854,-0.04448807579854162,1.652852138801413E-5,9.018902051591263E-4,1.7520096930806193E-4,-0.0028546141225294737,-1.617009942850534E-4,-6.817196511379002E-6,-0.0025959890201626102,-1.0161212082394073E-4
3,19986.267886793063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06499717090250122,0.0,-0.007722136423389671,-0.048035183546078955,-0.010848460057230645,-0.008932555423173102,-0.047403206425546254,0.0044659817230242715,-0.03888244428235722,-0.00819950520221698,-0.0039932282543550576,0.0,-0.01849226925073837,0.0,-0.029634658404378164,-0.012496077959058851,0.0037258623201171194,-0.013063812488576104,0.004072420590862105,-0.0052625731557787445,-0.02034519635090042,0.0016288429022790474,0.027833205583811135,-0.022059845957934716,-0.005963195825682251,-0.0051169288991339745,-0.012300933617149786,-0.012961317753277824,-0.09504975260280638,-0.015951280364665206,-0.008640373433672834,0.0,-0.017317086396442048,-0.0447335831468864,-0.028237559447706385,-0.007639034032822184,-0.021835684564917596,-0.023306931710317984,-0.006341279218561987,-0.006435466399997747,-0.024131976802472328,-0.02372503256200061,0.1260326191153526,0.006517451172070024,0.03400260039058228,0.04134358290367853,0.007622503643332861,0.05229360680030253,0.03521173101170294,0.0047354673325637215,0.08811929084519105,0.006115047405879011,2.3287946996791592E-4,0.005436877235047055,0.054888817108229127,0.029692367086983848,-0.015453280000350893,-0.10949040256046053,-0.5318745647114044,-0.09224649941431942,7.141208294943437E-4,0.0384074733025139,0.007808595467546357,0.017584653027088035,8.061031386984204E-4,1.117964470605283E-4,0.02060149276177731,0.002298793836572443
4,18126.94991875442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6193596137705829,0.0,-0.06888451021750736,-0.4010744857718697,-0.10174629583388088,-0.09522380080473838,-0.3922680506694209,0.030453012423610336,-0.32862243578186223,-0.09308546503280465,-0.03758173907765224,0.0,-0.1761143060637544,0.0,-0.23322055120506185,-0.10219798053700421,0.030814989205714294,-0.10172249339140997,0.03408401836209834,-0.03838644987148799,-0.16023488289157292,0.01352397968251557,0.22377487370797272,-0.1749223082024435,-0.0472276943083332,-0.040326824237361586,-0.09659040809934463,-0.10257824159240649,-0.4253564996663719,-0.06917182000437387,-0.03414267641500796,0.0,-0.08210614832676491,-0.21254915857979262,-0.12263789646717121,-0.03722083013536017,-0.09754155780771716,-0.0992373637785945,-0.02881128248345511,-0.025617336368100478,-0.09629544988273807,-0.10591159314687178,0.9629759563989535,0.04216072591198755,0.2667527015288148,0.3142677485765306,0.05533313361852811,0.3977386326011553,0.26766078590329323,0.03457352141529022,0.6894572229792162,0.03964954020409872,-4.058035138157596E-4,0.040381944917169635,0.4243652562136766,0.2253372768181467,-1.3903126793326153,-0.3867545214201483,-1.1332432187151973,-0.3491845067320817,0.0013945937810303745,0.039803321147759564,0.03372346993159671,0.057265461646796564,0.001840459826110917,7.399132119513305E-4,0.08819454853657971,0.015860025536678223
5,17987.73377070853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6705910264474247,0.0,-0.07118961413959157,-0.4810395851200825,-0.10871803699516581,0.022408058220557053,-0.4828349491632958,0.07272007790529197,-0.44032830512546767,-0.0590076955830148,-0.03679925063959692,0.0,-0.17807486924735455,0.0,-0.32211352570137863,-0.152769229179758,0.05112465429516483,-0.1401318347078691,0.057206296076533346,-0.04139823676750447,-0.24077712831133574,0.024742980967644566,0.3678810472019719,-0.2749666931610276,-0.07142162862895163,-0.06117903367813897,-0.13956168957254142,-0.14106742287424023,-0.5760499898106091,-0.09728799421960545,-0.041965420853358276,0.0,-0.11368062604514732,-0.2892997923743469,-0.16223017434697173,-0.051677092166428996,-0.12468331517325076,-0.13452068431802483,-0.04002459816266097,-0.033328928377313674,-0.12266802352189858,-0.14142958989726176,1.3353586181580677,0.04297113471332915,0.3896012495796879,0.4248127846781966,0.06760781372142122,0.5323514813355876,0.3606183659881548,0.039700413276906835,1.0004967289242084,0.035326148613469076,-0.007338032887831587,0.05411236961951755,0.6006585992591511,0.30770754718959736,-1.384946493330108,-0.37859005202496976,-1.1234829322411362,-0.4022161047641214,4.135860459791819E-5,-0.08541221063017973,0.05901786781487085,-0.24726303186381715,-0.014750548020045847,0.00153042329687323,-0.18798562914575806,0.027045502242645184
6,17085.642230106412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6901654202022418,0.0,-0.06964026026711816,-0.5428615267265475,-0.1113851867896468,0.14763607870400206,-0.556111975001952,0.11456903087762019,-0.5369856541304754,-0.019913876583148277,-0.03411523700840144,0.0,-0.17061733017409006,0.0,-0.39632792063681094,-0.1988346568681295,0.07110833724798168,-0.1720428379262213,0.07974194076794197,-0.039699074640913906,-0.3137031521924259,0.03601632102638009,0.5073043628419232,-0.3676684420314229,-0.09385278251973937,-0.08022612335824286,-0.17738061361641655,-0.17414250878406193,-0.6983270957219908,-0.12104089968728914,-0.04661489709870437,0.0,-0.1404874047448319,-0.35280807847777435,-0.19345758592256845,-0.06391472884072778,-0.14391130524038828,-0.1637390586345068,-0.04957580845407531,-0.03930450280306867,-0.14163470797178448,-0.16986930027044372,1.6177510518958687,0.03766685846492402,0.4952897280382761,0.49955743042013095,0.07139836343901633,0.6236757962302755,0.4240507575265572,0.039585343752989596,1.266424604860321,0.018439397194483054,-0.01710048665947532,0.06278065736738155,0.7461887708328592,0.367932202557516,-1.2676709717501957,-0.3509260111285738,-1.0432157475676043,-0.39929961174095235,-0.0018029688864901,-0.24116089034057783,0.07996606478341202,-0.20823825835872375,-0.012444345205521155,0.004047606920813005,-0.16230100373026052,0.0642289725437585
7,15193.927592456615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16560964860388283,0.0,0.03007999155410064,-0.6551878047865176,-0.08740499590956757,1.371092324796329,-0.8004626710297407,0.47893815089501257,-1.0407543629113234,0.37169518570519977,0.04461751994085075,0.0,0.10548194456508433,0.0,-0.8608729810378459,-0.5847444385713287,0.24930480807979635,-0.33840967286269835,0.26779853334456993,0.06776325955061716,-0.8075051971337639,0.1293013256495396,1.634460432810232,-1.025059336598476,-0.26923337552864035,-0.20757662084458375,-0.4386479126825053,-0.38606916812183545,-1.4597615494145206,-0.27958030667955325,-0.027720001682672742,0.0,-0.3395336746587466,-0.7200651861535599,-0.37524798687311267,-0.1515575779844775,-0.1534420122135158,-0.37787392384977303,-0.12657816699895447,-0.07325813024904947,-0.19371798143009736,-0.32638050806977675,2.679831908615686,-0.05842596639321263,1.1146298059996518,0.5759116510046477,-0.020603747974831596,0.7127018695513659,0.49844572050978486,-0.0036863457303261196,2.7760780401488274,-0.23625362732277722,-0.13423500384466755,0.07382983698246753,1.4993382209840536,0.5153670007584179,-1.0013156093766677,-0.2586068483469129,-0.5119793946815887,-0.36991320848911113,0.019107655419296297,1.0482004070263622,0.6747954629279506,0.14623163092572225,0.03524966049215421,0.017230515934442272,-0.13797239894117494,0.19553276556351684
8,14424.440800924847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.290566874493532,0.0,0.03668322423749015,-0.7813492682843102,-0.1552559515848899,1.4533019706005923,-0.940135161673734,0.5430806583124024,-1.145182767198599,0.33853004509128404,0.04352588358293646,0.0,0.1062768588143358,0.0,-0.9471229711228373,-0.6745339664197405,0.2975314624871732,-0.3632008980947256,0.3112036088759212,0.11368765517680757,-0.913429936256857,0.1517930208998279,1.9073657917451727,-1.1660060352306258,-0.3111639827003076,-0.23340640030046228,-0.48954719020931464,-0.4309331154194438,-1.6479847765508149,-0.31798702227225356,-0.021664068719526267,0.0,-0.3894440473351682,-0.8146311166589623,-0.42234538801553234,-0.17383809021868254,-0.15319429312669905,-0.4331521798966185,-0.14630493936878233,-0.08196154415610303,-0.2059908678296215,-0.3651515541227357,2.853281649939054,-0.08549401051775966,1.246491027566354,0.5568233177747063,-0.052074573861680455,0.7092713970446276,0.48196279699256583,-0.01774689367858813,3.0851923121768485,-0.29173769730347177,-0.16576507636558258,0.07574774641213355,1.6476459752988328,0.5286574450432334,-0.8245257696450677,-0.22179217892772224,-0.33975266085866834,-0.35123098626472354,0.023868613502933674,1.4187461351116122,0.8053982066672111,0.21721994390498206,0.048337058091890275,0.02019888430358943,-0.15761336051804636,0.22100816535536025
9,14044.320025191792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25714695362090195,0.0,0.06203482845296142,-0.73353378515057,-0.3314346890999631,1.3411726498105498,-0.8800873318120966,0.6180078452285855,-1.0410928573143132,0.22041636358699168,0.06075204859868226,0.0,0.2091633483125224,0.0,-1.0994345077026084,-0.8195221033482687,0.38839179573666827,-0.3637539410452962,0.323653979259087,0.16625222738705492,-1.031497171000822,0.16468071301595905,2.2097776909429236,-1.3229552539659983,-0.3698922842752814,-0.2623633961779842,-0.5294202061567077,-0.5075604379740414,-1.9176464710612962,-0.3720443795939625,-0.008854773519288423,0.0,-0.4538468331991359,-0.940462707286482,-0.5081737767054308,-0.20566753564863433,-0.1349833033158625,-0.512943525732892,-0.17824373634532198,-0.09311300489699513,-0.2177457077385503,-0.4150311196040365,2.762495307809839,-0.18019476951852462,1.3663575273407842,0.41748417247148595,-0.151934890628407,0.6011822467946408,0.3463078407045764,-0.0675703071927533,3.333721872196999,-0.3678182348431064,-0.22263868609906218,0.0729799203762591,1.6927546880951017,0.47133306405800035,-0.8500099006587538,-0.22123008241177253,-0.30166190007165705,-0.3474920794415755,0.027997338481931627,1.392110967973901,0.8124419607516427,0.24417758137155027,0.0649821154847524,0.02751111121410827,-0.21415471142131237,0.3189444074890815
