| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_p.disability_lot        |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,2937614 | 0,08698 |  -14,87428  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4911711 | 0,11830 |   12,60511  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2478770 | 0,06984 |  -3,54942   | 0,00039 *** |
| b_carP_p.age_group_agg_70      | -0,1790066 | 0,08893 |  -2,01280   | 0,04414 *   |
| b_carP_p.female                |  1,2536404 | 0,05613 |   22,33326  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,4951133 | 0,06437 |  -7,69198   | 0,00000 *** |
| b_carP_p.disability_lot        |  0,7257509 | 0,09600 |   7,55981   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,5678302 | 0,29424 |   12,12538  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1276129 | 0,05870 |  -2,17390   | 0,02971 *   |
| b_carP_hh.cars_gr_3            | -0,3122603 | 0,09689 |  -3,22286   | 0,00127 **  |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4561021 | 0,05902 |   7,72798   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6750172 | 0,15251 |  -17,53961  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,2614686 | 0,17549 |  -7,18845   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5719321 | 0,16487 |   15,59945  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5823229 | 0,12374 |   4,70615   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3773737 | 0,14358 |   2,62827   | 0,00858 **  |
| b_pt_p.female                  |  0,5077453 | 0,08326 |   6,09806   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6268629 | 0,10626 |  -5,89943   | 0,00000 *** |
| b_pt_p.disability_lot          | -0,2483730 | 0,14855 |  -1,67196   | 0,09453 .   |
| b_pt_hh.cars_gr_0              |  6,1529453 | 0,29654 |   20,74883  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7858535 | 0,11372 |  -6,91014   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2910548 | 0,20680 |  -6,24287   | 0,00000 *** |
