Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_p.disability_lot,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_p.disability_lot,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_p.disability_lot,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_p.disability_lot,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_p.disability_lot,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_d,g_walk_speed,g_walk_speed_d
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20540.466030040796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.426874380986173E-4,0.0,-6.586480356912462E-5,-5.190814695495744E-4,-5.069936831142E-5,1.2767437823911907E-4,-5.236709703815899E-4,1.1063056797131072E-4,-5.145159600777536E-4,1.1326755460929223E-4,-4.653592345122954E-6,0.0,-5.1822931140697485E-5,0.0,-0.003044480708149519,-6.117766833491212E-4,-1.959339489229727E-4,-0.0011735527970909568,-4.1008588496282397E-4,-0.001235477655251212,-0.00117711809297831,-1.5773309667843592E-4,-4.530366415805265E-5,-0.0011180371189420525,-2.9118548820411284E-4,-3.249264114229738E-4,-9.94198560092342E-4,-8.924920378555716E-4,-0.0016506752998420298,-2.7479170125636383E-4,-1.515826589317888E-4,0.0,-3.008594016822135E-4,-7.731015560716452E-4,-4.953638650285003E-4,-1.3184041223220043E-4,-3.745136727986151E-4,-4.1157790651370047E-4,-1.1059124060521781E-4,-1.1433021534197515E-4,-4.241545820055099E-4,-4.128651025767057E-4,0.003540495469552818,3.786141788942517E-4,6.868915555679329E-4,0.0012219580783403787,3.8678516593575673E-4,0.0014988078672171054,0.0010392657302707574,1.871423212640175E-4,0.0017148239953811905,5.177369444166697E-4,1.1110883839921475E-4,2.0819042181257193E-4,0.001307480866038908,8.550008537265596E-4,0.013792801375531821,-0.09663779465278924,-0.10844792491167103,-0.05836855412625008,1.0991139733803755E-5,5.988506181478348E-4,1.1301404980585073E-4,-0.0022877404298974413,-1.2937542872731416E-4,-5.6144499238781766E-6,-0.0020856847793614326,-8.438787083851499E-5
2,20135.814663028537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.811554488819302E-4,0.0,-1.3530218453246717E-4,-9.045222027681901E-4,-1.549149653978029E-4,-1.6249407095766575E-5,-8.948879243025946E-4,1.2530192520264507E-4,-8.107521772350811E-4,-2.3163535372389225E-6,-4.5764266753884224E-5,0.0,-2.3811225824919464E-4,0.0,-0.0032006853523610197,-6.889904844789159E-4,-1.6792602254961841E-4,-0.0012438840868523476,-3.764193454220848E-4,-0.0012522699397191656,-0.001296107143557127,-1.444613100413782E-4,1.4172490849046013E-4,-0.0012498898342868203,-3.2686162788642944E-4,-3.545695402035204E-4,-0.0010624893112327696,-9.670056034323525E-4,-0.002421901030483029,-4.1147305531681117E-4,-2.2251684535112598E-4,0.0,-4.3832540523766237E-4,-0.0011273041767994943,-7.243911632327695E-4,-1.9202817000692297E-4,-5.495563073004132E-4,-6.046898767721016E-4,-1.6206392816966845E-4,-1.6854464336419644E-4,-6.261438453814597E-4,-6.055726131120926E-4,0.004844554772051846,5.032326333965047E-4,9.564307900946332E-4,0.0016699934094419073,5.195771753309385E-4,0.0020508799494735994,0.0014212180706719463,2.529440150512667E-4,0.00239163590029571,6.897047985005794E-4,1.4624699092038426E-4,2.8204729303212174E-4,0.0018043170753301988,0.00116886884503892,0.011999406162060411,-0.09576510755387363,-0.11247615271558122,-0.04450469394136024,1.6522787033393767E-5,9.01664763612284E-4,1.7515175778215952E-4,-0.00285382712218893,-1.616562369999136E-4,-6.815410238160582E-6,-0.002595277570986937,-1.0158607569999767E-4
3,19957.683624736106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06331118682973037,0.0,-0.007522323939518045,-0.04679582714622541,-0.010566988681390539,-0.008696417897624775,-0.046180601208103626,0.004352332088438173,-0.03788105180309171,-0.007983405737547715,-0.0038893758637331874,0.0,-0.01801164780839746,0.0,-0.028944008648978153,-0.01218653706481869,0.0036231695706249512,-0.012754641133073643,0.0039550006427837205,-0.005158836075291301,-0.019845917401375535,0.0015819992435670437,0.027104872589592606,-0.021514029105539463,-0.005815332388955638,-0.0049920146511428145,-0.012006584810591237,-0.012647043986585553,-0.09260837195704846,-0.015541346103178704,-0.008418417581760089,0.0,-0.016872395184505826,-0.04358475219095106,-0.027512416501015213,-0.007442856983026713,-0.02127464909492,-0.02270844859899685,-0.0061784447642880625,-0.006270197046626306,-0.023512110751151945,-0.023115656761245187,0.12283667577472207,0.006357207759155599,0.03313326080944615,0.040296867806818404,0.007433940429275399,0.05096852030463158,0.0343204870855955,0.004616809507729706,0.08586432339684245,0.005969620374053049,2.2986319594732384E-4,0.005300649485519447,0.05349100901286489,0.02894022401133489,-0.014758368923273146,-0.10911451468242939,-0.5207959518872854,-0.09101327953571456,6.9539244006688E-4,0.03747697393397191,0.007629115366585367,0.017103748813760852,7.838014686822501E-4,1.0884459943440305E-4,0.020043883290418864,0.0022383121047629415
4,18092.213846835723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6161356455262681,0.0,-0.06851760179182198,-0.39897049925468175,-0.10123249406176732,-0.09525208219704107,-0.3901794611546793,0.030153431616143693,-0.32656202013716173,-0.09282122730524084,-0.03743146603842135,0.0,-0.17526637813294849,0.0,-0.231707094519126,-0.10148739924858664,0.030588270184463622,-0.10106609549672167,0.033829534201015976,-0.03818098212708636,-0.1591682406672133,0.013422185657709836,0.22220666780693968,-0.17374361140784617,-0.0469077987978616,-0.040055650742501475,-0.09595001412000416,-0.10189004569439727,-0.4229116110873518,-0.06880396535042989,-0.034003170111257044,0.0,-0.08158196213767041,-0.2112489425321209,-0.1218762630009166,-0.03698953271768793,-0.09713326355694991,-0.09854523149770295,-0.028611275893577513,-0.025452571919835822,-0.09577328804305014,-0.10529910052173276,0.9563070153702111,0.04184569627300368,0.2649300729018582,0.3121007288324114,0.05493708293711641,0.39502350330378727,0.26583243611900753,0.03433788296908764,0.6847766924687657,0.03934075378430296,-4.106149215695661E-4,0.04009928763172943,0.42146710554800754,0.2238012430038631,-1.3834523602963684,-0.3852086610965895,-1.1200745775489682,-0.3466098807988691,0.001452327489624491,0.03848638026576293,0.03446560106032323,0.060309635405786016,0.0020299130601160254,7.466142970808287E-4,0.09034772989725173,0.015911105108032217
5,18038.996955877417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6704881385086441,0.0,-0.07115299673324157,-0.48137620989224406,-0.10875698491654844,0.022699919529357307,-0.483220851793164,0.07284378293049205,-0.44054155294976527,-0.05891418092299911,-0.03682387253290607,0.0,-0.1779867665918872,0.0,-0.32230164347242723,-0.15289578541318025,0.0511676850856964,-0.1402211447930339,0.05730548227903911,-0.04139383424697763,-0.2410280852298973,0.02479532185041226,0.3683205188793033,-0.2753108515395072,-0.07148496336719812,-0.061245864042276686,-0.1396845108505551,-0.14109107900203655,-0.5774710571100856,-0.09762107203237114,-0.04215430179827587,0.0,-0.11385825521792564,-0.2897296637749473,-0.16249588120753702,-0.05176962391475387,-0.12514688070168245,-0.13463926747233967,-0.040069106123646475,-0.03337565151096601,-0.12300409016835144,-0.1416986786667743,1.3359618210547148,0.042881255503596005,0.3899326970623457,0.424953338050635,0.06754248758629067,0.5325214615805786,0.36073892958822096,0.03967291846714501,1.001366485493018,0.0351344349650589,-0.007405690249684057,0.054105315561255904,0.6010001551739637,0.3078453141668797,-1.383070020541402,-0.37793290042750743,-1.1120820299881808,-0.4017865012426763,2.552119338514367E-4,-0.08642300495062141,0.06299782580549132,-0.24789513554181233,-0.014753046099722035,0.0015283497915595996,-0.2003304180109222,0.026847554129495875
6,17071.65840171065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6928553416120004,0.0,-0.06962591389609965,-0.5491521225553444,-0.11184516208819165,0.15801166110730314,-0.5633718701212251,0.11818662268787684,-0.5458706629705268,-0.016724906812412788,-0.03400003968501699,0.0,-0.1702112119737928,0.0,-0.4030942388126929,-0.202954405903374,0.07283664004196881,-0.17497638828403547,0.0817977629111731,-0.03965117190708476,-0.32030184776022436,0.037036699514886216,0.5196252191710968,-0.3760218127971441,-0.09584867641048973,-0.08195151391772976,-0.1808308934135244,-0.17707051958364312,-0.7115932786644722,-0.123663426618638,-0.04738846124788712,0.0,-0.14314952490124935,-0.3591244740335232,-0.1967414500041199,-0.0651447695697258,-0.14641932892717313,-0.16657507392311693,-0.050499493176901424,-0.03993607673769435,-0.14397275955683944,-0.17285912115418864,1.644004873257747,0.03727058222649716,0.5050004094456272,0.5066475066000087,0.07173883679533974,0.6323786813310319,0.43004975318940014,0.03963875289908059,1.2910093689244668,0.01685909489955346,-0.018000571380671244,0.06354631397994638,0.7594828687324899,0.37360447699535,-1.2545879719640673,-0.3476761515341161,-1.0241408823443359,-0.3986945361342404,-0.001575822296809117,-0.2523156695462213,0.08824368865139817,-0.20278657894664442,-0.012121435002226018,0.004254953662911563,-0.17740103629703563,0.06716203679698284
7,15339.29672996208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.160942364918089,0.0,0.03326899623219043,-0.6948265169186322,-0.08691281744588503,1.4822720139545131,-0.8510492391801643,0.5140633964026866,-1.1161774352840639,0.40805739246275186,0.048781177316416284,0.0,0.1184510789167455,0.0,-0.9211194992553381,-0.6244646436994526,0.26579565385879006,-0.36307722432849043,0.28703321607604904,0.07044438326574179,-0.8657996723542996,0.13858882038506645,1.7478607255043168,-1.0995089079700713,-0.2876002113563355,-0.22288231599087507,-0.4698931904264211,-0.4124199805304729,-1.5578689230351246,-0.2945743302238472,-0.030789547935401954,0.0,-0.36249247031445236,-0.7679897990293251,-0.40157210476450955,-0.16206386170033013,-0.16498489834570373,-0.4013960191945673,-0.1352861218860761,-0.07789932482568185,-0.2058975193448039,-0.3483251699685333,2.8778761825289156,-0.06635338575686339,1.1978976520831732,0.6215567019580264,-0.022066441482063603,0.7695648156329272,0.5384310762593704,-0.004161082684465876,2.9846533881478425,-0.25711760441191994,-0.14427473240203043,0.077828908768022,1.6065826346741816,0.5556474031104588,-0.913973006158092,-0.2369397117509643,-0.4119494189015901,-0.36487425937108814,0.022698473970590785,1.196143521736459,0.7169622882150688,0.17770746675622623,0.038287254801614684,0.018666338642687092,-0.14007272343295507,0.21483015392816107
8,14611.748905115335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2840531554018946,0.0,0.03753330293612649,-0.810497794197296,-0.15162549978481454,1.5359542512302995,-0.977442096653482,0.5680474387290032,-1.2045267506383432,0.3697082573461558,0.046746561884025865,0.0,0.11555298625556948,0.0,-0.9970320259022465,-0.7035022269326616,0.3081213837547896,-0.3841832266646193,0.32458522330360495,0.11116113401836328,-0.957456278114024,0.15792289022101988,1.9831094626089727,-1.2208716653669855,-0.3240501640337498,-0.2452791877793008,-0.5140403916236505,-0.4519976679647297,-1.7430980870440176,-0.3305478832913995,-0.027846964926576134,0.0,-0.40991022176289305,-0.8602954142221032,-0.4494313998337611,-0.18317116050786658,-0.1696155024910958,-0.45516009111163447,-0.1540264932247988,-0.08719487307448726,-0.22251283509410102,-0.3875331258069425,3.0280810870823345,-0.08928737393481705,1.3130614231141344,0.6031001405108756,-0.04969174767226471,0.7668985667544647,0.5226669502152065,-0.016115746811400565,3.254244611540925,-0.30461668088634014,-0.17200805737897526,0.07946148696837015,1.7352416615780077,0.5667371141515372,-0.7523166109995556,-0.20372953237323388,-0.25525224592575546,-0.34814149129565,0.027956711466602023,1.5137435629458218,0.8293705539573876,0.2343532467989206,0.04955065856076574,0.02110163947310944,-0.15556198432487345,0.23478556555573366
9,14453.084698906454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27033330144206,0.0,0.04198712456801464,-0.7969057779449495,-0.19328349706736095,1.504068552763853,-0.9616441135301277,0.5846182952849478,-1.1782621865125311,0.3433222300201794,0.05111205989922215,0.0,0.13931974121097465,0.0,-1.0385161875005748,-0.7375490292042478,0.32966440862672863,-0.38719298223749954,0.32575291620178604,0.11934333234924065,-0.9865763658858457,0.15997297553074444,2.0479859707210877,-1.2582780188931215,-0.3376567595345008,-0.2524233893830529,-0.5232102912733145,-0.4734934603588363,-1.8659893444052755,-0.3521339600535912,-0.03230557514413477,0.0,-0.43529820528423047,-0.9182171292050252,-0.48650398116940063,-0.19496590957789758,-0.1810006572012201,-0.48893742302810006,-0.16506208999500024,-0.09470009148374417,-0.2432807062703376,-0.4142766745165602,3.028708809835455,-0.1073759068608454,1.344475290410464,0.578486737385211,-0.07057153710872081,0.7518059138758835,0.4983044365706441,-0.026641112147305017,3.3222105090486296,-0.31866261074918834,-0.18426991504914317,0.08012400554025123,1.7533463505876634,0.558943211931999,-0.7458747895323923,-0.20067074246932667,-0.22117074646993196,-0.34589787268705713,0.02891737368028852,1.5438675372674902,0.8303478844932896,0.2407906551658728,0.05328320863556612,0.02289991581448008,-0.15871928298807292,0.25914485671716736
