| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_p.disability_lot        |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,2941126 | 0,08693 |  -14,88650  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4935671 | 0,11827 |   12,62833  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2471953 | 0,06981 |  -3,54092   | 0,00040 *** |
| b_carP_p.age_group_agg_70      | -0,1757488 | 0,08890 |  -1,97692   | 0,04805 *   |
| b_carP_p.female                |  1,2523818 | 0,05611 |   22,32021  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,4937671 | 0,06436 |  -7,67201   | 0,00000 *** |
| b_carP_p.disability_lot        |  0,7218091 | 0,09598 |   7,52064   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,5875891 | 0,29745 |   12,06117  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1274469 | 0,05870 |  -2,17133   | 0,02991 *   |
| b_carP_hh.cars_gr_3            | -0,3112643 | 0,09686 |  -3,21367   | 0,00131 **  |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4548996 | 0,05901 |   7,70919   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6830852 | 0,15221 |  -17,62768  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,2651558 | 0,17537 |  -7,21422   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5778147 | 0,16460 |   15,66131  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5845417 | 0,12342 |   4,73618   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3835756 | 0,14329 |   2,67691   | 0,00743 **  |
| b_pt_p.female                  |  0,5054961 | 0,08315 |   6,07950   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6200515 | 0,10611 |  -5,84373   | 0,00000 *** |
| b_pt_p.disability_lot          | -0,2572440 | 0,14847 |  -1,73264   | 0,08316 .   |
| b_pt_hh.cars_gr_0              |  6,1756343 | 0,29970 |   20,60623  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7822317 | 0,11355 |  -6,88857   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2917406 | 0,20661 |  -6,25201   | 0,00000 *** |
