Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressJct,g_bike_stressJct_f,g_bike_stressJct_c,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressLink_f,g_walk_stressLink_c,g_walk_stressJct,g_walk_stressJct_f,g_walk_stressJct_c
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20397.16491968334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2299916793692937E-4,0.0,-6.20807020741575E-5,-4.892589109372072E-4,-4.7786559876186665E-5,1.2033915852565553E-4,-4.935847332031529E-4,-4.849557016664259E-4,1.0676004377646233E-4,-4.386231557632469E-6,0.0,-0.0028695675014773652,-5.766285475224071E-4,-1.8467704221625036E-4,-0.001106129186099176,-3.8652540157469513E-4,-0.0011644963027094405,-0.0011094896466151889,-4.27008527325535E-5,-0.001053803025709281,-2.744561368431921E-4,-3.062585576893851E-4,-0.0015558397802419139,-2.590042149027842E-4,-1.428738473178154E-4,-5.661587857679119E-4,-2.835742592390914E-4,-7.286848935210339E-4,-4.669039434826969E-4,-3.5299690401882937E-4,-3.8793170266980087E-4,-1.0423749085987359E-4,-1.0776165193099603E-4,0.003337084945672663,3.568618255472041E-4,6.474278781339451E-4,0.0011517534600850143,3.645633684758656E-4,0.0014126975202082912,9.795572548714747E-4,0.0016163029690834773,4.8799163221345803E-4,1.0472535133621499E-4,1.9622934937739824E-4,0.013000385599338455,-0.09108033068938672,-0.10796257000957868,-0.06076038721511924,1.0359670632792482E-5,0.0,5.425861583209273E-4,2.9991560356902944E-4,1.0244097033706177E-4,0.0,0.0,0.0,0.0,-0.002156303888501154,0.0,0.0,-7.5534035286493995E-6,-1.1976194027598249E-4,0.0,-1.141381734341461E-5
2,20055.744364902464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.221642671132515E-4,0.0,-1.1633756941414682E-4,-7.907706970409314E-4,-1.2926165573288117E-4,7.852891024830814E-6,-7.840026301402432E-4,-7.164307101229164E-4,1.62705235167271E-5,-3.658415122199589E-5,0.0,-0.0030007047198562565,-6.386621776666044E-4,-1.637798173957496E-4,-0.0011642293262493994,-3.6165605071398447E-4,-0.0011814565889836383,-0.0012050440643454213,1.010448684845234E-4,-0.001158886950290955,-3.0281746120323737E-4,-3.299829745898973E-4,-0.0021610290186847886,-3.6625870126312434E-4,-1.985431397168452E-4,-7.836816604617696E-4,-3.9145792164987036E-4,-0.0010065813561818023,-6.467035084780297E-4,-4.902157793460792E-4,-5.396062947401292E-4,-1.446579525031248E-4,-1.50348274817535E-4,0.004367511993325562,4.562156457674597E-4,8.593402294263292E-4,0.001505947948808966,4.701573028971669E-4,0.0018489784231061912,0.0012814860143673347,0.0021481193754673586,6.25188972892565E-4,1.3288586024993272E-4,2.5479475250092786E-4,0.011583770750972564,-0.09047083405309131,-0.11113789658516524,-0.04966126491607249,1.4707161952333485E-5,0.0,7.714572084935318E-4,4.21059680514142E-4,1.4941276264580827E-4,0.0,0.0,0.0,0.0,-0.0026146538863879723,0.0,0.0,-8.235302491350817E-6,-1.4540591087877338E-4,0.0,-1.3446878482496789E-5
3,19742.982562913443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046193987560477184,0.0,-0.005492324358164719,-0.03459468019743122,-0.007739766119868776,-0.00605052717897451,-0.034218950709146705,-0.02795109260663123,-0.00576139962839086,-0.0028605433604194943,0.0,-0.022943164364241347,-0.009306190688613696,0.00256003878817557,-0.010009351631752006,0.0027245155324214956,-0.004445529467499532,-0.015228777346826034,0.019916230881343727,-0.01639640658608201,-0.004423374797928897,-0.0038187532217194295,-0.06718333325320763,-0.011208350369645265,-0.006093970989634831,-0.0243508226516085,-0.012285146711244208,-0.031713310396469185,-0.019955548329185863,-0.015437694987998596,-0.01644273656080468,-0.004486776436467738,-0.004527417739111382,0.08920441513435838,0.00431357505405682,0.024460927024630364,0.029175584225285503,0.005171942313139827,0.0369959893708933,0.024916421699984002,0.06341346784747161,0.003924332053531099,3.7893841876228206E-5,0.0038056896699134213,-0.013903688436761352,-0.10148839601585267,-0.3994173806390162,-0.085751230578236,5.158250219485736E-4,0.0,0.02661072692091306,0.015253356555724606,0.005447079313365747,0.0,0.0,0.0,0.0,0.02526785717565369,0.0,0.0,5.584067581290935E-4,0.0012611901693110254,0.0,2.518305003240583E-4
4,17124.696338396505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45389708448553234,0.0,-0.05070257181390971,-0.2989632816679362,-0.07484580919090411,-0.07208811694757844,-0.2930240681684135,-0.2410984102783971,-0.06943291024721747,-0.02816753786921279,0.0,-0.17924964110054065,-0.07629196858823588,0.021897353595296133,-0.0777951855391983,0.023985665136378998,-0.031680158773503574,-0.1205222414099949,0.16329145790169475,-0.13078000622069164,-0.035249140546207945,-0.030166704419853262,-0.3275576463441858,-0.05353964786504816,-0.02729403807674729,-0.1177185003605269,-0.06266822573469172,-0.16208544661026167,-0.09399980484002216,-0.07684665689752031,-0.07531964413977871,-0.02179529024615142,-0.019634627843694626,0.6964598140964369,0.02888215372161449,0.19585087185543598,0.22651656958574617,0.038145693666531616,0.28767093159436063,0.19379522763101,0.506567844707753,0.025602321658165623,-0.0012569222142375402,0.028958414009312584,-1.020766381976027,-0.305915379900599,-0.8429888104169745,-0.26883748772356364,0.0018281570324687473,0.0,0.07159000387500639,0.08389481593604077,0.029250180527345668,0.0,0.0,0.0,0.0,0.17056544891431044,0.0,0.0,0.004587065880246714,0.008356138450196324,0.0,0.002016724991039708
5,15973.516178431253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4990881357520232,0.0,-0.05363810968903604,-0.36839561311498104,-0.08280287048706494,0.029578731980921452,-0.3728521924670533,-0.3364026831654892,-0.03992996358233385,-0.027841487994350635,0.0,-0.2631473331177709,-0.12264616874162726,0.03833067213525405,-0.1137886812176947,0.04527396454390899,-0.03623718590518049,-0.19340506365204002,0.2870445788089596,-0.2202284439483531,-0.056826973530385405,-0.04916362862532627,-0.4763050810831758,-0.083130404039742,-0.0374781914528908,-0.16686996834101658,-0.0924097243488887,-0.23143221847635131,-0.13246561910265992,-0.10682362788872012,-0.10843198804342982,-0.03213920874621725,-0.02729575924710404,1.0414205726697496,0.03302976298555029,0.30944100207360364,0.3274107340600946,0.04909982633472902,0.41228471938063915,0.2816695884271257,0.7894099674237971,0.02352119191570417,-0.007224534557004732,0.042246761031602534,-0.9955157269426407,-0.29629294148625446,-0.804126332944125,-0.3019139498321437,0.00211272709661732,0.0,0.03817230891380255,0.13669043370106998,0.06427541663014427,0.0,0.0,0.0,0.0,-0.09397273824264737,0.0,0.0,0.006842898848248192,-0.006159823246971114,0.0,0.002416840412105506
6,15634.1946821672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43590240856886986,0.0,-0.03940844104078897,-0.3783927535025379,-0.08246752832054055,0.17270604404957726,-0.40133830999945985,-0.37444932679301723,-0.0018047992634273452,-0.02031498165652957,0.0,-0.315133893397849,-0.16838128703692445,0.05946931398283571,-0.13127954426247837,0.06786031243152532,-0.019562985818885114,-0.25088379499520835,0.42373714020273046,-0.29826611773142864,-0.07779283133087865,-0.06472365283469918,-0.5557645509445512,-0.10453557549058137,-0.034495243300636844,-0.1913173012745692,-0.11459941251895349,-0.2646677687085861,-0.1503944315262299,-0.1016842706101579,-0.1331427983396238,-0.04048338606904257,-0.03170735162301526,1.1302479642058105,0.025356543735321646,0.37321277436630906,0.3131814601951128,0.03716603545612591,0.38870088172731937,0.27911388702728385,0.9179924786343869,-0.002371747776735364,-0.020215511461223065,0.04623030887587819,-0.9815930964198422,-0.290144822555699,-0.7840116143864344,-0.2960393249244735,5.261145905159222E-4,0.0,-0.09974407333461804,0.12983120285696176,0.08421904859338367,0.0,0.0,0.0,0.0,-9.252857874911258E-6,0.0,0.0,0.010910235816907173,0.0010469396285346533,0.0,0.006431234555246667
7,15087.882025295214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5992005132976072,0.0,-2.6028696262409E-4,-0.5918982532683553,-0.23163698015663303,0.40230856444719226,-0.6719497840978744,-0.48236697391995503,-0.07740760801007525,-0.02068421624523281,0.0,-0.48115732517951826,-0.374972278489714,0.17444914977699438,-0.1618229820938822,0.16858137543237744,0.11338304366051359,-0.47608882154128374,1.0920199235855124,-0.6111097366094193,-0.1778788865431672,-0.12137985957402504,-0.8197487570375263,-0.1971111562994874,0.014761681581263758,-0.268198093479369,-0.21445532939691742,-0.31432034721821017,-0.2039513606404807,0.017953352280799806,-0.2427256871477625,-0.08278207085356185,-0.04539254505172535,1.1413079939420787,-0.03942583715576173,0.5731432179316597,0.08591918622916217,-0.06880251826496764,0.08849906541055352,0.13514266201055042,1.2077622072067946,-0.12472746037661739,-0.09103011667325428,0.05905422163105992,-0.8288478545490431,-0.2596028817695408,-0.650147773894377,-0.25677675478114026,0.00516687465045757,0.0,0.03625928975956,0.2215907465537508,0.35800416470646257,0.0,0.0,0.0,0.0,0.2108582558691932,0.0,0.0,0.025278372579534435,0.03107716342124734,0.0,0.024562772285645747
8,14959.30298729325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26804404974902113,0.0,0.10455314438257765,-0.5709157446306974,-0.3675232136222938,0.7638788026167489,-0.7313812605546409,-0.3889877748481723,-0.08866542032402458,0.023099930510286304,0.0,-0.7679838043282843,-0.6646436979745131,0.3314936768151826,-0.18018870369024262,0.24892859457007696,0.2539906947253154,-0.7296203200198541,1.8833671848732871,-0.9522794935321456,-0.3141787774829271,-0.17593197045245848,-1.1226347244657575,-0.2834765998352872,0.1051329103929586,-0.378251281579061,-0.3556418572967432,-0.35182972672279894,-0.28215409348381515,0.2448660325268496,-0.3924162901724242,-0.1458460773847181,-0.059343484946097994,1.0381454281958806,-0.221358651965069,0.7695268171843307,-0.15921944656481388,-0.2396671385666782,-0.2175952047343489,-0.03046866064950507,1.419385317699081,-0.24770523968369995,-0.18388900084010323,0.08653578353374353,-1.0418897396086455,-0.2878829666817595,-0.6510607466877055,-0.2694516348815748,0.014893869970479937,0.0,0.44537724262395967,0.3357068967459455,0.6841400806016439,0.0,0.0,0.0,0.0,0.08730646776556414,0.0,0.0,0.04633988506399252,0.05643034670384798,0.0,0.052921627114828444
9,14581.508804425475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07697031873410143,0.0,0.23727025891877082,-0.5612383238345721,-0.7045039417584451,0.32285734991852405,-0.6998469493336961,0.18750136720886507,-0.4171906057314689,0.04405467801189766,0.0,-1.4299950729019884,-1.1238013855549638,0.6161180155534862,-0.11320215914968412,0.1385153472894225,0.3367305253816812,-0.9629754645659219,2.7995554529631335,-1.2329643704248525,-0.5416350219377973,-0.17316550208010728,-1.4861374480847618,-0.30893679007107616,0.3399950847379121,-0.5984068639527786,-0.6278351912136613,-0.42486434666471784,-0.43981604015468956,0.8239020179220111,-0.6689358064344563,-0.27373145271979427,-0.0732762948164841,0.9653001057717078,-0.797911808837772,0.922718217388925,-0.17822612729453985,-0.5491284345703371,-0.06716908627769769,-0.0817748908647035,1.4362565603709132,-0.24835201771020868,-0.3196789741927112,0.205783706481599,-1.0565102256286798,-0.2729570344473043,-0.6162887519625995,-0.2712243845187274,0.01719434835806223,0.0,0.2641023280626794,0.12645623240776185,0.8324838373116951,0.0,0.0,0.0,0.0,0.006004689722221818,0.0,0.0,0.1062045570164622,0.12332767799497804,0.0,0.13154112307199164
