| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -1,0740851 | 0,08350 |  -12,86291  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4649999 | 0,11794 |   12,42164  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2289639 | 0,06975 |  -3,28284   | 0,00103 **  |
| b_carP_p.age_group_agg_70      | -0,1428903 | 0,08802 |  -1,62347   | 0,10449     |
| b_carP_p.female                |  1,2045825 | 0,05528 |   21,79117  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,5392182 | 0,06289 |  -8,57334   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6343548 | 0,29700 |   12,23685  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1322135 | 0,05813 |  -2,27446   | 0,02294 *   |
| b_carP_hh.cars_gr_3            | -0,3223426 | 0,09611 |  -3,35402   | 0,00080 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_pt                         | -2,7105540 | 0,14930 |  -18,15529  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,1754464 | 0,17333 |  -6,78156   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5652446 | 0,16384 |   15,65739  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5774563 | 0,12387 |   4,66170   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3654714 | 0,14260 |   2,56284   | 0,01038 *   |
| b_pt_p.female                  |  0,4868297 | 0,08228 |   5,91683   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,5654799 | 0,10444 |  -5,41461   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,0838524 | 0,29869 |   20,36838  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7677976 | 0,11288 |  -6,80184   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2731977 | 0,20626 |  -6,17270   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4800567 | 0,15208 |   3,15662   | 0,00160 **  |
| asc_bike                       | -3,6322889 | 0,27117 |  -13,39492  | 0,00000 *** |
| b_bike_p.age_group_agg_5_14    | -0,3226948 | 0,38541 |  -0,83728   | 0,40244     |
| b_bike_p.age_group_agg_15_24   |  2,4049140 | 0,25241 |   9,52765   | 0,00000 *** |
| b_bike_p.age_group_agg_40_69   | -0,0391050 | 0,22052 |  -0,17733   | 0,85925     |
