Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_vgvi_o,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20456.479650606303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.315363829728937E-4,0.0,-6.372156172892356E-5,-5.021905496086363E-4,-4.9049609995162974E-5,1.2351985177679454E-4,-5.066307080046953E-4,-4.97773601893499E-4,1.0958182643550184E-4,-4.502164370228297E-6,0.0,-5.013661207066436E-5,0.0,-0.00294541325357884,-5.918694595579321E-4,-1.8955825485737342E-4,-0.0011353653689029927,-3.967416832177177E-4,-0.00119527519111437,-0.0011388146500008924,-4.3829482147685726E-5,-0.0010816561718752383,-2.8171030741315435E-4,-3.143533004105462E-4,-9.618473218589922E-4,-8.634503316039032E-4,-0.0015969622972139272,-2.6584997457445594E-4,-1.4665015660479748E-4,0.0,-2.9106943158040566E-4,-7.479448181492686E-4,-4.7924471634632805E-4,-3.623269914487352E-4,-3.9818515436168425E-4,-1.0699259973511957E-4,-1.1060990816967862E-4,-4.1035258461682663E-4,-3.9943046504267536E-4,0.003425287686120743,3.662940670055417E-4,6.645400925436951E-4,0.0011821955414685848,3.741991699882759E-4,0.0014500366334568636,0.0010054480055452027,0.0016590235930976777,5.008897753466656E-4,1.0749335488800357E-4,2.01415901908485E-4,0.001264935416185468,8.271791112508349E-4,0.01334399975822594,-0.09348768168539257,-0.10817302928984521,-0.05972324209052896,1.0633487857953826E-5,5.793640087404646E-4,1.0933657068272148E-4,-0.002213297316987678,-3.5903000023831743E-4,-1.2516555005286672E-4,-0.0020178165607929745,-1.665409738051046E-4,-3.5731963705328034E-4
2,20070.455719369795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.170599074411153E-4,0.0,-1.2738289552667072E-4,-8.557628759626835E-4,-1.4461943429713538E-4,-8.436743827679855E-6,-8.471917659847654E-4,-7.693563218994122E-4,3.4954656339851247E-6,-4.2242110251080224E-5,0.0,-2.2107947478263495E-4,0.0,-0.0030944186478536724,-6.637441902480533E-4,-1.6451225505453046E-4,-0.001201849065983568,-3.667921415516032E-4,-0.001213120153262154,-0.0012495410706520541,1.260913382016189E-4,-0.0012038365531741753,-3.147227225217105E-4,-3.418833834218004E-4,-0.0010259357036264893,-9.331143392251162E-4,-0.0023057113395464003,-3.9144423618477076E-4,-2.1183415526224202E-4,0.0,-4.1740009435480886E-4,-0.0010734379576875883,-6.897804520909657E-4,-5.23092459225582E-4,-5.757485403091177E-4,-1.5431701830044737E-4,-1.604616512010511E-4,-5.960424517162936E-4,-5.765381836296145E-4,0.004628208759261926,4.818124064513853E-4,9.124859813399581E-4,0.0015956037189001058,4.971108781302996E-4,0.0019593310069348537,0.0013578631441192425,0.0022814294720717256,6.603680763545843E-4,1.4016158955509626E-4,2.696770225229918E-4,0.001722615243652337,0.0011167543126624662,0.011689326517837176,-0.09272965359814463,-0.11188449967353979,-0.046845274704103546,1.5721804432903865E-5,8.578801871138753E-4,1.664573706184902E-4,-0.0027426874684179856,-4.358015814051379E-4,-1.553375837689216E-4,-0.0024947607328596284,-1.9569528237071374E-4,-4.3340719113248264E-4
3,19771.984803279985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05318559329675303,0.0,-0.0063225100502627115,-0.039571414502645647,-0.008892786206305979,-0.007128197094982824,-0.039099763877666165,-0.0320129765878792,-0.006663681142852383,-0.003279275436769585,0.0,-0.015142224652715544,0.0,-0.02543962538996965,-0.010491388046817212,0.0029886505295801326,-0.011144836457132556,0.003219606703546506,-0.004755831669352865,-0.017125647135668956,0.02283633697151894,-0.018494216628340093,-0.004993499806964862,-0.004300151742617267,-0.0104274448964631,-0.01094760380010988,-0.07772350510957804,-0.013001974672946004,-0.007054707975434598,0.0,-0.014181229269351918,-0.03663662666002173,-0.023093684874432606,-0.01785347738764926,-0.019045623936637186,-0.005188946728339522,-0.005251819062932326,-0.01969526027326357,-0.019397931195267032,0.10316315337206812,0.0051858714640263025,0.028026011549912282,0.0338036618219304,0.0061266668421279275,0.04280026045311841,0.028822680007826073,0.07264433947392582,0.00480884340169635,1.287194571543952E-4,0.00443012015105659,0.045128399392010965,0.02431832833359961,-0.013892060812379502,-0.10466510408940746,-0.45033905164669746,-0.08653286547045519,5.900495554340623E-4,0.03170131278538775,0.0064501331812611825,0.020939893554071054,0.00728695033199027,0.001023477746290047,0.022939326511246007,0.005273180276595248,0.007874582888993571
4,17521.53004920869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5174063356107993,0.0,-0.05760745458132324,-0.3381728231896517,-0.08529855428657587,-0.0809744535507601,-0.3310923991284083,-0.2748235670668413,-0.07845422173942201,-0.03177696498258056,0.0,-0.1476938550266077,0.0,-0.20008141129881327,-0.08629686967607059,0.025334680502411985,-0.0869867331798242,0.02783540593603948,-0.034271320651530046,-0.13579377120428104,0.18656464879182755,-0.14778041481925222,-0.03985879708089995,-0.03407852969177014,-0.08211121873822899,-0.08700085045256747,-0.3643677924104085,-0.05924392522644291,-0.029746523918399395,0.0,-0.06992048084630449,-0.18140460798342772,-0.10480371804797917,-0.0846618666704968,-0.08426489235461328,-0.024432040362365078,-0.021851139170811225,-0.08285558162640497,-0.09068201822795534,0.7981447842741272,0.03368660112611003,0.22289635454882326,0.2601407748271652,0.044850930137024875,0.3298366470447382,0.22174938790258428,0.5768231471945885,0.030686427902059207,-0.0010047800327081342,0.033204823777151504,0.3536699583146527,0.1870447169247177,-1.162169517471403,-0.3370410882355886,-0.9454795655491586,-0.2940223216633058,0.0016782282632502163,0.06480953321778346,0.031506804628167295,0.12461974455247095,0.052273353344054585,0.0057988194111326195,0.14572073354756937,0.042685178171873464,0.05720736883057156
5,16395.480373561528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5796772776027407,0.0,-0.06111788577059313,-0.4256560777237257,-0.0962424083292685,0.033058294517004344,-0.42866593435623707,-0.3917975758322457,-0.045969970625315486,-0.03177826815663019,0.0,-0.15195884832961812,0.0,-0.298054709007897,-0.1405595550173792,0.045474977911233255,-0.12901314169303332,0.05197618908970053,-0.03945391390120763,-0.22053484132651718,0.3326729162844686,-0.25201036581340247,-0.06517721804042992,-0.056082925832379726,-0.12871344032058746,-0.12770642116548558,-0.5356664606192734,-0.09104063608595589,-0.039946983299942326,0.0,-0.10488785085713413,-0.26648156624353814,-0.14961004132391692,-0.11811185144344942,-0.12314207181488857,-0.036622620930272964,-0.030590486515667942,-0.11463801433230417,-0.13098353088890718,1.2015941375209203,0.036696739061669634,0.3527885907988439,0.3811388075359685,0.06206651070778417,0.4793503103991399,0.321187608953201,0.9095320856339855,0.02723244476238014,-0.008113951454251492,0.047697947032625,0.5420754613733249,0.2774088605809204,-1.1745980969477585,-0.3324019541096303,-0.9272861993176604,-0.35407153278376297,0.0016483204684059395,0.01932283398323799,0.0663824408886425,-0.18233718402087257,0.01897524849473236,-0.011850188246333508,-0.11759710856202471,0.0626725455029569,0.024060398036090662
6,15363.093906412905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6140300164407049,0.0,-0.03471968975199102,-0.761148535537784,-0.11750301733978888,0.8437980270301859,-0.8417099824544747,-0.9389412829222725,0.20081660458244996,-0.010683674765603456,0.0,-0.07553059187358924,0.0,-0.7489799534173571,-0.4368703553075693,0.17187690553170565,-0.316902456224149,0.1965389482148718,-0.01312323909674289,-0.6654132118542977,1.2066601523737583,-0.8246825016692085,-0.20544298892281176,-0.17341888328172822,-0.3626767765835108,-0.3233963969334681,-1.3079803642409724,-0.2461287486195635,-0.06629167083624989,0.0,-0.2759506704475083,-0.6587319026864122,-0.34275453977699255,-0.23084055881398233,-0.30925823187574786,-0.09721471048581411,-0.06847490485369262,-0.23222964985029004,-0.3078536215240425,2.7508642756058586,0.011597284656028693,0.9655740552804579,0.7380335055407343,0.08327788115475902,0.9230685247507977,0.6165078817234549,2.451028559590413,-0.10468455097871308,-0.07794331519005099,0.09081868696619144,1.381031475109109,0.5955525117638242,-0.4389961528889684,-0.1604446215473027,-0.38916263427348996,-0.2944478003520215,-0.0050079548199237905,-0.6563865894778694,0.22158395545621484,0.23999541053934592,0.3781556630861049,0.013550518622984726,0.14493607806149283,0.4724115851651842,0.28815895576663686
7,15205.344668131533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5644687952209705,0.0,-0.01682559857722229,-0.8239891220008916,-0.1337292051997302,1.1201159107937537,-0.9355639498915287,-1.087512901924838,0.27768273891034523,0.0043649450093680275,0.0,-0.026840495671424415,0.0,-0.9106439253461155,-0.5480405349357433,0.22081334849821288,-0.3782116442098179,0.24269733553730072,2.4317929591636915E-4,-0.8150086628141463,1.5098484722229997,-1.0169179947740041,-0.25557258522318377,-0.21261552782855206,-0.44186992506903805,-0.3975091360138751,-1.5287101384713713,-0.28734907579902086,-0.06493361017681563,0.0,-0.33130971444793716,-0.7590467411967846,-0.39891212287114314,-0.24228855884514996,-0.36452014997404025,-0.11893796534243822,-0.07964236486243445,-0.25481959643563906,-0.35521696424121557,3.141946953580513,-2.4313896497446356E-4,1.1471094346435828,0.7937333870118796,0.08522805272217687,0.9981909684990334,0.6536781352989134,2.9111921687501097,-0.1670829189816901,-0.10813608390871246,0.09788249005143877,1.6204370354807842,0.664407386683974,-0.25016018662605877,-0.11292388525982727,-0.18964636657891334,-0.2690906627688946,0.0016637984322206744,-0.29139894075169276,0.3138203697082524,0.4018138252904022,0.4635963327429731,0.025572225153943594,0.23513979900938825,0.5907404506618249,0.33835908088383243
8,14861.341230725917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33645697525165197,0.0,0.02126176684663036,-0.752123075764732,-0.15085557786045883,1.364796694116687,-0.8954943547158446,-1.1074191471451338,0.3489893109683875,0.03328429408638729,0.0,0.07962537249520768,0.0,-1.0268585773581227,-0.642873591112127,0.2690342077665709,-0.41386757687961684,0.2746510252007375,0.02629290679553395,-0.9249081952819477,1.7597347216558596,-1.164586081774649,-0.2969550898343426,-0.2413912853790868,-0.49616560420157796,-0.4558773062339789,-1.6645373619856143,-0.32007623183637335,-0.054355185870441115,0.0,-0.36942548831563243,-0.8155650180973312,-0.4292634026091191,-0.23087739502675866,-0.40138075758077857,-0.13559087350392626,-0.08490835984831352,-0.2568304093003659,-0.3793937966230554,3.2008053443542983,-0.021600468818573665,1.2424301715356922,0.7238494537222341,0.07101559849307322,0.9251855675654825,0.5755030391541702,3.1549422827324562,-0.24763651538106873,-0.14316188628769363,0.09001036630204003,1.7199942906844445,0.6495828578103033,-0.34427736885610205,-0.12084051790307453,-0.18829274577699984,-0.2737469076623229,0.003114046914292545,-0.25700923784101826,0.3672282919422846,0.4516253027333186,0.4762487484285881,0.033243378912563,0.22094939057344762,0.6614510752078675,0.31854788444837134
9,13585.933207580842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5591691269461673,0.0,0.16747734958618174,-0.9460564329958333,-0.7866853456343275,1.5497744474133197,-1.1904883924600178,-1.103782842867834,-0.0735558731346192,0.08505503068836047,0.0,0.33441919707305773,0.0,-1.8247901830109545,-1.3581901505585192,0.6597210063737731,-0.5875802650328521,0.4622845030979331,0.30022282138019085,-1.6767092024835681,3.559447930602699,-2.1960206112801646,-0.6005190558797586,-0.43200346276235146,-0.8406558169050227,-0.8712956190715728,-2.097416760854388,-0.43329235675409633,0.10752410545823188,0.0,-0.5637982186757777,-0.9033538019568133,-0.5089334962574817,0.050670830483132284,-0.5211771923408316,-0.23768729009394673,-0.07888386436530505,-0.07995782310500926,-0.40751012548699506,2.8261903908255404,-0.21431030107765092,1.7820382492335871,-0.15384830839266606,-0.10529625409406586,0.03889866197614611,-0.3587245532870261,4.50691751485568,-0.8888237568977997,-0.43925515971712414,-5.609900452862165E-4,2.1603005361926564,0.31846921484424606,-0.35568351819667804,-0.09558561560646828,-0.17116368374228488,-0.2513529425318405,0.009807025985074554,-0.29942577617085336,0.6576984688915108,0.6434772467061584,0.45466250167654315,0.09150925592128809,-0.18529966923643168,1.0993605630769259,-0.01935743950371477
10,13277.99319213884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46537103565800453,0.0,0.2500617204741634,-1.0232628682287714,-0.6422901676180869,1.5334324983106224,-1.2350083955115463,-0.6820237023764326,-0.2612251979782246,0.03759925279403183,0.0,0.3619495343266877,0.0,-2.294652507659682,-1.7149442721347086,0.9241309113411865,-0.4857112476373009,0.26902180724960045,0.29633810064345156,-1.850678895945616,3.983937438683961,-2.5137339117761988,-0.7236339527882321,-0.4527388641947407,-0.8459925347318473,-1.1140690275411869,-1.8463203453892658,-0.36641707163760917,0.2841252150645718,0.0,-0.5950621798183712,-0.7070974362020042,-0.45398023022901474,0.4557541655917601,-0.5040465122611832,-0.27822385091092683,-0.04357443805107609,0.1750369020393065,-0.2954195010355279,2.841598446665983,-0.32941495019716427,1.9242820806092618,-0.14162292101806592,-0.4243043134681423,-0.007388345923310745,-0.4174594934953124,4.819536337836292,-0.8351733399794707,-0.5387379907643838,0.07922241440618819,2.291967175745752,0.2546454437013315,-0.3791182726876554,-0.08088891178146977,-0.25754160155057365,-0.25827787132531643,0.014579637713120874,-0.29534437869714875,0.6709526879873439,0.8732536180869594,0.8430805563593754,0.1305976040432361,-0.624424290824478,1.3541416053321615,0.049724804771681674
11,13128.31466403117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4644019746701462,0.0,0.2989492667343018,-0.9931877530253679,-0.6362009493870997,1.46560678113551,-1.1858149459796046,-0.4113244185763279,-0.2952176150670392,3.02214125222057E-4,0.0,0.35612172583038376,0.0,-2.4459741201239904,-1.8581822985834608,1.070814876920656,-0.38109195225903114,0.13611302040662404,0.31258888830541387,-1.8601554765114952,4.0927403668489815,-2.5893526707811843,-0.7736534218999833,-0.43844877030840457,-0.7944935304478913,-1.2084685668611115,-1.913440173785004,-0.3697198246772055,0.36228041219572155,0.0,-0.6443403987163863,-0.7186387459791801,-0.48918798779659584,0.6278440242159276,-0.5566394581043093,-0.3124595646023966,-0.039955514736269925,0.2571666792448602,-0.287657281439171,2.8986778350054445,-0.34711182369662824,1.9410564584774905,-0.11867246272784653,-0.5126206272860926,0.0331776760638046,-0.4628771424030973,4.919952564788963,-0.7825228579036331,-0.5825459554882713,0.12223359549110073,2.2967798549400418,0.2654918028118173,-0.37065169635462464,-0.07444937909327959,-0.24628187358515102,-0.2589028084160499,0.01725068085294755,-0.30436170297727605,0.6852790700060891,1.0421438825925622,0.8351374889323109,0.15446184914999295,-0.7601053625779718,1.4116295427069387,-0.1256164739321073
