Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressJct,g_bike_stressJct_f,g_bike_stressJct_c,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressLink_f,g_walk_stressLink_c,g_walk_stressJct,g_walk_stressJct_f,g_walk_stressJct_c
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20293.924005944555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0856292826687745E-4,0.0,-5.930604509980074E-5,-4.673917991916521E-4,-4.565077037621302E-5,1.1496067738198904E-4,-4.715242816189843E-4,-4.6328091908623734E-4,1.0198847241612002E-4,-4.19019176465476E-6,0.0,-4.666244981978197E-5,0.0,-0.0027413140311501336,-5.508565061707313E-4,-1.7642302082040984E-4,-0.0010566914549168924,-3.692498978285525E-4,-0.0011124498908620718,-0.001059901721815625,-4.07923656361313E-5,-0.0010067039785466093,-2.6218949666671163E-4,-2.925705288066862E-4,-8.951971530760469E-4,-8.036184757269607E-4,-0.001486302523848241,-2.4742818842020094E-4,-1.3648819277995247E-4,0.0,-2.709000904578506E-4,-6.961167917701648E-4,-4.460359726019646E-4,-3.3721993486515896E-4,-3.7059334520243387E-4,-9.957866337660335E-5,-1.0294531433962381E-4,-3.819176465516366E-4,-3.7175236342807473E-4,0.0031879360844456897,3.409121162163811E-4,6.184915063237247E-4,0.0011002765813772474,3.482694436467257E-4,0.0013495579148858489,9.357765745923723E-4,0.0015440633494270518,4.6618116067382567E-4,1.000447192433323E-4,1.87459005057305E-4,0.0011772830860574993,7.698606303176652E-4,0.01241934174243357,-0.0870095540014532,-0.10760668807408623,-0.06251417642250563,9.896651829638803E-6,0.0,5.183356196176723E-4,2.865110689333358E-4,9.786243718087953E-5,0.0,0.0,0.0,0.0,-0.0020599292757283246,0.0,0.0,-7.215809025354917E-6,-1.144092575300253E-4,0.0,-1.090368413232255E-5
2,19861.265352312752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.345483751640763E-4,0.0,-1.2733169736622223E-4,-8.457305914255767E-4,-1.4784342681430288E-4,-2.598925612531998E-5,-8.360176714275055E-4,-7.535508101214395E-4,-1.1567816141066153E-5,-4.462001710531704E-5,0.0,-2.2964419052676416E-4,0.0,-0.0029141111780159887,-6.302366598493616E-4,-1.5111098330456205E-4,-0.0011324306513864366,-3.3936611647357944E-4,-0.0011372338116198792,-0.0011821021402457017,1.3732173219271898E-4,-0.0011403882253819102,-2.9820451097645824E-4,-3.22826694961709E-4,-9.671563447222735E-4,-8.811919441203085E-4,-0.002247587837431196,-3.822890963850928E-4,-2.0649544950234516E-4,0.0,-4.066042168000167E-4,-0.0010456988347748533,-6.723141975803444E-4,-5.096955001084082E-4,-5.615205487025292E-4,-1.5045665886541767E-4,-1.5655396644393313E-4,-5.815060764615689E-4,-5.620235971207097E-4,0.00449004617011803,4.6717670717101687E-4,8.853914987647494E-4,0.0015480201491135095,4.822501387162334E-4,0.0019009234768762248,0.001317401369667859,0.0022136709283821425,6.406185490750051E-4,1.359521999189628E-4,2.616270665912066E-4,0.001671349561758586,0.0010834100039275225,0.010628772180555655,-0.08630078909524448,-0.11161402909801749,-0.04837869375906536,1.537174121244171E-5,0.0,8.065426345490883E-4,4.3895986236271834E-4,1.5694759745627299E-4,0.0,0.0,0.0,0.0,-0.0026491507288395324,0.0,0.0,-8.171013431188618E-6,-1.4735498749909065E-4,0.0,-1.3542321638087739E-5
3,19616.848645487506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05458148151833213,0.0,-0.006485284579015901,-0.04093644184287106,-0.009152413367459552,-0.007092460485601835,-0.04051044530901587,-0.03306588463879755,-0.006806075013410234,-0.003386132925434178,0.0,-0.015573955805360291,0.0,-0.027321878980210133,-0.011054222418465112,0.003006332339801827,-0.01188766484567458,0.0032176210687567793,-0.005320577169347942,-0.018049986747444024,0.023496045619680495,-0.019402248709147273,-0.005230328627957151,-0.004505276502014832,-0.011029578634295227,-0.01155735325597748,-0.07964551017772908,-0.013279255123461236,-0.00721338170274383,0.0,-0.014557684445816031,-0.03760346378177588,-0.02366825086340133,-0.018285779914262605,-0.01950555256886495,-0.005323069090182779,-0.005369755894762566,-0.020137483805687688,-0.019875241338670965,0.10560314743121005,0.005110488448160193,0.028973847289172946,0.03453104143295086,0.006103424072979412,0.04378684430433235,0.02947157533497994,0.07515172962946792,0.004603616513038961,3.158959637740888E-5,0.004494894161581605,0.0464801867983131,0.024897223272867378,-0.01942611467685558,-0.09924318093468973,-0.4557807241870176,-0.09200762870191426,6.124845456502088E-4,0.0,0.03147844245699756,0.018040464205902145,0.006439050627085076,0.0,0.0,0.0,0.0,0.030584489151811577,0.0,0.0,6.659067238664009E-4,0.0015296170420969909,0.0,3.0254880681189066E-4
4,17610.458204251532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5242797534197648,0.0,-0.058460331577046186,-0.3460781171205291,-0.0865920399093902,-0.0800734327425887,-0.3394544247618346,-0.28090372274869874,-0.07894261782212432,-0.03235288667140847,0.0,-0.1499073448109384,0.0,-0.21519752374710407,-0.09055357647451727,0.025104396239908056,-0.09272954442401894,0.027282603591185763,-0.039182783055405554,-0.14247906532761198,0.18981268234543489,-0.15424565153265463,-0.041523416612472865,-0.03557071536776866,-0.08672200116971022,-0.09154159634878345,-0.3755233433772432,-0.06093674045439135,-0.030652737282950714,0.0,-0.07208881581907911,-0.1867541107490103,-0.10809402000363755,-0.08717785071882062,-0.08690592984127245,-0.025211232098877726,-0.022516896428482425,-0.08537932153062197,-0.09342381481439092,0.8139829844097093,0.03344585174434281,0.22895439628141157,0.26490279755681334,0.0445498719153736,0.33619667115338886,0.22612701081958891,0.592716442928893,0.029618204689536198,-0.0015663538224011113,0.033700902920265424,0.3624034460857457,0.1908401139473488,-1.2016064253551209,-0.33798263047832583,-0.9699841756576539,-0.31188867905594925,0.0018073589012268967,0.0,0.06549210232991691,0.09302403061865927,0.03146221593443236,0.0,0.0,0.0,0.0,0.18871358556408258,0.0,0.0,0.0052920555546608515,0.009206772324963483,0.0,0.002314566400195812
5,16449.851133806635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5717639423809251,0.0,-0.06090467656171,-0.4191512417589687,-0.09413929082642,0.021470554524742086,-0.4219959834641649,-0.3798329092985398,-0.04942163103453268,-0.03214443777741615,0.0,-0.1517429310753889,0.0,-0.30038244573744016,-0.1368102892121087,0.04223136563053932,-0.12883192093591278,0.04716054067113405,-0.04454229520177983,-0.21589699731200807,0.315771423899317,-0.2448714812333258,-0.06326228987973309,-0.05448697525501691,-0.12639128744062386,-0.12640723665142825,-0.5167633064976354,-0.08819343438009997,-0.03886002750729731,0.0,-0.10068018817540988,-0.25476668343687076,-0.14478013827447705,-0.11423788613999855,-0.11903677605770854,-0.03535273140006658,-0.029653684821694566,-0.11121258305540056,-0.12652703091715373,1.152781743715057,0.03455720393612533,0.3408661418591262,0.3660653415939373,0.055012961560961915,0.4599082410817821,0.3113528493956878,0.8761887177351833,0.025509860634435895,-0.007929275972617694,0.045939767855165264,0.5221049943888807,0.2662919874142037,-1.1548735744469016,-0.3234311067613332,-0.9238361805615551,-0.34385780911798586,0.0014759405976659404,0.0,0.0018273447631268064,0.13600287004052752,0.05951254076126605,0.0,0.0,0.0,0.0,-0.0718042335500661,0.0,0.0,0.00767194587232745,-0.00483165752683873,0.0,0.003105109649260151
6,15932.837319853963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5275956457515454,0.0,-0.0493349703610427,-0.45018418343635397,-0.09353265338102663,0.17054050412755123,-0.4697572730390889,-0.445196424314177,-0.0053496590100974226,-0.025438573267189565,0.0,-0.12430002310723684,0.0,-0.3635730912449295,-0.1859223179327017,0.0650999248663085,-0.152187218601697,0.07027962384089317,-0.03212688751098881,-0.2821064657971315,0.4640513740396185,-0.33344386621105454,-0.08636554868155824,-0.07190569798360284,-0.16006374074957763,-0.15510619746868057,-0.6158102970030783,-0.11070667280212089,-0.037364496311879034,0.0,-0.12575862719538033,-0.3019044915901119,-0.16856857411324028,-0.11780787415261372,-0.14694174032511742,-0.04475707577835794,-0.034637863052369725,-0.12102103936825305,-0.1480371790250808,1.2944637453332126,0.02125775287449634,0.4190832482731801,0.3789142427240852,0.04590952387505004,0.4709788580522369,0.3242547694002905,1.0628149581156077,-0.00525032326512322,-0.021696163772724597,0.04924595875105023,0.6228126853111768,0.2870258795746046,-1.0905875726593723,-0.3064925283332207,-0.8729066714119779,-0.3318570879875784,-1.6183262669424423E-4,0.0,-0.1591500181506299,0.1452906603806214,0.08326409658657453,0.0,0.0,0.0,0.0,0.08584447922188382,0.0,0.0,0.013542559430543426,0.006050645081315595,0.0,0.008637815262489884
7,15081.302660861147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3817701734145059,0.0,0.010113006871430054,-0.5497980080838801,-0.1705300743810903,0.6308558542303389,-0.6455136288369933,-0.5977231455079374,0.05970517548507732,0.0031557568148296612,0.0,0.0010183556995088938,0.0,-0.5611403744194338,-0.4037651789319243,0.18182705408227934,-0.19846116037993627,0.16954846996451,0.08125029409958454,-0.5176884643473122,1.131420192108534,-0.6585429638437528,-0.18966208689452113,-0.12954517471726557,-0.27035333841964243,-0.26083103570771615,-0.9650405922033679,-0.2076351178036711,0.006373551371949206,0.0,-0.22995569290710177,-0.3924628037861018,-0.24827848733763835,-0.04369993775477825,-0.26982162363364054,-0.09209373009273386,-0.050156985313104446,-0.1116526797460719,-0.20728911032772018,1.4062168660219627,-0.06785533205032121,0.646884893879445,0.23275019335472572,-0.05798164548812165,0.26145942888272805,0.20087825534269063,1.555407337634006,-0.16615852089877434,-0.09509673424321943,0.04583432779029217,0.8619710524177937,0.23227055172640343,-1.0056968113300582,-0.2784197843885117,-0.6850676031447189,-0.29296240566404286,0.011167389595188192,0.0,0.33985752444101325,0.36819959185915363,0.4737358506700964,0.0,0.0,0.0,0.0,0.3967952803045062,0.0,0.0,0.02794319742814297,0.046431351795415986,0.0,0.028253004077970975
8,14781.062201382652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.461772335384561,0.0,0.015785439706342254,-0.6229436117109466,-0.22452599213428887,0.6535547530926011,-0.73065616118566,-0.631814088407731,0.020461278035840982,0.0015853913633312765,0.0,0.001683894875036669,0.0,-0.6166808969247117,-0.4649270813190051,0.21775064516950338,-0.20603761282079505,0.19158548931667566,0.11604023068055436,-0.5780085972321838,1.315030113734335,-0.7393313256298107,-0.21986167836794737,-0.14214378601891237,-0.2948265297211701,-0.29207884836387155,-1.0624193396721149,-0.22915923318867631,0.020937729031400332,0.0,-0.2615600081321034,-0.4256214081276516,-0.2739485738582965,-0.018052359322909717,-0.3061427317766327,-0.10638582352289028,-0.054303522358398616,-0.10523926446391707,-0.22402495634193845,1.4280069065024572,-0.10293190173270603,0.7062811379502856,0.19592186583052693,-0.09236895603427647,0.21711148156046106,0.16602261510871194,1.6797727039537358,-0.205857909868902,-0.1166118482483216,0.04644691893667919,0.9199907603801056,0.21616820083524274,-0.9077550878698548,-0.25906197164355055,-0.6040268251006237,-0.27299831597642427,0.013112167754319804,0.0,0.46916513847989527,0.4188864833689996,0.5535364258796244,0.0,0.0,0.0,0.0,0.5164089206106078,0.0,0.0,0.03246731382577346,0.06018825828603619,0.0,0.03442309311491775
9,14575.008638244053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4711742199772377,0.0,0.019956589455676077,-0.637777711355076,-0.2576043916224828,0.6433773105468881,-0.7494770829156279,-0.6168288439713066,-0.005856706170306227,0.0035678281885362746,0.0,0.013707068198071066,0.0,-0.6761099229832768,-0.507797607828417,0.241935610917318,-0.2097885804693697,0.19199602785253056,0.12582231902868493,-0.6104012536825536,1.4056017348688223,-0.7766905275261258,-0.2405247367151244,-0.14619072283978443,-0.30579164430214006,-0.3197715293524254,-1.1440551495752267,-0.23830722247476746,0.02963373806617097,0.0,-0.2872139754388079,-0.4694928977332323,-0.3008515445928808,-0.0038556395144181254,-0.335249880180692,-0.11749761729474861,-0.0578877720292562,-0.10312324558243656,-0.2402655946607706,1.4690566872582402,-0.14203271016235042,0.744801768138059,0.20243400055298505,-0.11904113125634329,0.2357902521043811,0.1627492960315485,1.765451260271796,-0.22187317864392284,-0.13028792679696644,0.049978949256623585,0.9536500250451775,0.21802858706383058,-0.8381888093477575,-0.24360685121885514,-0.5349568423297727,-0.25787684557211554,0.013235582790998058,0.0,0.6046272885764936,0.44188675418862017,0.5605975833760249,0.0,0.0,0.0,0.0,0.6303587602867609,0.0,0.0,0.03632640403935828,0.07065149502833197,0.0,0.03875798128295563
10,14341.61533229024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48222227976217935,0.0,0.024355608626841538,-0.6546938005324419,-0.29334312858719336,0.6329313670114837,-0.7706813143652143,-0.6009007809203535,-0.03423333916880507,0.0055275631201847295,0.0,0.026377970069657676,0.0,-0.7415908664818849,-0.554760535689253,0.26849195082534577,-0.21411658539554415,0.19252920563139703,0.13636758413415287,-0.6462297455922806,1.504947493870405,-0.8179198160933417,-0.26320926372149744,-0.15076410759303238,-0.3179418328804147,-0.3502623922828601,-1.234881956620123,-0.24862245296398966,0.038938542513488446,0.0,-0.31550332480332455,-0.5183713016267479,-0.3306676310879594,0.011136999237836852,-0.36735673122748086,-0.129726007848102,-0.06187153458188417,-0.1012273999943241,-0.2583903991921401,1.5148018546324191,-0.18456825717591954,0.7875209952320358,0.20946222863586972,-0.14860922586328354,0.25602076563384263,0.15913876460568413,1.8608641869581275,-0.23994240071842926,-0.14539962053419667,0.05375836452607209,0.9909491912292516,0.2202505182740189,-0.7606062593145291,-0.2263953484332845,-0.4579459237648429,-0.24101174538071504,0.013423342395323843,0.0,0.7558941650422656,0.46749169027451454,0.5677929471848681,0.0,0.0,0.0,0.0,0.7573838345567918,0.0,0.0,0.04049922637329676,0.08197657775613923,0.0,0.0433408627675981
11,14111.611770643849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4936076306583167,0.0,0.028598589052532958,-0.6718701293554292,-0.32860697464126964,0.622608422189387,-0.7920120791071433,-0.5849043090272441,-0.06226538721987032,0.007282362019585323,0.0,0.03872241876100971,0.0,-0.8074908672976832,-0.6016094415083117,0.2951645908876263,-0.2187038843820323,0.19299378890389332,0.14662799417123593,-0.6823497322696582,1.6041435694917288,-0.8593363346786473,-0.2858974412070213,-0.15545135295530815,-0.330088696075948,-0.38101798991255564,-1.3268872271314684,-0.2591702690597023,0.048051802262875636,0.0,-0.3439045675312938,-0.567778249410214,-0.36078720470033515,0.02566474780526807,-0.3996041278289976,-0.14200402270000506,-0.06588228935447166,-0.09967278968751171,-0.27674827555278186,1.5602826458541754,-0.22701366987337251,0.830428395162496,0.21622841931704959,-0.17866245861313243,0.2759489741556038,0.1553046111195151,1.95699673730088,-0.25848506779288744,-0.1606444200131058,0.05742229315679138,1.0280035825212177,0.22248299248083894,-0.6827425485382232,-0.20911034887011662,-0.38047558144864657,-0.22405441248324154,0.013698074970796534,0.0,0.9078063752588796,0.4936643836278631,0.5744341298997945,0.0,0.0,0.0,0.0,0.8848631272247659,0.0,0.0,0.04457178317743214,0.09322006992315339,0.0,0.04777490104892933
12,13698.411578601968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5238917906070271,0.0,0.018122229032399087,-0.7087992844892248,-0.3353041422086396,0.5410164314396486,-0.8024734200245031,-0.4228398832059086,-0.08731141090567379,-0.030774158162191572,0.0,0.04875127533926996,0.0,-1.1217454061470629,-0.7014038010846115,0.41699093069512544,-0.30197251103003486,0.14510167525433992,0.09307124355451193,-0.8592240809049723,1.8680038523943236,-1.039386961178254,-0.3506258034099195,-0.18832203830710065,-0.34793151816514345,-0.5540055448083553,-1.6817699238770951,-0.3118381688036746,0.05365529479837251,0.0,-0.41425791497198194,-0.7220056707683331,-0.46537862529811,0.02215302047673734,-0.47539454929518693,-0.18049779244775507,-0.06718031380633337,-0.11639935276792746,-0.3274539621878852,1.422228816381844,-0.390866237574122,0.9396096810094082,0.13827896514696353,-0.39839217493649204,0.24831239764302285,0.04880342129880605,2.239024828264123,-0.40904050802227165,-0.23852179048065297,0.040206621422200904,0.9594075030682692,0.1951276055869391,-0.6240483074125612,-0.18510186639049253,-0.26836875166795887,-0.19956220723024184,0.034528505181150845,0.0,1.0753826678680352,0.5961732713811767,0.3223917153333413,0.0,0.0,0.0,0.0,0.9737220127243686,0.0,0.0,0.038788517838971436,0.1071981347917721,0.0,0.0318077282733642
