Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_o,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_stressJct_o,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20552.840108593828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.443071429991516E-4,0.0,-6.617611216481042E-5,-5.215348970947185E-4,-5.093899779933946E-5,1.28277828477196E-4,-5.261460901049764E-4,-5.169478088393101E-4,1.1380291130135581E-4,-4.675587450541191E-6,0.0,-5.206787112447503E-5,0.0,-0.003058870381578847,-6.146682328542655E-4,-1.9686002657265964E-4,-0.001179099569470565,-4.120241471915175E-4,-0.0012413171141581803,-0.0011826817166532342,-4.5517790964848074E-5,-0.00112332149764755,-2.92561770231915E-4,-3.2646216920801226E-4,-9.988976184786677E-4,-8.967103825238889E-4,-0.0016584771816010447,-2.76090498398216E-4,-1.5229911115096005E-4,0.0,-3.0228140725668183E-4,-7.767556041626046E-4,-4.97705191819427E-4,-3.762838037217524E-4,-4.1352322075057684E-4,-1.1111394775596227E-4,-1.1487059467743028E-4,-4.2615933963208137E-4,-4.148165007184452E-4,0.0035572295462209685,3.8040369077239173E-4,6.901381339218465E-4,0.0012277336372541138,3.886132978106691E-4,0.0015058919507801348,0.0010441777976801048,0.0017229290745877225,5.20184017092319E-4,1.1163399196494337E-4,2.0917442942115284E-4,0.0013136606465929555,8.590419971090708E-4,0.013858009765738996,-0.09708882113654281,-0.10848785384940712,-0.0581717839812101,1.1043089122401353E-5,5.783800967525792E-4,3.1970077590380173E-4,1.0919891233187889E-4,1.753600091447129E-4,-0.0022985533864680564,-1.276625316400515E-4,-1.216677697755747E-5,-2.131271488188401E-5,-0.0020955427241896567,-1.7295612134315985E-4,-3.710835663588918E-4
2,20151.25122536337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.802093830508375E-4,0.0,-1.3533900922003126E-4,-9.054313009360159E-4,-1.5473502776992357E-4,-1.5069907371875079E-5,-8.958779738767544E-4,-8.120160057598048E-4,-1.3026661797099293E-6,-4.561718401255398E-5,0.0,-2.375938775264789E-4,0.0,-0.003213711560560921,-6.914364332317893E-4,-1.6887860807007283E-4,-0.0012489004261990256,-3.7836803252830657E-4,-0.0012577271892335136,-0.0013009936088919202,1.4097242102802514E-4,-0.0012544846666112737,-3.280561477877615E-4,-3.5594249151357614E-4,-0.0010667302680376323,-9.707756043710045E-4,-0.0024263813888858884,-4.1219049842926167E-4,-2.2292893613701047E-4,0.0,-4.391496756574645E-4,-0.001129418771963403,-7.257373330732312E-4,-5.505849892863614E-4,-6.057903544517861E-4,-1.6236290886050098E-4,-1.6884771482802296E-4,-6.272704207754935E-4,-6.066884211159756E-4,0.004855069088237452,5.043378627367499E-4,9.585039184771863E-4,0.00167361480150451,5.206965780211771E-4,0.0020553233627269704,0.0014242978721086185,0.0023968251706135172,6.911927627003316E-4,1.4656274285707664E-4,2.826574584575569E-4,0.001808226106445615,0.0011714091010857509,0.012073366024078923,-0.09621241745294278,-0.11249741866045414,-0.04438943341198668,1.655019863890577E-5,8.679780138666423E-4,4.731955573633892E-4,1.687140403565873E-4,2.604326797587973E-4,-0.002860795677669547,-1.5915198652039305E-4,-1.4620235714363132E-5,-2.6104946206774167E-5,-0.002601610258933921,-2.0332505067978027E-4,-4.5128852956544607E-4
3,19997.226411991644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06493207978374908,0.0,-0.007714626284594818,-0.04796485489640025,-0.010836103624419191,-0.008944475606312346,-0.04732989937401901,-0.038827015273665874,-0.008194508484583172,-0.003988127590258379,0.0,-0.018471046536786127,0.0,-0.029534191574236385,-0.012465157697350689,0.0037247123056890694,-0.013024735000993819,0.00407180441632095,-0.0052336670044587155,-0.020295419280473403,0.027795131098679756,-0.022010425084340618,-0.005950128094759747,-0.005105952113537335,-0.012269069149340645,-0.012930876493590225,-0.09493675323607344,-0.0159394746458325,-0.008631593296668544,0.0,-0.01729127758525028,-0.04466568453266381,-0.028203034735065753,-0.02181116375306851,-0.023279353247547124,-0.006333379104127164,-0.006428683416072122,-0.024107097152437428,-0.023696544399480674,0.1259213478909689,0.006525621036520311,0.03395323916524741,0.04131298598811153,0.007624959066814041,0.0522480280826288,0.03518391089565654,0.08798788576917689,0.006131407919768684,2.3958656011407938E-4,0.0054349122430626135,0.054820713274920295,0.029666468677484174,-0.015141521576046328,-0.10986757612989963,-0.5315876665687527,-0.09192598026802316,7.118134717412869E-4,0.036724648351504206,0.020947112283440168,0.007484916476632997,0.011111617018331752,0.016975780435364074,7.597724867172005E-4,2.370075631283427E-4,3.381229296164002E-4,0.02003155476150589,0.005548226557256821,0.00796063256401411
4,17588.55038861641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5674025414538215,0.0,-0.06313957855814516,-0.3677702630227781,-0.09323521168036426,-0.08737294104519258,-0.35972643414178124,-0.3012851557339772,-0.08518132825179985,-0.034430155815195436,0.0,-0.16132291021040499,0.0,-0.21351504638716787,-0.09361259057729501,0.028301306024341867,-0.09318592930329544,0.03128824601635004,-0.035101742274604664,-0.1468582808780625,0.20531995976585396,-0.16034603029945999,-0.04329487861127021,-0.03696943945919496,-0.08850764652547095,-0.09402103827952857,-0.3935890876888647,-0.06422541911212769,-0.03169521986652263,0.0,-0.07576959877192171,-0.19603116063225176,-0.1135346178535786,-0.09027282571344869,-0.09193081044967416,-0.026651238836713033,-0.023777662747423,-0.08937413796042014,-0.09801859056702882,0.8843529586190659,0.038965747363663525,0.2447325778245536,0.28861222555879856,0.05099779920920562,0.36520521810333484,0.24573426634648335,0.6326373568488042,0.03661497647192247,-3.126568773521117E-4,0.03710565875648281,0.38952449775543035,0.2069674120646325,-1.2609416080324545,-0.3611399773890499,-1.0750951614922797,-0.32424396185160886,0.0013062283364288765,0.03325105324750836,0.09004364372348896,0.02955084760145252,0.021392443586549563,0.04971897361723301,0.0015080374054062895,0.0015740317164945339,0.0017978649296333691,0.07862364396633792,0.03871314429479242,0.04655013264365918
5,17436.04634483039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6166212582855537,0.0,-0.0648452121011895,-0.44776412737745225,-0.10091681971052818,0.03585022395592792,-0.4507065918708408,-0.4149341200423051,-0.048923997698589385,-0.033340155657431744,0.0,-0.1614990598940062,0.0,-0.30603265513464084,-0.14686796995666038,0.04910579301373581,-0.13307317374339933,0.05598012470229665,-0.03790750064885268,-0.2301781470042123,0.3538248395533691,-0.26391771668949593,-0.06836614732952251,-0.05866624600643544,-0.13368062968478484,-0.13331361500780622,-0.5503887738146377,-0.09437016623246405,-0.039976996705501366,0.0,-0.10824719459009455,-0.27356754144654816,-0.15459812093225628,-0.11892536360740992,-0.12856637822220884,-0.038248638850501705,-0.03186719963223183,-0.11732876094505268,-0.1351285820384753,1.2728253249091384,0.04180079033932381,0.37156834300406705,0.40296723226395925,0.06586225439503951,0.5047705996591866,0.34081130190077313,0.9551173890012529,0.032651219628881706,-0.007476545758313846,0.05138706165644572,0.5727039887385461,0.2931409275969622,-1.2711839649258503,-0.355627106275501,-1.073450674978341,-0.38258939120600377,-1.7572768364674304E-4,-0.10298773414573137,0.1254974476146005,0.05474424100830543,-0.002367092743934162,-0.27809497966193997,-0.016207100369633846,0.002537770834266785,-3.797954133921964E-4,-0.21680185283524217,0.06365310418649178,0.01620014212300099
6,16396.008699680395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6349145916565009,0.0,-0.061796556158169126,-0.518903603519158,-0.10429451734868718,0.19199189548250584,-0.5361287946502975,-0.5298439617957239,-9.480883093593295E-5,-0.029671026576107307,0.0,-0.15013464755927527,0.0,-0.39699283405531305,-0.20446210476199164,0.07338318265345402,-0.1719763824753886,0.08453417081477475,-0.03510769362142502,-0.3191407289357383,0.5237552246683159,-0.3772946623899257,-0.09578723232976707,-0.08207175346410671,-0.18070254852627698,-0.172984393855559,-0.6995743677563857,-0.1246114862461222,-0.04568736954334322,0.0,-0.14061121234303475,-0.3482732654275009,-0.1923972490329337,-0.14262999617978292,-0.16416843110944895,-0.049847952319841675,-0.039214043723595424,-0.14091821562098927,-0.16994901079834573,1.6165756261989739,0.03913976283922436,0.4994648496664996,0.49120792617922204,0.07193238995137587,0.6128229581211075,0.41455496449226314,1.2784868235935078,0.011884360045227745,-0.01971410300382987,0.061862443883395825,0.7503460088910734,0.36643428397378314,-1.133349009662304,-0.3228118450625793,-0.9788963737583625,-0.37950126160265507,-0.0025479211385352613,-0.3011365199145104,0.15324209409842854,0.0800409273488424,-0.03838041830097301,-0.24008158087199244,-0.014200821543252523,0.00645289061478302,0.0024627421101440622,-0.19202389142211532,0.1407090910710686,0.07491171382057518
7,15061.02877246265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2015811781728315,0.0,0.03572902912717286,-0.5675100210639101,-0.09455488549689399,1.2106532807751655,-0.6967995400859142,-0.9056056582335075,0.2993816852039133,0.03683772303604535,0.0,0.07140111152778839,0.0,-0.7806838590235092,-0.5348349997387241,0.22256397168771475,-0.3042252864087912,0.2395716698635159,0.056097738416294105,-0.7234503690771297,1.456559997624843,-0.9210667386715355,-0.24154094154892414,-0.18938077435995304,-0.3974669656501898,-0.3471033665464738,-1.3222852117458879,-0.2875835181980035,-0.024195518283996496,0.0,-0.3207451843534171,-0.5705529665618092,-0.31475819587903897,-0.14849177922539847,-0.33598715657969525,-0.11159526634253653,-0.06596632606556962,-0.19172593899879742,-0.296783304423227,2.423356726765164,0.07184005232201124,0.9624896871311297,0.4439495061070169,0.06135509386918617,0.5774966447003779,0.34468752930500024,2.4614047625218385,-0.20454253486267207,-0.12882568277591466,0.0654126545713703,1.359432057603612,0.4672667776540164,-0.9709315533573907,-0.258314206346364,-0.595323536257359,-0.35902346497414533,0.010928872487687029,0.4254329163526036,0.44555640591782303,0.6413272288302968,0.4823344554691778,0.11091114945235203,0.026998553298253777,-5.819225463695246E-5,-0.007081039500837856,-0.1856815570997628,-0.003396920976988266,-0.17806828303144237
8,14593.564451702405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.277511168221844,0.0,0.041943845828369006,-0.6437005633329684,-0.13152578458751651,1.2617603868409628,-0.7871751817994833,-0.9610081180583232,0.2708172423437297,0.03537268401822105,0.0,0.07275085841593948,0.0,-0.8338991181948946,-0.5947115081804079,0.2541994699938801,-0.31840804975398485,0.2690119618733816,0.0872702527977589,-0.7913119601412997,1.6362182085627766,-1.012269239836831,-0.2689349578789895,-0.20640270914271502,-0.42998084805564496,-0.37498626730192397,-1.438726793536685,-0.3169043890081845,-0.01862293616234138,0.0,-0.35485568381619015,-0.6159962690553193,-0.33967150223747794,-0.14624469328464598,-0.37028706876103734,-0.12395940945552042,-0.07111699104752323,-0.19950709339882,-0.3203222722542082,2.5075048771981656,0.07021328087405072,1.0388969787344986,0.4129975720480654,0.03692003462188275,0.5534342830382382,0.32001948316273776,2.637732321599989,-0.23890203954474876,-0.15042879843893367,0.06690889109382885,1.4469379840866496,0.4674340652117129,-0.8715568967221354,-0.23762593638443755,-0.49702580655295475,-0.34792428684362525,0.01331722150342443,0.6061862907854456,0.503498493588702,0.7381974374298556,0.5906650138042234,0.15181505795763997,0.035120737135296065,-8.145534001606874E-4,-0.004933595931756093,-0.20805837663687812,-0.024198476444825964,-0.15382188185865509
9,13780.49919523949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16850073414086125,0.0,0.0828511574509498,-0.7038438621205972,-0.3409208702153687,1.1932119360219129,-0.8700726823634363,-0.8843832132085178,0.14712076586762643,0.05229497853479113,0.0,0.2741703429873332,0.0,-1.0833512095783866,-0.8473603114091062,0.4080400224096889,-0.3440758778474522,0.33874238514918,0.1955531405257777,-1.0391267873981782,2.294140151482022,-1.3304466321232982,-0.38345190592239276,-0.26541394234821614,-0.5239751355256674,-0.5031623473614956,-2.115588872299727,-0.4468913350439322,-0.016097736249848546,0.0,-0.5127454711798628,-0.9686046689381309,-0.5376194661930982,-0.1804657038557834,-0.5713770646559602,-0.19076147167690255,-0.10811692245812408,-0.28021318533394407,-0.4684865223058836,2.557140152874361,-0.16350660527424443,1.3085272543912543,0.3289482641417759,-0.16789402167840028,0.5382904107302219,0.26960719910773084,3.1608082915043525,-0.3428903022878711,-0.2318948276940629,0.07521095735377216,1.5954507160606157,0.4148218420541893,-0.7590117930730161,-0.2043778135863237,-0.20002213954747072,-0.32358572910071504,0.01769951904864845,1.2770756349283343,0.7091681304834936,0.8608975746371335,0.7599596282002514,0.14183326652616107,0.06954659745852787,0.0380666392460839,0.01701119086329418,-0.27116498056463434,0.6510448480963632,0.1786243206741785
