Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_o,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20481.7334164914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.34941270587474E-4,0.0,-6.437598389027732E-5,-5.073480601273583E-4,-4.955335081562726E-5,1.247884039932914E-4,-5.118338190701627E-4,-5.028857502397962E-4,1.1070723475499792E-4,-4.548401720004321E-6,0.0,-5.065151643182578E-5,0.0,-0.0029756627273077947,-5.979479749058599E-4,-1.915050232585299E-4,-0.0011470256019306218,-4.0081623102831564E-4,-0.001207550699635476,-0.001150510307238631,-4.427961211405604E-5,-0.0010927648099976295,-2.846034798849343E-4,-3.175817173027514E-4,-9.71725519853276E-4,-8.723179898485906E-4,-0.0016133631431723028,-2.685802609992767E-4,-1.4815625767709148E-4,0.0,-2.94058722510361E-4,-7.556262316486558E-4,-4.841665725372188E-4,-3.6604809944463444E-4,-4.0227452665994785E-4,-1.0809141662641577E-4,-1.1174587491637381E-4,-4.145669167526969E-4,-4.035326267152936E-4,0.003460465483242939,3.700559169746396E-4,6.713649372566781E-4,0.0011943367216342851,3.78042205578682E-4,0.0014649285488770444,0.001015773983739473,0.0016760618102423003,5.060339268785572E-4,1.0859731454825533E-4,2.0348444866536932E-4,0.0012779263371009743,8.356742630820829E-4,0.013481042996432052,-0.09444780270327932,-0.1082569665215694,-0.05930959869811547,1.0742694065678841E-5,5.853140927704738E-4,3.228155222586057E-4,1.1045946021900723E-4,1.768060548227865E-4,-0.0022360279402587036,-1.2645100363514213E-4,-0.0020385395914140235,-1.6825135410769576E-4,-3.609893193841892E-4
2,20088.47580543979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.386418551407495E-4,0.0,-1.300182234787967E-4,-8.71862313555393E-4,-1.4809515847704857E-4,-1.1288342101393442E-5,-8.629211459952938E-4,-7.829197495387852E-4,1.351967923375586E-6,-4.344823598289175E-5,0.0,-2.2686742160007696E-4,0.0,-0.0031275005161473498,-6.717186696045003E-4,-1.6548366471891719E-4,-0.0012149556680955149,-3.696514925619276E-4,-0.001225190995430167,-0.0012641714474982194,1.314033980581367E-4,-0.0012183399664485093,-3.1854722071794443E-4,-3.458583644625512E-4,-0.0010373481034546127,-9.437345476737679E-4,-0.002343580187578037,-3.9799106869759237E-4,-2.1531688204879434E-4,0.0,-4.24209373116682E-4,-0.0010909645459903786,-7.010595051157905E-4,-5.317140976717835E-4,-5.851860417099593E-4,-1.5684283554272732E-4,-1.630987647359156E-4,-6.058633197983739E-4,-5.859997665484324E-4,0.004698509974014085,4.887711510265111E-4,9.267623791283589E-4,0.0016197789704799467,5.044165322558266E-4,0.001989081443877152,0.0013784513929435728,0.002317232486927742,6.699063781293221E-4,1.4214038135755482E-4,2.73697430677143E-4,0.00174916109777059,0.0011336904858360016,0.01177800997278769,-0.09365320490091834,-0.1120780137710895,-0.04608294103010319,1.5983797324112407E-5,8.720943597925374E-4,4.7444618828548194E-4,1.6930552267739298E-4,2.6074199910646324E-4,-0.002778615785312108,-1.5738017939360608E-4,-0.0025272558984484766,-1.979815103922738E-4,-4.388280690324888E-4
3,19826.885874882842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05638717024174025,0.0,-0.006701545417163368,-0.04186341601607578,-0.009424888255484988,-0.007624273514243212,-0.04134704788579853,-0.03387234801642296,-0.007080462022489111,-0.0034726753660817874,0.0,-0.01604933057491074,0.0,-0.026583812017209482,-0.011034818611878551,0.003186897542109541,-0.011667353885614221,0.0034482833944581223,-0.004897655557898747,-0.01799884266020641,0.024184115862096,-0.01946017509896239,-0.005256095333212993,-0.004521626761609137,-0.010936666710068071,-0.01149515706934375,-0.08239936200759264,-0.01380198716730034,-0.00748336831439532,0.0,-0.015023897445953475,-0.038811449557790305,-0.024481831458283723,-0.018928762181416252,-0.020195397617812222,-0.005499977355113127,-0.00557149457774096,-0.020893983201131065,-0.020565453381191933,0.10936483415729992,0.005548871960103995,0.029644016752806295,0.035848609108322396,0.006534772945824554,0.04537372721603934,0.030554412935698036,0.07683434405419158,0.005165084940943471,1.5759785554840444E-4,0.004703257607083569,0.04777224105494136,0.02577593360116108,-0.014356290662947378,-0.106089655785332,-0.47245095265255244,-0.0880394686305688,6.223692210365502E-4,0.033452279710914454,0.01904994925569508,0.006817520837365235,0.010090496456215205,0.019927684577187535,9.587971832115748E-4,0.022211366102444695,0.005355857616660384,0.007910520360115447
4,17716.01903739339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5530677015078647,0.0,-0.061541443524580186,-0.36028232108105795,-0.0910958954691123,-0.08649374536977675,-0.3525872219665321,-0.2934058559416991,-0.08374560157743247,-0.03385263943529237,0.0,-0.15768962789936133,0.0,-0.21191948681478956,-0.09181279964857834,0.027166607858756586,-0.09221856684069042,0.02989738445842908,-0.035925066899587924,-0.14432238256615434,0.19921600030722464,-0.15720191172316972,-0.042411394806489124,-0.03624895755419248,-0.08719256755682178,-0.0924557736080806,-0.3849060540661819,-0.0627523268681329,-0.03128339643236244,0.0,-0.07387089275450139,-0.19146512811436167,-0.11078210655448187,-0.08911027508559158,-0.08922507962511506,-0.025890224256288653,-0.023109791447134643,-0.08742041777981094,-0.09581349913631691,0.8540679246177787,0.03653070939460968,0.23791428835725065,0.27846614524458896,0.04828006380512712,0.3528135546281531,0.23732939619159388,0.6154412384394783,0.03357072100084931,-8.509016815131216E-4,0.035625970185308144,0.3778171545698156,0.20006664925421408,-1.2438999955574976,-0.35466689401083124,-1.0029740044416413,-0.31267870540395093,0.001600539148651994,0.057796639606148045,0.09636339474600414,0.03259340621182823,0.027027361759502332,0.10749943700566458,0.004760958181566433,0.13159112502271392,0.04317545083827411,0.05652415871916817
5,16883.02906174213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6156690509178783,0.0,-0.06503823520546358,-0.4481587412619543,-0.10119133533165323,0.028933856080002818,-0.45082005165389616,-0.41140487523330904,-0.05101829999800295,-0.0338095184768315,0.0,-0.16226033613902974,0.0,-0.30909768345034117,-0.14585457005926067,0.04770176145775971,-0.13395841309717071,0.05401212924692575,-0.040846062579468725,-0.22927954112211807,0.34706366616182793,-0.2619416610873111,-0.06779502459030523,-0.058256964149567686,-0.13350382354908485,-0.1333436713115175,-0.5515259986953613,-0.09498194740084834,-0.04098072879291027,0.0,-0.10746615192503543,-0.27196313022911034,-0.1544020420383236,-0.12099326049029349,-0.12748669524759734,-0.03790286131503232,-0.03171105488615427,-0.1182646989471411,-0.13511068964828646,1.2568825146885914,0.04034087946254018,0.36822321845456424,0.39872299070291584,0.06361511127728636,0.5000039508868808,0.3372610790758937,0.9477675187576464,0.030442476451635378,-0.007926263417700925,0.05039598571634907,0.5666828295668832,0.29002502179914397,-1.2558596274773053,-0.3498398475750086,-0.9901442384472599,-0.37290492331158975,0.001003920774536233,-0.026190650675581614,0.14553153650649758,0.06659018795374182,0.01384406586259309,-0.2108029615333645,-0.013415667703394389,-0.14620354748026787,0.0632040358069644,0.02751052787711647
6,15294.041413871548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6565321782052215,0.0,-0.05778724299562811,-0.6090850511393612,-0.11065391913704083,0.37338014342548836,-0.6441248199565176,-0.6649672613526855,0.054664027214333916,-0.02606540029721513,0.0,-0.1376234870545072,0.0,-0.512264286919528,-0.2747380157072363,0.10234547686634801,-0.21969870504562775,0.11639689789563604,-0.03414709091232047,-0.42706815413375004,0.7277154966475488,-0.5146630837434318,-0.1292234384379913,-0.11017213929210304,-0.23744338217983124,-0.22190303759041757,-0.8929252852311818,-0.165633534438555,-0.05434236722761511,0.0,-0.18073705592168926,-0.43841177490970207,-0.24035873227298088,-0.17457912585490146,-0.2089308186986224,-0.06430253472396204,-0.04862047963762964,-0.17291425250991305,-0.21410207886888907,1.9913510063115418,0.03352215433195238,0.6484402401960137,0.5801536282138661,0.07378842748226863,0.7222758905838608,0.4893166909262443,1.6546742608135694,-0.02074224317960128,-0.036695078105024787,0.07213547932067389,0.9538648382117855,0.44467670801954445,-0.9293296972246148,-0.2734486672587484,-0.7575806253626984,-0.3553181374005166,-0.002657574166442848,-0.37780608739191834,0.22584286115617694,0.13996191286631665,-0.046888164078177204,-0.0633195160529228,-0.005317789885920481,-0.04609922633232551,0.2341426089937611,0.15740835703669562
7,14821.76070774545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5931566833624673,0.0,-0.04377048274504929,-0.6267133085877021,-0.10977626367790667,0.5401218359167684,-0.6807553364174871,-0.735956984794208,0.10546114233193288,-0.015424548083599525,0.0,-0.10182946126654553,0.0,-0.5853500166112813,-0.3323183810545704,0.12787265668757902,-0.24565090220505237,0.14266420961094117,-0.02218310619633119,-0.5003695926363678,0.8884219650437544,-0.6110433250885869,-0.15499130553043444,-0.1296539987741544,-0.2764037520506081,-0.25539369893103636,-1.010584985304812,-0.1934459794181089,-0.052403090068823814,0.0,-0.21236889320202126,-0.476622781289134,-0.2661219213107752,-0.17907195918483326,-0.23986197997101502,-0.07576741062525964,-0.05396553917418174,-0.18479854746949534,-0.23869470633879752,2.1704215807648684,0.032530198429437024,0.7382214332761173,0.5956249685354911,0.06966266626864545,0.741616708008456,0.4994103420689038,1.8806282451602698,-0.05406854840453031,-0.05334376983257452,0.07562037672518078,1.072064104777319,0.47284937547530065,-0.8698177004044335,-0.25603631407330707,-0.6690302251211797,-0.34760005140829187,5.257125582784888E-4,-0.2055337439710197,0.27260125203081764,0.22217820309628183,0.05713233559625653,0.004194248916203486,0.001105636470198271,-0.023040240099571837,0.2688974677580843,0.18059710700239096
8,14785.408681111563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17610549480823207,0.0,0.050903438700736776,-0.512782777044848,-0.16571596618807252,1.1113255975746434,-0.6481007272142185,-0.7918274129474774,0.21096677551219706,0.0430552335438897,0.0,0.10332501435824047,0.0,-0.7856992595028023,-0.5634634380459339,0.24422004689409088,-0.282141067319824,0.23371206451117463,0.09002836275144571,-0.7208063090442136,1.5044739121657889,-0.914463568805955,-0.25286027329258637,-0.18799162984756207,-0.3872576616312237,-0.3591065408702358,-1.3644966891460877,-0.27867010254819974,-0.028354802039152267,0.0,-0.30614838252793086,-0.6127071311654049,-0.3566415423004775,-0.14957833344397642,-0.3513285373382685,-0.11894660591958298,-0.07005937510038097,-0.1958251327133598,-0.3049912777330619,2.19309129990811,0.030972306078614523,0.938382166533229,0.35044667817392416,0.002017794175153992,0.47037693098314437,0.26877463837062054,2.370327359658647,-0.22709626903356206,-0.14025689467883384,0.06477740219554115,1.2870399067334968,0.39561617972003893,-1.1054705201099098,-0.2846800518684247,-0.7001675089710452,-0.362173015349046,0.0012621249745638132,-0.3450040000995731,0.3014548022390732,0.3521957200640823,0.03343153781246466,0.14109561392308023,0.032052558980527016,-0.1457807222719754,0.24248833816742177,0.11725744005273595
9,14051.6978235005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3572567987863429,0.0,0.13106224661886823,-0.6623337740876781,-0.41921490189907074,1.3079688224958843,-0.8605914508660172,-0.8450008425112607,0.005182273073268656,0.059767951685968185,0.0,0.173263611305226,0.0,-0.991712693100125,-0.8716560903926239,0.42100244679092713,-0.28770061073737124,0.3459094237370201,0.2895602562858529,-0.9864121669625154,2.363515849947884,-1.2871963368037598,-0.3871598150828131,-0.2537200596293928,-0.5040073913123455,-0.487407616101699,-1.7422221306426164,-0.35206370092839917,0.020710898013964692,0.0,-0.41292772701760366,-0.7349506391500502,-0.4757519608685535,-0.06024627319954512,-0.482762418667963,-0.17842633245682715,-0.08573599980218452,-0.1679163346902972,-0.36976842059305826,2.0062497539679263,0.01892343799116846,1.1593164010624852,-0.06651047465045923,-0.12368652491661558,0.03461419904824492,-0.12425159540445763,2.8800789785176835,-0.4481928071333775,-0.265675303325435,0.05027360722694045,1.492877533108236,0.23173052041608572,-1.0903962192641854,-0.27914019742096896,-0.6442340552165217,-0.34960372349868857,0.005670468220027118,-0.33745965389849825,0.24925845666115853,0.4144981175655901,-0.03264155029057056,0.3082205988655025,0.08025792910377462,-0.4038530619274645,0.17802626119158108,0.006483640370609972
