Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20450.392499700505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.307236889938593E-4,0.0,-6.356536128694675E-5,-5.009595316662458E-4,-4.89293748572888E-5,1.2321706799502656E-4,-5.053888059175178E-4,-4.965534111996343E-4,1.093132088866309E-4,-4.4911282304131185E-6,0.0,-5.001371236839445E-5,0.0,-0.00293819317234526,-5.904186120164231E-4,-1.8909359136850548E-4,-0.0011325822517348628,-3.9576915171365837E-4,-0.0011923452172080454,-0.0011360230776220398,-4.372204309099392E-5,-0.0010790047118744207,-2.81019751919324E-4,-3.135827272618546E-4,-9.594895488742725E-4,-8.613337588181432E-4,-0.0015930476691056851,-2.651982974591851E-4,-1.4629067358749344E-4,0.0,-2.903559340981529E-4,-7.461113836257051E-4,-4.7806994544496805E-4,-3.6143882055855535E-4,-3.972090844818453E-4,-1.0673032914862688E-4,-1.1033877048763908E-4,-4.093466887576486E-4,-3.984513425371083E-4,0.0034168912903646898,3.653961716368884E-4,6.629111077330556E-4,0.0011792976296618094,3.732818968682576E-4,0.0014464821637156465,0.0010029833543566617,0.0016549568343513332,4.996619459876857E-4,1.0722985680215147E-4,2.0092217181076543E-4,0.0012618346844124326,8.251514499809961E-4,0.013311289658168437,-0.09325851565740399,-0.10815299477165818,-0.059821972366689125,1.0607422026261983E-5,5.779438157669197E-4,3.187506281282915E-4,1.0906855432842174E-4,-0.002207871868995517,-1.248587321766555E-4,-0.0020128702940965487,-1.661327324969855E-4,-3.5644374067346225E-4
2,20062.592780487626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.178884821819551E-4,0.0,-1.2740299423132144E-4,-8.555282403070249E-4,-1.4477081981805186E-4,-9.118722204295651E-6,-8.469097562693958E-4,-7.68888009204219E-4,2.9226709199441504E-6,-4.233952682344714E-5,0.0,-2.214414654340029E-4,0.0,-0.0030880447218928236,-6.62572719257403E-4,-1.6402561841504678E-4,-0.0011993999107173616,-3.6580651323784067E-4,-0.0012104243669854564,-0.0012471782625086262,1.2655318917143585E-4,-0.001201620819503783,-3.1414652729587814E-4,-3.412155366485159E-4,-0.0010238659257408357,-9.312903037038135E-4,-0.002303843509853377,-3.9115935295891137E-4,-2.1166267985255857E-4,0.0,-4.1705118507935775E-4,-0.0010725260580257974,-6.892147857109512E-4,-5.226628167459761E-4,-5.752904695864585E-4,-1.541926416909477E-4,-1.6033608415316996E-4,-5.955783119606067E-4,-5.760711987502025E-4,0.004623675363048591,4.8132503266888306E-4,9.116010869065229E-4,0.0015940414834830258,4.966264635912041E-4,0.0019574147764809743,0.0013565322239339065,0.0022792205991442275,6.597134145709169E-4,1.4002139490847533E-4,2.694113838113841E-4,0.0017209370373279873,0.0011156599954286464,0.011651136802196635,-0.09250186554042639,-0.11187597822784653,-0.04689588128280606,1.5710483732740764E-5,8.572591912406639E-4,4.664024794793061E-4,1.663585486746835E-4,-0.0027394960929725573,-1.5515687789092398E-4,-0.0024918556653515693,-1.9544468681520046E-4,-4.328975421263164E-4
3,19765.414957686393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05323703630478216,0.0,-0.0063281238033023185,-0.03961826523522576,-0.008903742921618567,-0.007134143247431923,-0.03914711548334478,-0.03204807871832238,-0.006669991216341527,-0.003283130103820791,0.0,-0.015157323488676636,0.0,-0.025501215502580978,-0.010509454644169138,0.0029891055786844187,-0.011169141968363258,0.0032191907423772233,-0.004774919793366029,-0.01715557894016459,0.022857060256149413,-0.018523499868184412,-0.005001133105625872,-0.004306783343234367,-0.01044698904346763,-0.010967467178487306,-0.07776958485815559,-0.01301084479153117,-0.007058445798483543,0.0,-0.014190101579492263,-0.03665157130609885,-0.02310595176280878,-0.017864307434957243,-0.01905578651736241,-0.005192102170710851,-0.005254316313981735,-0.019705949123802184,-0.019409160644901863,0.10324103333256462,0.005182801864882537,0.028055967232999208,0.03382642846993872,0.006128332835683502,0.04283103143404126,0.028841796797002096,0.07272492346285217,0.004801533929818451,1.2538155170362347E-4,0.004431824922518044,0.04517126632585385,0.02433683293363242,-0.014156447007143875,-0.10449425769200853,-0.45048467091449307,-0.08675787537483684,5.902856664996961E-4,0.03167268922553191,0.018043604909891486,0.006458215192077068,0.02124389776364153,0.001040267753202665,0.0232244885974515,0.00530724894117692,0.007933340945185755
4,17537.838523971972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5210049524387586,0.0,-0.05800875824057761,-0.34055987501289847,-0.08587296625777714,-0.08168170396642564,-0.33344226463829235,-0.27671778851119877,-0.07902132772718377,-0.03200547477489375,0.0,-0.1487209583762933,0.0,-0.2017901845393169,-0.0869488743331519,0.02547390487458587,-0.08770328018240063,0.027983185380120096,-0.034673627390567896,-0.13682945805692215,0.18776779432459614,-0.14887450682562337,-0.040150721440000425,-0.03433134447233675,-0.08275382459942984,-0.08767157718960937,-0.36616791490986633,-0.05964473017998923,-0.029888362230114644,0.0,-0.07025525111740807,-0.18195501182602425,-0.10528021308571162,-0.08507584102835167,-0.08466812014869565,-0.0245556747201619,-0.021952866205849565,-0.0832691403501073,-0.09112906918133884,0.8033361687960681,0.033915568490904276,0.22442693940088945,0.2618112177886847,0.04501649404875937,0.33190230103656376,0.2232260344092109,0.5807435758696038,0.03083483145027154,-0.0010287412964221333,0.03342381708992067,0.3560589509960646,0.18826221596099693,-1.1726001970868847,-0.3389128864243123,-0.9487071471017101,-0.29628337630022783,0.0016758609598441234,0.06386485003095208,0.09324378653438312,0.03175092108991629,0.1272422036890512,0.005938706758902695,0.1483797816774859,0.043125972257260024,0.05807307394474658
5,16408.21630786011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5826901061277749,0.0,-0.061552363180114165,-0.4275249604009841,-0.09622706459451748,0.0313454541698293,-0.43061145379595583,-0.39290572335280316,-0.04674444099403167,-0.032016494421751904,0.0,-0.15295552921033126,0.0,-0.29908027722190483,-0.14078306630062876,0.04546867873470124,-0.12944240594711748,0.052006714606627216,-0.039989188748323246,-0.22110166513202573,0.33301435409036767,-0.2525093309445614,-0.06529760926339737,-0.05618842538046471,-0.12899343297274501,-0.12809183681720893,-0.5343367371535126,-0.09195959838434872,-0.0399327551023457,0.0,-0.10428395694277526,-0.2625796921430533,-0.1490773163744872,-0.11786068393717414,-0.12289734595870191,-0.03652854924147185,-0.030574421026892718,-0.11473585383744944,-0.13072048221153834,1.20286906220563,0.03756398805718039,0.35376473868448166,0.38144213383784553,0.060039954736098876,0.4786737022119722,0.3225936394045178,0.9107899050789711,0.027499504819215766,-0.008097567277186433,0.04797604821617525,0.5433246758797026,0.2776727011416132,-1.1813978811822,-0.33365932223004335,-0.9291393933220685,-0.35487714316925545,0.0014683054921871962,0.0051907451481518554,0.14766957978740458,0.06732417786596134,-0.17602330229916352,-0.011495869110356185,-0.11168244884676692,0.061853574384198876,0.031631832464730746
6,15589.843644998069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6178665335949087,0.0,-0.035166503886980546,-0.7678441034327081,-0.1161697492667389,0.8469900691248413,-0.849987368593493,-0.9454422939060823,0.20161623603322346,-0.010863932933708909,0.0,-0.07613548543795282,0.0,-0.7538260335982825,-0.43978521402620224,0.17335792738199823,-0.3187542069481103,0.19807805945823165,-0.013844566490416522,-0.6704912321514673,1.2170442334845604,-0.8310083609653928,-0.20706477919854946,-0.1745903455114295,-0.36471858965958265,-0.3257483856696991,-1.3046922005501913,-0.2534625243588836,-0.0659663005601179,0.0,-0.27387401616389573,-0.6345825162130936,-0.34046639114169797,-0.22949099348036026,-0.30929630489866344,-0.09712534928444483,-0.06864217426158832,-0.23357273874152767,-0.30734144803342317,2.7534763880055912,0.015434356976029441,0.9723984174388466,0.7349775866976485,0.07170238197630273,0.9107831179476813,0.6200747585344477,2.461515911095404,-0.10636992007803234,-0.07887468166735659,0.09190098857323274,1.3890390838277162,0.5953098811043143,-0.4433162667937953,-0.16121439004692864,-0.39307678495813736,-0.2931052000290405,-0.00619140221723188,-0.7576831173590463,0.32982892228522215,0.2344377614378091,0.30074237227114614,0.017214010856955654,0.19081762714358325,0.47191538319189585,0.34604332521328945
7,15337.748649803481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6190059030473526,0.0,-0.02750449251589526,-0.8366263233470144,-0.12648418577444387,1.0289907003477277,-0.938735927294855,-1.0665212360121987,0.2531493409534057,-0.0038582172000327063,0.0,-0.05396919251813753,0.0,-0.8675484687955319,-0.5155312139991669,0.20603109760182242,-0.363855620336704,0.23184769160715277,-0.007463971301246285,-0.7774851090868307,1.4291019819366468,-0.9678264465020627,-0.24191684206057987,-0.20261300120852127,-0.4212709802911143,-0.37691151376017634,-1.4691515306115335,-0.28730268768885336,-0.06808009430140499,0.0,-0.312932181656332,-0.6955758039734363,-0.38190604592970123,-0.24372259192172196,-0.3502256243486591,-0.11214833431513152,-0.07699198215091213,-0.2554588926093728,-0.34459112792151964,3.0761998957446197,0.009867019813009052,1.1110278947687031,0.7966041718334729,0.07024545435338939,0.9873541300437224,0.6703623331919458,2.8086914224522523,-0.14357171801323543,-0.09781027138594714,0.10003055507624965,1.5752872079439886,0.6573164344054737,-0.268287494004966,-0.12008367474714837,-0.23774527553261565,-0.2725008891661295,-0.0027797351674683614,-0.5921623287699721,0.37495243468632833,0.30157273692433034,0.42662633645561165,0.025560589435503968,0.2709440505537348,0.5604026152676395,0.4158320505104835
8,14963.983561254343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.377229778017307,0.0,0.009466067657678549,-0.7635865254191193,-0.13081794798845842,1.2899732441485314,-0.9005671110872795,-1.0959457644190191,0.3362022596854001,0.02625630366463628,0.0,0.05426547010704608,0.0,-0.9858718566135267,-0.6097097566796339,0.2522376052011216,-0.40202495119553056,0.2662621025299939,0.015025595075758017,-0.8881907325467311,1.675718526290327,-1.1146623067322123,-0.28295608563603397,-0.231507897174757,-0.4769060999323162,-0.43633726278075835,-1.6106054213625123,-0.32368162577452503,-0.05916141900868337,0.0,-0.3508524204257868,-0.7331098672065599,-0.4138374982476482,-0.23391057568710058,-0.3880348471130434,-0.12919808822585538,-0.0829876349143316,-0.26164161597693886,-0.37068182279446515,3.1625242226469394,-0.0068628360056054005,1.2145662278702876,0.741925211627748,0.042632426631966786,0.9255297288552768,0.6147989879212831,3.063774704702782,-0.21784662533113722,-0.13026301750139413,0.09525448941902354,1.6866140019129834,0.650565898667151,-0.3525367521346236,-0.12551668094866017,-0.22506033962190522,-0.2757848241904307,-8.123843650138232E-4,-0.5297167303030401,0.40832399981862466,0.3694913238516001,0.47686715349066355,0.032629783957842995,0.27019229979304327,0.6266550398045436,0.45426710581804636
9,13666.31499944467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.593835998498586,0.0,0.15299671606565193,-0.9133697013651294,-0.7869768700929094,1.4851450759644493,-1.1905677301067246,-1.124591894277347,-0.11121965456790978,0.09528862207282612,0.0,0.3345149581739785,0.0,-1.883881001090796,-1.4012754407525836,0.6707377447931147,-0.6106140826620929,0.4949043004176552,0.29205325650907843,-1.718618544537886,3.6310400742520885,-2.2375368951093266,-0.6164039753802308,-0.44054327901122825,-0.8639496033547175,-0.9086489245291081,-1.9782888872362907,-0.4179710141300348,0.12272522714154155,0.0,-0.5414781320961335,-0.5718139166398974,-0.48378532374579086,0.11415106554016649,-0.4850034553010831,-0.23884882878695468,-0.071300398226896,-0.055455161523872476,-0.3770412515892269,2.7585146684113577,-0.18999758487770574,1.839807135592742,-0.19953370623425792,-0.29015287456312944,-0.06807092007529658,-0.3150458738973494,4.542468672401307,-0.8992359948213027,-0.44413890337763856,0.00911270017173621,2.193408961161987,0.29259548212490166,-0.38127826200576687,-0.09880078655838836,-0.24687033089991584,-0.25419445785514866,0.007143130055426507,-0.5666904500584268,0.40938960895432974,0.6743157706787529,0.547804574529111,0.08138540171408626,-0.12860437258797086,1.0408183791723904,0.5724657855474319
