Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20421.676506075502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.268006662541208E-4,0.0,-6.281135313425886E-5,-4.95017182509479E-4,-4.8348977817118215E-5,1.2175547520395991E-4,-4.993939169996559E-4,-4.906633271552856E-4,1.080165427617438E-4,-4.437854761468114E-6,0.0,-4.9420452987680445E-5,0.0,-0.002903340517357281,-5.834151051072211E-4,-1.868505755714386E-4,-0.0011191476352376377,-3.9107456395496746E-4,-0.0011782016963282562,-0.0011225476462734807,-4.320341507920678E-5,-0.0010662056286462251,-2.7768631402605096E-4,-3.0986302948761896E-4,-9.481081466825322E-4,-8.511166741798224E-4,-0.0015741510419835045,-2.6205253262257065E-4,-1.4455538319798025E-4,0.0,-2.869117510233015E-4,-7.372610592559992E-4,-4.7239911106091836E-4,-3.571514569397316E-4,-3.9249741633495935E-4,-1.054643009740391E-4,-1.090299392182049E-4,-4.044910451437353E-4,-3.9372493880652636E-4,0.0033763603496507213,3.610618661787405E-4,6.550476995871992E-4,0.0011653088784110066,3.688540514538517E-4,0.0014293240870198224,9.910860314927003E-4,0.0016353258447654425,4.937349887072593E-4,1.0595790326325166E-4,1.9853884616714663E-4,0.0012468668840235327,8.153635575205207E-4,0.013153392012000099,-0.09215228925217953,-0.10805628448161671,-0.06029856149921493,1.0481597480866926E-5,5.710882840738545E-4,1.077747902798817E-4,-0.002181682237479103,-1.2337766607257904E-4,-0.001988993758490926,-1.6416207690414508E-4,-3.5221562836510747E-4
2,20040.127476162343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.971901939865833E-4,0.0,-1.2481940062598722E-4,-8.394976630059974E-4,-1.4145286806298833E-4,-6.774475325185421E-6,-8.312097770945896E-4,-7.551985165312721E-4,4.641174367343533E-6,-4.121748974158523E-5,0.0,-2.1598632309324567E-4,0.0,-0.003050904166771261,-6.538812932421551E-4,-1.6271746210489338E-4,-0.001184743221448073,-3.62284872845269E-4,-0.0011966071207473279,-0.0012310872909868905,1.2167096460896152E-4,-0.0011857638511347612,-3.099713089641776E-4,-3.3682674321140803E-4,-0.0010111517776183229,-9.195306266511553E-4,-0.0022652107074378966,-3.8450445003853826E-4,-2.0811077948235736E-4,0.0,-4.100914046165173E-4,-0.00105462495677223,-6.777053379200247E-4,-5.138656208510604E-4,-5.656671864128869E-4,-1.5161605911878277E-4,-1.5764907103169395E-4,-5.855717707616821E-4,-5.664185508039189E-4,0.004551102585578915,4.741013986968623E-4,8.969037190388755E-4,0.0015690798247345557,4.890670215799601E-4,0.0019267044238449986,0.0013352733443416313,0.0022423745325275257,6.498190478145812E-4,1.3796381990098332E-4,2.652532443798937E-4,0.0016935703992994548,0.0010981738862841134,0.011537341421100229,-0.09143172139134609,-0.11167902284837321,-0.04768615356525642,1.5444802944835122E-5,8.427770614207609E-4,1.6347998209266962E-4,-0.0027016652300151786,-1.5300695099699097E-4,-0.002457618750370278,-1.9299600899586714E-4,-4.27163050819688E-4
3,19715.108869191066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05043783167103586,0.0,-0.005996109791073052,-0.037620876065820825,-0.008441215647447254,-0.006695752357355837,-0.03718921568723904,-0.030426143068968514,-0.006305118872234083,-0.003114517043560058,0.0,-0.0143648097234497,0.0,-0.024527790732137775,-0.01004043546421663,0.0028143220375402658,-0.010722210550368316,0.0030169092747664595,-0.004660890730582275,-0.01640229024794727,0.021679240301456803,-0.017687967298914035,-0.004773765918321059,-0.004115015669163727,-0.010008748811326386,-0.010495589177801194,-0.0736651217694714,-0.012307973984097671,-0.006682150473044984,0.0,-0.013448778909527183,-0.03474493470576728,-0.02188882090826777,-0.016920337559721967,-0.018046410770293137,-0.004919350046626516,-0.004973614004191362,-0.0186526396636765,-0.018384166311158016,0.09780267756765114,0.004858651826429525,0.02664393522225141,0.03203131657672966,0.005768099641621766,0.0405742049039966,0.027321454664012555,0.06907063689409347,0.004480889015553476,9.747340632680837E-5,0.004191048332817566,0.042859765613986994,0.023058597971429166,-0.01392619968346096,-0.10300819859140564,-0.4309702729304934,-0.08563803185025594,5.616145104052219E-4,0.03016300477312515,0.006141848246769858,0.022397806822039238,0.0011118492973481804,0.024109101125917572,0.0052620165754421145,0.007949789800656496
4,17399.81693984913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49073800498125614,0.0,-0.05466933080875283,-0.3218838817286702,-0.08096472600988787,-0.07685152884314374,-0.31530670586152937,-0.2610493289380107,-0.07449209538358201,-0.03024338382336429,0.0,-0.14023833653564485,0.0,-0.19212573499908325,-0.08237562255214143,0.023912401611524872,-0.08340611685890882,0.026215519795259844,-0.03339134702798649,-0.12975605921261918,0.17710586069810552,-0.1410390310305929,-0.03802546297448072,-0.03252589272379359,-0.07855613508953369,-0.08315480935433388,-0.34885927039040154,-0.056700393179049395,-0.028605118237744646,0.0,-0.06683430525865393,-0.1735223469327491,-0.1003068433692842,-0.08131123209781263,-0.08051661648208272,-0.02333631121759494,-0.020903461588277404,-0.07942706757334159,-0.08679924325248248,0.7561575052480327,0.03151225614392424,0.21182761303229766,0.24633987406987262,0.04200700557956947,0.3124982184519557,0.21012201228695715,0.5483024121251302,0.028365019453174135,-0.0011715631645093172,0.03138546229199092,0.3357609343498449,0.17727372709132222,-1.1045409188023692,-0.3238636662036827,-0.8996814936944229,-0.2809505088950129,0.0017292932590036439,0.07002509424509099,0.030880718514365087,0.14361849149612962,0.006912239778309764,0.16182103288315047,0.04288694819121734,0.0591526819458023
5,16089.600471943457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5494927327876994,0.0,-0.05803445764691003,-0.40623967043824416,-0.09125883316264015,0.03406179411408479,-0.4097118785046285,-0.3738895156820559,-0.04263925200351998,-0.030196557702009002,0.0,-0.14375617672494365,0.0,-0.28818263465730265,-0.13543396820503484,0.04320942091333277,-0.12455925134874242,0.049903127027088046,-0.038722625401256566,-0.2123656917663969,0.31841139498950943,-0.24245438067358832,-0.06266717314298081,-0.05400659184683791,-0.12416350336442439,-0.12262680727321176,-0.5177733543131988,-0.08814866661025039,-0.03897830929207526,0.0,-0.10081112695432629,-0.25692437332394785,-0.14460122829846328,-0.11477365080521305,-0.11863968861745033,-0.03525940476971385,-0.02952725993749182,-0.11113044139808431,-0.1264585734621155,1.146698498366876,0.03460833595887458,0.3385876854231441,0.36357992370441705,0.05637813840653788,0.4572256566233665,0.3074818247317642,0.8719158181315212,0.024631071094300797,-0.008202249444463378,0.04548855724630525,0.5189163828058562,0.26478291892894645,-1.106586806734179,-0.3175284769986623,-0.8731570429304075,-0.3362770622402785,0.0020020309766614784,0.04328803596652708,0.06692819961198014,-0.1376294344081849,-0.009314439090778424,-0.07597166634346278,0.06120653872609054,0.03636733660983298
6,15650.622168486341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4335400311668452,0.0,0.011674720014745503,-0.8321029801047205,-0.11346317351400173,1.3570974276152228,-0.9699270691456252,-1.1264931552672313,0.3490750362451749,0.01256022381722385,0.0,0.02901565631486669,0.0,-0.935806562995638,-0.5963633229954514,0.2467759880983916,-0.38568614806329454,0.27793783517792914,0.037686931141991994,-0.8774196720345349,1.6950800866086153,-1.1133397140353984,-0.27968343482745767,-0.23052676578513398,-0.46975933892968236,-0.4070897380329851,-1.6236065502949133,-0.31871586999957946,-0.060534950468446064,0.0,-0.3557421040784513,-0.8193425796985725,-0.4167659416481267,-0.23812703581449113,-0.3982037580944914,-0.12723678015848702,-0.08417803135608229,-0.2601460774808077,-0.3748371276479219,3.1117091071757073,-0.01745131345220665,1.201569987269995,0.720685442065436,0.04338618257801188,0.8963407565494335,0.610656021946383,3.003836773961427,-0.21863542399423438,-0.12736440130934412,0.09611956101971934,1.6735784853172375,0.6373616781335407,-0.09220999038212718,-0.07805622621116814,-0.12232209152769524,-0.20506148287736756,-0.009447077398042961,-1.0593431615270217,0.2827900967602208,0.8686895217872029,0.057566604804871316,0.45799328799234196,0.7449115972723307,0.5465052965101705
7,15554.995131097714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47299684872669223,0.0,0.011365360509948593,-0.8688269898087398,-0.14102321575886095,1.378728958007425,-1.0134376119088486,-1.1664483078447516,0.3400602596680527,0.014392313207914575,0.0,0.0312543277416447,0.0,-0.994405127276631,-0.6354762279853762,0.26533374906168955,-0.4070737229348428,0.2915286843903091,0.042974153260130495,-0.9270238478496858,1.7947287367189513,-1.175808449647575,-0.2973352873524519,-0.24327887139491028,-0.4949421698558964,-0.43602092683972743,-1.711763481216623,-0.33545783035277965,-0.06032278307222461,0.0,-0.3761180994264783,-0.8533922802289047,-0.441389591511034,-0.24234641679693858,-0.4199594841159443,-0.1370886753097403,-0.08960378620817182,-0.2723045534761099,-0.394578831344747,3.2071993665633713,-0.02148912092611689,1.2549566267708547,0.724088141753555,0.03731047730770355,0.9071872166354809,0.6097495600157017,3.1366448001491856,-0.24005124448151205,-0.13854845156796922,0.09723073945698071,1.7394606127972077,0.6507711389468627,0.00286764519711577,-0.057387761253744216,-0.04530024033404295,-0.1899924135630937,-0.007798821968181498,-0.9691103385339018,0.3069577843920605,0.9389826633619167,0.06259206539510298,0.5085446357794221,0.7756693503474921,0.5721099224923335
8,15099.65713382215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24351281977984124,0.0,0.06093834519040259,-0.7751764363527541,-0.3002454484909584,1.5232614989062299,-0.9709858187653394,-1.1469469424578247,0.31298444270660347,0.06396354234643772,0.0,0.20642687344694782,0.0,-1.282975349782881,-0.8598991352277475,0.389251280851335,-0.4965378903439671,0.35647808444775675,0.10810478263587248,-1.1789512353833835,2.3618777781803035,-1.5096387039995158,-0.39702147225428797,-0.30815529997521096,-0.6080771290597189,-0.5915569144128656,-2.0845737848246872,-0.42914740020476366,-0.03539700476603378,0.0,-0.47012965607143964,-0.9815697130056904,-0.5348830222438351,-0.2167363171102294,-0.5184426554795202,-0.18604575069283694,-0.10906195675387692,-0.29602164829867317,-0.4655707560769887,3.146675914296181,-0.0797715670372875,1.4381656303888168,0.4920657760453728,-0.05572233154861431,0.6774353379404493,0.3736805762772503,3.580819169310663,-0.42304502271797806,-0.22431953638495464,0.0734657298393541,1.8801109133990836,0.5660688819945788,-0.09491948934228316,-0.059644528063067734,0.00949680767804452,-0.18447601138739594,-0.0034077845475665594,-0.7628875709268862,0.4019130329799485,0.978028066688186,0.07397702083191054,0.49057332344255705,0.8729958816554982,0.6104708439878902
9,14461.651809344165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5113434318264702,0.0,0.17345418041293892,-0.8811826220116272,-1.2828517868501448,1.1943400583706671,-1.2186528153506486,-1.0522620985291016,-0.37260087992627217,0.17877478784316816,0.0,0.624644081692361,0.0,-2.7211744877391517,-1.9244280593090668,0.9795356580080595,-0.9072956892308179,0.5922985500674646,0.3768728278188487,-2.337377727348131,4.900062451854586,-3.0423258552979937,-0.8635261225245346,-0.6022320921420744,-1.1230176575640722,-1.3520693905486207,-2.734700115476116,-0.6978260438436655,0.21346912180435856,0.0,-0.7214203661852604,-0.9955457087399826,-0.6439161488635994,0.20034001841958154,-0.7001605045334817,-0.36067532664977453,-0.13485162439430856,-0.11447552022050198,-0.5340549124365259,2.6015323862392266,-0.38971307670527666,2.2181821157493182,-0.6494482445239549,-0.5322916592957951,-0.42584689970459133,-0.8011603747934932,5.448169473519989,-1.2454894600773225,-0.6293321297794439,-0.038166502660307355,2.4137818901329307,0.1047816879747005,-0.043157945762587774,0.003289026409049753,0.03407992860820781,-0.14935731850838507,-0.005443549290091328,-1.1544418723372116,0.6030150588117356,0.8849450811134798,0.11260014579843683,0.2124517934481318,1.2496914979227336,0.6965695023706282
