Iteration,LL,asc_carD,b_carD_p.age_group_agg2_5_14,b_carD_p.age_group_agg2_15_24,b_carD_p.age_group_agg2_45_64,b_carD_p.age_group_agg2_65,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg2_5_14,b_carP_p.age_group_agg2_15_24,b_carP_p.age_group_agg2_45_64,b_carP_p.age_group_agg2_65,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg2_5_14,b_pt_p.age_group_agg2_15_24,b_pt_p.age_group_agg2_45_64,b_pt_p.age_group_agg2_65,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg2_5_14,b_bike_p.age_group_agg2_15_24,b_bike_p.age_group_agg2_45_64,b_bike_p.age_group_agg2_65,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg2_5_14,b_walk_p.age_group_agg2_15_24,b_walk_p.age_group_agg2_45_64,b_walk_p.age_group_agg2_65,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21240.217360682713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20417.921904341987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3119416238483603E-4,0.0,-6.32366862457106E-5,-3.097945138483859E-4,-1.6298143477954928E-4,1.2042472464760315E-4,-5.014217397128265E-4,-4.921742496207885E-4,1.0699569974034356E-4,-4.718176049084384E-6,0.0,-5.0866332111647046E-5,0.0,-0.002911915777709151,-5.852974153989107E-4,-1.8747361548784042E-4,-7.193581592540885E-4,-6.174241654346764E-4,-0.0011816489842847592,-0.0011255780911042556,-4.398506965744115E-5,-0.0010691337891236775,-2.7841164956671243E-4,-3.1071524922452967E-4,-9.510178242653158E-4,-8.533079153181148E-4,-0.001565585845046433,-2.6051351517510747E-4,-1.4377516737332382E-4,0.0,-4.1397955081686616E-4,-7.33645262658995E-4,-4.69421401102579E-4,-3.5551973448069333E-4,-3.8985061529744073E-4,-1.048326328673718E-4,-1.0828338803815837E-4,-4.013845939443416E-4,-3.9190208752949116E-4,0.0033813660878379372,3.615471402847587E-4,6.560639203165004E-4,7.456618350828796E-4,6.348358705849504E-4,0.0014314216460718828,9.925824233256366E-4,0.0016377906858241946,4.944576542339346E-4,1.0610944026983335E-4,1.988378932037809E-4,0.0012487399334257417,8.165451875389724E-4,0.013136773454972777,-0.09242222731717617,-0.10805232329164353,-0.06024436885750409,1.0598658445068757E-5,5.875078983647099E-4,1.1175005732465859E-4,-0.002184636011266045,-1.2355771751279158E-4,-0.0019915352360473917,-1.64348745809012E-4,-3.5270319010137713E-4
2,20038.390043266663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.028134119904421E-4,0.0,-1.252894252274154E-4,-5.255822458126679E-4,-3.360741298188602E-4,-8.78375768203937E-6,-8.332103880633387E-4,-7.565309043569266E-4,3.0330998967741037E-6,-4.1591705285786684E-5,0.0,-2.1796093397746048E-4,0.0,-0.003058917059524106,-6.555982639690341E-4,-1.6336249221929143E-4,-7.661083165376212E-4,-5.889208757118025E-4,-0.001199897665380533,-0.0012338010374531706,1.2057242086656076E-4,-0.001188386010977816,-3.106122900159944E-4,-3.376088861398701E-4,-0.0010139021953062114,-9.214657987014439E-4,-0.00224998857001586,-3.8173392919932787E-4,-2.0673706062427933E-4,0.0,-5.917334184801721E-4,-0.0010481121963051418,-6.725744643903567E-4,-5.108857268198321E-4,-5.611065301164969E-4,-1.5051128934158507E-4,-1.5636301826010856E-4,-5.803209136201512E-4,-5.630909134412047E-4,0.004552479110612441,4.741265498426603E-4,8.972457397038205E-4,0.0010040056454968822,8.459099592462276E-4,0.0019272805150987622,0.0013357358863162663,0.002243135640894315,6.499911833442943E-4,1.3799747494294007E-4,2.653372302901325E-4,0.0016941014211174967,0.0010984834574169484,0.011500154366180706,-0.09170654782444337,-0.11165850813520088,-0.04767920179816057,1.5589517243744115E-5,8.660440011449106E-4,1.692437894710726E-4,-0.0027025658781514037,-1.5307519286074527E-4,-0.0024582519535578298,-1.9299260552197301E-4,-4.2732156245066095E-4
3,19722.620213423157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05032939848108732,0.0,-0.005965841928348701,-0.02352721400896681,-0.017051928347352297,-0.006781851541508644,-0.036975905315055534,-0.030214633132303388,-0.006355987264608347,-0.0031128715438012034,0.0,-0.01434937654300042,0.0,-0.02431955723957721,-0.009957174794206299,0.002789793956475005,-0.007444875626242819,0.0025228333070648782,-0.004621853476103597,-0.01625876421565104,0.02148423106471601,-0.017536447594930185,-0.004732387355427961,-0.004080426109654974,-0.009929205672298793,-0.010399398478413688,-0.07245866111167368,-0.012100124521006372,-0.0065746065237911565,0.0,-0.019121950220892515,-0.03419912697282684,-0.021511117612389614,-0.016659510277946266,-0.017724801679078396,-0.004836187273601382,-0.004884458303043616,-0.01829568243381107,-0.018105817698248573,0.09694403361087353,0.004798157074802937,0.02640247129082076,0.02097332440970874,0.01272606774718269,0.040230487049227034,0.02709864174363248,0.06844489367861792,0.004450937850791353,1.0128526700493975E-4,0.004155616329919943,0.042466041126320415,0.02286285456853825,-0.016409765269685912,-0.10368311211430135,-0.42671445435269,-0.08534221843423179,5.609243163207891E-4,0.030573110754714056,0.006274946392653673,0.021907452907934565,0.0010854339409809217,0.023621661280469497,0.005196985984619407,0.007827342288720658
4,17407.600254600977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4938155334013909,0.0,-0.05454197391357219,-0.20327210418542904,-0.15613391125189893,-0.07910794923696975,-0.3170599629797742,-0.2608269120151221,-0.07593663565181173,-0.030655583210574516,0.0,-0.14123859738956102,0.0,-0.1911943251782132,-0.08202855380245304,0.023883037027787258,-0.05835928813272519,0.023167933500109567,-0.03317030343393393,-0.12919753131288755,0.17656756970799836,-0.14050593044540133,-0.03787553700380659,-0.03239000758978014,-0.07825134423684743,-0.08275129243322016,-0.34585153112352207,-0.056220408201557194,-0.028386061650744105,0.0,-0.09326126381626623,-0.17216802943192933,-0.09939328417613355,-0.08062627453842292,-0.07978585019104521,-0.023134007928729612,-0.020723945405514827,-0.07840187281497203,-0.08626558883162588,0.7540680423405689,0.031114847827435843,0.2109867521113682,0.16290823581747743,0.0961227301744891,0.311857094107667,0.20998702179165968,0.5463950685683724,0.02852532052695135,-0.0010793843032380545,0.031352355148601053,0.3346210460983329,0.17682272421231515,-1.1097657485126768,-0.3252175890701423,-0.8911273510126217,-0.2796571645490452,0.001798782126038893,0.06933053819989865,0.031979233077171446,0.14153546621992663,0.006793484974477743,0.15973176062536415,0.04279130848101641,0.05878912878332345
5,16087.951564295747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.568276803015925,0.0,-0.05763299127823978,-0.2637227023936696,-0.18958079204490147,0.023783341890027787,-0.42263040283116377,-0.3756053473788489,-0.050124578094818496,-0.032658642705872286,0.0,-0.14911112121937586,0.0,-0.288025289824698,-0.1350170476655643,0.043422747252072236,-0.08920614350149789,0.0475413272632958,-0.03887652094468938,-0.212129878187991,0.31843577308257065,-0.24243731159415788,-0.06259398215533013,-0.053911253931258084,-0.12407159767451656,-0.12241648873869158,-0.5152817076181884,-0.08763363886700218,-0.03893211785968413,0.0,-0.139294097362566,-0.2560393805270042,-0.14417085675155475,-0.11422917617764133,-0.11810369688640665,-0.03513013378037202,-0.029464049120080923,-0.10992770873702054,-0.12631201522543334,1.1496628118657204,0.03299168474922347,0.3375629473393843,0.24356238212687348,0.13893294949726326,0.4594940318387283,0.31102600009173265,0.8717115435081666,0.026151892083464284,-0.007729442748004991,0.0459397537904072,0.5192366776533905,0.26537137826920704,-1.1118786126652527,-0.31939681256133634,-0.8654676320325184,-0.33497070064981527,0.0021121451209241476,0.03950473306310485,0.07010841266309603,-0.13994200430329085,-0.009562053448988729,-0.07852948221886416,0.06378385467103982,0.037996870678397784
6,15688.114669847297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5124712837387377,0.0,0.027433693392599455,-0.5854551450611707,-0.3242647969315288,1.331071728752749,-1.0715292844482338,-1.13780886730434,0.3116224869231312,-0.004711718927396493,0.0,0.01320127255227227,0.0,-0.9573129654476318,-0.6013201701874438,0.25404596247700906,-0.302733768435549,0.30260670264402656,0.03287207441322962,-0.890404478584542,1.7192334416439172,-1.1317750753032567,-0.28369013238461804,-0.23335099595339542,-0.4765755043621227,-0.41333459334215655,-1.6430830397876233,-0.32043876251960945,-0.061617868829019776,0.0,-0.4718991952741296,-0.8316657895776236,-0.42730884539650615,-0.24046229935771618,-0.40417815171159793,-0.12932536092808608,-0.08603932596475139,-0.2604937924407865,-0.3812862721857314,3.184998772953217,-0.04435717519052014,1.19802188410653,0.5404531054092631,0.24664460506759572,0.934501984759941,0.6714605259235493,3.0360964368964884,-0.19963582707741825,-0.121857941375947,0.1038862436914327,1.6964443204855724,0.6489999316807282,-0.07962224161106968,-0.07831630812655829,-0.11303636415095597,-0.20457719631149515,-0.009087038194732302,-1.100458962566163,0.3076366928666043,0.872615527095201,0.0560239914712227,0.4478834054775803,0.8334441285750378,0.6206382487400255
7,15656.0638514896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5622987799585739,0.0,0.03011644905475622,-0.6203952683269782,-0.371717514435738,1.3686531398937025,-1.136969313518962,-1.1946810219048145,0.3029123223415263,-0.0037153521779810287,0.0,0.01662711541821181,0.0,-1.036861341958976,-0.6522339896691696,0.2786179291996352,-0.3248601560723356,0.3218141484599085,0.038133097882453545,-0.9565849261845415,1.850871648140414,-1.2152343322423498,-0.3069881244172389,-0.25034218246264406,-0.5105422695764921,-0.451403139202688,-1.7675201750472163,-0.3452536268873659,-0.06312205176689871,0.0,-0.5080894325277704,-0.8820635047349399,-0.4630796046994903,-0.24921757368779007,-0.4356035935877014,-0.14267639440987795,-0.09422386851297646,-0.27952357092565167,-0.40991394496717576,3.332040320209879,-0.05052637540709915,1.2703106253917842,0.5509561010580591,0.2509103248187466,0.9590522621467663,0.6807326280053927,3.2210112552566383,-0.2246353296523707,-0.13539960689805247,0.10654410253240758,1.7906515040820117,0.6716027497906907,0.051477819515479195,-0.049925793709176686,-0.007552874100671292,-0.18429232409571827,-0.0071627080920733275,-1.0025918700490695,0.3408915507007791,0.973489083926513,0.06292952558375939,0.5206056379072012,0.881619803769851,0.6614258191409401
8,15304.390257353465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27074977617476337,0.0,0.10368665198322011,-0.5607269479570588,-0.4981112633178574,1.5431981865246391,-1.0932255847562853,-1.1577457695635316,0.287883820902918,0.04066855498066307,0.0,0.20864338369665925,0.0,-1.3207574312361594,-0.8626620006803248,0.4010380638396957,-0.39228708743096036,0.38664399380583037,0.0948224893815123,-1.194112258714336,2.3880520656758475,-1.5328912494413824,-0.4018803987075567,-0.3113110342940178,-0.6170607027252293,-0.5988885904786424,-2.129719345311075,-0.4457910713444853,-0.04320510254001903,0.0,-0.6168450602490825,-1.0140304550527983,-0.5573008311661339,-0.22995068464134008,-0.5347302016220217,-0.18973291546110393,-0.11550241237239696,-0.3081812724328127,-0.4817228115262214,3.2788367388490447,-0.11356402078693478,1.432734476483959,0.4062587304001179,0.16530145982203148,0.7418151399434139,0.4653289180202981,3.641453175712809,-0.3929504934403485,-0.21477058198589966,0.08396452313328635,1.922205121048159,0.5874882509128457,-0.04850048408123754,-0.05260304801954436,0.05386541968688116,-0.17930483549916626,-0.002652436709525036,-0.7830507269749722,0.425623269753719,1.013825118102446,0.0735015025430716,0.5078134395734962,0.9908068594706774,0.7095348356968384
9,14253.672157581539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29072301725880617,0.0,0.3088345675458427,-0.6033719217757715,-1.5062308706562386,1.2126662663759402,-1.31810189310444,-0.9704511695227745,-0.37325347105419426,0.13320527719212233,0.0,0.6966650575368549,0.0,-2.7291020370930488,-1.84594159491384,0.9808773091867773,-0.6993412934128898,0.6064733958080489,0.31872396216544646,-2.264988286828617,4.73883320221592,-2.9548852450568495,-0.8401537234127621,-0.5815799301364775,-1.0919215490651892,-1.323983973689086,-2.8619005245678846,-0.8015593330185428,0.16513302627059323,0.0,-0.8585611705305128,-1.0852842041994561,-0.712097993870209,0.1203401181488766,-0.7583350016711498,-0.3647149925344394,-0.16649425209163798,-0.20253091579910698,-0.5848428199872111,2.7036993436739016,-0.4198094450717222,2.0898599797928616,-0.3451903046525355,-0.27357523018435687,-0.3255058091788172,-0.6498036040863223,5.337405574823895,-1.1447472754045003,-0.5877567084401922,-0.02829936941340952,2.375882011516785,0.11603506101855193,-0.028733819628397522,0.0025492930798403785,0.10611404659420515,-0.1457206192270275,-0.003980059894691932,-1.1280730643342565,0.3805990672851969,0.9258965750651299,0.10813737305436916,0.3031120848448483,1.3384215632478473,0.7998583636724477
