| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg2_5_14   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg2_15_24  |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg2_45_64  |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg2_65     |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,2072914 | 0,08330 |  -14,49358  | 0,00000 *** |
| b_carP_p.age_group_agg2_5_14   |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg2_15_24  |  1,5028465 | 0,11544 |   13,01807  | 0,00000 *** |
| b_carP_p.age_group_agg2_45_64  | -0,1132225 | 0,07019 |  -1,61305   | 0,10673     |
| b_carP_p.age_group_agg2_65     | -0,1588233 | 0,07948 |  -1,99833   | 0,04568 *   |
| b_carP_p.female                |  1,2298402 | 0,05569 |   22,08342  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,6108731 | 0,06713 |  -9,10018   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6548656 | 0,29626 |   12,33681  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1728391 | 0,05820 |  -2,96984   | 0,00298 **  |
| b_carP_hh.cars_gr_3            | -0,3601318 | 0,09624 |  -3,74214   | 0,00018 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4282266 | 0,05890 |   7,27083   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,7139108 | 0,14512 |  -18,70122  | 0,00000 *** |
| b_pt_p.age_group_agg2_5_14     | -1,1923991 | 0,16785 |  -7,10386   | 0,00000 *** |
| b_pt_p.age_group_agg2_15_24    |  2,5710881 | 0,15624 |   16,45639  | 0,00000 *** |
| b_pt_p.age_group_agg2_45_64    |  0,5335685 | 0,12136 |   4,39671   | 0,00001 *** |
| b_pt_p.age_group_agg2_65       |  0,4832421 | 0,12768 |   3,78487   | 0,00015 *** |
| b_pt_p.female                  |  0,5126737 | 0,08276 |   6,19462   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,5122480 | 0,11005 |  -4,65469   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,1323106 | 0,29808 |   20,57259  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7579453 | 0,11313 |  -6,69979   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2963147 | 0,20664 |  -6,27317   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4844164 | 0,15282 |   3,16978   | 0,00153 **  |
| b_pt_t.full_purpose_HBR        |  0,3110673 | 0,09617 |   3,23450   | 0,00122 **  |
| b_pt_t.full_purpose_HBO        | -0,5614611 | 0,09469 |  -5,92968   | 0,00000 *** |
| asc_bike                       | -4,4778313 | 0,27038 |  -16,56098  | 0,00000 *** |
| b_bike_p.age_group_agg2_5_14   |  0,0307965 | 0,41929 |   0,07345   | 0,94145     |
| b_bike_p.age_group_agg2_15_24  |  2,3922134 | 0,22251 |   10,75124  | 0,00000 *** |
| b_bike_p.age_group_agg2_45_64  |  0,0000000 |         |             |             |
| b_bike_p.age_group_agg2_65     | -0,4906139 | 0,25433 |  -1,92905   | 0,05372 .   |
| b_bike_p.female                | -1,0046755 | 0,20730 |  -4,84640   | 0,00000 *** |
| b_bike_p.occupation_worker     | -0,0742271 | 0,20608 |  -0,36019   | 0,71870     |
| b_bike_hh.cars_gr_0            |  5,9161171 | 0,33859 |   17,47283  | 0,00000 *** |
| b_bike_hh.cars_gr_2            | -0,9413190 | 0,25190 |  -3,73686   | 0,00019 *** |
| b_bike_hh.cars_gr_3            | -3,1237799 | 1,01536 |  -3,07653   | 0,00209 **  |
| b_bike_hh.income_agg_high      |  0,8749335 | 0,29067 |   3,01010   | 0,00261 **  |
| b_bike_t.full_purpose_HBR      |  1,7420120 | 0,20388 |   8,54415   | 0,00000 *** |
| b_bike_t.full_purpose_HBO      |  0,6075236 | 0,22123 |   2,74612   | 0,00603 **  |
| asc_walk                       |  1,2753410 | 0,11370 |   11,21705  | 0,00000 *** |
| b_walk_p.age_group_agg2_5_14   | -0,5555747 | 0,21116 |  -2,63101   | 0,00851 **  |
| b_walk_p.age_group_agg2_15_24  |  1,9175343 | 0,13350 |   14,36334  | 0,00000 *** |
| b_walk_p.age_group_agg2_45_64  | -0,0489275 | 0,08419 |  -0,58117   | 0,56113     |
| b_walk_p.age_group_agg2_65     | -0,2048234 | 0,14488 |  -1,41378   | 0,15743     |
| b_walk_p.female                |  0,2669194 | 0,06686 |   3,99196   | 0,00007 *** |
| b_walk_p.occupation_worker     | -0,2838101 | 0,08312 |  -3,41448   | 0,00064 *** |
| b_walk_hh.cars_gr_0            |  5,9114617 | 0,29732 |   19,88249  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -0,3551223 | 0,07885 |  -4,50387   | 0,00001 *** |
| b_walk_hh.cars_gr_3            | -0,7682363 | 0,13471 |  -5,70281   | 0,00000 *** |
| b_walk_hh.income_agg_high      |  0,3701826 | 0,11436 |   3,23711   | 0,00121 **  |
| b_walk_t.full_purpose_HBR      |  1,3162356 | 0,07711 |   17,06984  | 0,00000 *** |
| b_walk_t.full_purpose_HBO      |  0,1303043 | 0,07350 |   1,77285   | 0,07625 .   |
| b_car_time                     | -0,2158689 | 0,01114 |  -19,38224  | 0,00000 *** |
| b_pt_time                      | -0,0458510 | 0,00329 |  -13,94946  | 0,00000 *** |
| b_bike_cost                    |  0,0073689 | 0,00655 |   1,12579   | 0,26026     |
| b_walk_cost                    | -0,0991705 | 0,00826 |  -12,01234  | 0,00000 *** |
| g_bike_grad                    | -504,4515126 | 504,96778 |  -0,99898   | 0,31781     |
| g_bike_stressLink              | -11,2705942 | 8,13860 |  -1,38483   | 0,16610     |
| g_bike_stressLink_c            | -46,8405173 | 49,41812 |  -0,94784   | 0,34321     |
| g_walk_vgvi                    |  0,6142465 | 0,14372 |   4,27388   | 0,00002 *** |
| g_walk_stressJct               |  7,9236326 | 1,92917 |   4,10728   | 0,00004 *** |
| g_walk_speed                   | -0,0390253 | 0,16779 |  -0,23258   | 0,81609     |
| g_walk_speed_c                 |  1,8377670 | 0,32532 |   5,64917   | 0,00000 *** |
| g_walk_speed_o                 |  0,6096456 | 0,16064 |   3,79503   | 0,00015 *** |


Iterations: 250

LL0 = 21408.93873922624
Start LL = 21240.217360682713
Final LL = 11008.105924587086

BIKE DETOURS: min=1,00  25perc=1,00  med=1,00  mean=1,00  75perc=1,00  max=1,00
BIKE OVERLAP: min=1,00  25perc=1,00  med=1,00  mean=1,00  75perc=1,00  max=1,00
WALK DETOURS: min=1,00  25perc=1,00  med=1,01  mean=1,03  75perc=1,04  max=1,54
WALK OVERLAP: min=0,00  25perc=0,38  med=0,74  mean=0,65  75perc=1,00  max=1,00
