Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,10969.407339244488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1797043485021044,0.0,1.4582617679043535,-0.22259628728129696,-0.1371842873760365,1.233049605644218,-0.576716232800909,3.6634117606606753,-0.15976149861022074,-0.3365095307891492,0.0,0.42899614955765064,0.0,-2.6882007292114003,-1.172721839911086,2.5727793880432577,0.5736341909652666,0.3285876299963969,0.5148767201711533,-0.6187949001196706,6.1496833677809715,-0.7864165114645474,-1.2970623255565883,0.45902349317761515,0.3136266531371737,-0.5497409873227371,-3.9689634803948417,-0.9116965300810993,2.310924520328903,0.0,-1.562070793415907,-0.9519790965222955,-0.22171420611149828,5.886978664809459,-0.9716636181139096,-3.260315701248887,0.9507852545940506,1.7525191179741653,0.5882361930142508,1.4750135412665197,-0.7822356421741103,1.8235807508088662,-0.12032330726873666,-0.8943931265359646,0.2469422709576237,-0.37238989795761324,5.943000014762398,-0.3797951813075052,-0.7670123710663563,0.416209397415009,1.3200115226222975,0.14394840237590883,-0.22328396226346048,-0.04766450112354318,-0.06070687034504991,-0.08615381274488747,57.013532521963214,1.2411983450302608,6.42432506319451,0.77895605295465,5.821906676267817,0.44795270451984576,2.04188982560922,0.37150169301451214
1,10968.510439713906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1797233521570258,0.0,1.4582580383307415,-0.22260034697858927,-0.13718496512053188,1.233046039547654,-0.576720242793737,3.6634060626541918,-0.15976607238336893,-0.3365096961008696,0.0,0.42898509694235126,0.0,-2.688218717371333,-1.1727232423946374,2.572773361960352,0.5736278669724248,0.32858673335301924,0.5148735109725326,-0.618799838613023,6.1496689199585495,-0.7864175108132389,-1.2970623490581796,0.45902250606326217,0.313618180024788,-0.5497466141934658,-3.9689050706003064,-0.9116859814895012,2.310938058918579,0.0,-1.562068263823821,-0.9519688714032299,-0.2216945813940878,5.887003934492495,-0.9716526759000089,-3.260315307232321,0.9507919177976767,1.7525505349331263,0.5882525412641249,1.4750066155951649,-0.782237111851602,1.82357876891883,-0.12032526655784272,-0.8943933211470962,0.24694113191776493,-0.3723914763566245,5.942995184874654,-0.37979576632398426,-0.7670123998284752,0.4162090192678601,1.3200079858104685,0.1439464080110593,-0.22362184424595075,-0.04846357598633612,-0.05788810437461436,-0.0865065292041912,57.013531927794475,1.2411851747016431,6.4243239281373805,0.7789641261619075,5.821906974815552,0.44795953584091736,2.0418907738637913,0.37150224689850764
2,10968.140685587838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1797577539256476,0.0,1.4582521862265447,-0.2226087278313654,-0.13718978216113115,1.233032529517078,-0.5767267620435628,3.6633947788491543,-0.1597739377951401,-0.3365108201513546,0.0,0.4289698022942891,0.0,-2.6882068908105876,-1.1727218132391157,2.5727728129833327,0.5736326086187938,0.3285921574802141,0.5148838275150672,-0.618796628129958,6.1496658648818405,-0.7864125857480304,-1.2970609569336657,0.45902431849410685,0.3136204630192452,-0.5497447154831749,-3.9688658339977323,-0.911678092888771,2.310946667089387,0.0,-1.5620666018339118,-0.9519620986958063,-0.22168163154077336,5.887019680447806,-0.9716447951785627,-3.2603150263113236,0.950796356087494,1.75257198709637,0.5882635596969477,1.4750165524829026,-0.7822357559658171,1.8235791800424612,-0.12032100768572745,-0.8943917446697072,0.2469463544686162,-0.3723873387894644,5.942994252076275,-0.3797920511430233,-0.7670114598380491,0.41621021324460883,1.3200110410072603,0.14394869877868754,-0.22423695459217205,-0.04773977016193265,-0.055795224015244255,-0.08615550974699916,57.01353149048601,1.2411790087184145,6.4243231055161605,0.7789561978714186,5.821906577717193,0.44795139788568367,2.0418899219228064,0.37150010821864493
3,10968.140398157533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1797569091230293,0.0,1.45825246812863,-0.22260845125813009,-0.13718970258171737,1.2330329684674335,-0.5767263666294301,3.6633950588497264,-0.15977373035207465,-0.3365107862255428,0.0,0.42897009656504137,0.0,-2.6882063242757988,-1.1727218909601655,2.5727729702788036,0.5736327139160837,0.3285922271847502,0.514883976505828,-0.6187964099366015,6.149666702333156,-0.7864127340769907,-1.2970609885028925,0.45902439862137856,0.31362066764962837,-0.5497446356889861,-3.9688686834942906,-0.9116780499485929,2.3109457954041615,0.0,-1.5620667679155351,-0.9519627098452789,-0.22168293557909166,5.887018082057308,-0.9716451262976757,-3.2603150409941715,0.9507958576282334,1.7525706635107186,0.5882628244613548,1.4750170868446069,-0.7822356373461072,1.8235794533583587,-0.12032093399426531,-0.894391796880839,0.24694617573328823,-0.3723871670541675,5.942994712966827,-0.3797920524278873,-0.7670114845354205,0.4162102715563963,1.320011426904393,0.14394888209113987,-0.22422569926386574,-0.04774739356699399,-0.05579156420587619,-0.08613104407146392,57.01353148953621,1.2411819851430497,6.4243231265971925,0.778955559050668,5.82190654373989,0.44795079926705333,2.0418898506425336,0.37150007349973563
4,10968.12871805241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1796142701243229,0.0,1.4582953394173739,-0.22256339454860924,-0.13717726352163045,1.2331044962060724,-0.5766648770645623,3.6634381528172377,-0.15973793365175776,-0.3365048147023103,0.0,0.42902057678220973,0.0,-2.6880861228301565,-1.1727296828649774,2.5728026719344284,0.5736622535347465,0.3286107601179316,0.5149239994561979,-0.6187565518735487,6.1498078423959335,-0.786428395167162,-1.2970641868370325,0.45903839231439325,0.31366148116938164,-0.5497241059780955,-3.969277767492611,-0.9116719836005351,2.31082103327947,0.0,-1.562090688197273,-0.9520505977236328,-0.22187032424383968,5.886789348272848,-0.9716930216498768,-3.2603171563355233,0.9507241160013997,1.7523806074727002,0.5881572746577325,1.4750111771220076,-0.7822299802493763,1.8236075280901227,-0.12034195267153044,-0.8944109134226386,0.24688424824051888,-0.3723880143290237,5.943036221193465,-0.3798112828432714,-0.7670195329794328,0.41621198377057317,1.320039303383349,0.1439555483544221,-0.22266306074756576,-0.04736222594927299,-0.05542121764210019,-0.08599704652713829,57.013531385648804,1.241609560107509,6.424326196693898,0.7789411523523674,5.8219050307372955,0.44793696490717777,2.0418868410177886,0.3715107441340064
5,10968.073389031924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1758111021534785,0.0,1.4592496337287748,-0.22173061951998754,-0.13671032174308498,1.2344366696567632,-0.5757373962196012,3.6654492012561364,-0.1594172824559535,-0.3364730477584684,0.0,0.4303322181992286,0.0,-2.6862119247524863,-1.172841222585669,2.5733661519167974,0.5739109395669288,0.32850776987447156,0.5151050636197393,-0.6174132188315733,6.151805959565623,-0.7860666465293144,-1.2970804599659358,0.45965311129736086,0.31463007024012857,-0.549714856171837,-3.9804886420031917,-0.911682134678531,2.307556417417736,0.0,-1.5627602821010809,-0.9544224652618912,-0.22699471919844302,5.8807144630609205,-0.9730771285339379,-3.260378087512504,0.948643272571581,1.7471696593523611,0.5852959260246873,1.475537954893811,-0.7826838996217023,1.8246596197227452,-0.12039883777647617,-0.894740030254909,0.24601069894776467,-0.3720524860400255,5.944973955455988,-0.3803939967855699,-0.7672312289658365,0.41618168036305947,1.3208910879870628,0.14416809661298596,-0.22325463412245047,-0.04751261567942522,-0.05481175838977547,-0.0860312818013633,57.01353167436712,1.2538182768300419,6.424448020181305,0.7784974551137801,5.821867349710223,0.44751952301072473,2.04223044843748,0.3718339508520403
6,10968.003402127695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1773377987945233,0.0,1.4600394551475577,-0.2236304487271388,-0.13759525446157808,1.2315496903181677,-0.5770854093015572,3.6677235435917503,-0.16129795274131487,-0.33701998818064594,0.0,0.4300937650323254,0.0,-2.6835556118066353,-1.1729199178667418,2.574160683405254,0.5740765757963586,0.3284494501620463,0.5154672280878443,-0.6157030325104544,6.15483115866548,-0.7856422907146251,-1.297122093798077,0.4604899206321685,0.3159482663693717,-0.5496831338184609,-3.9958680068740313,-0.911637655586302,2.303211703457161,0.0,-1.5637062259767847,-0.9576462862294473,-0.23411023555416216,5.872571148918487,-0.9750270561326034,-3.2604633798799285,0.945648678385891,1.7400991999845705,0.5813856587606565,1.4765879891527791,-0.7831071777371544,1.8259938780422635,-0.12041255638437323,-0.8950323167685903,0.2454797098369634,-0.37172001145859024,5.947593409303141,-0.38102353700896663,-0.7675242563068867,0.416158338884917,1.3220059879295445,0.14451985390171157,-0.22378957256800994,-0.047795113895219045,-0.054057157845801396,-0.08619921043418717,57.01353336099039,1.2719207612340087,6.424631712613082,0.7779427742504759,5.8218119708044584,0.44695869492268864,2.0426129004556692,0.37219606452594317
7,10967.972728914934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1821972864665498,0.0,1.4599392160521034,-0.22031964690578779,-0.1418725102152734,1.2340766757372168,-0.5742671922237751,3.670756715851142,-0.15981845042082726,-0.338438880630669,0.0,0.4268217630902624,0.0,-2.6933714368651818,-1.1727692708557218,2.5722149552180946,0.5657941699890704,0.3266121141026931,0.5055110614701088,-0.6195741958616354,6.152114244905809,-0.7882496150490713,-1.297416569013121,0.4610030572881612,0.31330618134732613,-0.5515471724921188,-4.008468197413267,-0.9103510247240689,2.3037718341114215,0.0,-1.565304533876327,-0.959670901462765,-0.24190191459172805,5.871633184344011,-0.9782050012733833,-3.260581819367921,0.9389988713289352,1.736709462300143,0.5786450419371608,1.4708425847891995,-0.7806241987443419,1.8214449010366687,-0.1237848041198587,-0.8928953343163442,0.24650685551090748,-0.3789831749664818,5.947198716530408,-0.3819265689451466,-0.7683446959535672,0.41562631891507773,1.3149456912988864,0.1426293900092095,-0.22393775828732188,-0.04742818726296709,-0.05321292185677968,-0.08601694921650137,57.013555912287586,1.3240237228471756,6.42534596511438,0.7793727217128739,5.821775705653497,0.44681425237261224,2.040993554396804,0.3698331602565957
8,10967.858848764088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1822577389835356,0.0,1.4586418407169426,-0.221999064135438,-0.13699949880048898,1.236082190966405,-0.5754588884702653,3.6707147912671156,-0.1554857086670182,-0.33909934518662266,0.0,0.42593018140529926,0.0,-2.6957363808935306,-1.1739347546231234,2.568776265327905,0.5636341573144181,0.32667055482717244,0.505387709435261,-0.6221954653821103,6.156041626363175,-0.7909113100223232,-1.2979644627831033,0.461903187555195,0.30815400507536483,-0.551063582848615,-4.015446397384407,-0.9086075308264726,2.3092907275261316,0.0,-1.5672480098878137,-0.9597849142042242,-0.2478954736270213,5.8781388943420545,-0.9816000874280258,-3.26070269089935,0.9299062727834434,1.7378209275601761,0.5780747759400755,1.46910639268257,-0.7790601668768676,1.8130963739307548,-0.11803984886375238,-0.8937288886154695,0.2529630697657982,-0.37481491230810404,5.9353317077089836,-0.3746746493769444,-0.7674356103633094,0.4176232556519784,1.3099257707708856,0.14010460426640983,-0.22445285752406474,-0.047465317108849395,-0.05251508256118343,-0.08606956976065937,57.01359667520294,1.4037236947011882,6.4266223222738255,0.7809106945533661,5.821664863174092,0.4447660816308828,2.039752659075761,0.3692974290062305
9,10967.782978278849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1821135084418872,0.0,1.455171267113162,-0.21942013243497127,-0.13632224263711787,1.2349498668238934,-0.5743697704244684,3.6658881548560345,-0.15428019338704402,-0.3373247005825136,0.0,0.42668455295208013,0.0,-2.6917942910873673,-1.175515241353463,2.5652682914856038,0.5694969665661291,0.3269630894811956,0.5143747476906464,-0.6197961985467888,6.155503152587515,-0.7886272704878069,-1.2981651216081962,0.4634832647496193,0.3067498033261337,-0.5510851011305357,-4.015803878393136,-0.9085252420857622,2.3136499472994605,0.0,-1.5682737767005028,-0.9580624106499467,-0.24784252639198714,5.8836266488555,-0.9822802818447114,-3.2607413075756324,0.9246455180557253,1.74085046372121,0.5790945954967434,1.4660119428615046,-0.7775402785262603,1.8123695041141323,-0.12385614415965568,-0.892078920525339,0.2495456622930457,-0.37685461271335047,5.9342300029450685,-0.37606057637518214,-0.7668556950107305,0.41679192937259935,1.3081210930886071,0.139542763062999,-0.22508079722346927,-0.04785305330702439,-0.05228568860273398,-0.0859051427803102,57.01364206819403,1.46000427235529,6.427754999659113,0.7814463664019989,5.821576686791953,0.44378574648938857,2.0386147389046023,0.3692431905721211
