| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0.0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0.0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0.0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0.0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0.0000000 |         |             |             |
| b_carD_p.female                |  0.0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0.0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0.0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0.0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0.0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0.0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0.0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0.0000000 |         |             |             |
| asc_carP                       | -1.1794443 | 0.08529 |  -13.82801  | 0.00000 *** |
| b_carP_p.age_group_agg_5_14    |  0.0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1.4574470 | 0.11803 |   12.34794  | 0.00000 *** |
| b_carP_p.age_group_agg_40_69   | -0.2229442 | 0.06945 |  -3.21016   | 0.00133 **  |
| b_carP_p.age_group_agg_70      | -0.1373660 | 0.08815 |  -1.55837   | 0.11915     |
| b_carP_p.female                |  1.2329173 | 0.05569 |   22.13829  | 0.00000 *** |
| b_carP_p.occupation_worker     | -0.5766377 | 0.06320 |  -9.12391   | 0.00000 *** |
| b_carP_hh.cars_gr_0            |  3.6628269 | 0.29723 |   12.32338  | 0.00000 *** |
| b_carP_hh.cars_gr_2            | -0.1594666 | 0.05852 |  -2.72518   | 0.00643 **  |
| b_carP_hh.cars_gr_3            | -0.3364383 | 0.09649 |  -3.48677   | 0.00049 *** |
| b_carP_hh.income_agg_high      |  0.0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0.4289260 | 0.05894 |   7.27747   | 0.00000 *** |
| b_carP_t.full_purpose_HBO      |  0.0000000 |         |             |             |
| asc_pt                         | -2.6867625 | 0.15127 |  -17.76151  | 0.00000 *** |
| b_pt_p.age_group_agg_5_14      | -1.1740209 | 0.17381 |  -6.75480   | 0.00000 *** |
| b_pt_p.age_group_agg_15_24     |  2.5703124 | 0.16387 |   15.68533  | 0.00000 *** |
| b_pt_p.age_group_agg_40_69     |  0.5716978 | 0.12258 |   4.66379   | 0.00000 *** |
| b_pt_p.age_group_agg_70        |  0.3276054 | 0.14271 |   2.29558   | 0.02170 *   |
| b_pt_p.female                  |  0.5144948 | 0.08291 |   6.20523   | 0.00000 *** |
| b_pt_p.occupation_worker       | -0.6174198 | 0.10481 |  -5.89080   | 0.00000 *** |
| b_pt_hh.cars_gr_0              |  6.1491798 | 0.29913 |   20.55705  | 0.00000 *** |
| b_pt_hh.cars_gr_2              | -0.7853254 | 0.11342 |  -6.92421   | 0.00000 *** |
| b_pt_hh.cars_gr_3              | -1.2969300 | 0.20643 |  -6.28275   | 0.00000 *** |
| b_pt_hh.income_agg_high        |  0.4611054 | 0.15287 |   3.01633   | 0.00256 **  |
| b_pt_t.full_purpose_HBR        |  0.3126913 | 0.09649 |   3.24055   | 0.00119 **  |
