Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21240.217360682713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20416.884932446505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3111950617508617E-4,0.0,-6.322243173325708E-5,-4.970668327701303E-4,-4.893576062606789E-5,1.2039757908006773E-4,-5.013087116138299E-4,-4.920633060469387E-4,1.0697158127960553E-4,-4.717112500324283E-6,0.0,-5.085486606547043E-5,0.0,-0.0029112593875315314,-5.851654804448178E-4,-1.874313560788592E-4,-0.0011220701915393776,-3.9214253407111676E-4,-0.0011813826226019742,-0.0011253243686550004,-4.3975154752653697E-5,-0.0010688927900799846,-2.7834889133946235E-4,-3.106452092737904E-4,-9.508034503595291E-4,-8.531155667143578E-4,-0.00156523293814618,-2.6045479146001685E-4,-1.4374275826026776E-4,0.0,-2.857114297777017E-4,-7.334798878401377E-4,-4.693155863674116E-4,-3.554395949164074E-4,-3.8976273702960785E-4,-1.0480900199486E-4,-1.0825897931286086E-4,-4.0129411574200833E-4,-3.9181374682856424E-4,0.0033806038764086148,3.6146564205138043E-4,6.559160335141131E-4,0.001166744051873482,3.6932547532479997E-4,0.0014310989818259912,9.923586801260094E-4,0.001637421502852832,4.943461959458987E-4,1.0608552158548162E-4,1.987930721134744E-4,0.0012484584484209291,8.163611258141156E-4,0.013133812226105008,-0.0924013939391406,-0.1080505081753012,-0.060253330382417265,1.0596269345990911E-5,5.873754651340813E-4,1.1172486715929121E-4,-0.002184143561027461,-1.2352986572093503E-4,-0.0019910863136653185,-1.6431169909795018E-4,-3.526236854291027E-4
2,20037.35423626281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.022333133004784E-4,0.0,-1.252302543480228E-4,-8.412861253817316E-4,-1.4206763827015603E-4,-8.66835926763694E-6,-8.32808753474127E-4,-7.562160346353292E-4,3.116551494428577E-6,-4.1554670166403554E-5,0.0,-2.1780245970873634E-4,0.0,-0.0030581637603057403,-6.554227175328014E-4,-1.6334182178550952E-4,-0.0011873778178548074,-3.6339016505909877E-4,-0.0011996194302534915,-0.0012334643763326429,1.2045918861074405E-4,-0.0011880586666932118,-3.1052585820542906E-4,-3.375188411597354E-4,-0.0010136447803683532,-9.212266441792033E-4,-0.002249187113277172,-3.8158932090232587E-4,-2.0666008594657538E-4,0.0,-4.078068294447602E-4,-0.001047742855084472,-6.723323843428487E-4,-5.107020061867683E-4,-5.609069968125459E-4,-1.5045775033533304E-4,-1.5630619115260732E-4,-5.801122717330301E-4,-5.62890324296153E-4,0.004550863884144377,4.739717091164085E-4,8.969288077572894E-4,0.0015689718138724136,4.890599071858642E-4,0.0019265921400101979,0.0013352462500227345,0.002242331064643923,6.497611693517984E-4,1.379484265768753E-4,2.6524216471474077E-4,0.0016934969741364523,0.0010980958124841467,0.01149849516009893,-0.09168608659795872,-0.11165446162382918,-0.04769703407476674,1.5585186742620154E-5,8.657875768469732E-4,1.6919309710462175E-4,-0.002701738719301829,-1.5302814816298303E-4,-0.002457502216900623,-1.9294164350154233E-4,-4.272016087103109E-4
3,19693.692056438773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04950515754130419,0.0,-0.005875926239674838,-0.03681338635873024,-0.008275709729523264,-0.0066443173322023735,-0.036379619538790056,-0.029751508640570367,-0.006235280124228062,-0.0030586548405941104,0.0,-0.0141133488641284,0.0,-0.023990227662756252,-0.009814430952345455,0.002743599752428466,-0.010482681321502303,0.0029380432120043073,-0.004568123306000076,-0.016025858792095823,0.021154253141511623,-0.017283567173129767,-0.004663969345737493,-0.004022516903057483,-0.00979134494534587,-0.010252773704619755,-0.07138768751257427,-0.011918696393986211,-0.006475973231572393,0.0,-0.013057418553593611,-0.03369430419584713,-0.0211914235575481,-0.016412594185972504,-0.01746298408360882,-0.004764652973033476,-0.004811838249259471,-0.018024941329256212,-0.01783817897346661,0.09549008771790198,0.004733121570993841,0.02600946059294506,0.031281867723385044,0.005643045662249052,0.03962405244612219,0.02668092756305788,0.06741781313379039,0.0043824629736179815,9.889345611403664E-5,0.004092238813577151,0.04182898724964901,0.022521435874127266,-0.01589882089649272,-0.10345575984361637,-0.4219438085668442,-0.08496591789305658,5.523526389132492E-4,0.03018910732870103,0.006214088582514019,0.02155911538149166,0.001068089235546415,0.02324869640901076,0.005115330026680387,0.007702314153598498
4,17379.22280587642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48740163856618096,0.0,-0.0542807498499745,-0.3193894499435901,-0.08037305905554173,-0.07682459477872915,-0.31281690182470206,-0.2588237108907112,-0.07416725001799311,-0.03006439491105693,0.0,-0.1393820942148045,0.0,-0.1899658260277932,-0.08153880663073353,0.023715132257409344,-0.08249090703017,0.02601643188960639,-0.03294236295054558,-0.12841761618600608,0.17546859505476275,-0.1396340478931862,-0.03764251261206667,-0.03219695678634801,-0.07776220839306279,-0.08222246265978277,-0.34413768988990934,-0.055880827835392236,-0.028223357496091186,0.0,-0.06608161504818703,-0.17129649645845907,-0.09882521464587363,-0.08028210744963489,-0.07932901910968887,-0.023001122313938187,-0.020598065338970947,-0.07801211212767489,-0.08583345043342892,0.7487071074014205,0.031062830234453526,0.20975528936524493,0.24398452317445016,0.041658030974201544,0.3095204407774661,0.20810983425394325,0.5428953556195583,0.02808947034394404,-0.0011483857613688883,0.031076475000522196,0.3323614297133883,0.17561329899732336,-1.1034391686857608,-0.3236940147958223,-0.8834961908074326,-0.27974138038547747,0.0018138669731078902,0.0677781409432067,0.03256114337316174,0.1410705408657335,0.006783896316237091,0.15793395891917378,0.04252119305163042,0.05795178457369788
5,16099.822068250007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5519214580136536,0.0,-0.05820852503926275,-0.4079686175582603,-0.09162759278322175,0.03433004209903753,-0.41147140895243883,-0.37545005880976673,-0.04279607154221372,-0.030359553918767986,0.0,-0.14447632419462306,0.0,-0.28844533184803833,-0.13585839925825033,0.04348268054179236,-0.12474978373912829,0.050297609913494266,-0.03849149231922605,-0.21308838856902212,0.3201542627533191,-0.24348268707249915,-0.06288825539446055,-0.05421032222646613,-0.12454087349169601,-0.1227327616807636,-0.5186992959044663,-0.08804306653824728,-0.03912667343469173,0.0,-0.10134950723957681,-0.25759666663076913,-0.14464607955547795,-0.11500704715391694,-0.11870724955357785,-0.035314715953709615,-0.029546232367564,-0.11055228249109841,-0.1271005938067656,1.1501031726170337,0.03422931273186544,0.3398485152650276,0.3646924739640664,0.05666527218629898,0.45865360337610533,0.30835605487164647,0.8750293577049737,0.024463964590779607,-0.008281586523127594,0.04560297766417029,0.5203255130317506,0.2656874649908867,-1.1142765647452049,-0.3189899112274314,-0.8618972040205961,-0.3389746872556534,0.002258046843466667,0.035965937456770895,0.0739336033177765,-0.14853205131308916,-0.009331854195079833,-0.10356023051019891,0.060144759370258975,0.031103085050034934
6,15078.057251997372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5304077901407331,0.0,-0.02569940849645063,-0.6795028234076266,-0.1074071794132914,0.7790249659920995,-0.7574533533391961,-0.833727507698931,0.17981516202080933,-0.008746190126898958,0.0,-0.059153235518216454,0.0,-0.6761115110345627,-0.4022107055892145,0.15874865203434624,-0.2835270036334515,0.1818859910877048,-0.0034434072796708307,-0.603917569577237,1.1092005629634676,-0.7511119295776589,-0.1884025092915286,-0.15773534107150117,-0.328985015517007,-0.2912988214171129,-1.1910663477668457,-0.2238004097582555,-0.05838750116925928,0.0,-0.253273668176065,-0.5984041771675533,-0.31192954715036836,-0.20209613178698435,-0.28430435341386395,-0.08952534026596023,-0.06271136533825275,-0.20629054463224153,-0.28027477870803025,2.3947140219521392,0.006823329655170442,0.8621689014252659,0.6206655156502596,0.05654638234545939,0.7750846952891042,0.5251398076572193,2.1719816355705603,-0.10647128032700538,-0.07426196570643888,0.07908526894096016,1.223548650775026,0.5116071948406234,-0.4839869415366287,-0.17147798076975196,-0.4070697513632199,-0.2701221510950207,-0.0023831200270408867,-0.5804484036783947,0.22796936677741775,0.36083187767991304,0.02287570848619984,0.20070890158968507,0.44573801280639996,0.32785529471563535
7,14804.1463083141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4893155465565948,0.0,-0.0093492140542977,-0.7329661379329439,-0.12224759763150853,1.0109506303162477,-0.8388168443947539,-0.9525154877773758,0.23958056300739672,0.003381301527375492,0.0,-0.017301382229331454,0.0,-0.8088715835326933,-0.49801089609623905,0.2014735153557018,-0.33289967469856646,0.22323921233907046,0.012693334805736717,-0.7301218526491366,1.373133706019454,-0.9147135229059423,-0.23152007295684962,-0.19093284608610392,-0.3950636661225305,-0.3525685660905904,-1.3742323872254303,-0.257042236336922,-0.05548761969156576,0.0,-0.30007850338992553,-0.6813088259808748,-0.35969558796724954,-0.2068190934426089,-0.33166351464229143,-0.10846294508198745,-0.07193788730460823,-0.22155852094383732,-0.31945350010404705,2.684087097180173,-0.005639769310841019,1.0108338983753404,0.6499791266776214,0.045132657924391334,0.8140272278640203,0.5457080058044147,2.539103022837384,-0.1635983953368278,-0.10101885671033248,0.08391890388488629,1.4134581015222418,0.5584511279744058,-0.3252886641518014,-0.1320958177404189,-0.24351483681594938,-0.24348359883135706,0.0036102863305552124,-0.2837638642298816,0.3077885760843927,0.5321602435300958,0.035537603791031006,0.2933697090882286,0.5539533051347582,0.4105227737748327
8,14488.578760957096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2759641828727214,0.0,0.0290838990652345,-0.6695229612405936,-0.14681751898426873,1.2432082201697412,-0.8097502706680733,-0.9653629894272389,0.2964310791504712,0.031074533749063292,0.0,0.08923669597825154,0.0,-0.933632136488482,-0.6024488324355564,0.25425305298349965,-0.3700923943774955,0.2602682275373815,0.04421891750304224,-0.8479709333748894,1.646099834836627,-1.0722611953090635,-0.276891120489142,-0.22132479470399224,-0.4528102735423222,-0.416115285839985,-1.5168560624680343,-0.28917430474056105,-0.04214202409635612,0.0,-0.34100042154119103,-0.7388251224324146,-0.39343319908126484,-0.18875240153366352,-0.3716259508094887,-0.1271294247569088,-0.07722300751586696,-0.21931231357396871,-0.34387928273871027,2.702697090286018,-0.03224144580498571,1.1086007228740775,0.5607405583389172,0.006353103241299118,0.7145168183870949,0.45593491619140747,2.774444381253743,-0.25306233115120214,-0.1393985725565598,0.07469777782742866,1.5048836023015335,0.5313458071786751,-0.4274345106805788,-0.14178681803259102,-0.2474856734816639,-0.2482340992646716,0.005636444785666713,-0.24396792580734133,0.36753445239331317,0.5764519121828251,0.04423270609828536,0.25408531032654286,0.6269461719680611,0.4431292664738628
9,13425.627226070179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5186259870429559,0.0,0.15789318965569857,-0.9053932969155846,-0.7084001238113001,1.3823618517265537,-1.1534389468038269,-0.9440485713690726,-0.11638778029347918,0.06976793828695677,0.0,0.3111472802975155,0.0,-1.6715956696509617,-1.2803180189049006,0.6242177047010731,-0.532488495012165,0.4622569588931972,0.3206349832344582,-1.552254351635023,3.3727124085696696,-2.029556506403961,-0.5669512087312418,-0.39836220120255844,-0.7690459433521766,-0.8103331112110912,-2.072092954441187,-0.40348418492101695,0.1001661574340176,0.0,-0.5522110305426691,-0.9002989053693315,-0.5252322305517393,0.05906729863674812,-0.531686496013376,-0.23513496252622074,-0.08093933380888983,-0.07545389496562696,-0.4037751236854221,2.242994565295069,-0.2341121532356768,1.6127760610131607,-0.25598972170440104,-0.3078440626660907,-0.14409819600249585,-0.3667934571503375,3.9417774530377607,-0.8496840089258917,-0.4126413456241276,-0.004390432638633604,1.8773849034086036,0.20195889943237572,-0.45144789804469987,-0.12310040209285154,-0.21257200179525249,-0.22710297183014944,0.014591028616694852,-0.2684304476513097,0.6519622301071242,0.7108038410959368,0.10042034525080375,-0.21154889841384972,1.0277963421883192,0.5395884171970562
