| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0.0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0.0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0.0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0.0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0.0000000 |         |             |             |
| b_carD_p.female                |  0.0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0.0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0.0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0.0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0.0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0.0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0.0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0.0000000 |         |             |             |
| asc_carP                       | -1.1776326 | 0.08526 |  -13.81162  | 0.00000 *** |
| b_carP_p.age_group_agg_5_14    |  0.0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1.4558068 | 0.11800 |   12.33690  | 0.00000 *** |
| b_carP_p.age_group_agg_40_69   | -0.2240613 | 0.06943 |  -3.22700   | 0.00125 **  |
| b_carP_p.age_group_agg_70      | -0.1368548 | 0.08813 |  -1.55292   | 0.12044     |
| b_carP_p.female                |  1.2318952 | 0.05568 |   22.12598  | 0.00000 *** |
| b_carP_p.occupation_worker     | -0.5760031 | 0.06320 |  -9.11437   | 0.00000 *** |
| b_carP_hh.cars_gr_0            |  3.6570514 | 0.29724 |   12.30337  | 0.00000 *** |
| b_carP_hh.cars_gr_2            | -0.1589977 | 0.05851 |  -2.71761   | 0.00658 **  |
| b_carP_hh.cars_gr_3            | -0.3363073 | 0.09648 |  -3.48581   | 0.00049 *** |
| b_carP_hh.income_agg_high      |  0.0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0.4265614 | 0.05894 |   7.23753   | 0.00000 *** |
| b_carP_t.full_purpose_HBO      |  0.0000000 |         |             |             |
| asc_pt                         | -2.6852075 | 0.15124 |  -17.75444  | 0.00000 *** |
| b_pt_p.age_group_agg_5_14      | -1.1826642 | 0.17401 |  -6.79650   | 0.00000 *** |
| b_pt_p.age_group_agg_15_24     |  2.5667135 | 0.16384 |   15.66562  | 0.00000 *** |
| b_pt_p.age_group_agg_40_69     |  0.5691549 | 0.12256 |   4.64400   | 0.00000 *** |
| b_pt_p.age_group_agg_70        |  0.3327336 | 0.14265 |   2.33259   | 0.01967 *   |
| b_pt_p.female                  |  0.5121547 | 0.08292 |   6.17630   | 0.00000 *** |
| b_pt_p.occupation_worker       | -0.6152165 | 0.10491 |  -5.86427   | 0.00000 *** |
| b_pt_hh.cars_gr_0              |  6.1453372 | 0.29911 |   20.54513  | 0.00000 *** |
| b_pt_hh.cars_gr_2              | -0.7858207 | 0.11353 |  -6.92196   | 0.00000 *** |
| b_pt_hh.cars_gr_3              | -1.2969846 | 0.20660 |  -6.27774   | 0.00000 *** |
| b_pt_hh.income_agg_high        |  0.4614899 | 0.15301 |   3.01617   | 0.00256 **  |
| b_pt_t.full_purpose_HBR        |  0.3090672 | 0.09651 |   3.20252   | 0.00136 **  |
