Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_bike_stressLink_o,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20450.475513973972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.307243798341096E-4,0.0,-6.356549406700322E-5,-5.009605781077913E-4,-4.892947706460777E-5,1.232173253800066E-4,-5.053898616112609E-4,-4.965544484373475E-4,1.0931343722819546E-4,-4.491137611815945E-6,0.0,-5.0013816840758306E-5,0.0,-0.002938199309861786,-5.904198453267522E-4,-1.8909398636126934E-4,-0.0011325846175569442,-3.957699784257112E-4,-0.001192347707867456,-0.0011360254506315743,-4.372213442085083E-5,-0.0010790069657797504,-2.810203389342921E-4,-3.1358338229678856E-4,-9.594915531274367E-4,-8.613355580361895E-4,-0.0015930509967821927,-2.6519885142512194E-4,-1.4629097917033773E-4,0.0,-2.9035654061523305E-4,-7.461129421586803E-4,-4.7807094407304265E-4,-3.6143957555885797E-4,-3.972099142017368E-4,-1.0673055209488008E-4,-1.1033900097147305E-4,-4.093475438314711E-4,-3.984521748519208E-4,0.0034168984278214634,3.653969349036004E-4,6.629124924711038E-4,0.0011793000930664483,3.732826766072592E-4,0.0014464851852352212,0.0010029854494629231,0.001654960291348312,4.996629897187377E-4,1.072300807918552E-4,2.0092259151194828E-4,0.001261837320226613,8.251531736187433E-4,0.013311317463780751,-0.09325871046273074,-0.10815301180224032,-0.0598218884398354,1.0607444183834398E-5,5.77945023018966E-4,1.0906878215893368E-4,1.7458007706730317E-4,-0.0022078764809625616,-1.2485899299086587E-4,-0.002012874498729794,-1.6613307952739886E-4,-3.564444852396703E-4
2,20062.71889874724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.178614835531609E-4,0.0,-1.2739991300738507E-4,-8.55513163129841E-4,-1.4476802321697896E-4,-9.102711878732322E-6,-8.46894683766547E-4,-7.688787001342228E-4,2.929383439342437E-6,-4.233749714583488E-5,0.0,-2.2143395864263922E-4,0.0,-0.0030880435173908094,-6.625713897016202E-4,-1.6402653370599612E-4,-0.0011993990538247715,-3.6580804466048936E-4,-0.0012104243294728833,-0.0012471760454978488,1.265481950364092E-4,-0.0012016183987765719,-3.141458649371475E-4,-3.412150723876259E-4,-0.0010238651945109136,-9.312892308749463E-4,-0.0023038454194903414,-3.9115588039238315E-4,-2.116636398369489E-4,0.0,-4.1704751605016563E-4,-0.0010725437582489196,-6.89221028029909E-4,-5.226624245326845E-4,-5.75292854472766E-4,-1.5419327490249997E-4,-1.6033715790142106E-4,-5.955783458964328E-4,-5.760719831227955E-4,0.004623644758521995,4.813219733871467E-4,9.115946320521948E-4,0.0015940312203056438,4.966231641605976E-4,0.0019574030456372656,0.0013565235958806316,0.0022792042590808114,6.59709637919681E-4,1.4002065010362355E-4,2.6940970725351955E-4,0.0017209251409170427,0.0011156526407652503,0.01165132116343569,-0.09250202031282716,-0.11187590211960488,-0.046896192950429,1.571112161880406E-5,8.572661789387937E-4,1.6635694832357396E-4,2.563490287719297E-4,-0.0027394836957313467,-1.5515616785521642E-4,-0.0024918445812283615,-1.9544398825736982E-4,-4.328956181233934E-4
3,19766.168655594935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05316526364773189,0.0,-0.006319564108781608,-0.039566109915519246,-0.008892563778709246,-0.007119198672095409,-0.03909535536989606,-0.03200709673179755,-0.006659835430127944,-0.003278550136013827,0.0,-0.015137035984294195,0.0,-0.02547176363653882,-0.01049680027993081,0.002985147363471559,-0.011156017316692876,0.003214615584995007,-0.004769595210906729,-0.01713483467555219,0.02282806938762556,-0.018501065773035952,-0.0049950672477268475,-0.004301627120567448,-0.010434734043416516,-0.010954424824037206,-0.0776835777533232,-0.012994569946955511,-0.007051069300856042,0.0,-0.014172204192583715,-0.03661979074091554,-0.023083394370393993,-0.017844103903539663,-0.01903577119725173,-0.005186617448594515,-0.005249022615563851,-0.01968400080173313,-0.0193878476533644,0.10311524345002765,0.005176638615750048,0.028021258943727055,0.03378555866599272,0.0061209560305280535,0.04278006249070186,0.028807080907678615,0.07263472298149416,0.004796473272714461,1.254680299774228E-4,0.004426570804090479,0.04511566081620746,0.024307228057875902,-0.014070675135691274,-0.10446202257026076,-0.4500666813441341,-0.08668737483682692,5.893711554426008E-4,0.031663757512042055,0.0064501097793283595,0.009535941056494208,0.02121395072269657,0.0010387814515259055,0.023192220990125894,0.005300343012176067,0.00792292128596961
4,17536.905776030977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5191071052693838,0.0,-0.05779506044792416,-0.33936014462932723,-0.08559338263479757,-0.08120910557199357,-0.33226598078153785,-0.275763174168778,-0.07871105134009526,-0.03188742974233837,0.0,-0.1481909814497198,0.0,-0.20110633282690768,-0.08666327746106844,0.02539230743627861,-0.0874034126928785,0.027886773407276567,-0.03452383479805986,-0.1363665340650404,0.18715251869760569,-0.14837725683563185,-0.04001699683704886,-0.03421637276058389,-0.08247797261477127,-0.08737823204016948,-0.3655040877267952,-0.05946142531557983,-0.029861098124979994,0.0,-0.07002685325942878,-0.1819663013714864,-0.10519093344557223,-0.08492941163767054,-0.08454145830965315,-0.024514418806906156,-0.021928756691038123,-0.08312465688367213,-0.09096245916738548,0.800730010316529,0.033799557690636764,0.2236938028613901,0.2609725581173898,0.04486291902479647,0.3308829562659152,0.22251651433378314,0.5788421498310591,0.030744921160046425,-0.0010222547403162204,0.03331747878045027,0.3548946422205008,0.18765272167095506,-1.1672882973799763,-0.33780995940913666,-0.9471285021196998,-0.295352585617909,0.0016754638321502338,0.06524647771218847,0.031659416565485834,0.02789752143408361,0.12700493247440928,0.005929157112185852,0.14805721960479876,0.043001298173545456,0.05792092073422384
5,16404.243545813188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.580981960510837,0.0,-0.06133848394357267,-0.4262618199958804,-0.0960807824495357,0.03232557824982313,-0.4293708732458207,-0.3919784004498485,-0.04650215425095051,-0.03190177313468044,0.0,-0.15254202242995682,0.0,-0.29843767579887837,-0.14059154413796165,0.04538834163891845,-0.12913469283406992,0.051932067775044666,-0.03965361199654212,-0.22062567029714092,0.33238920009398154,-0.25200705434138265,-0.06517095127572628,-0.056084231947555754,-0.12876840742898013,-0.12781317849628754,-0.5352662929804342,-0.09131901546472909,-0.04011173119142079,0.0,-0.10391854191467244,-0.2661878417063406,-0.14997409261923544,-0.11805181188725017,-0.12320926362452317,-0.03663249335048288,-0.03066465769657549,-0.11474595306861993,-0.13089525302480645,1.2008415149225429,0.037318681615922826,0.35314545165518774,0.3809531515676665,0.05988023451093761,0.4786732301617743,0.3221986524406921,0.9091168236830397,0.027520066551202392,-0.008054269144439944,0.04789926519317136,0.5422990084772137,0.27718253239726737,-1.1765931435609023,-0.33264470456233264,-0.9279489489497277,-0.35414722398152637,0.0015967554907118902,0.016699612141600075,0.06666517923885738,0.02293780352507508,-0.17694015920538905,-0.011546033949037273,-0.11250510019413143,0.061873879189406386,0.031563194850995235
6,15602.580402241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6140579307705056,0.0,-0.03469448296263283,-0.7618470588522751,-0.11609920124461785,0.8458814041473728,-0.8436318294533752,-0.9388911175405215,0.19988403249878567,-0.01078080989347845,0.0,-0.07607166360007105,0.0,-0.7488849476197563,-0.4377045838581223,0.17237015886081689,-0.31643949646652725,0.19707166184902974,-0.012078038776874363,-0.6660465185856006,1.209710635024556,-0.8257148663578644,-0.20580908640848805,-0.1735271903764563,-0.36265165952853096,-0.3236333991520449,-1.3048127183248557,-0.24749334626854577,-0.06632297410292451,0.0,-0.2714732684649135,-0.6570723025173864,-0.3440195499747361,-0.22900138797220043,-0.30976552402557067,-0.09738166502063123,-0.06876702430963486,-0.23174533002642608,-0.3070796878776042,2.73515426533363,0.01353117994002851,0.9660492287659896,0.7307947297008421,0.0708514797149397,0.9118313813742721,0.616497792378569,2.4447195339087378,-0.10560441158740383,-0.0782624932172593,0.09121515832119857,1.3792172544506864,0.5909664651807061,-0.44118795635823793,-0.16090578577814613,-0.39406639076887373,-0.2920079930530528,-0.005419552682043035,-0.6778048031838271,0.2231674192399391,-0.08470308191421758,0.29785142387482055,0.017101238986699633,0.1879364465278093,0.47337507679580615,0.34543944039606383
7,15371.859511296803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6184660594349002,0.0,-0.027489442562683677,-0.8347451000237665,-0.12419511450089647,1.0377499022390022,-0.9372027722658798,-1.0649892721723666,0.2533907018482569,-0.004309073007654954,0.0,-0.05552720682689466,0.0,-0.8634276391105418,-0.5140709763873308,0.2050194437401705,-0.3623197504921622,0.23201073653779936,-0.004738244393054683,-0.7750257349979341,1.4253869065347489,-0.9652754759740754,-0.24106563604336276,-0.20213469813684354,-0.4202856145659231,-0.3747907548044199,-1.4773724519876543,-0.27990514902077257,-0.06865149545192792,0.0,-0.31451440044196005,-0.7411713422377781,-0.38613651027253654,-0.24688449358820336,-0.35163098674902993,-0.11231835094412485,-0.0769569520366219,-0.2538978913546078,-0.3458984998935664,3.074645864341288,0.00752067969845263,1.1091964140677144,0.7990530523957526,0.0703566471854613,0.9976251047258825,0.6726998209722119,2.803136464416474,-0.14219551700820893,-0.09701071235254513,0.10002000000719377,1.572238498148439,0.6572518507902949,-0.26017144876737786,-0.11853135654318575,-0.23697069274351235,-0.2715806672883296,-0.0029276627136472387,-0.5709462749054673,0.2731412009086685,0.026799239320578844,0.4259521064855161,0.025404293833902605,0.2698850561743432,0.567088458098747,0.41857948725034255
8,14997.367037331052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37916772830934353,0.0,0.009179587092442692,-0.7613500291860426,-0.12898461634574093,1.2991997846782397,-0.898435681268972,-1.093621460537218,0.33549460453825286,0.02548481116795571,0.0,0.05127810987664834,0.0,-0.9797590986852012,-0.606942940703443,0.2506280804697273,-0.39993144131362035,0.26598701647953515,0.018434660510063684,-0.8841136397652886,1.6688424549810987,-1.110151883496507,-0.2815259128709536,-0.23066121799688835,-0.4751022179245177,-0.4332913616726748,-1.620386007127122,-0.31448024109181016,-0.060174226304430825,0.0,-0.3506423550278125,-0.7981643431611772,-0.4206117080616638,-0.23856128928973916,-0.38995176020391437,-0.12952530632405856,-0.08338813720526853,-0.2597167154643488,-0.3721184096547851,3.1590394330529388,-0.009103165060619785,1.211075460632396,0.7448195743565582,0.043138718883072774,0.9376050373608563,0.6176112204300376,3.0541022279279866,-0.21554401347377133,-0.12900881716698584,0.09522513254055927,1.6815356222200895,0.650412564651845,-0.3456796535535142,-0.12434889736018509,-0.2254902823866364,-0.2752337127875833,-0.00130162312538664,-0.5234838565006833,0.33483935666009473,0.05631115123935856,0.4744001607074137,0.03230334272751773,0.2684370038960867,0.6330929357301296,0.456706974312362
9,13758.774720620484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5861669515059008,0.0,0.1481657011497559,-0.8964845712349028,-0.7773472100885066,1.527362486593633,-1.1640900093126905,-1.1308765856666863,-0.08304570694887375,0.09465879812743028,0.0,0.3202931901591793,0.0,-1.8424184640396732,-1.3610757074245816,0.6494256527837141,-0.6038249807142347,0.48040055675711446,0.28633803073371994,-1.6763944265079531,3.532323878651355,-2.181401246794616,-0.599443015603436,-0.4304228770625388,-0.8467095056994713,-0.8863750561800288,-1.9829433641009429,-0.4082807763410209,0.10316427946265512,0.0,-0.46860163296785556,-0.7930614000775515,-0.5436758163976458,0.0866889562014003,-0.4939756259824763,-0.24338594337151648,-0.08756523484267373,-0.06564207415208773,-0.37944159667016675,2.788736726840388,-0.18053304821371036,1.8080020613490522,-0.1472398178615647,-0.27092270924714534,0.005771343840671794,-0.263427445709267,4.467698495184397,-0.8632084764038512,-0.42697807505057905,0.013346084023468971,2.168598691491973,0.31340252757070547,-0.360132367767839,-0.09582846053721811,-0.21368271284936668,-0.2507418955404586,0.007798537370278672,-0.348670243509817,0.7031975562622104,-0.32312798773174223,0.560433046969214,0.07953966950297992,-0.09358920562739942,1.0281388351213028,0.5752345346746461
