Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressJct,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressJct,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_stressLink_c,g_walk_stressJct_c
0,21408.93873922624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20153.379633016517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.645810551020772E-4,0.0,3.2880266731990875E-5,-1.1904924161582547E-5,1.0771121860479748E-4,3.9563401406826176E-4,-4.324195998373841E-5,-1.5684265165260005E-4,3.007410603676045E-4,5.662712603842849E-5,6.204418147703233E-5,-9.329303267577033E-4,-1.9243144610389207E-4,-4.018699267243303E-5,-3.7629638593278457E-4,-9.133407425552945E-5,-3.592893514162371E-4,-4.071610041294807E-4,1.0188473455746203E-4,-3.808001006288323E-4,-1.0210519611600938E-4,-1.0440429522657963E-4,-0.0016406644205434826,-2.442924032099055E-4,-1.5293733261546625E-4,-6.216386060881584E-4,-3.130554131379195E-4,-7.702926855661261E-4,-5.383356314654411E-4,-3.149450836397584E-4,-4.6835483388068573E-4,-1.235214618035129E-4,-1.4204023272153062E-4,5.74029407611281E-4,1.0813114538298349E-5,2.4200380226878937E-4,1.4367794715645837E-4,-4.598198221140456E-5,1.978485015424951E-4,1.0415233915966814E-4,6.935090741747473E-4,-1.269543632151862E-4,-4.4785190893573564E-5,-1.4802418931068561E-5,0.01886254839604621,-0.02404539569101157,-0.023277528795264332,-0.061544239684587575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18687.185268016987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010414173404688124,0.0,-2.487692400723184E-4,-0.0022950832225523744,-1.2568370026730106E-4,9.344677441325059E-4,-0.0023631689670629585,-0.002340865211570797,6.734482877058503E-4,4.41173149430533E-6,-1.1385665210308823E-4,-0.004899156076387459,-0.001324153231081647,-1.7926185110790697E-5,-0.0019719418620911004,-1.5239783870776586E-4,-0.0015971087336719542,-0.0023707326150981386,0.0014386537028775032,-0.002308919728990578,-6.127034366377763E-4,-5.644958817810803E-4,-0.014616921224572997,-0.0023678811303302636,-0.00135271291669092,-0.005431122893169901,-0.002720685225252442,-0.006744440260708112,-0.004670864105225688,-0.002896919547225621,-0.004091252648806826,-0.0010661091125376532,-0.0012113216695092835,0.012623699853414737,0.001149864025540642,0.002884286473340826,0.0041946994378696595,0.0010364019768596723,0.005218104874752649,0.003528323939761732,0.007459134372813344,0.0011911850917411468,1.9907697558849043E-4,6.016744624609457E-4,0.06320557326962971,-0.05251874664967933,-0.1682101495278412,-0.03309018811100839,3.280578515862328E-5,0.0,0.0018676718922475736,0.0,0.0,-0.004136620865410108,0.0,-2.3161774900986128E-4,8.888445223866871E-4,3.322788857270936E-4,-7.177796946473422E-6,-1.9171678507561818E-5
3,18213.75722104338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030945336859644805,0.0,-4.8146720670873316E-4,-0.0036845695979910277,-4.5503267382363184E-4,5.908550905317415E-4,-0.003720184765811347,-0.0034576656554950727,3.703366411607049E-4,-1.2315169123769954E-4,-3.23859538300192E-4,-0.005424299552237374,-0.0016193081088638473,1.0101875170337136E-4,-0.0022104071437816174,1.9671289923935142E-5,-0.0016092197491666903,-0.0028046621281765218,0.0021905736209761814,-0.0027754069171693416,-7.399896610360908E-4,-6.563113553188169E-4,-0.017733847765929924,-0.002889827836233507,-0.0016341706998956682,-0.006570781793774681,-0.0032977586047888106,-0.008200807276586867,-0.005627327677826459,-0.0035581614896209243,-0.004910438222463994,-0.0012850653967016647,-0.001447932692224148,0.016757262940439104,0.0014704965924823095,0.003878358369897825,0.0055667816632329024,0.0013533935456939102,0.006933053073304831,0.004688393634567332,0.010025595127484441,0.001531076511644293,2.491637896625614E-4,7.940341063559387E-4,0.06257974969522177,-0.030064685145389864,-0.19487834655975264,-0.0384046065717048,4.371053183913019E-5,0.0,0.0024110985572026187,0.0,0.0,-0.004871544391509419,0.0,-2.741931671069649E-4,0.001236758436005607,4.679456780846391E-4,-2.6580765666561794E-6,-2.0790544832151416E-5
4,17288.780744301945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24173962211549832,0.0,-0.026205564112471987,-0.15065456545857042,-0.039354123051328835,-0.04914095131243638,-0.14631865106072645,-0.11638562116568288,-0.042962739233364494,-0.015702095323643996,-0.02491447040661046,-0.1504450839079851,-0.047989826421824006,0.0021496583828282214,-0.05881935464487945,4.0155201854446545E-4,-0.04321340176107208,-0.07320530358959763,0.053616159063321546,-0.07300300383121841,-0.0193571366832548,-0.01688364486787161,-0.14401577649315742,-0.02451887500105769,-0.011809585153681768,-0.05144453884182793,-0.027414140521716132,-0.07112984631340742,-0.04084855357151684,-0.033719485927362194,-0.03314984264169434,-0.009610187088419096,-0.008935960344354425,0.4144224331382863,0.03260807071713343,0.09908761964842346,0.13754244709388552,0.032296973021664815,0.17185250149087522,0.11648415978509168,0.25523725883879733,0.03515711364792856,0.005355288168147194,0.019540834074639205,-0.6633073877777081,-0.1518516126183042,-0.5183646694510333,-0.13654417591720686,5.417494019533287E-4,0.0,0.017472498301021377,0.0,0.0,-0.05854553835671285,0.0,-0.0034320724344336843,0.02697268861069804,0.010400987121016796,5.248016007673242E-4,-6.490933447174125E-5
5,15301.125929676806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7112413683174477,0.0,-0.07366976086963427,-0.4765644120348099,-0.11633827521896434,-0.0691180470935986,-0.4696754146061667,-0.386696387125516,-0.09805892902965208,-0.045691038991617694,-0.07485297221411447,-0.2890628192570148,-0.12216081999683492,0.035217917420471194,-0.11990015141809676,0.033875674469313624,-0.049705617222998315,-0.2028164667778044,0.2883329179944133,-0.23256977544202898,-0.05832563381162599,-0.05354578335655956,-0.573302089008965,-0.1076640285078897,-0.04775886577919405,-0.19770452098345237,-0.10496994528265378,-0.2693156419251691,-0.15571512979796348,-0.13572005887105645,-0.1271891459427116,-0.03696256421700997,-0.033202658526862425,1.1871469087976259,0.06440745988795141,0.33251350800877655,0.36655464438796087,0.07119917420737999,0.46427060318227614,0.3129813046769125,0.8499939986663271,0.04413067712470958,-0.002581049312778045,0.0489120141380305,-0.45359784611668075,-0.11887465285715351,-0.3891186899836647,-0.13908129102886224,0.005563470914328766,0.0,0.2462052106674596,0.0,0.0,0.13051499361208752,0.0,0.0042355683732414814,0.20441341959621176,0.08770598354412722,0.008932596498613722,0.0035961411691513064
6,13795.246880849434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3222947785277124,0.0,-0.029860311806237633,-0.5609868562443578,-0.055815278586854616,0.5980254044980579,-0.6325767448844225,-0.6403504645740712,0.16101281695127517,-0.006569827117724726,-0.06037928809939274,-0.7676942310074468,-0.3869454522598832,0.09765144372555667,-0.25662372163370706,0.07295501983795877,-0.07805550635697306,-0.4747257091025326,0.7613360986475755,-0.5917654160256715,-0.15235312277168575,-0.12830822437923317,-1.1450781865807234,-0.24025283946597792,-0.07263718027909785,-0.38144040909431254,-0.2259324020868061,-0.5269730842070494,-0.29772169472311943,-0.2139516331007001,-0.2727067937624251,-0.08118870663451797,-0.0658718053548161,1.8276303934719444,0.046470475974586756,0.6860833673528588,0.39469107385923646,0.03550655574758116,0.5093930374465095,0.3701034498946344,1.6680999238828031,-0.11075447275912978,-0.06300130728226666,0.0518257973089463,-0.4765507278638642,-0.09752727984799156,-0.3276818338875272,-0.1459687225285956,0.006233427028512898,0.0,0.16567186515838653,0.0,0.0,1.1619437686212737,0.0,0.059479767774037594,0.29204406013118894,0.1613256030997488,0.02810274677346325,0.015283024029359684
7,13558.498847928935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3159816556829671,0.0,-0.018380884583793736,-0.5895954803836267,-0.08170621392577818,0.6913969919939817,-0.6838133326310608,-0.6612363579816558,0.139978393037278,3.965431675676404E-4,-0.07072727979246261,-0.7833606164402052,-0.446469219531808,0.13091489907096918,-0.2341679861459343,0.08827445108255619,-0.006947186816430279,-0.48947547068057795,0.9103314335286564,-0.620314620495331,-0.17432691749967325,-0.13095806334188612,-1.2017164024618132,-0.26266272367443183,-0.0621679120356949,-0.39699770434835774,-0.2463996760974203,-0.5505387201323597,-0.3078559297831676,-0.19285539921252293,-0.2954171432378921,-0.09014975500940525,-0.06868031054630311,1.876154062589836,0.03305787289616499,0.7542986706767497,0.346319238248214,0.0071172981362332376,0.458196326871744,0.34177997819763,1.7850946806905204,-0.1416914333568129,-0.08195260411062412,0.051704301387037674,-0.4620438525016214,-0.09517521120294818,-0.3155033711900855,-0.14459096592792797,0.003858744307164631,0.0,-0.0010635742360632638,0.0,0.0,1.1117473798356166,0.0,0.060391820244259396,0.23020012568039433,0.156451248654093,0.02807040732188951,0.015957119306753476
8,13368.705917852385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4246963286133517,0.0,0.03611328758036886,-0.7293946132359398,-0.2666536638965826,0.741108038684638,-0.8664892772445649,-0.5807059976462597,-0.07569002613362394,0.002697943113462975,-0.1293464440619329,-0.8364429165910504,-0.5927889460849569,0.2818637564890415,-0.1726529736672185,0.08621811541792705,0.1738589764714088,-0.5174485727395797,1.3910666645405274,-0.6230464418545225,-0.2531109626850908,-0.10641844057731786,-1.4377248708748303,-0.3821395018029452,0.003645810247378603,-0.45221513777635464,-0.3365193875642166,-0.5724651697778507,-0.35222582371472744,-0.035263039823382275,-0.4013807454111664,-0.13956303372968787,-0.08104580835985692,1.6910252986351286,-0.1290893990084448,0.9196644033651395,0.090509075693471,-0.16385455102711935,0.2390829376260574,0.15124803997086014,1.967457226910152,-0.2506191426645568,-0.16646686478803613,0.05078216425507683,-0.53455983725483,-0.12134952389195851,-0.3380526731346258,-0.145871043473398,0.007261419370878186,0.0,0.09000065499224091,0.0,0.0,1.186949154077344,0.0,0.08295395769807963,0.10393064845898467,0.301157703803003,0.03255591642334824,0.024603308764040398
9,13066.090105358733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24102824417257315,0.0,0.1713876893496566,-0.7318949097161686,-0.5116075298766433,0.914788587809978,-0.9050313865912508,-0.2935665768524943,-0.25941005718081905,0.016390589839276073,-0.17449200915502833,-1.1657557208251355,-0.7817917581824,0.5164763118944891,-0.19223196118256397,-0.012633019003475687,0.20611863242474698,-0.6060553533909677,1.9659744121441873,-0.6110467300199239,-0.37792995235368965,-0.04826398578374542,-1.734612873180681,-0.5628229983712403,0.14361502707890195,-0.5149369476607444,-0.4817130940497245,-0.5512825750010191,-0.4060201011949223,0.3042968550264348,-0.5627885997618397,-0.22563546539630838,-0.09409543838832893,1.6246630769810897,-0.47285564762058335,1.152710473037265,-0.07626164257527218,-0.43804573554592796,0.18740959006551922,0.009588861312829183,2.2266128298201093,-0.3160087871775624,-0.2823404810808967,0.08531291377363903,-0.5548006680858454,-0.11569464580859579,-0.3077520909236144,-0.15045709768830529,0.016932137022039474,0.0,0.4571736714569753,0.0,0.0,0.7832724592027704,0.0,0.09576145279964243,-0.07323950291136183,0.5857273008557209,0.04110372470509656,0.04158972180444392
10,12968.170822413462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2617511430136477,0.0,0.2273745765502125,-0.7500641690607533,-0.574613579927418,0.8678906125254566,-0.8862597313784099,-0.12814868478931257,-0.2491236957972232,-0.01775242052263083,-0.17925242730462604,-1.2695993514247959,-0.8087425238095995,0.6117632020218992,-0.19801869545685205,-0.07321932214085486,0.18299254122569475,-0.6126737348070366,2.101279028486272,-0.587989947104073,-0.4077808786402203,-0.013466572028652785,-1.819812631530182,-0.6200604413160506,0.2178451515836245,-0.5389602499670939,-0.5474655049239612,-0.5611803255606553,-0.4253650367771593,0.47476826507367853,-0.6320187859386787,-0.2635916862695418,-0.09731979595732874,1.6225957314794879,-0.6241212464501342,1.1790020092095468,-0.05694808572813419,-0.5428922828302555,0.2719533738148447,0.0050972380717146685,2.234311546885745,-0.3002601891873021,-0.3138498002356583,0.11563250674863236,-0.5429647164752832,-0.11096135536088136,-0.296492006648024,-0.14963013876794065,0.017355715059039496,0.0,0.40849351275863066,0.0,0.0,0.798413817718135,0.0,0.1120792615480067,-0.20865655526811372,0.6499616022524433,0.047028078214361085,0.050835000955750956
11,12852.900579122499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39826979453070577,0.0,0.3408238622361726,-0.647516667814226,-0.5372577594534819,0.9846273605710061,-0.7489342483474494,0.1779277759281787,-0.09353029480608135,-0.10978722036025816,-0.16050950595684377,-1.17975228215398,-0.7598571019404669,0.8101554400178619,-0.07263582859977918,-0.14895729705117206,0.2638925991365996,-0.47004727859900364,2.240129606435043,-0.4163154005127355,-0.426261246831372,0.09318951645204933,-2.0235593053783125,-0.7329804251023911,0.4158773164426616,-0.6048822779408424,-0.731105063658804,-0.6573623801334844,-0.4744376340129895,0.9121606952096184,-0.7901953955443544,-0.36408712595154297,-0.0972686745821039,1.7483569421680176,-0.8105750946040565,1.1853079427556301,-0.06642766757067313,-0.727616509295357,0.3459985632230406,-0.039463286496282966,2.336138343776997,-0.26573697811799707,-0.3784616516952721,0.19068409714440177,-0.5794425208278835,-0.12814089407945675,-0.2866592817939063,-0.1544770838134057,0.020601404277674144,0.0,0.44763085732366353,0.0,0.0,0.8209267985919022,0.0,0.15490092767924518,-0.4087724896795605,0.764253641796781,0.050299889080379384,0.06256445223603624
12,12738.196484893222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8318108992104842,0.0,0.5215556110832954,-0.48182688812488456,-0.3087994764739064,1.0885540027986962,-0.6113895034165536,0.5090151420511619,0.08688931113365889,-0.22795976277464222,-0.11813479364036869,-1.417065686358931,-0.7264073697884916,0.994635464616298,-0.1203405403758209,-0.12999378608827142,0.23166957260420815,-0.4797595284613388,2.1931807061521047,-0.3717338652683379,-0.4609609784394316,0.17535368001382662,-2.109024695698562,-0.8316385504759571,0.7779189067870707,-0.6276257535684752,-1.0255805314172322,-0.8279520269707521,-0.47795482963118846,1.7016746236881093,-0.9672738664898172,-0.5255062066771301,-0.06685944794897448,1.8901344131483713,-0.9192319940222116,1.1170471143326846,-0.27074904659742455,-0.9325410638341048,0.19245442057763246,-0.21748578070363606,2.5710225495605803,-0.2497388101345485,-0.48121411165627026,0.2877336820855847,-0.5518480620665133,-0.11700606216060566,-0.2711659873741784,-0.15186782129218407,0.02438206871254102,0.0,0.46900645405536745,0.0,0.0,0.8034223991563585,0.0,0.23011258141431828,-0.5895104460120406,0.8394035499727496,0.04228046333475681,0.07028917718955857
13,12638.885693661723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.981756133565931,0.0,0.8045118432071394,-0.4077030004071528,0.08081253776275293,1.02629314467474,-0.598930997110604,0.6775711823994355,0.1693356204108668,-0.22596089784414863,-0.02305084654677164,-1.5240528446327009,-0.8297743343140824,1.1187738666113551,-0.06042401748738265,0.1361647594016839,0.43123188493433884,-0.5097511230615617,2.3605616254731667,-0.4782469556175155,-0.5133584727791622,0.18123973786698389,-2.04126143449664,-0.8637571002607598,1.1896676963519517,-0.5900044670427247,-1.3484176234042973,-1.0891652630540762,-0.4154860276080943,2.582473531342817,-1.0740948848585528,-0.7070480270801361,0.0021926253797027867,2.0043742072404345,-1.1788154461248903,0.9619651832213787,-0.31281654299520334,-1.0735639398429366,0.12230849494599859,-0.16530428890639606,2.6769037872962365,-0.13444127981199455,-0.5504286028365657,0.39984598213261047,-0.5460864105368353,-0.11642844265850105,-0.2729935480219921,-0.15187744464440983,0.028497809644292414,0.0,0.5484386093560909,0.0,0.0,0.8008896313452603,0.0,0.32811662912983053,-0.5317863487397837,0.7935046617879224,0.03895893068235938,0.08795733049602669
14,12597.994767820428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.055056049769141,0.0,0.9431218241808116,-0.21883250512913238,0.07830766075665911,0.9832585270505882,-0.5037292847971512,0.6511756512959301,0.02191495640741345,-0.1518231470150248,0.03847010643955382,-1.5470109740457818,-0.8511880961022332,1.1510535436411276,0.05121911504100051,0.26650059699790885,0.3375170374872482,-0.4461529358086391,2.4233042613026705,-0.47164567307835054,-0.5389855633812546,0.18577693182260488,-2.0139830971285777,-0.8566002609959943,1.3717723381470466,-0.5283167225244432,-1.5372699661889526,-1.2808808314649398,-0.32758195831556935,2.9692035737164533,-1.0535357991135632,-0.8271589559195913,0.08659064500684743,2.0350454285413946,-1.4335738516336773,0.9248517908907248,-0.3750529535708741,-0.9256567140473252,0.1874894529003459,-0.19837351740089895,2.840017341291067,-0.17487553315802218,-0.5519187397552497,0.4046280975875921,-0.5404323388075318,-0.11663838927912498,-0.2755513408715062,-0.15088073149086156,0.030221932872806244,0.0,0.5565767842844671,0.0,0.0,0.8423286902888812,0.0,0.4092525030515317,-0.5267859040751249,0.6722410894418963,0.04067748662726345,0.1054684360451193
