Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_o,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_o,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20515.430750346557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.39408018797689E-4,0.0,-6.523449651942682E-5,-5.141140105745967E-4,-5.021419007463417E-5,1.26452571503061E-4,-5.186595912159756E-4,-5.095921917030604E-4,1.121836169930912E-4,-4.609058817311361E-6,0.0,-5.132700073380416E-5,0.0,-0.0030153459115809444,-6.059221580873705E-4,-1.9405891791112638E-4,-0.0011623222375035033,-4.061614820910785E-4,-0.001223654492747863,-0.0011658534145442146,-4.487012124364931E-5,-0.0011073378282783616,-2.8839892761273227E-4,-3.2181695999133073E-4,-9.846843684866854E-4,-8.839511481424621E-4,-0.001634878816411232,-2.7216202444698025E-4,-1.5013205689004178E-4,0.0,-2.9798026454717083E-4,-7.657031986103211E-4,-4.906233766436025E-4,-3.7092968567071854E-4,-4.076392254288448E-4,-1.0953291453710563E-4,-1.1323610837105125E-4,-4.200955457871887E-4,-4.089141033991983E-4,0.003506613955709993,3.7499095111339097E-4,6.803182027847887E-4,0.0012102642942633521,3.830837441809347E-4,0.0014844647110296284,0.0010293202589294285,0.0016984136275563578,5.127823521569004E-4,1.1004555907047193E-4,2.0619809991320875E-4,0.0012949686537107503,8.468187437619273E-4,0.013660825035744577,-0.09570735054264728,-0.10836708072268691,-0.05876695497771238,1.0885957717263474E-5,5.701503635412302E-4,3.151517741177408E-4,1.0764512802894963E-4,1.7286482284887793E-4,-0.002265847418111114,-1.2584602968505342E-4,-2.1009457632071545E-5,-0.0020657253814942668,-1.704951398123019E-4,-3.6580344215095934E-4
2,20117.74939880865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.589360658195406E-4,0.0,-1.326064806126203E-4,-8.881528244326323E-4,-1.5133822588512532E-4,-1.3199262449508286E-5,-8.789092194888448E-4,-7.970102478651966E-4,-1.2284523193877104E-9,-4.4513268284194264E-5,0.0,-2.321210419859328E-4,0.0,-0.0031687756842400058,-6.811862481289964E-4,-1.6708808225103787E-4,-0.0012312114006625395,-3.737923263076082E-4,-0.0012407403814580654,-0.001281831196033021,1.3608761538412364E-4,-0.0012356828103653823,-3.231102075452116E-4,-3.5069200132011654E-4,-0.001051422363454407,-9.566957681496197E-4,-0.002383653224997998,-4.048667218565354E-4,-2.190007885828936E-4,0.0,-4.3143874832895975E-4,-0.0011095719256049195,-7.130026695841095E-4,-5.4084512687756E-4,-5.951601244804254E-4,-1.5951461984865044E-4,-1.6588202719358398E-4,-6.162265501249557E-4,-5.960125703525812E-4,0.0047742085327534805,4.963017971402707E-4,9.42103724838664E-4,0.0016458110369682493,5.122924613347559E-4,0.0020211115240375663,0.001400620444489457,0.0023556990153458723,6.802074318197914E-4,1.442812016321583E-4,2.780312010412421E-4,0.001777714684871625,0.001151928540953052,0.011917448580848212,-0.09487364107235578,-0.11228117572839463,-0.0452627346723807,1.6257817424492505E-5,8.528555284540997E-4,4.64952805844956E-4,1.657121682422482E-4,2.559256041103739E-4,-0.002818336893360052,-1.567817690734792E-4,-2.5727167436356957E-5,-0.0025631976891748653,-2.0056419353463295E-4,-4.4485249753085823E-4
3,19878.91776112254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058764259079638594,0.0,-0.006983632490434782,-0.043527779330018446,-0.009814477127165905,-0.008013991363403614,-0.04297209749600255,-0.035229221582742457,-0.007393248820907172,-0.003613911044173955,0.0,-0.0167202759550373,0.0,-0.027302991739018963,-0.011407270817824078,0.003339767537523683,-0.012006250369338226,0.003627086546136203,-0.004955910754671991,-0.018594611346455688,0.025174141636140943,-0.02012982234726403,-0.005438990561865319,-0.004675260871301452,-0.01127805532958118,-0.011865690387354369,-0.08593210086272993,-0.014410164212646957,-0.007808485347994521,0.0,-0.01565991856096146,-0.04045288055159027,-0.025530011510284018,-0.019740961837709552,-0.02106663748231445,-0.00573428592886139,-0.0058147211150577135,-0.021805135944697587,-0.021448157922437976,0.1140499791215959,0.0058531310977208125,0.03082664757718041,0.03740269908614126,0.006864825463261022,0.04732084661673301,0.031866634928536,0.0798906493744617,0.0054786689382251485,1.9328839597650995E-4,0.004915192947638746,0.04973020910412111,0.026875846903598066,-0.014012088925956635,-0.10753148642545503,-0.4895502661074256,-0.0886378838200858,6.47085280522836E-4,0.0334384430645227,0.019066588614003333,0.006823120456355596,0.010125427707993056,0.018041845384909418,8.33640385710436E-4,3.34326926642447E-4,0.02061707972177405,0.005300467631047859,0.007721387421298016
4,17879.217388477573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5832375137631549,0.0,-0.06486863324800944,-0.37869021406470205,-0.09596129259878107,-0.09111502886758747,-0.37045458056661995,-0.30897589292492783,-0.08824490130866824,-0.0355915751857632,0.0,-0.16613517436919562,0.0,-0.22094012633917706,-0.09625640609282567,0.02877403756446932,-0.0962783121072379,0.031737642297408816,-0.036926757506705266,-0.15116985194347218,0.20992874616156343,-0.16484456535519632,-0.04448929212056643,-0.03800830124926667,-0.09122166287869327,-0.09681056641951087,-0.4025661481042573,-0.06567186511946763,-0.03258104274627084,0.0,-0.07737107257403691,-0.20042271373583603,-0.11588551766048105,-0.09293461310552097,-0.09348154732977763,-0.02713335667281729,-0.02418975128294263,-0.09132186741699812,-0.10022812961371985,0.90188128182977,0.03908197127140903,0.25048571854466806,0.29419136410431274,0.051458023922880035,0.37253462305216484,0.2506253658721119,0.6477614431650209,0.03630307449529985,-6.345646190139254E-4,0.03771871097992954,0.3981854249810777,0.21118657054284207,-1.3108504905807306,-0.3694890873980175,-1.0528839974861286,-0.3279275353165384,0.0015656897936055713,0.043450060719471814,0.09539149216108359,0.03215717566161862,0.024813635440751453,0.08529108032057847,0.003432774267786923,0.0021956613703425676,0.1116130384400552,0.04292098133604577,0.053816993736387604
5,17548.54155655687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6468225408897034,0.0,-0.0683499519882632,-0.4677872871691748,-0.10574240717702907,0.02682522508109883,-0.4701407920074527,-0.429070558335263,-0.05501199370034093,-0.035502556750026976,0.0,-0.1710443108102999,0.0,-0.3180723502496924,-0.15061951622763797,0.04989908383438525,-0.1380851353107505,0.05608466263227655,-0.041405383591669176,-0.23700435652682367,0.3607907531927913,-0.2709028757003433,-0.07018623322336522,-0.060234555380476736,-0.13768235549251676,-0.13824351076021196,-0.569009440668705,-0.09798327773057336,-0.04192661613877232,0.0,-0.11125044641952767,-0.281233040261358,-0.15936196921497087,-0.12417057286942404,-0.13197827632770576,-0.039242977737344524,-0.03280322819981473,-0.1217670105971333,-0.13949878233011792,1.3075573900862822,0.042950987290605536,0.3818420602763515,0.4147437405117118,0.06708464893017957,0.5198088533335025,0.3508019645661777,0.982724277052525,0.03302470173947128,-0.007819237673820938,0.05263262883963619,0.5886893156803342,0.30156656529253345,-1.3270685268866929,-0.36528376188375883,-1.0470673378845634,-0.39004332590783575,7.164315269899927E-4,-0.06500984362654479,0.14013826402094787,0.06548505320855089,0.007885328533401244,-0.24276271054465287,-0.01419071813934709,1.7190575476266293E-5,-0.19375522252840877,0.06363934946334589,0.020014573409816223
6,16048.523442118532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.689794993577322,0.0,-0.06471607167198906,-0.5967293044755119,-0.1128482904217193,0.2862936284081924,-0.6230490341111667,-0.629514571711308,0.024856185531769742,-0.030183316842610282,0.0,-0.1563071543925473,0.0,-0.47518716407740136,-0.24845573388694628,0.09143865092200204,-0.20498235729229958,0.10329573829898878,-0.038148727206724395,-0.38929975221024804,0.6508865274786813,-0.46473497740764264,-0.11708068596744892,-0.10012843571383506,-0.21757581215712463,-0.20727602724925492,-0.8320752407879,-0.15208716750294377,-0.0527092052782254,0.0,-0.16744964338156487,-0.41014160810891,-0.22569956204341438,-0.16676122248652267,-0.19429499653854312,-0.05942995501388118,-0.045816712329917374,-0.1644046348334163,-0.20060521532898556,1.8980523433261363,0.039258301222955094,0.60124892819911,0.5665886515653465,0.07738218670027128,0.7056571952203086,0.4777547508331259,1.5384009987711598,-0.0025584054329931966,-0.028826895258109532,0.0705582414947454,0.8938264465233341,0.4275485337391871,-1.0767486143781073,-0.30655288465456454,-0.8714848039476609,-0.3820850847939834,-0.002259012488894793,-0.35350014268631874,0.19949216182520235,0.12125535511702246,-0.04152314228392585,-0.15781411533072776,-0.009240872199357254,0.004987428460464703,-0.1510380738357024,0.1907806633890044,0.11559880391341149
7,15358.087695917005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.610328724724012,0.0,-0.046269039801401866,-0.6280301077977251,-0.10999403574774268,0.5259577115109244,-0.6805701187987688,-0.7393314542024978,0.09830711487345452,-0.015773558088827133,0.0,-0.11023669863873592,0.0,-0.5788979479962395,-0.32952664905711276,0.12707213955364158,-0.24228640906828203,0.14049809180811124,-0.02210022408459899,-0.4934241887420273,0.8780466824433125,-0.6021479206369743,-0.15321389228077398,-0.12757667702951722,-0.2735191838534905,-0.2541819185646288,-0.9989564439445286,-0.19231342061195236,-0.050488013829790894,0.0,-0.21240020583985766,-0.46736966773412264,-0.2615130777162697,-0.17461560812945515,-0.23801892943069874,-0.07537744888497384,-0.05330847399164936,-0.1818580613714816,-0.23573538539756977,2.1712521933581974,0.04251017409439318,0.732428496409033,0.593477565100728,0.0755490610285724,0.7408359335111776,0.4960577968934837,1.8718318826708955,-0.04817679672450327,-0.05250566788448824,0.07574905269795162,1.0691805214539634,0.4725390983421473,-0.9868129788386901,-0.28069295810016254,-0.7433331998089379,-0.37371203776863476,0.002289701893363312,-0.11549772509126399,0.26954602078543827,0.2471662925284554,0.10541104026547643,-0.07214559110133817,-5.744141790899795E-4,0.005556539658950069,-0.13450040060084043,0.20780441837617886,0.11539563850292371
8,14964.277577328765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31587359077320143,0.0,0.03403553732475558,-0.5588461776523711,-0.17827246217335882,1.014623429290266,-0.6857575989275815,-0.8062350617859199,0.15784356315216017,0.03143847794420675,0.0,0.04982786582878804,0.0,-0.7451392037807351,-0.5416702373931747,0.23500357951064133,-0.2654058032988825,0.2261502966898727,0.09222040099510406,-0.6873884544620761,1.4512552237730387,-0.8722856039662997,-0.2426570570076116,-0.17659000741327627,-0.37181825495761334,-0.3395635703437643,-1.3406564794529463,-0.26824647521544004,-0.032217126981353233,0.0,-0.3030905611931261,-0.623587429997327,-0.3522768386034963,-0.15894244127787688,-0.34634077355412973,-0.11524768171270794,-0.06965107344723989,-0.19873648956023485,-0.304079024430722,2.153723787096772,0.05215293908880042,0.9171701779758346,0.33665370653606036,0.002812401221719746,0.4739911121486327,0.2721776515307345,2.316276828334063,-0.20147199713989133,-0.13695220549203402,0.06607471053556946,1.261079183338434,0.3886100500154175,-1.1687967979619616,-0.3033227320822223,-0.7600700718657584,-0.38281420771592833,0.002162991105111257,-0.28748208220905,0.29606004751091386,0.33820882524817436,0.09931265267347976,0.07515268130242128,0.03265242605730753,0.0025698612446168312,-0.24365435501730337,0.05252824867622313,-0.010961274864798962
9,14305.087415822358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.592862475377089,0.0,0.11077394918495803,-0.7710565060978043,-0.4683981708878453,1.1990188185446466,-0.9727174958095516,-0.8900043979582136,-0.10381194294720189,0.04206165533234276,0.0,0.11143173118384461,0.0,-0.9418211838649329,-0.8781094844327684,0.43315413676129166,-0.25632794025937117,0.35454783479431085,0.3278882462907754,-0.9701313794319746,2.4251464162482392,-1.270899968763563,-0.3919839372201753,-0.24087037268814168,-0.49319477326692873,-0.4645554321719275,-1.8212568443490835,-0.3578065954920016,0.01451996331890941,0.0,-0.4350130061907035,-0.8268430958878028,-0.5033666488429386,-0.08480258428838108,-0.5130636281932042,-0.18426473917783895,-0.09154245714131731,-0.1867374248549939,-0.39524904855345033,1.9045278337684812,0.020775916872286228,1.1773963188812466,-0.13648790926159055,-0.1813528337426454,0.004692924874800386,-0.13149462283453206,2.8816160926303582,-0.4245931215684665,-0.2787338002414849,0.054689056143514894,1.4739361390714043,0.19408481451878215,-1.1108614451805805,-0.2927783696495795,-0.6643848471799632,-0.36311414724442914,0.006515732268793789,-0.29874301404797404,0.2817734809289528,0.4190301456213208,0.06998777565703201,0.2411228548862015,0.09151009802098536,0.005307336501497246,-0.49566930738234866,-0.11106457844332412,-0.09273985213637657
