Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_o,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20481.148862991602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3486318994122363E-4,0.0,-6.436097672673388E-5,-5.072297884544195E-4,-4.954179906612571E-5,1.2475931364198513E-4,-5.117145016886535E-4,-5.027685188090443E-4,1.1068142696959392E-4,-4.547341408311225E-6,0.0,-5.063970868078446E-5,0.0,-0.0029749690484775814,-5.978085828141571E-4,-1.9146038010079065E-4,-0.0011467582102768332,-4.0072279378096945E-4,-0.0012072691985268121,-0.001150242103239317,-4.426928976493639E-5,-0.00109251006747989,-2.845371338547913E-4,-3.1750768347084765E-4,-9.714989937030793E-4,-8.721146373257327E-4,-0.0016129870401121022,-2.685176502606474E-4,-1.4812171987192588E-4,0.0,-2.939901722984122E-4,-7.554500820078922E-4,-4.8405370487295565E-4,-3.6596276725456647E-4,-4.021807494584803E-4,-1.0806621863379602E-4,-1.1171982500585075E-4,-4.14470273980914E-4,-4.034385562287818E-4,0.003459658788443027,3.6996965049247254E-4,6.712084303918212E-4,0.0011940583009341361,3.779540773534868E-4,0.0014645870485071248,0.0010155371891248364,0.0016756710910303327,5.059159615529764E-4,1.0857199862201515E-4,2.034370128948361E-4,0.0012776284302049795,8.354794528504211E-4,0.013477900330413486,-0.09442578527479382,-0.10825504167880236,-0.05931908433965575,1.0740189756509514E-5,5.851776458568318E-4,3.22740268335572E-4,1.1043371019416483E-4,1.767648382507071E-4,-0.0022355066831848797,-1.2642152570288995E-4,-0.0020380643723153873,-1.6821213178541165E-4,-3.6090516648389846E-4
2,20088.081590432994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.380939313674147E-4,0.0,-1.2995198756852452E-4,-8.71461001760045E-4,-1.4800693462162367E-4,-1.1211332834573472E-5,-8.625294259338421E-4,-7.825839450200187E-4,1.4106638493131552E-6,-4.341716397426414E-5,0.0,-2.267191891847059E-4,0.0,-0.003126729713452961,-6.715294666396712E-4,-1.6546383969926306E-4,-0.0012146495397284268,-3.695889301956256E-4,-0.0012249132107742696,-0.0012638262240096093,1.3126563179447534E-4,-0.001217996527034242,-3.184565758349563E-4,-3.4576478803535375E-4,-0.001037080913434227,-9.434849794034384E-4,-0.002342646286813389,-3.978295027022826E-4,-2.1523101848492027E-4,0.0,-4.2404141513725704E-4,-0.0010905321211717033,-7.007813856244095E-4,-5.315015445313833E-4,-5.849532060253212E-4,-1.567805475037617E-4,-1.6303369286419162E-4,-6.056210009138458E-4,-5.857664181028755E-4,0.00469678973989875,4.886013199285528E-4,9.264124723530698E-4,0.0016191874642621947,5.0423823113452E-4,0.0019883534567242513,0.0013779475457774584,0.0023163549335304553,6.696735572184932E-4,1.4209214119793574E-4,2.73599126724533E-4,0.0017485110057357516,0.0011332761023359166,0.0117761203868003,-0.09363211675719375,-0.11207323856283151,-0.04610154462328907,1.597675885756904E-5,8.718712929033832E-4,4.743199495831422E-4,1.692473514483533E-4,2.6070582832278945E-4,-0.002777746145496406,-1.5733072674270178E-4,-0.002526469639710246,-1.979266699152895E-4,-4.386975089072554E-4
3,19804.154918293523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054871945724091924,0.0,-0.006521958956620223,-0.04074500630116118,-0.009171542629158067,-0.007415047094244002,-0.04024283931945891,-0.032969277621741094,-0.0068867727153743815,-0.003379077406724921,0.0,-0.01561708417446543,0.0,-0.02594778201998199,-0.010752905797600208,0.0030951718245856574,-0.011383634945926384,0.0033437380879994465,-0.004798978111664594,-0.017543720166318853,0.023527764151660482,-0.01896372879398724,-0.005121694679658188,-0.0044079768956146945,-0.010667615217231707,-0.01120827035205402,-0.08020932977946055,-0.013434975954988876,-0.007284457702661909,0.0,-0.014624670655215593,-0.03778001432840212,-0.02383128519857658,-0.01842549851510085,-0.019658808243816838,-0.005353832796817699,-0.0054234435273560425,-0.020338656630860544,-0.02001886237138975,0.10650004536150506,0.005408776402756037,0.028860085715131024,0.034911313234358865,0.006368507102843302,0.04418617044431635,0.02975573464234407,0.07480039653915223,0.005039784300008825,1.564706689743046E-4,0.004581741343007222,0.046514624884739716,0.025101521179246467,-0.013670440340269928,-0.10573494464469123,-0.4625674759302543,-0.08691714672523494,6.062509774045882E-4,0.03265375771785343,0.018583488261169744,0.006656662386214862,0.009850129796975454,0.01936406226991403,9.314566539252564E-4,0.021588111157643846,0.005209910309617083,0.007693210381499764
4,17664.65738613789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5473041469271811,0.0,-0.06089495839017126,-0.3565571493304384,-0.09016372974498806,-0.08598998085048459,-0.3489221655836035,-0.2901050233543041,-0.08303731984892604,-0.03353631886801006,0.0,-0.1560991398963744,0.0,-0.20951670639227324,-0.0907299482050887,0.026836623628092426,-0.09117783409594563,0.029530521559356922,-0.03555583957889119,-0.14266643455281977,0.19686468666246348,-0.15538586237150473,-0.04192019198795857,-0.03583070504248963,-0.08619355327625093,-0.09138938307943378,-0.3810766727542786,-0.06216177235504103,-0.031026983889461825,0.0,-0.07308058003336268,-0.18946536136471256,-0.10963424935699005,-0.08835540658813516,-0.08823824761165014,-0.0256025547332939,-0.022869268260732406,-0.08659298993288259,-0.09485335561933317,0.8441072092373019,0.03609750412476622,0.23514934460570444,0.2752281117913055,0.047710021321903356,0.3487298330771076,0.23458414524037763,0.6083108254360803,0.03316401059900126,-8.433448107515502E-4,0.03521030401493977,0.3734347473310148,0.19775361382173173,-1.2311081567742634,-0.35192137125072986,-0.988384848619154,-0.30923123011337034,0.0016496522235379778,0.057894870428913676,0.09664638089511235,0.03311976588744338,0.02754546150379215,0.1089478547221229,0.004875462224942335,0.13152857632743586,0.04296189489628412,0.055861202726257525
5,16897.588945941196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6136528078591026,0.0,-0.06477631426432585,-0.4473821958033676,-0.10099250721009065,0.029753441538374018,-0.4501293475167273,-0.41081070350083626,-0.05050869597678261,-0.03369995482441456,0.0,-0.16153263606692586,0.0,-0.30883631505045206,-0.1458376717735403,0.04768452251613555,-0.13385359852874884,0.05410653851227715,-0.04073479152527425,-0.22924415138168552,0.3471315045406296,-0.26198849078576886,-0.06778169276924653,-0.0582603130787637,-0.13347144723973625,-0.13313898642752656,-0.5522144170431971,-0.09526613476431545,-0.04113271588874644,0.0,-0.10744642452953071,-0.27178674566655137,-0.15448170582644813,-0.12130093121490722,-0.12744347413860943,-0.03790871343237863,-0.0317330870124102,-0.1185170403668645,-0.1351934218568801,1.255403619102279,0.040169818111723474,0.3680373420678035,0.3981174466802748,0.06340296869902073,0.4992220781662343,0.3367389754607184,0.9473202512736105,0.030082090087199507,-0.008024104743275107,0.050290124423448934,0.566180248132709,0.2896651577947157,-1.2503212942802704,-0.3484167786212429,-0.978349820271806,-0.3723609945138915,0.001171789385698359,-0.0249573893682166,0.14949314018856552,0.07076541979185205,0.016114055536528588,-0.21349834499782613,-0.012893821409373073,-0.16490891458287016,0.061553843410208225,0.023626839780410816
6,16740.026935376445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7187864094168444,0.0,-0.04922987337200814,-0.8310568421555915,-0.12464203516552769,0.8339313244803646,-0.9092725649596609,-1.010536436892521,0.196541493791317,-0.01619715216437682,0.0,-0.10592998973966508,0.0,-0.7892387658351174,-0.44921891573856465,0.17561038652807626,-0.33692405071150533,0.2011114726002186,-0.026512795974819783,-0.6954362644853289,1.2405623082450146,-0.8567949329317528,-0.21226802084175658,-0.1806290196388072,-0.3789006922651139,-0.34201401008843646,-1.3644613198736644,-0.26320177062189354,-0.07428591323062224,0.0,-0.28049774485559376,-0.6655028304881958,-0.35928989701368996,-0.2509613602733366,-0.3201897934458366,-0.10036198785737738,-0.07205349301014077,-0.25026660380184473,-0.3230699218980887,2.99980882380596,0.024911513797277303,1.0310250665311997,0.832336796121863,0.08755458421004106,1.031336956682054,0.7010221734270506,2.62041567953764,-0.08922517221708826,-0.07537610052164394,0.10189775642972265,1.482293869572291,0.6580639381580015,-0.47433875948925186,-0.16706474597318174,-0.4243856603446645,-0.33308944953839276,-0.006619415328917773,-0.8210231273240984,0.35360486842029204,0.25827979953867986,-0.11587143510727146,0.13269267179221753,0.007753475865500573,0.035511457960308634,0.45827676498413783,0.3298896358494662
7,16660.32575351025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7886511459673985,0.0,-0.04296968391734435,-1.0280775022990762,-0.1417506460240841,1.2265669328039355,-1.1448714305067662,-1.3164780253249195,0.3123591940358108,-0.00733271275375782,0.0,-0.08224324626077313,0.0,-1.0412559111928283,-0.6078989694457417,0.24200988590946743,-0.4419814112377765,0.2754810425588816,-0.02111687784479,-0.934049556054238,1.6956435984720062,-1.1595143339829548,-0.28681443273671237,-0.24314036334562578,-0.5054206266524617,-0.4527916456797495,-1.7655782547918153,-0.3431132641023104,-0.08792707596541259,0.0,-0.37234368351048197,-0.8423341159751612,-0.45961027360356366,-0.30752391881167307,-0.416052086341815,-0.13277506083204854,-0.09199925589518539,-0.31348158169075585,-0.4164020399663326,3.8709751362375937,0.019034545184020285,1.3654155580553808,1.0430934144195692,0.09899453552694853,1.2911988545114736,0.8772218231439378,3.465035442130654,-0.15152896668153604,-0.11069685693621834,0.12741772642223015,1.944396402505732,0.8399606781948975,-0.043336161189168276,-0.06759919304495421,-0.07964587427187436,-0.3030295272824207,-0.003939318118209394,-0.7891452702673729,0.4643131224038227,0.3757162442174163,0.010657195888128634,0.32766187214099396,0.019909091144637743,0.15266120716624984,0.6500088331008441,0.48039921929233176
8,16209.694906767336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.560725928590151,0.0,-0.011152278725352974,-0.9586469968493712,-0.13508325539552798,1.4777629524463802,-1.1066043614433287,-1.354253513986628,0.4007896451867221,0.020850907100519137,0.0,0.013551773545872406,0.0,-1.1425912826302496,-0.6866622624116555,0.2805678028729215,-0.4764869176409119,0.3044825463912498,-0.0039741470796499576,-1.02985042723496,1.9038470752239796,-1.2868528431312662,-0.3211575809097909,-0.26850013409360496,-0.5530567001814016,-0.5030996324110297,-1.8971795424627402,-0.37854486693539724,-0.08319742627994471,0.0,-0.4059501419372913,-0.8885822885938713,-0.488171414907123,-0.30759597560156005,-0.45030964952984853,-0.14696205230518122,-0.0980026040610523,-0.32517302485678695,-0.4429064186922356,3.9932608441378057,0.011864802308587913,1.4636638101371915,1.013194195760002,0.08229979416821097,1.260667454002133,0.8466392006097708,3.7138566166864897,-0.210241115101088,-0.13762846358508773,0.12567817650666066,2.0586684013236014,0.8471706644083589,-0.10957654559379092,-0.07028459931654416,-0.06012613410822612,-0.30698575773569864,-0.0027039355983398063,-0.75860928955573,0.4969849374833016,0.424066135724408,0.05852086938104822,0.38352616262681916,0.027275170522149596,0.15010260397436226,0.6955069795081357,0.5051175506689458
9,14613.060454097811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7219471905982636,0.0,0.1173682760789835,-0.9369109670634707,-0.9239539722027209,1.751295175030336,-1.2596909161489174,-1.4822899916922354,-0.039686489922714785,0.14425219871956693,0.0,0.3605873531827887,0.0,-2.2674484058804674,-1.5911182379309474,0.746456790449658,-0.7642912397739299,0.5267601675125967,0.2476398265829163,-1.9881180452507299,4.021873874918984,-2.5808908321266513,-0.6960839812258002,-0.5145477398611651,-1.0095685584170397,-1.0809370134660619,-1.9586708554119505,-0.5250621393276208,0.15536362732936587,0.0,-0.5263833772961636,-0.5414697099525192,-0.4271268727916094,0.14577146047200823,-0.46252430936056277,-0.25775334133333183,-0.07835049414609244,-0.058993702905539624,-0.38071128111630503,3.7595570576889097,-0.082324253017833,2.2214363804286306,-0.05729604013270384,-0.22383510685778718,0.1836592123788101,-0.17711747896711028,5.605124793263309,-0.9635010204261667,-0.5002587153925286,0.03688681226068495,2.7412865963099886,0.4927783834661101,-0.12657123650525376,-0.027724734501673613,-0.14012694766498324,-0.28482483078725507,5.216689598463143E-4,-0.911232676274127,0.4594268700290454,0.8144989480351223,0.3118863854383044,0.6817150477558382,0.11415446389764744,-0.34613027831817017,0.8721697591222406,0.4180062253694721
