| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,1822933 | 0,08529 |  -13,86150  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4600345 | 0,11804 |   12,36899  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2190924 | 0,06949 |  -3,15296   | 0,00162 **  |
| b_carP_p.age_group_agg_70      | -0,1315818 | 0,08815 |  -1,49267   | 0,13552     |
| b_carP_p.female                |  1,2315644 | 0,05568 |   22,11875  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,5738597 | 0,06321 |  -9,07896   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6567642 | 0,29722 |   12,30310  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1587444 | 0,05850 |  -2,71342   | 0,00666 **  |
| b_carP_hh.cars_gr_3            | -0,3365401 | 0,09648 |  -3,48817   | 0,00049 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4259098 | 0,05893 |   7,22735   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6965631 | 0,15154 |  -17,79384  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,1737495 | 0,17409 |  -6,74202   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5794294 | 0,16418 |   15,71065  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5841571 | 0,12299 |   4,74974   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3483054 | 0,14294 |   2,43669   | 0,01482 *   |
| b_pt_p.female                  |  0,5083970 | 0,08297 |   6,12750   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6111690 | 0,10498 |  -5,82192   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,1455089 | 0,29912 |   20,54537  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7864591 | 0,11354 |  -6,92680   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2975716 | 0,20658 |  -6,28125   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4599183 | 0,15305 |   3,00500   | 0,00266 **  |
| b_pt_t.full_purpose_HBR        |  0,3081578 | 0,09652 |   3,19263   | 0,00141 **  |
