Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20449.88089913761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.306544870664723E-4,0.0,-6.355206062037069E-5,-5.008547089205886E-4,-4.891913668216361E-5,1.231912855703742E-4,-5.052830563730697E-4,-4.964495104079791E-4,1.092903357602249E-4,-4.4901884890518866E-6,0.0,-5.00032473022173E-5,0.0,-0.0029375783732325015,-5.902950705004192E-4,-1.8905402468061855E-4,-0.0011323452657633322,-3.956863394174415E-4,-0.0011920957261982164,-0.0011357853716785474,-4.37128945184789E-5,-0.0010787789366783695,-2.8096095023951145E-4,-3.1351711197681766E-4,-9.59288781501691E-4,-8.611535299497032E-4,-0.0015927143335364765,-2.6514280632282367E-4,-1.4626006315072128E-4,0.0,-2.9029517887880655E-4,-7.459552643409047E-4,-4.7796991220649265E-4,-3.613631916760546E-4,-3.9712597088842414E-4,-1.0670799647415108E-4,-1.1031568276868407E-4,-4.092610354440995E-4,-3.983679690087185E-4,0.003416176326572152,3.653197147026602E-4,6.627723976017041E-4,0.0011790508687805922,3.732037898938206E-4,0.0014461794960900992,0.0010027734861689013,0.001654610544664532,4.995573947539671E-4,1.0720741960454185E-4,2.0088013006411466E-4,0.0012615706531527706,8.249787920413771E-4,0.013308504351487943,-0.09323900187824781,-0.10815128880691798,-0.0598303793754501,1.0605202487495173E-5,5.778228845264205E-4,3.186839314913212E-4,1.090457323944992E-4,-0.002207409885188966,-1.2483260624372337E-4,-0.0020124491131876298,-1.6609797022965037E-4,-3.5636915698115197E-4
2,20062.28203221003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.173609698240476E-4,0.0,-1.273397510905337E-4,-8.551473333935674E-4,-1.446857958744099E-4,-9.04097880422461E-6,-8.465382806097182E-4,-7.685710872370279E-4,2.982354102083694E-6,-4.23092731446285E-5,0.0,-2.2129782152857875E-4,0.0,-0.0030873488850087817,-6.62399549500067E-4,-1.640095877469143E-4,-0.0011991231465348874,-3.657528428253521E-4,-0.0012101760041375613,-0.0012468638494938361,1.2641962469444543E-4,-0.0012013073039030097,-3.1406373880887015E-4,-3.4113051460003623E-4,-0.001023624026329334,-9.310636752677207E-4,-0.002302964710755979,-3.910070965661308E-4,-2.115818823610511E-4,0.0,-4.168932198046765E-4,-0.0010721193611684418,-6.889530947477099E-4,-5.224628849185539E-4,-5.750712681609015E-4,-1.5413401644530288E-4,-1.602748039506844E-4,-5.953501299945719E-4,-5.758516133136243E-4,0.0046220619327241004,4.8116570646811435E-4,9.112730178591181E-4,0.00159348665226634,4.964591381887098E-4,0.001956731943554323,0.0013560596031721604,0.0022783978731507693,6.594948494303293E-4,1.3997609491520362E-4,2.6931914819226213E-4,0.0017203273949582812,0.0011152713277970405,0.011649584923952704,-0.09248320834045688,-0.11187147408603347,-0.04691337145391122,1.570434400140074E-5,8.570128530038489E-4,4.6625817159334055E-4,1.6630392960091943E-4,-0.002738683146035386,-1.5511065161449546E-4,-0.0024911206060920493,-1.9539354687921949E-4,-4.327755306101769E-4
3,19746.537593227586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05189539455362845,0.0,-0.006169106012641713,-0.03862577551617098,-0.008679270260789476,-0.006950399707191186,-0.03816678175862957,-0.031246963169209333,-0.006498740800641815,-0.0032001249009858544,0.0,-0.01477443151573213,0.0,-0.02493071580361976,-0.010258045330320936,0.002908153921121288,-0.010915126100727927,0.003127080730219713,-0.004684952323965064,-0.01674951469542701,0.022274996949798124,-0.018081074566995353,-0.004881397897401559,-0.004205489082603576,-0.010206605517557829,-0.010711349392475693,-0.07583209647543218,-0.012686559470306382,-0.006882586890134166,0.0,-0.013836648982565642,-0.035738533298927226,-0.022530431489247188,-0.017419095016456543,-0.01858120688130243,-0.005062780773606441,-0.005123446559200337,-0.01921502763515263,-0.01892562015099202,0.10070788868300062,0.005060613994330905,0.02736056714003986,0.0329981109570385,0.0059825980276924096,0.04178105070055122,0.028135699152700706,0.07092041512710788,0.004693140493871574,1.2513476150184511E-4,0.004324662138960729,0.04405701459151623,0.023740412690904437,-0.013520068561308062,-0.10417352980915108,-0.44176843062234195,-0.08575708511394406,5.753962497538603E-4,0.030984091766633026,0.017650532374510367,0.0063176245331113155,0.020680035575984985,0.0010124579025430193,0.02261247216162108,0.005171361316173739,0.00772853273764559
4,17489.208086725692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5149231807078434,0.0,-0.05732822994697302,-0.33662309052665473,-0.08488458077771191,-0.08104868739651702,-0.3295745268112132,-0.27329857511775946,-0.07823137919636858,-0.03166227290516665,0.0,-0.1470283475890781,0.0,-0.19929083787021112,-0.0858356377522375,0.02513959098810809,-0.08662153419100249,0.027612737822019576,-0.034277030770699775,-0.13511861739607622,0.1853637561139388,-0.14700243391112633,-0.039644807321757375,-0.03390012978952362,-0.08172029292182222,-0.08657045254139453,-0.36217642490744195,-0.059023822924170945,-0.029610082312578355,0.0,-0.0694421903408538,-0.17988538977711696,-0.10409369754794197,-0.08425999613143978,-0.08366296943860363,-0.024262130827177562,-0.021705774140840038,-0.08240189113795619,-0.09012837774552765,0.7931743905967249,0.03348501723039423,0.22159155706706696,0.25850830600831,0.04444369407110836,0.32772984930197935,0.2204215553384768,0.573424535995742,0.030437449826960797,-0.0010161351189179632,0.033001734007518976,0.35157101009572855,0.18589780930745728,-1.158988770881638,-0.3360117697008775,-0.9348535447072447,-0.29286063543582364,0.0017052852449426462,0.06430485695502829,0.09357401607635613,0.032204416257027954,0.12789217696256028,0.005995782487308885,0.14729993336879732,0.04282752392746941,0.05729164208249665
5,16398.450466308474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5805768014679243,0.0,-0.06127629996861001,-0.4267556114690668,-0.09600750834346382,0.032437391200605445,-0.4299546977405566,-0.3924334918956998,-0.0461276275759151,-0.0318862202949983,0.0,-0.15216310877066536,0.0,-0.29896896015117513,-0.1408618021151311,0.04547947910042556,-0.12940276868041878,0.052149217781481176,-0.039880331754890794,-0.2211919576330499,0.3332946930249019,-0.25270614487526827,-0.0653256395768192,-0.056228883423993424,-0.12903507706005612,-0.12794947417085908,-0.5352206502324541,-0.09223656981938014,-0.040079708552529826,0.0,-0.10436373650264574,-0.2625372998653557,-0.1492063063388574,-0.11818756868696462,-0.1229126648255954,-0.03655386604158443,-0.030605963404691176,-0.11502064938479564,-0.13084654795666678,1.2019103821185417,0.037380468243243765,0.35375448054323494,0.38098726270298455,0.05985765939568427,0.47809131943162836,0.3221882719731063,0.9107983642209033,0.027121986579987725,-0.008210378419449601,0.047885286406782274,0.5430775162382488,0.2774232825755729,-1.1759348100987996,-0.3322469124568589,-0.9187059987985821,-0.3547339022303076,0.001610647316518507,0.006103454807055139,0.15229408071463427,0.07154007741517951,-0.18036433935495894,-0.01107218857026335,-0.13324919085894843,0.06025613859748312,0.02747745132255058
6,15390.502515691018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6298844306831279,0.0,-0.03768509550571335,-0.7721481496163543,-0.11728604592546102,0.8326810828058862,-0.8526235549565047,-0.9464803592267881,0.1983669686147238,-0.011976074150705424,0.0,-0.0800424190732785,0.0,-0.7544749490465618,-0.43746158390871553,0.17120907455721135,-0.3197090103303591,0.19712480285422,-0.01701411105700759,-0.6685969104627161,1.206406502758212,-0.8271200759290587,-0.20585566432777636,-0.17408673711482045,-0.36435638531506725,-0.32509335632219327,-1.3115283433425584,-0.2541377895043896,-0.06838087109283839,0.0,-0.27379215461477946,-0.6352243976649405,-0.34254551739193384,-0.23448553935737143,-0.3091033260027634,-0.09703890637348508,-0.06900805362853178,-0.23725856639783977,-0.3089650561990499,2.7727097300204284,0.016570649297220505,0.9744462582523972,0.7466613793991876,0.07286881369409776,0.9255434800377562,0.6302039392100884,2.4680197680964406,-0.10286358016089896,-0.0775536631035609,0.09254511130435494,1.3923183453307715,0.6016357949021172,-0.43133227786473205,-0.1585213438620787,-0.37674648969004976,-0.29699125199948884,-0.005109957049656872,-0.7112573194017878,0.34932643842941535,0.25316188113141336,0.26898211153684626,0.016461462129373005,0.13986714115000737,0.46121049270680914,0.34107090961590525
7,15239.159103056661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.585597212170633,0.0,-0.021946288453112892,-0.8342923613377723,-0.13010100859773072,1.0859661430479939,-0.9443395232346317,-1.0888614810050437,0.2711614522263127,0.0019853084416199263,0.0,-0.034660408363213484,0.0,-0.9077736979139299,-0.5421874421684271,0.21689658124025377,-0.378292488295617,0.24148408911764152,-0.006622445358516943,-0.8102339694200327,1.4911966340445866,-1.008477243817833,-0.25306764083381006,-0.21111670911760613,-0.4393008438088031,-0.39532545641885775,-1.5186837286220816,-0.29726061736128545,-0.06819460736013604,0.0,-0.3247506657732416,-0.6992541149682701,-0.3943507081628289,-0.24514518655626058,-0.36114061398740116,-0.11732302860555067,-0.07938715332529304,-0.2615137097142406,-0.35446605707468415,3.147132237925731,0.00830525775892659,1.149222932117059,0.8020756517579114,0.06582774357238473,0.9960269649319055,0.6730503317646045,2.90560356109893,-0.15976356189840113,-0.10547958214283532,0.10038746081428153,1.6217847684238471,0.6683804962467194,-0.24792311338335823,-0.11260287837876076,-0.18714154468625008,-0.2736181262738532,0.001336198757578489,-0.3715866894563644,0.40900985308570476,0.3550186513871335,0.4209069740460652,0.027971163178658994,0.2201452769229823,0.5656729077217374,0.4221123771372989
8,14885.91085670331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35727707265377073,0.0,0.014297054191805738,-0.7642226224061237,-0.13819346142770614,1.334085898878672,-0.9076800119434624,-1.1138673872369882,0.34649977400392684,0.030614925543348565,0.0,0.0694932111406131,0.0,-1.0209727874704326,-0.6346306762154119,0.26285491724166327,-0.41389241303437907,0.2751208242009446,0.01750289305894202,-0.9180213437942493,1.7344284474045792,-1.1525386686233732,-0.29325567556417087,-0.23928023297362042,-0.4928219951182178,-0.4523028082711292,-1.6492031582875082,-0.3315539975088459,-0.058636102622980864,0.0,-0.3606197477966137,-0.7358523564441484,-0.42308546891781285,-0.23392120906498848,-0.3965681925406399,-0.13336235702943372,-0.08454276988080427,-0.26509428713234273,-0.3780919254040656,3.213255411734565,-0.008270906008755874,1.2479934303838447,0.738653760944606,0.03734833264186112,0.9253117334672938,0.6099385661796622,3.148832167979325,-0.23549923650820798,-0.138622829779023,0.09461644128561865,1.725188168745816,0.6567979230562044,-0.3375500811336106,-0.11970076392335668,-0.18341920456716948,-0.2779243024638398,0.0029749934836643733,-0.32955646786423276,0.439582963179101,0.41635993816946604,0.4751595511773537,0.03643792559915346,0.19849847882070656,0.6268289387215868,0.4531796036572884
9,13594.54898274089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5949634212540758,0.0,0.16106361784648945,-0.9629479222937132,-0.7795918175892834,1.5706751144480147,-1.2398352205386036,-1.151531300635164,-0.09143241912229766,0.09048908248956429,0.0,0.34091160491859385,0.0,-1.8876760871637481,-1.417197465878993,0.6807040811023644,-0.6080659145004537,0.503670771973509,0.30718852093104637,-1.7418806641605353,3.69634417029806,-2.2773728493035965,-0.6234083828378725,-0.4473323595852526,-0.8726068090208279,-0.9063417809718686,-2.020792400955425,-0.4487317142542681,0.12065678715852893,0.0,-0.5498572038802394,-0.6203037085085117,-0.48265237665409605,0.10109559633358245,-0.5018747353237253,-0.23890544598798147,-0.07209306207589704,-0.06155557961698188,-0.3870501321961194,2.793012039193883,-0.18726378406178373,1.8762848940545722,-0.22119906065355355,-0.2942034427903596,-0.08043082160021475,-0.33264310615465764,4.637795469122656,-0.9263392996284494,-0.4575556177916882,0.00607837536841789,2.232233192044345,0.297591059095348,-0.36773572892560374,-0.09530256998312134,-0.20215534330389623,-0.2557040900034893,0.010658660612075441,-0.3730971440884696,0.476041954155871,0.7877677621089489,0.6885526029537642,0.10709864583951993,-0.3399890437939532,1.031803708906062,0.5356806132566831
