Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_p.disability_lot,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_p.disability_lot,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_p.disability_lot,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_p.disability_lot,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_p.disability_lot,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20552.464472365755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4425688578330844E-4,0.0,-6.616645268715986E-5,-5.214587706116467E-4,-5.093156242583853E-5,1.2825910424609955E-4,-5.260692905434422E-4,1.1113723635029192E-4,-5.168723519162205E-4,1.1378629991935823E-4,-4.674904972665047E-6,0.0,-5.2060270973589974E-5,0.0,-0.0030584238897992566,-6.145785120492267E-4,-1.9683129165661874E-4,-0.0011789274607508697,-4.119640055798226E-4,-0.001241135923778008,-0.0011825090850610172,-1.584554862844124E-4,-4.551114690447425E-5,-0.0011231575306427507,-2.925190660930873E-4,-3.2641451675572916E-4,-9.987518131585114E-4,-8.965794930893836E-4,-0.0016582350999382578,-2.7605019850885157E-4,-1.5227688062377674E-4,0.0,-3.0223728437907456E-4,-7.766422240749429E-4,-4.976325436686111E-4,-1.3244421793594791E-4,-3.7622887899327535E-4,-4.1346286032476517E-4,-1.1109772887183772E-4,-1.1485382744971479E-4,-4.260971347596268E-4,-4.1475595151743147E-4,0.003556710310832615,3.803481646795312E-4,6.900373970598226E-4,0.001227554429602864,3.8855657339241425E-4,0.0015056721414083408,0.0010440253829828681,1.879993999023393E-4,0.001722677585125059,5.201080877921091E-4,1.1161769717192587E-4,2.091438970181457E-4,0.0013134688965000432,8.589166059867984E-4,0.013855969959429563,-0.09708037861184243,-0.10848661490937457,-0.05817788948823641,1.1041477204307626E-5,6.015932477619894E-4,1.135316341088806E-4,-0.002298217875294328,-1.2996794524381859E-4,-0.002095236845717079,-1.729308755900627E-4,-3.7102940068946104E-4
2,20151.116563419142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.797265316618623E-4,0.0,-1.3528191160004567E-4,-9.050835479108238E-4,-1.5465527298803855E-4,-1.4989458360937152E-5,-8.955350357543069E-4,1.257385154692468E-4,-8.117365846397411E-4,-1.2402965996371795E-6,-4.5587192923181854E-5,0.0,-2.3746031988327367E-4,0.0,-0.003213044397866583,-6.912743330227038E-4,-1.6885879294759878E-4,-0.0012486360546860125,-3.783154308410534E-4,-0.001257485924674036,-0.0013007048247973606,-1.4518351032166495E-4,1.4088230601962752E-4,-0.001254206907589411,-3.2798458511150745E-4,-3.558675389049878E-4,-0.0010665063283990701,-9.705493448678945E-4,-0.0024256326162292174,-4.1205397302041793E-4,-2.228598183588098E-4,0.0,-4.3902006311249915E-4,-0.0011290901898377197,-7.255148790065002E-4,-1.923344757061423E-4,-5.504170575566761E-4,-6.056020579446158E-4,-1.6231190302625704E-4,-1.6879478556205702E-4,-6.270739191814768E-4,-6.065048096885603E-4,0.004853594900162638,5.041908959175304E-4,9.582052576082039E-4,0.001673107775411753,5.205431386098851E-4,0.0020547009240202176,0.0014238683492785566,2.5341748623936315E-4,0.0023960710387358588,6.909953656506431E-4,1.4652225876017743E-4,2.825740130287655E-4,0.0018076712369235188,0.0011710501439269438,0.012072523333321919,-0.09620480701675155,-0.11249339330707851,-0.04440511390404432,1.6544944659362588E-5,9.028566696127672E-4,1.7535604542743424E-4,-0.002860081926796371,-1.6201056040593775E-4,-0.002600965851007276,-2.0328062689870874E-4,-4.5118239374549254E-4
3,19969.489654507775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.063315649807733,0.0,-0.007523206349937481,-0.046775719472894314,-0.010564929353668531,-0.00871362005355434,-0.046156773036258814,0.004344227012467549,-0.037867696595657696,-0.007986881785574405,-0.0038883553082358947,0.0,-0.018010748582108365,0.0,-0.028853366037265175,-0.01216565202377462,0.0036282526824983727,-0.012721234778035015,0.003962372767999087,-0.00512553639816478,-0.019811523467501757,0.001585713072838415,0.027103328784588057,-0.02148375677955413,-0.005807745873470264,-0.004985153523413481,-0.011981959049717597,-0.012622997214779953,-0.0926127420776526,-0.015545481155776225,-0.008419927985127043,0.0,-0.01687106173931897,-0.04358201187388634,-0.027513365707555783,-0.007442214007515795,-0.021276517552940282,-0.02271004697139697,-0.006178305654623246,-0.006271255318276471,-0.023516182726750066,-0.023116839727902582,0.12285073223468644,0.006370604302076482,0.03311901513716446,0.04030709901559273,0.007443211561563683,0.05097611887834455,0.03432854243078213,0.00462141665692656,0.08582254684728567,0.005991543537192841,2.3667060902519683E-4,0.005304138441529532,0.05347882128965189,0.028942984992548663,-0.01443131686555498,-0.1095028706581694,-0.5210017078012196,-0.09072847724794572,6.948771414570714E-4,0.03745096147998054,0.0076233360603316725,0.016521299316875085,7.514523854367054E-4,0.019502860820766747,0.005407803300725565,0.007756738684063116
4,18005.982735023394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.610149926916216,0.0,-0.067835601850448,-0.3948772178838983,-0.10026423016409204,-0.09442624706927316,-0.38612324072102067,0.029800031700792637,-0.3232605081058194,-0.09193539941152248,-0.03705306302720017,0.0,-0.17354292990019146,0.0,-0.22862940429038606,-0.10030721087843457,0.030340492629805125,-0.09978115717814838,0.033565895081132606,-0.03750694600618384,-0.15730987902646326,0.013328249901446904,0.22004745272158183,-0.17178082833838154,-0.046382930838218366,-0.03960215978936757,-0.09479096671555685,-0.10068343653166781,-0.41887241564132016,-0.06817464345885654,-0.03368393046990489,0.0,-0.08079304074692495,-0.20919092712410248,-0.12071203608410133,-0.03662725785665541,-0.09619959550204396,-0.09762004853160476,-0.028336989881213998,-0.02521890596302561,-0.0948880990508495,-0.10429705620498624,0.9469718448342556,0.04158383065132462,0.262176050694762,0.3090392010874037,0.05456641604372826,0.39114534386302824,0.2631638910742132,0.0340231265765206,0.6777050914885265,0.03909867744968124,-3.650913134188908E-4,0.039718666485515364,0.4172095950638359,0.22161343140000805,-1.366932735709621,-0.3823597420787905,-1.1131233286327986,-0.3429788376816574,0.0014334172072538545,0.03786119032191234,0.03408126086403332,0.055591695889842294,0.0017815881975326976,0.08560339414252258,0.041820635122827174,0.05008467458421288
5,17377.439208216154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6380242546815506,0.0,-0.06907624202229509,-0.43642419923296094,-0.10432326508923216,-0.034581325455615,-0.43296831004119185,0.051437045768346845,-0.3809858620020642,-0.07485813589364834,-0.03673651910828172,0.0,-0.17502360389069002,0.0,-0.2745544674701593,-0.12649923067584673,0.040786665051136504,-0.11958212548589699,0.045476836335473746,-0.03905673978973125,-0.1987107975121675,0.019137568285389154,0.2940361781398744,-0.22322744061015903,-0.05882844623949919,-0.050343650844122706,-0.11701493896027146,-0.12052347055858854,-0.49745457035350543,-0.08293404729136947,-0.03780163221296395,0.0,-0.09725917180883811,-0.2490193408219628,-0.14127424026679253,-0.04411817423616201,-0.11046424751187353,-0.11596066657395157,-0.03415067681277173,-0.02924809088704158,-0.10876385615554793,-0.12281881724769751,1.140052119215356,0.04296433530894967,0.3252101437452245,0.36591213110075743,0.06196150573986167,0.4607808853079878,0.31047857329426365,0.03664060929775869,0.8381795079535497,0.0370740266121247,-0.0039402285995308334,0.04680363873112647,0.5083408893148997,0.2644090967666871,-1.3693015922409597,-0.3791490482935936,-1.110401281745371,-0.3715701148541231,8.350970981810995E-4,-0.024841858541268323,0.048813794241207645,-0.10279242635561849,-0.006844225659713958,-0.0640467946584968,0.0542612876730882,0.03370560921250573
6,16771.588935450196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6447943607243768,0.0,-0.06646879826555477,-0.4757626726918687,-0.10584549406454055,0.0578555483333002,-0.4808472417287523,0.08173252498544807,-0.4455042120139099,-0.04652550209765913,-0.034404936973659914,0.0,-0.1675588520232909,0.0,-0.3238845055137507,-0.15900850418700951,0.05536290583928509,-0.14051221422642304,0.06159610026439575,-0.03597739527782362,-0.2489938937428492,0.02741435967175498,0.39399697250178506,-0.2881480949946718,-0.07461373458053822,-0.06357602053594022,-0.14284891610601672,-0.14281100718405648,-0.5797729843567343,-0.09956591321525991,-0.04010706983620918,0.0,-0.11587006190314597,-0.29175110980731334,-0.1619007220786284,-0.05244079227718043,-0.12174971127226358,-0.136199834602518,-0.04079344757597531,-0.03328703003653879,-0.1206518074908582,-0.1417869635449637,1.3179396924461266,0.04004414633338933,0.39492770226350443,0.4078348068951849,0.06414498699867145,0.5122205709884179,0.34582662379003043,0.03442071182581896,1.0133323016578135,0.022903346727587724,-0.011476050766299505,0.052071913717645725,0.6039736039607184,0.301148425610853,-1.2923048108962685,-0.3609770436931761,-1.0579324005970645,-0.36729429643240413,-5.306767441438198E-4,-0.14236505757373089,0.06541758913412601,-0.05799298612408841,-0.003921006901839502,-0.044844372644612746,0.10567637171307337,0.0653905891323543
7,15386.631231171361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2968093519594015,0.0,0.024871046989953183,-0.5518097104433528,-0.11584725144370016,0.9844716936066161,-0.6565545102863448,0.3748195786304081,-0.7944839158658054,0.2109162714308683,0.02341784219061256,0.0,0.026509821704217756,0.0,-0.6650831668957642,-0.4694597818163611,0.2016483130707158,-0.25222235236544877,0.2056618340534438,0.07019865069322115,-0.6179307763820212,0.10704373198916636,1.288603009100345,-0.7926545350304544,-0.21273285199190015,-0.16012371716025056,-0.3373017397010567,-0.30646147354101405,-1.181450602766966,-0.2533543303483917,-0.01106497688176512,0.0,-0.2744405484076283,-0.5661589199991294,-0.29355381836248173,-0.11578117445412633,-0.10716000671992006,-0.3147882322757284,-0.10201072714681973,-0.06090848256952476,-0.1553575626539335,-0.26147294077492766,2.0433255188574213,0.06300582427301785,0.8074102389881236,0.37404481467174266,0.025911936283427188,0.4716885334835439,0.2933970877539136,-0.0534522317436814,2.050590617454391,-0.16226137988455144,-0.10518789613401494,0.06483753341296992,1.147251719352612,0.38288895771387055,-1.0989724463501904,-0.2954721631599453,-0.6664197134620222,-0.3338175732349059,0.014250156682748934,0.7465543110322214,0.6318404128428993,0.3274550293221083,0.0394460736336458,-0.027618121370247745,0.13502941272646685,0.11754424088375626
8,14836.241723315976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4036333862169343,0.0,0.03251764402160266,-0.645722142251155,-0.17191079296316236,1.0404119077277474,-0.7588126005184402,0.4273328129726704,-0.8664172635980937,0.18039783122187503,0.022190120803931106,0.0,0.02267553534422985,0.0,-0.7304092963339294,-0.5412474240937304,0.23996962870169675,-0.2681025093197652,0.23719924720470875,0.10813270223530552,-0.6948478698768616,0.12579383597283506,1.4991861610565895,-0.8975052997823273,-0.24551527469637915,-0.17875540841667942,-0.37450773691913575,-0.34180186303866145,-1.3300891341488557,-0.2885275953275304,-0.0026515499797638165,0.0,-0.31484170734572414,-0.6379765735601769,-0.3288238623344314,-0.13205990037255938,-0.10053856381571541,-0.3615213306143069,-0.11798002068910807,-0.068152442432239,-0.1633208339622199,-0.2912603983028494,2.1541406805604515,0.06408534176416643,0.889304517697888,0.343934223166529,0.00968342292908116,0.4455847857084851,0.2583832451919478,-0.07985699996839221,2.250860765085246,-0.20266199054332468,-0.12902048803195132,0.06716260912647835,1.249497204262075,0.3856919904929406,-0.9678689108313243,-0.26875394089485405,-0.5423931840448372,-0.31725580705556,0.01801239481295694,0.9763114107564088,0.7553240801312426,0.4084220778868696,0.051049313443339885,-0.037216473813328814,0.12985134581955515,0.11412249613425453
9,14200.48243928286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.404938796670066,0.0,0.04369684269959963,-0.672959091697437,-0.2750536330152783,0.9436812781431814,-0.7752476879117759,0.4862986832655038,-0.8156566342865718,0.1104594151862396,0.030514787937728407,0.0,0.0810827476631315,0.0,-0.8586245234714242,-0.6476194683174762,0.2986102897942156,-0.2757874227213707,0.2459731230427873,0.13970361393134395,-0.7739191847807313,0.13751858744675147,1.7075183942797905,-0.9920289848195755,-0.2912745549984032,-0.193761152261103,-0.40748294206206725,-0.4015383962226104,-1.7244774427594027,-0.3507461636234281,-0.012011344385198857,0.0,-0.40537722796186354,-0.8513057954963191,-0.4490427212079177,-0.17240961365008378,-0.13859100885409442,-0.4781955271245938,-0.15389388550053076,-0.09309767300649338,-0.22905317544899356,-0.3830366635364514,2.237681042657174,-0.006138339673133389,0.9831130433567318,0.3438866967441577,-0.04795523708773379,0.4727363648565076,0.23645622175130374,-0.1220913136831624,2.4583367758323296,-0.23506148666241894,-0.1576680147441829,0.0733523211218454,1.325508107804229,0.38156580278203633,-0.8589150686351607,-0.24298892970011138,-0.3635460169470883,-0.29969880356967554,0.022883427441538994,1.2524437414002039,0.790797373961265,0.4670694328746682,0.06706136024873896,-0.026299182052232487,0.26224781764209354,0.1474258844124787
