Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,22450.84794437963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19944.250186351026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7947566760118706E-4,0.0,-4.202524946907534E-5,-2.88819876162494E-4,-4.3533376894498254E-5,1.3609379146695061E-5,-2.8547570934832063E-4,-2.693586907400885E-4,2.1374049097487234E-5,-1.0073683357395396E-5,0.0,-5.916687946021531E-5,0.0,-0.0015735156493421152,-3.181417508497711E-4,-1.0417024640455545E-4,-6.022495237275774E-4,-2.157281937834958E-4,-6.393779544700521E-4,-5.982701612105221E-4,-4.4499365691898965E-5,-5.68487275920817E-4,-1.4734844878501636E-4,-1.6526260232292404E-4,-5.104019759273365E-4,-4.5500286676723153E-4,-5.445635899302663E-4,-9.385928924114701E-5,-4.925525347401262E-5,0.0,-9.893729683094695E-5,-2.596096381155192E-4,-1.5581438428549798E-4,-1.323060615554993E-4,-1.252847196795104E-4,-3.4971872172114696E-5,-3.426440918089464E-5,-1.317515056094514E-4,-1.3866190049806738E-4,0.0017703472705239442,1.9367820717145886E-4,3.369663374515047E-4,6.127727584328976E-4,1.9783171522335622E-4,7.498658369539546E-4,5.198202015056307E-4,8.394917632419042E-4,2.658844846580894E-4,5.754397567711853E-5,1.0538338748828098E-4,6.473991189565128E-4,4.270878912348004E-4,0.005688832984681277,-0.04917472950644526,-0.10179180107562687,-0.07057931243796106,1.8989125145716842E-6,1.0764309961329976E-4,2.7232186057484462E-5,-0.0015081595587440207,-8.507565090016757E-5,-0.0013605374201224813,-1.249158327004952E-4,-2.5928968348912305E-4
2,18093.549598182683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019370180020855036,0.0,-2.1376067898766474E-4,-0.0012140577541315865,-3.141802666163572E-4,-4.0867048688394324E-4,-0.001168940644231993,-9.489972968497891E-4,-3.204947028310801E-4,-1.2094476992842722E-4,0.0,-5.551488430988832E-4,0.0,-0.002206915494439856,-5.486757016083335E-4,-7.580273005958325E-5,-8.511508494733836E-4,-1.901873149660523E-4,-7.980329687276249E-4,-9.314012399953787E-4,2.723800754946975E-4,-9.169644025732674E-4,-2.38147719845772E-4,-2.44923678674663E-4,-7.299884953163682E-4,-6.768193462587927E-4,-0.0017032463360104476,-3.0335005303819946E-4,-1.5489436677943518E-4,0.0,-3.0459018336383777E-4,-8.006723035505665E-4,-4.8687365718955806E-4,-4.116132249763608E-4,-3.952417402664532E-4,-1.0963800299641428E-4,-1.095049344648516E-4,-4.2061987959165527E-4,-4.3366975641334887E-4,0.004873363952941413,5.152975831519439E-4,9.458531112925225E-4,0.0016857760834505316,5.344472842513574E-4,0.0020650994846781114,0.0014312469217678534,0.002360034780410243,7.141728649504232E-4,1.5250690988866472E-4,2.8775146436535166E-4,0.0018009593670371311,0.0011736947671182516,-0.001642229443773376,-0.04798341784751709,-0.10644349730942504,-0.01987708349081918,7.232267302112681E-6,3.664401020151888E-4,9.307564363896512E-5,-0.003471538341760062,-1.961360412568228E-4,-0.003131471161340371,-2.7257373667070406E-4,-5.87501798790029E-4
3,17064.541892909197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13268863504296996,0.0,-0.014861781984610876,-0.08981983465272653,-0.022046817949902698,-0.023796660860536403,-0.08776693133424168,-0.06986351404340456,-0.021183444232515624,-0.00849658762183252,0.0,-0.038892157213978755,0.0,-0.0761244292063853,-0.026543676014364217,0.003547518350064974,-0.030720102333459533,0.002954159388716055,-0.019672942426522656,-0.04145166240628688,0.04006466142391327,-0.04308546310404448,-0.011315656706076012,-0.009942330514363698,-0.02691976802396695,-0.027198584641475343,-0.12119919000895514,-0.020958675081152994,-0.010831210938423487,0.0,-0.02203417536017663,-0.057961916371620084,-0.03469517119657489,-0.029275771944618417,-0.027935219185730744,-0.007870055160204883,-0.007625017409501191,-0.02933707291328342,-0.03091337588302948,0.23604389914390822,0.01514667471647468,0.06027529363013075,0.07800585507882128,0.016207881207983305,0.09799849238377849,0.06583735052067542,0.1562128893310612,0.015475170966398125,0.0014782701979635091,0.01076575372196592,0.09953813213309819,0.05559094049937915,-0.2774952565454399,-0.10687430887333124,-0.47360133253983383,-0.07128823482415385,4.11799684627758E-4,0.024684373700387056,0.006476651388686721,-0.028394133271506434,-0.001959729392779973,-0.021151247774894782,0.00266921736037637,8.377582097730315E-4
4,16164.446006287268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2478611645068976,0.0,-0.02716861687700669,-0.1692002244280863,-0.04177795474001445,-0.03352485763145011,-0.1660759845716211,-0.13508901183756966,-0.036266772625090885,-0.01562479032000301,0.0,-0.07087034664992009,0.0,-0.1484671231369892,-0.05387800995595437,0.0078097519959555335,-0.05932130986387048,0.0068495989214028725,-0.03663320080773798,-0.08221330625408535,0.08357906654916461,-0.08745963894365075,-0.022484172044572218,-0.020031537433722213,-0.052933251365882034,-0.052331593240764376,-0.19587275792817532,-0.034257512853360594,-0.016333720730204008,0.0,-0.03649381551394686,-0.09574584329370794,-0.055219726818763415,-0.04651250656469515,-0.044774383427901736,-0.012957082058225908,-0.011824246332806859,-0.0451492735238678,-0.050029382712971915,0.4404939452404778,0.02446379819700642,0.11738006883312292,0.14325617498476434,0.028285389745095063,0.18049924059693867,0.12089260367157151,0.30334375268167113,0.023771056739245656,9.80183235308455E-4,0.019506244677326482,0.1896718112078127,0.10273115696733702,-0.5512009000635636,-0.15827006157160883,-0.3972086454351927,-0.10676646958157632,-0.0010996935172042693,0.008276477384001366,0.010296244245153517,-0.052118203939619745,-0.003788021085824082,-0.038773586738531964,0.010045320581821456,0.004898439215369525
5,14430.200171523811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5072607924924268,0.0,-0.05046360504120398,-0.39553002127549075,-0.09026945074946192,0.04035382219116857,-0.398100455907294,-0.3427396293092543,-0.03855087730286032,-0.03023306470873364,0.0,-0.13185781730148557,0.0,-0.37021066407996983,-0.1521844444731963,0.030265988754696847,-0.14481875230771246,0.030417761923754876,-0.0733328616203687,-0.22848453454658404,0.28446625313648977,-0.2616469866307293,-0.06379705086690982,-0.05811095356627499,-0.13814702661738343,-0.12778129137729743,-0.5338503892555262,-0.09772240983516968,-0.04117071333028771,0.0,-0.100738705805128,-0.2591353110946035,-0.14678156085271155,-0.12015829901630344,-0.12220285969018502,-0.03597923383205051,-0.031337707555108854,-0.11732858362122943,-0.13557117617908493,1.1021855558832634,0.044666124328427405,0.3245318437408465,0.3358440575967373,0.05894082712490486,0.42494124523435717,0.2818561489191978,0.8317317356406114,0.02625530083300395,-0.010242058975625506,0.045522771164781685,0.4986467686366848,0.24853092809671234,-0.26885848731180517,-0.09386578410879803,-0.2009224805209949,-0.11151125013535826,-0.00600659573213729,0.002766960493712887,0.04003905314541105,-0.10326847386239618,-0.009620736223482262,-0.08158981298180466,0.06703040298627846,0.04267667521466466
6,14014.31220652471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40441121574406463,0.0,-0.03738444785363225,-0.3861588956647453,-0.07819190519953721,0.16854408358121276,-0.40280703519717626,-0.3694045308981494,0.011298296087785507,-0.020409476483568292,0.0,-0.09087471563019929,0.0,-0.4411581946879707,-0.19413319940158189,0.0431328800690351,-0.16677076893375398,0.038811845105785975,-0.07447047641591166,-0.27290203902167953,0.36762389622626895,-0.3199130848080801,-0.07944751898547732,-0.0701312150525117,-0.16430422491267047,-0.15305620022935051,-0.6388544093698127,-0.12069714257724748,-0.045039800633942306,0.0,-0.12263137679707488,-0.3071701927898169,-0.17360413848754924,-0.1330125919402761,-0.1494718027152444,-0.04441376765117189,-0.03753178446315479,-0.13555288008170704,-0.16031398075907977,1.1924379192386527,0.040911608818728816,0.37544055430004125,0.33844344905866525,0.05432047505093708,0.4286107924045148,0.2832681466339434,0.9545739579476449,0.0023772326701942126,-0.020647822060290207,0.045954152203816025,0.5601023995207869,0.25925749340272336,-0.27325025876398634,-0.08941331129743856,-0.17595445432196846,-0.11157576337499635,-0.006537401094569795,0.019941726606540117,0.05258728224866027,-0.07941681705643665,-0.00898082727847446,-0.06807500028575952,0.0903990272367631,0.06250211561687817
7,13266.374357977154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5291240967791107,0.0,-0.009685056079836288,-0.6008527148298421,-0.230465930235842,0.4309496296369521,-0.6795724385399212,-0.4943458721760121,-0.059887803851060524,-0.0196808603553346,0.0,-0.054474139961995904,0.0,-0.6998460407202851,-0.4228743513581199,0.15963976575983244,-0.21567674052979224,0.08914422989749904,0.03407013294701086,-0.47127968821353006,0.9534704317072589,-0.589701980540738,-0.17514676371284904,-0.11976899540147586,-0.24542357800109144,-0.2728984987662134,-1.054330004091486,-0.23208226291974887,-0.01892780875394682,0.0,-0.22972815889760084,-0.4845091007630281,-0.2734529744939609,-0.09008186550571895,-0.2850814094709839,-0.09350452257947435,-0.06121428423344427,-0.1604221638058949,-0.24295218763659002,1.0565389938595213,-0.014964278296004246,0.5511715125195367,0.04921059302726066,-0.04297516762361245,0.11409689954058239,0.022378824323734947,1.3296309233827441,-0.2077720512597978,-0.11500604905146253,0.018356378812704428,0.6956027986277558,0.13109063032394414,-0.29375329592448146,-0.09248563044310468,-0.11758263101516776,-0.08470029143737416,-0.007706075039761952,0.08222658282956505,0.11202183163442264,0.29191466581878484,0.010270395282257956,0.16032281470729964,0.1979030192126803,0.17872678062859104
8,12912.435732757607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5322212874875338,0.0,0.046527737420905255,-0.6914097810023869,-0.44512864474609104,0.5853359119616944,-0.819802906091617,-0.44358183308529076,-0.1837506836582362,-0.002384560849981593,0.0,0.07980369483403485,0.0,-0.948311086029758,-0.6425952788872473,0.3291879604492238,-0.215329348362779,0.07763168559336127,0.137617818330508,-0.6333806011018134,1.577346996976964,-0.7886026080250628,-0.28464336729510903,-0.14038264142951293,-0.24759583957304548,-0.4047429081059996,-1.029249029504939,-0.29073837818533615,0.1185957068031118,0.0,-0.27157204487618625,-0.42638306487226973,-0.2624142171581608,0.20922421740913733,-0.3599620513643859,-0.1436809891420603,-0.0565342561936311,-0.005046698167107094,-0.19463662261989378,0.9373222863315318,-0.25772715862337714,0.6516448178669703,-0.011711696181280082,-0.16485388697932174,0.09899364368956155,-0.10126261827898937,1.555053944471418,-0.290355737935357,-0.20870988358025866,0.031218736864217018,0.7245825038814253,0.040088484975688135,-0.2783793442285395,-0.08103115283398159,-0.1790230032803835,-0.09139072819842521,-0.024400202262506665,-0.275915864857896,0.14721831214084033,0.15811794445620303,0.0032727123723064787,-0.07150055354250517,0.34630116844546843,0.10200694220197087
9,12763.531101220824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5354394219899477,0.0,0.0818942869991889,-0.6769150777884524,-0.5298803559264763,0.6050608089570884,-0.8314644342154575,-0.2760586913071635,-0.30754841328503013,-0.008602994491672594,0.0,0.09295974186186312,0.0,-1.0373517252815914,-0.7238695314704391,0.4333039341866134,-0.14402872556633128,0.003606268472771998,0.18853793584525008,-0.6263295344434381,1.7867890299912657,-0.7666568999692223,-0.3349584004356806,-0.11044682786481333,-0.17109349173697752,-0.46270865332632843,-1.196749238505215,-0.36347653428460863,0.19747525755646364,0.0,-0.3306652571776271,-0.47207674084059337,-0.31500627171740264,0.3763568723318261,-0.45503724300211357,-0.18831202611253506,-0.06590310891028742,0.05242096597727316,-0.21208757530285652,0.9092981860329765,-0.3426271918127323,0.65619617384568,-0.014093434627185432,-0.25098613964127625,0.14315650984350825,-0.13924547407445848,1.5687298854041403,-0.25762970167691657,-0.2508299366294953,0.06564720566342833,0.7270177136422302,0.020574259764153988,-0.2836614312681064,-0.08081417777381056,-0.15754813648634694,-0.09772685057334948,-0.024740792780198296,-0.23679016340115674,0.1949943250236814,0.1051355970640177,0.002306510696880991,-0.2207466265595297,0.36641659826307527,0.06622555885703431
