Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressJct,g_bike_stressJct_f,g_bike_stressJct_c,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressLink_f,g_walk_stressLink_c,g_walk_stressJct,g_walk_stressJct_f,g_walk_stressJct_c
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20309.372516225663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.108028907792011E-4,0.0,-5.9736567711586554E-5,-4.707847541219066E-4,-4.598216473675971E-5,1.1579521576666589E-4,-4.7494723563491E-4,-4.666440317493714E-4,1.0272884118363342E-4,-4.220609781896794E-6,0.0,-4.700118830310067E-5,0.0,-0.002761214155571342,-5.548553595988556E-4,-1.7770373511479464E-4,-0.0010643623350819246,-3.719304075497331E-4,-0.0011205255403458438,-0.0010675959063923316,-4.1088491195760766E-5,-0.0010140119827375769,-2.640928187765877E-4,-2.946943970899522E-4,-9.016956915598888E-4,-8.094522136615523E-4,-0.0014970920958622604,-2.4922435320793614E-4,-1.3747900666974514E-4,0.0,-2.7286664571002877E-4,-7.011701386726016E-4,-4.492738983741498E-4,-3.396679282671819E-4,-3.732836074618461E-4,-1.0030153852639444E-4,-1.036926291458299E-4,-3.8469011573928527E-4,-3.7445103939224124E-4,0.0032110783891967855,3.433869124098538E-4,6.22981345061441E-4,0.0011082638606959773,3.507976491649265E-4,0.0013593548115984038,9.425696928025572E-4,0.0015552722267824619,4.695653271701903E-4,1.007709776500687E-4,1.8881983328863E-4,0.001185829381602377,7.754493086508383E-4,0.012509497938730515,-0.08764118574111797,-0.10766190759194794,-0.06224205416845266,9.9684949678292E-6,0.0,5.220983929464938E-4,2.8859094955082005E-4,9.857285366506656E-5,0.0,1.5551901191223687E-5,5.577987668996635E-6,0.0,-0.002074882998074642,0.0,-5.54450968134011E-5,-7.26819102018387E-6,-1.1523979297175664E-4,-4.6385153377373685E-5,-1.0982837658119718E-5
2,19828.389107438885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001022324141878136,0.0,-1.370603102321422E-4,-9.007709385506582E-4,-1.6213643828493542E-4,-4.443614173159348E-5,-8.891871754092002E-4,-7.965759571129878E-4,-2.633171200713087E-5,-5.0165403531614E-5,0.0,-2.5495919580317356E-4,0.0,-0.00295609541045279,-6.447903182881601E-4,-1.4876989325001734E-4,-0.001149923187528469,-3.3772657939491E-4,-0.0011480541148219659,-0.0012060581640668082,1.6175240078260844E-4,-0.0011656122390088202,-3.049462855639175E-4,-3.289919916697506E-4,-9.830987063502614E-4,-8.972753615568872E-4,-0.0023619752324745133,-4.024447476646644E-4,-2.1701400004715102E-4,0.0,-4.2703615300588254E-4,-0.0010983248032640294,-7.063285330891452E-4,-5.356373878388442E-4,-5.901704830219521E-4,-1.5809797410837946E-4,-1.645898022265039E-4,-6.114249992894378E-4,-5.90610697529179E-4,0.004689318172875074,4.8660257164514435E-4,9.261378130977931E-4,0.0016165463031369426,5.028061844928223E-4,0.00198529333637213,0.0013757993829118188,0.0023158807780741656,6.674112545327094E-4,1.4147910468260722E-4,2.7299156499035695E-4,0.0017468660908461935,0.0011314011397616462,0.010476746863885129,-0.08682548546910565,-0.11221230836590673,-0.04621335637985022,1.6187549233734054E-5,0.0,8.495737614238829E-4,4.6181510544674755E-4,1.6571791488952917E-4,0.0,2.4889027610908966E-5,9.342500150205488E-6,0.0,-0.0027420433756895255,0.0,-7.236856617469077E-5,-8.336048153418381E-6,-1.525468752445624E-4,-6.125168076026856E-5,-1.3966013707570664E-5
3,19678.20664993965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06204811642789256,0.0,-0.007371277083326021,-0.046350107555663364,-0.010388037368978064,-0.008188838050880826,-0.04583257689981696,-0.037454177131027035,-0.007765271043502008,-0.003840114923808962,0.0,-0.01770079655253066,0.0,-0.03041220340391829,-0.012412234399712282,0.0034353050094588547,-0.013256864419622236,0.003706999163820056,-0.005813281127047092,-0.02022986962523112,0.0265975777960182,-0.02177431950704422,-0.005871897609616867,-0.005049498930751954,-0.012326346434771056,-0.01293908979186539,-0.09084012404931469,-0.015182606135935693,-0.008236392533374241,0.0,-0.016585310365369088,-0.042836474025077495,-0.026995659151491505,-0.020851159828876826,-0.022265148250377363,-0.006069401080707313,-0.006136067672837714,-0.02300593637352521,-0.022671980038063463,0.12046259917466479,0.005999526283140457,0.03284423382787633,0.03942572814487318,0.007078204990671097,0.04994868569854312,0.03361768821737426,0.08517664427373033,0.00546378547743482,1.0205379398857059E-4,0.005151071639649123,0.05280875034539247,0.028389736776644338,-0.020742241296771262,-0.10094660161174653,-0.5090366205453204,-0.0949571020847513,6.928195607473521E-4,0.0,0.035772955342269604,0.02045459399983613,0.007305901286489995,0.0,0.0011235803971880241,4.195426110532217E-4,0.0,0.028511831051451723,0.0,0.001636489798155737,7.1802444803854E-4,0.0013967665940834866,6.537512819095091E-4,3.043532202913234E-4
4,18223.355927874858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5973942769931807,0.0,-0.06655936183889721,-0.39192640373928134,-0.09844144521508547,-0.09019127021733829,-0.38418866536645324,-0.31973851804923004,-0.08948867184652022,-0.036586456034666565,0.0,-0.17042391412453653,0.0,-0.24331187581331062,-0.1028837155094081,0.028654785884407785,-0.10480542729204821,0.031205365885839186,-0.043848046346816154,-0.16135648048361823,0.21578718121125048,-0.1748322206721524,-0.047078430190041806,-0.040323839763772566,-0.0982127429769745,-0.10375939987790704,-0.41981730820010554,-0.06815842281687916,-0.03385559482947236,0.0,-0.08094239684661993,-0.20932709476156186,-0.1209812449610617,-0.09662230723021811,-0.09768872786230073,-0.02837373871150326,-0.025229673223761177,-0.09511840474450023,-0.10448755666747483,0.9334543692374058,0.039578667711771626,0.2608987231771099,0.3040102365115299,0.052124731587572526,0.38536391068329146,0.259235697639715,0.6749905584202285,0.03582169726900316,-0.0012294288939575216,0.0388572961005163,0.4138136874903419,0.2186352280157846,-1.3717931071662814,-0.37338340707426504,-1.0994277492698563,-0.348375547672396,0.0016578192406533976,0.0,0.04609554882384709,0.10074876218379003,0.03379989360108998,0.0,0.006207797899040668,0.0022964513918037827,0.0,0.14986885993544402,0.0,0.010906050457587815,0.005719101616734878,0.006922194187157588,0.0035750049482118854,0.002279143056619125
5,17178.100090001724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6461735119399541,0.0,-0.06901920773824347,-0.4653803750472702,-0.10511800822321916,0.012356840147704912,-0.4672054769345215,-0.4196502710886445,-0.06029843589219157,-0.036333571021077815,0.0,-0.17334701297232052,0.0,-0.32718720036657833,-0.14824094896073625,0.046162599566777734,-0.14038601393497563,0.05022945815975381,-0.04913273296806427,-0.23437381286670778,0.34285837669978586,-0.26521536102833637,-0.06884286193729475,-0.05910431078361435,-0.13692814855563568,-0.13906713618385025,-0.553765306204894,-0.09404320981461875,-0.0409606101152451,0.0,-0.10872569491039033,-0.27489772991291794,-0.1557381444254055,-0.12113649065547875,-0.12868597368620113,-0.03825091595972924,-0.032003357419010975,-0.11879314409919714,-0.13596603982814134,1.2673557977964112,0.04039192123033267,0.37147684036596196,0.40312834282035603,0.0625426237693674,0.5059980768707096,0.3427299233767833,0.9550439364154886,0.03151345769594679,-0.007592440916954539,0.050981487830691744,0.5716841201748546,0.2926420906729848,-1.3237179023372412,-0.3585279464128767,-1.0604857927967213,-0.37994458346001786,6.506251075669865E-4,0.0,-0.0646456633120099,0.13504605651386428,0.05948068621709707,0.0,0.008985870606003959,0.004367875537261378,0.0,-0.12640610496894306,0.0,0.003915329918627931,0.008341907576623493,-0.0077599615185619895,2.4549945054754213E-4,0.0033016430836851525
6,16406.398066040347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6458500393056967,0.0,-0.06359635557039162,-0.5250090535118203,-0.10708214121002693,0.15962076521337284,-0.5419906800746327,-0.5160704674174614,-0.016337358096586506,-0.03209788247247036,0.0,-0.15906293395948562,0.0,-0.4070923060288749,-0.20099827394536768,0.06972063659982834,-0.1724917655672089,0.07426952510286333,-0.04367915128092147,-0.3131418375465823,0.5027068734599226,-0.36735737180370387,-0.09441717555143503,-0.07963532453526412,-0.1770706170660568,-0.17486388082916599,-0.6777030623039035,-0.12036507378877065,-0.042975994726341525,0.0,-0.13757467835765413,-0.3355177806938613,-0.18638510988871568,-0.1349912129177798,-0.16031519064912217,-0.04873719047882298,-0.03808316142289198,-0.13538777886829842,-0.16410289829422559,1.511058808928857,0.030535916701060976,0.47617562512044354,0.4551078184299553,0.05976224015097343,0.5669786265902851,0.38828775817167194,1.2143782630953535,0.004846632156639795,-0.020690819154114554,0.057962764024926595,0.7130361464210676,0.34002046116291695,-1.2050334681913086,-0.33048418491444925,-0.976160222079045,-0.36779107757226553,-0.001249589534972704,0.0,-0.23224260807593405,0.156423583197423,0.0900057497833195,0.0,0.010832630910730078,0.006516288085737475,0.0,0.03930374175228779,0.0,0.005845366737143177,0.014779817620765252,0.0026860615383915206,0.012404296282385442,0.008882655671139338
7,15290.021727844714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18083336654607118,0.0,0.028146169588878514,-0.6045493670692401,-0.1069193095425207,1.104740078313212,-0.7433573161448114,-0.8558688012993789,0.2614692310439047,0.0334209124270774,0.0,0.0822952010184406,0.0,-0.7801108606017637,-0.530987031321404,0.22589206384242078,-0.28482210451186407,0.21925138811757022,0.06644483061670617,-0.6982345158332933,1.4501694904826645,-0.8884493983418895,-0.24354627527156536,-0.17650792987926764,-0.3766716295249922,-0.3523127340098287,-1.301721706250322,-0.27902792365582546,-0.012062505321647723,0.0,-0.2998506500192303,-0.5368315997478836,-0.33185242088076944,-0.1101720102781149,-0.3472317179989365,-0.11715578393597845,-0.066299921086963,-0.17443137220866795,-0.28576271872506853,2.2072670571166126,-0.06139021270995338,0.9371093328511142,0.4540241364624388,-0.0455544082930771,0.5282707656363237,0.3964318582628282,2.3056124507652447,-0.20324180349349166,-0.11647037922832751,0.07023570469583847,1.2703603759722017,0.4043352082110785,-0.9933174460380413,-0.25881401811334587,-0.5582610829018615,-0.3203923210687831,0.016082671948685002,0.0,0.7024323868235349,0.5025687833447555,0.6827982008970621,0.0,0.03136162826877805,0.039765082102148255,0.0,0.5543686818343647,0.0,0.0032642346930173123,0.03752633970297843,0.05653947119056613,0.09184860826750998,0.0341918812392388
8,14693.405140893898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2651700941167093,0.0,0.034068417810261355,-0.7001047178479234,-0.16081430290107382,1.1637377287322483,-0.8551378631282678,-0.9254437148808572,0.23194723009061557,0.03355607974056681,0.0,0.08620256517142282,0.0,-0.8536270678026648,-0.6082586911128663,0.2670341878137545,-0.30054372162456766,0.25160401941201704,0.1069366110883253,-0.7793353448369863,1.6736804206384304,-0.997092171920865,-0.2792027838374144,-0.19517191299924905,-0.41518567907292714,-0.3915892063406072,-1.4575600113939517,-0.3152612116137473,-0.0031161925526783235,0.0,-0.34176195654408587,-0.5911909022470219,-0.37080160145372065,-0.10096017745343938,-0.39604335848131106,-0.13504174457907445,-0.07358661104081603,-0.18305519577358614,-0.31622212831525903,2.3157859320833407,-0.08860291098254089,1.03515347295344,0.43024075890433633,-0.07993467715452658,0.5022280157499204,0.37548025051356754,2.5276925104333823,-0.251784171297838,-0.14150734302744278,0.07188049385797689,1.3797049192686832,0.4039981384233954,-0.8550848215215885,-0.2301608041199076,-0.42355290098401754,-0.29933784243298533,0.020788612292506795,0.0,0.9654118886952234,0.582877994594837,0.8164056738373585,0.0,0.03571681528080609,0.04696199152078695,0.0,0.6677874402058009,0.0,3.545775841754034E-4,0.04208877591657405,0.07063750689332433,0.11007638980793429,0.039853551527445685
9,14213.454913379264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2793395933265934,0.0,0.03455411505695115,-0.717331283029356,-0.2243751315100081,1.1260095505335992,-0.8748361556366565,-0.9057771713439573,0.18925601052674565,0.03714752625607884,0.0,0.10784512142221175,0.0,-0.9539103043746728,-0.6785172860306989,0.30381532324505034,-0.3125210965711132,0.2561023028871921,0.11969717887348291,-0.8383519283541506,1.800803466816753,-1.0665274405459813,-0.30856707423644986,-0.20721644887667992,-0.44040313647414486,-0.4360762338961501,-1.7037682542511867,-0.3545638489036257,-0.009177567878310321,0.0,-0.3977646915310203,-0.7126087660610599,-0.443990725184909,-0.12396488189281399,-0.46554647243896363,-0.1573062307972493,-0.0880857343245969,-0.22199691511319808,-0.37180113463555226,2.4069513272607246,-0.12852114895211939,1.1160693823831058,0.42647541528792304,-0.11819846685699884,0.5203441634692186,0.3606146742492683,2.7107066732723752,-0.2850142603068983,-0.16287334562135655,0.07359562090297869,1.4525013739103585,0.4114108482186676,-0.7506778811351428,-0.2059896248086568,-0.28642044533260386,-0.28175794717536573,0.02482294500337429,0.0,1.1873753630318555,0.6529373167041994,0.8544358171605767,0.0,0.03906048172409871,0.04874254994992238,0.0,0.7740460891307813,0.0,-0.0021134721124569673,0.04722472188311987,0.08295404690666001,0.11852507235619358,0.0447400409427268
