| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,1905877 | 0,08526 |  -13,96383  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4611018 | 0,11806 |   12,37550  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2188714 | 0,06944 |  -3,15175   | 0,00162 **  |
| b_carP_p.age_group_agg_70      | -0,1266174 | 0,08808 |  -1,43754   | 0,15056     |
| b_carP_p.female                |  1,2337136 | 0,05570 |   22,14792  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,5728724 | 0,06320 |  -9,06432   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6644148 | 0,29718 |   12,33046  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1548234 | 0,05843 |  -2,64993   | 0,00805 **  |
| b_carP_hh.cars_gr_3            | -0,3367909 | 0,09648 |  -3,49067   | 0,00048 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4377390 | 0,05877 |   7,44806   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,7091832 | 0,15140 |  -17,89448  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,1562735 | 0,17375 |  -6,65490   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5843532 | 0,16415 |   15,74430  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5841495 | 0,12280 |   4,75706   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3641631 | 0,14250 |   2,55558   | 0,01060 *   |
| b_pt_p.female                  |  0,5126776 | 0,08298 |   6,17826   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6066510 | 0,10505 |  -5,77483   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,1465491 | 0,29911 |   20,54969  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7843707 | 0,11352 |  -6,90961   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2969332 | 0,20660 |  -6,27745   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4600070 | 0,15302 |   3,00628   | 0,00264 **  |
| b_pt_t.full_purpose_HBR        |  0,3126816 | 0,09651 |   3,23997   | 0,00120 **  |
