Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_speed,g_walk_speed_c,g_walk_aadt,g_walk_aadt_c
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20730.614347698014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6682696082649037E-4,0.0,-7.050443941788961E-5,-5.556465067780582E-4,-5.427072348111296E-5,1.3666799228103022E-4,-5.605593003466233E-4,-5.507593945644772E-4,1.2124632594678948E-4,-4.981399803734916E-6,0.0,-5.547343210751689E-5,0.0,-0.003258939433735478,-6.548713390331123E-4,-2.0973589053901442E-4,-0.0012562199779334125,-4.3897307614603647E-4,-0.0013225069350643033,-0.0012600364197092226,-4.8494936171602574E-5,-0.0011967936750418436,-3.116971204644912E-4,-3.478148153193954E-4,-0.0010642317042032776,-9.553607906519913E-4,-0.00176695185242873,-2.941485255237302E-4,-1.6226041549251326E-4,0.0,-3.220524818986878E-4,-8.275602274699675E-4,-5.302581913124457E-4,-4.0089509304145384E-4,-4.4057019839257216E-4,-1.1838148754541958E-4,-1.223838424228021E-4,-4.54032797644996E-4,-4.4194806687354094E-4,0.003789894371740201,4.0528444620029357E-4,7.352774386607486E-4,0.0013080350147121084,4.140310123423689E-4,0.0016043866032692583,0.0011124734873317298,0.0018356192980642546,5.542072708638538E-4,1.1893554586385656E-4,2.228557315389933E-4,0.001399582182203648,9.152286597278513E-4,0.01476440936191203,-0.10343903085342748,-0.1090430120165271,-0.05543595980811695,1.1765375488932402E-5,6.162097342685768E-4,3.40611185051573E-4,1.1634119695379132E-4,-0.0024488930020763232,-1.360124512230963E-4,-1.2962559483531002E-5,-0.0022326041861944475,-1.8426852198301716E-4,-0.001593547486888523,-1.0892052452772256E-4
2,20384.865502086803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.410594531429556E-4,0.0,-1.3301152537078967E-4,-9.023239159648052E-4,-1.480040569633225E-4,7.274080727598636E-6,-8.944133947420465E-4,-8.175426387717006E-4,1.7527190796069682E-5,-4.18817205856981E-5,0.0,-2.2282396187702538E-4,0.0,-0.00338821003088798,-7.223004381804062E-4,-1.8324868360203273E-4,-0.00131562893985227,-4.0681080589575466E-4,-0.0013327878103441139,-0.0013639992862541292,1.2305417308765612E-4,-0.0013130056570548735,-3.4322915741695834E-4,-3.7380994376138085E-4,-0.0011228188682176812,-0.0010198478904763072,-0.0024579797085397654,-4.166245414805905E-4,-2.2582445546539414E-4,0.0,-4.452321547021029E-4,-0.001144971735577551,-7.353449410735769E-4,-5.579318054076233E-4,-6.1340132781515E-4,-1.644600030032956E-4,-1.7089768989748098E-4,-6.348763739208576E-4,-6.145874455404947E-4,0.004948595545355951,5.147523631961904E-4,9.763363700519636E-4,0.0017058528353833292,5.31041927931201E-4,0.0020948196131849754,0.0014516520309388612,0.002441348060245617,7.050638097659929E-4,1.4957196747680893E-4,2.881746681496976E-4,0.0018424415734373326,0.0011940066471679736,0.013173032235786331,-0.10255630781495037,-0.1126321797833744,-0.043335438688622836,1.671137950843303E-5,8.763516093815203E-4,4.7872124604167714E-4,1.69844737179761E-4,-0.0029366074768248547,-1.63361184734278E-4,-1.5052733468073132E-5,-0.0026707633423261956,-2.0962295691329222E-4,-0.001889936461954332,-1.188438734881513E-4
3,20209.208072547124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06610390881440763,0.0,-0.007853335942004727,-0.048504395999265024,-0.01101020108254237,-0.009330464335147958,-0.04780075167029142,-0.039304801099903586,-0.008383420662161635,-0.004041971645925038,0.0,-0.018774412349214918,0.0,-0.028722816800650218,-0.012379724218326667,0.003867340859386509,-0.012763374094849017,0.004253629587153994,-0.004834943181583934,-0.020149543576052097,0.028272167126005134,-0.02195678823167144,-0.00594406061872222,-0.0050937399443090215,-0.012120582198079486,-0.012803442357544412,-0.09651543064081547,-0.016248351185442895,-0.00878758397344977,0.0,-0.01755909075759178,-0.045347779915603965,-0.028660044363805846,-0.0221877516692866,-0.023669197646354025,-0.00643196174309976,-0.0065435124799197416,-0.024543062274136548,-0.02409147784238073,0.12808888609450925,0.006790983353586924,0.03430792608018264,0.042084253560751184,0.007896063318552055,0.053168491266565275,0.03581197988403927,0.08887178397858334,0.00649106708037945,3.2377863860364185E-4,0.005558330366562885,0.05553759831218273,0.03016971199134703,-0.011359852097717399,-0.11571818229940152,-0.5407699175326985,-0.0897790315272668,7.169929981122328E-4,0.03708379465106473,0.021078915225172728,0.007558415244422979,0.009991523129394908,3.763200271924642E-4,1.9488854652147325E-4,0.013605761501976257,0.004891311302825869,0.020412360741971478,0.0056069121373145195
4,17280.165468923067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5482418960080896,0.0,-0.06097945333864855,-0.3528570119369925,-0.08981527837415856,-0.08549547057951341,-0.3447450313664076,-0.2896855920505218,-0.08247433370038523,-0.033111448818761574,0.0,-0.15561110681963536,0.0,-0.19619948699797,-0.08807247930406156,0.027957288151708722,-0.08639591256941921,0.03118399015534934,-0.030190969138382092,-0.13824971296313385,0.19859357650837806,-0.15168393287291504,-0.041021451675976005,-0.03495461448489048,-0.08276465449719694,-0.08820528592288941,-0.37830853042396234,-0.0619157213324021,-0.03044197335881785,0.0,-0.07287447913469408,-0.18820381190027619,-0.1090886812381087,-0.08663849021668261,-0.08850866236233555,-0.025623577364077,-0.02291774242531651,-0.08606079721935433,-0.09423795420455083,0.8533443655005581,0.038548567259865524,0.23470187268373427,0.2788525650004312,0.05004871741523414,0.35245393350795023,0.2372953107883209,0.6063370185178317,0.03698825592703271,2.3332119520714804E-4,0.036003259192082936,0.37440152926518105,0.19958076673586253,-1.1929507208989465,-0.3539371204470174,-1.0593727334645735,-0.31087456761118903,0.001167392835042707,0.021777097437764716,0.08491417383370363,0.02816603866302616,-0.002980326173054569,-0.001303574301322169,0.001204715272648584,0.027649763263357798,0.03211838628203738,0.09135628259890996,0.03791438564764042
5,16866.4950242185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5584722057314649,0.0,-0.06120002750408196,-0.3711160318004969,-0.0913431325962595,-0.054960022194143414,-0.36578915219211233,-0.31656401422091773,-0.07330675792723337,-0.03270859798650982,0.0,-0.15505393579185553,0.0,-0.21772588456604672,-0.10095925517676327,0.03300617637522543,-0.09581782825717179,0.03756960175132135,-0.030400826903424053,-0.15813557099336112,0.23449975199817338,-0.17639879949168236,-0.047073730456838735,-0.040191274756642,-0.09364396422156526,-0.0974369916276667,-0.41614037212821847,-0.06913273156411973,-0.03242057414987658,0.0,-0.08077655223960203,-0.20698156269577261,-0.11903484281038149,-0.09351502426353073,-0.09739882827059745,-0.028434523094301948,-0.02489013509325806,-0.09281935599916569,-0.10320883302124156,0.9451701269530977,0.03946946314014885,0.2649535453219127,0.3055771058280245,0.053028133382919944,0.38500012783569937,0.25984929045275046,0.6830279411524052,0.03589207499980206,-0.0014822397839459656,0.03942698895187824,0.41801845929954345,0.21979320954275516,-1.2067771903714577,-0.3546251317991512,-1.0665049878768516,-0.3279010062481615,7.823460882905662E-4,-0.014490903840388744,0.09320715810603702,0.03412077306250818,-0.07935493481505468,-0.005436577687580987,0.0014109983372777904,-0.04490813062648172,0.03754169274037864,0.029575313934154565,0.041839593521033155
6,16032.653318032091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5447963355789895,0.0,-0.05351633250196347,-0.41973929310608205,-0.09069793342533096,0.10472183115883785,-0.42975689216018387,-0.40889815731749213,-0.022910825632488925,-0.027457826711068986,0.0,-0.1340344232994875,0.0,-0.2894867586630361,-0.15296679800342183,0.056493431243722164,-0.12685147953248102,0.06644139065308136,-0.02134482996686666,-0.2366799255145281,0.39566588000365993,-0.2788322897199646,-0.0720965139933636,-0.06121150384443373,-0.13436035270224692,-0.12970748739798418,-0.5395224990006453,-0.09558839729521161,-0.034957543097175484,0.0,-0.10901667906131887,-0.2690418267143442,-0.14954752518404224,-0.10866866752507778,-0.12846853659294236,-0.03867716056335517,-0.03100993535693527,-0.10988368093468028,-0.1316626313944301,1.199491588625759,0.035803629499409434,0.370510402687264,0.358675071491521,0.051579148806086536,0.4484002683839944,0.30612978257037265,0.9442447943040199,0.010606122132088835,-0.014128253394303873,0.046943685025161365,0.560569272132589,0.27107265402401315,-1.1103761794438012,-0.3307925348808986,-1.0018603923315685,-0.32284331829684304,-0.0021135496343049577,-0.24710524500438907,0.108080684770335,0.05580232761487777,-0.005469107082979846,-9.636374391723598E-4,0.005618687114617797,-0.013670404968553939,0.11776073840106907,0.026898330182066027,0.0999000441893537
7,14902.413775268767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35151337081601014,0.0,0.01619462602390151,-0.49858863707523904,-0.11666106200018038,0.7603494793107668,-0.5936898186555002,-0.6471877297367878,0.1259685796776027,0.00897395865913675,0.0,0.0055222404169172346,0.0,-0.5361543948529981,-0.39502375087773905,0.17498038542369104,-0.21298433495178976,0.196675521835497,0.0731775466454041,-0.5365564722910829,1.1289360191928028,-0.6838625230941241,-0.18456020789579175,-0.1413272847159026,-0.28497654469318157,-0.25446166639702067,-1.0030284381819965,-0.243717173877948,-0.0061776223028194785,0.0,-0.2243622137439934,-0.4208298758052339,-0.24562955070890738,-0.08616141718240737,-0.26884727108600553,-0.08797044070430364,-0.05304547021254795,-0.13681664265878593,-0.2231197550237795,1.6573609905988878,0.08780321599531331,0.6794215005923228,0.27304750005088146,-0.04819666379830724,0.32263582839489213,0.23907179603406017,1.679231894739824,-0.13875157111665604,-0.0907412302784567,0.05916245104052506,0.9536578474996875,0.31041340954280255,-0.9712621587215973,-0.2853342914296176,-0.7245764020530869,-0.2957892006271994,0.007155599713651745,0.24960686144892602,0.450359397656944,0.5990454741289023,0.3573528841015061,0.03278971964826004,0.00611568250527306,0.07728665577141043,0.12026124931193934,-0.14770393695639442,0.07341039778728073
8,14439.278587393523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6700520266661093,0.0,0.0291199011545655,-0.7248355327224549,-0.2621213677630475,0.7740845489810565,-0.842693157272995,-0.7552884288175247,-0.004959196182969722,-0.0032833061213708055,0.0,-0.017573242088725672,0.0,-0.6721687297097024,-0.5553981798879325,0.265195757937581,-0.2439562132395476,0.2738552119410891,0.16258406085628876,-0.7139205294668937,1.6205321730986038,-0.921724662507444,-0.2617560211919391,-0.18514702721297116,-0.3627519195015489,-0.3336402169423196,-1.3044769010697248,-0.3271160997549894,0.020470036998995213,0.0,-0.3073706255633536,-0.5325259215221237,-0.31653647968851817,-0.052726496446202774,-0.36881473439992485,-0.12398099820020149,-0.06726698850701655,-0.14383092912833037,-0.28132968335222663,1.7950275947181769,0.09605136947899037,0.8400688210103723,0.16910238157889046,-0.14178888307752335,0.2109929495678397,0.1437673875108148,2.0281464907350903,-0.22441023988915626,-0.14602660193550404,0.06670352703551263,1.1337267104728115,0.2938049782194208,-0.6806895538149926,-0.22910916599675285,-0.4928449987117509,-0.2602521627713491,0.011997046549909966,0.4879464746069055,0.62519953781367,0.892550893071816,0.5249136076189531,0.05642012813923056,0.007002054390203441,0.07926652566514919,0.1212069537810855,-0.24691469112345804,0.06576863881598213
9,14017.002178417239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.631348193919018,0.0,0.07423231625514094,-0.7473568095934745,-0.397350930292458,0.685627637449193,-0.8802012391101209,-0.6161488707646385,-0.1351937847904492,0.007860558975987409,0.0,0.08631326172678455,0.0,-0.8467211433797298,-0.7262813365258591,0.37204430442036984,-0.25235626161667873,0.30351858865872267,0.2360321993169648,-0.8578670335258453,2.051516375255737,-1.108388822297664,-0.34131927031473264,-0.2150323010294487,-0.40950960525732444,-0.4337583086084489,-1.6782269583678764,-0.38557237048008597,0.04594686772099957,0.0,-0.4157691241364023,-0.7244335171944049,-0.4305834788952343,-0.01692275789494601,-0.4998065559726673,-0.16998959020675872,-0.08718092680565084,-0.16012628110392757,-0.3581340793694205,1.662616982045376,-0.009683737410930787,0.9197246101233231,0.05387438326879326,-0.2744625423115189,0.11858493147311698,0.013655837101529178,2.1412683610604,-0.28412610576852726,-0.20209981873018779,0.07226528676702099,1.1466689922550464,0.21883107252397704,-0.7202184116472998,-0.23133772135882313,-0.4390649714182282,-0.25746632951475523,0.013012982446376081,0.4603648778672216,0.6772890759884351,0.9716562910351949,0.526112564221618,0.07842337900447172,0.01686378280202166,-0.006956387503349648,0.26811982512785515,-0.22856099265141078,0.19639391177631024
