Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_o,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_stressJct_o,g_walk_speed,g_walk_speed_c,g_walk_speed_o,g_walk_aadt,g_walk_aadt_c,g_walk_aadt_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21102.375324771427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1026131882292247E-4,0.0,-7.885255825603264E-5,-6.214381520826699E-4,-6.069667981511045E-5,1.5285024477962908E-4,-6.269326478089469E-4,-6.15972378527035E-4,1.356025671430736E-4,-5.571225322315377E-6,0.0,-6.204179585051979E-5,0.0,-0.003644816038155811,-7.324117578645981E-4,-2.3456978969911728E-4,-0.0014049634293986344,-4.90949936563176E-4,-0.0014790991319435223,-0.0014092317591654188,-5.423700707594873E-5,-0.001338500720817633,-3.4860379789683894E-4,-3.8899802925494703E-4,-0.0011902426733189921,-0.0010684808364180944,-0.00197616880624241,-3.289773514446349E-4,-1.8147295363112953E-4,0.0,-3.601852918778418E-4,-9.255479737974281E-4,-5.930437184724827E-4,-4.483633078938831E-4,-4.927361669910293E-4,-1.3239851589746054E-4,-1.3687477191390144E-4,-5.077928130773466E-4,-4.942771827846698E-4,0.00423863900201477,4.53272384946638E-4,8.223383881218667E-4,0.001462913655510125,4.6305459330050287E-4,0.0017943549249380632,0.0012441965526196186,0.002052966860407128,6.198285026094457E-4,1.3301817781084503E-4,2.492430930442995E-4,0.0015653005182013522,0.0010235968373711985,0.016512597773108147,-0.11568678899740117,-0.11011375507316316,-0.0501593289108117,1.3158461563623768E-5,6.891724034758912E-4,3.8094144898797086E-4,1.3011664352085694E-4,2.0895131014080334E-4,-0.0027388555912695746,-1.5211708400441072E-4,-1.4497398820010532E-5,-2.539529804399151E-5,-0.002496956973320611,-2.0608694267175575E-4,-4.421669327037097E-4,-0.0017822323967268965,-1.2181732209362991E-4,-2.892764065573401E-4
2,20793.702452948146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010006705925772786,0.0,-1.4326500258792765E-4,-9.784630190486912E-4,-1.5709459865415022E-4,2.0238323942166337E-5,-9.707615945374363E-4,-8.914227379570825E-4,2.9600874403764037E-5,-4.337071935077348E-5,0.0,-2.337661247339598E-4,0.0,-0.003759256282336076,-7.98607799026204E-4,-2.0504959223258896E-4,-0.001459757563289756,-4.5457548202927335E-4,-0.0014815669656926492,-0.0015113317452434332,1.2841693998068727E-4,-0.0014544148836532845,-3.8020682827073787E-4,-4.1467684393457484E-4,-0.0012458763834107013,-0.0011306617473368055,-0.0026833757156422985,-4.5426598596732333E-4,-2.4653697414300264E-4,0.0,-4.8627875968481384E-4,-0.00125055331127782,-8.027324420404693E-4,-6.094438861439047E-4,-6.69235022505273E-4,-1.7948128552758302E-4,-1.864030691326091E-4,-6.925843945962801E-4,-6.709215886960958E-4,0.005405358194980273,5.6098678398139E-4,0.0010682727477822405,0.0018628809270923347,5.788261214880979E-4,0.002287925346082926,0.0015852641279121046,0.002671856261790931,7.676860215218958E-4,1.6265370822444663E-4,3.1437150757795886E-4,0.002014072438682472,0.0013040572630374102,0.014921022336263459,-0.11460005403088319,-0.11374855270698687,-0.03845006808985046,1.8199253633188196E-5,9.54028649915769E-4,5.220533339481216E-4,1.8468638897182105E-4,2.868759500553454E-4,-0.003202291144084493,-1.7817601669628367E-4,-1.6409593558922056E-5,-2.923219416244702E-5,-0.0029115022446467385,-2.2820282549004608E-4,-5.051132145887042E-4,-0.002058161534586257,-1.2889673600073478E-4,-3.2278445428138346E-4
3,20407.475436792163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061745309109780606,0.0,-0.0073298582719272575,-0.044615628307934654,-0.010228501267721115,-0.00917911081800244,-0.04383362507930769,-0.03623545068027748,-0.007916898967855295,-0.003739183171029333,0.0,-0.017484398738019404,0.0,-0.024856280904428135,-0.011049921094050197,0.003672472624907827,-0.011179652174352156,0.004053256092248249,-0.0038588162319769855,-0.017990431451869765,0.02611785925223099,-0.019756309174254326,-0.005359506501122898,-0.004589606685011722,-0.010758284965006878,-0.011389322692903709,-0.0901510653826788,-0.015294010671146763,-0.008234747301586316,0.0,-0.016343142992626004,-0.04220837553924024,-0.02675102386266876,-0.02074092588282875,-0.022130992103459833,-0.005995919700576416,-0.006135911907361689,-0.023014523309065824,-0.02250508330246879,0.12053159148253996,0.0068888241116902465,0.03161141098971682,0.03975616334411229,0.00781732634732726,0.05007228129261432,0.03376051957764883,0.08178971125446939,0.006867392534279535,5.422839400874541E-4,0.005324200178913699,0.05160791194322244,0.02836386286520781,-0.0010950419267867304,-0.12486503759393724,-0.5173967086064569,-0.07835734585294377,6.541915121720282E-4,0.033889935219391286,0.0191448496690813,0.0068997596132475405,0.01022427672130197,-0.007194030238012736,-5.463185910265316E-4,7.633796769875966E-5,7.359909495836569E-5,-0.0027283638610263645,0.0028226793925662623,0.00300398046116591,0.007011852118007892,0.003921073804638558,0.0051015515433144734
4,16557.378329497482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41761766402360834,0.0,-0.046422950944362065,-0.26545361016627167,-0.06827183367958971,-0.06840675405611435,-0.25853309655509393,-0.21774632990725587,-0.06351959752762054,-0.025116641425468742,0.0,-0.11828360730574063,0.0,-0.1358073921528663,-0.06343572963220043,0.021797301321877183,-0.06081908977290017,0.024567928641616173,-0.018394711515833134,-0.09989098538651314,0.14998642695876443,-0.11052627417107372,-0.029968203267390976,-0.025445801786939976,-0.05911920953812331,-0.06331350369511146,-0.29297496344639046,-0.04877344689578854,-0.023854121562872775,0.0,-0.05591280437471642,-0.1445370126748617,-0.08448412574084659,-0.06715519963311002,-0.06884933278012864,-0.019772259711322505,-0.017989667984528484,-0.06753264475508614,-0.07302829325104443,0.6526059609832621,0.03187742208887199,0.17591433873626056,0.21407548920042885,0.04056452054852083,0.26983989779477924,0.18184915043422914,0.45376858808785814,0.03239948792165051,0.001481443903126052,0.028016938253372765,0.2828726072721824,0.15252712069120994,-0.852830587693072,-0.2957030361070417,-0.9043748671564507,-0.24151627680254195,9.007724024354428E-4,0.018786699167304667,0.06290099933934712,0.021158193744360183,0.014488730237037378,-0.08296454460717458,-0.005377517573628936,4.091965870529688E-4,5.0797298791076755E-5,-0.05451267903755646,0.016091479522391303,0.010509156646427136,0.010508415114239476,0.022608460349572552,0.024550795348548142
5,16178.774140273788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37649294341878353,0.0,-0.03998074061348024,-0.2670485910238595,-0.06323589334694538,0.011727526954008916,-0.26739012770486925,-0.24563096836500506,-0.03222173584095382,-0.020317325545522985,0.0,-0.09699385668000135,0.0,-0.16648258853086992,-0.08454308992932218,0.03063138195800753,-0.07523834969271027,0.036868420788438286,-0.01617324705835889,-0.13176510409176348,0.21096546779103525,-0.1511924271135847,-0.039805770678410624,-0.03449774123497529,-0.07675573979375822,-0.0765919853373559,-0.3490231368290378,-0.06001844146324213,-0.026221648409753457,0.0,-0.06789579080890282,-0.17226841055635367,-0.098938506456204,-0.07602696281292345,-0.0824049027003532,-0.024118530847377497,-0.020891186051399384,-0.07683508525237517,-0.08610005248589203,0.7652273786354331,0.028982422307964606,0.21901442421601025,0.24160067714695135,0.043293908599646706,0.3032945366854541,0.2046469231114087,0.5606484795176969,0.024485299970631775,-0.0027130061054109434,0.03140313491858543,0.3404844034149352,0.17622227629019074,-0.8735732894923821,-0.29528153449538125,-0.9128091955624663,-0.2589383818096515,-5.5685941707163834E-5,-0.06251758633135271,0.07333493541592098,0.028958517821517933,-3.3167020126369934E-4,-0.18326813526995286,-0.011025531022656411,0.0015023395774094222,-1.7421844966474366E-4,-0.15151263940175286,0.039984993764643116,0.008646664656288413,-0.06136706231260351,0.04251763861812669,0.02805957622665811
6,15635.490308456645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3213321752613478,0.0,-0.029919316911727226,-0.2739584712116843,-0.05848891158247662,0.13336543234362822,-0.28555180796641977,-0.2890041827145189,0.01252103730792934,-0.01367792837334709,0.0,-0.06612416397896939,0.0,-0.2114574837795935,-0.11790486053619215,0.04531958958950009,-0.09647631726485002,0.05716366092091748,-0.010259591889338164,-0.18173671863621876,0.3111150019815655,-0.21578173065354816,-0.0555577389605173,-0.04877811336347988,-0.10388007779383306,-0.09664479110531635,-0.42842196509026276,-0.07676183176602197,-0.02838685491532619,0.0,-0.08566277741507428,-0.2118502538475367,-0.11878692729775582,-0.08652085848825639,-0.10210747123933345,-0.030580394839345312,-0.0248604782839443,-0.08844758296159536,-0.10438276654746395,0.908411724803986,0.023291306370725094,0.2821991700224322,0.26815606978459045,0.04345304933459384,0.33629657299100363,0.22634780954718633,0.7162882497891889,0.005014750039669218,-0.011504026239138078,0.034554857385318216,0.4221355785143942,0.2049554817925502,-0.8565747737718377,-0.28781048921766694,-0.8923793284462083,-0.2602126432681649,-0.0018411486753058817,-0.2084406751679024,0.08596361605537246,0.04067630608320636,-0.027049415034810613,-0.1745567907198316,-0.011080928798049646,0.0042600606977940825,0.0015961912554911717,-0.1520374611038838,0.0963463147897293,0.044821597676215554,-0.025180660550274077,0.0913240686429308,0.07146134979045138
7,15041.511959895708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5397970943405983,0.0,-0.003018908063539629,-0.4613619435846775,-0.17439659870694418,0.3299004841882014,-0.4957270690964051,-0.4376429014265599,-0.023749365484446318,-0.021932588247473413,0.0,-0.07289399924529052,0.0,-0.3449353136854816,-0.2590095707503278,0.12079407202502962,-0.15465559431960946,0.14465387517640182,0.05396224489482134,-0.37119558613713094,0.7733278524497371,-0.4735726020257849,-0.12347443009666083,-0.10382914308898233,-0.19782165437780577,-0.1674260288585392,-0.6788387892846388,-0.14636314364596814,-0.01009210546046815,0.0,-0.16187227873028656,-0.31423602729211547,-0.16655171929925613,-0.07204160445581609,-0.1758345534205421,-0.05695068345487551,-0.035450058768421874,-0.09588741530654744,-0.15451842051842524,1.0924857025471466,0.05657208296907088,0.43026758364867185,0.15533646916921479,0.04729564400729386,0.23002620874143437,0.09205063710709455,1.103862756858673,-0.10323543017329562,-0.06935724483055755,0.030120817590131625,0.6185400635887488,0.2064123680719639,-0.6288466933227983,-0.23974186017120927,-0.751342501832994,-0.2392923256726825,-0.004220080688434325,-0.45969579763989254,0.22315909160183062,0.2136535536109679,0.014902129466028237,-0.004227032808195003,9.43225379605863E-4,0.0022782369050482064,-0.0033836876072236635,-0.1580807862763242,0.06827807737669374,-0.06791637074249793,-0.18005881688204642,0.012650093618769745,-0.07563688228558979
8,14516.023373012995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44474289075308304,0.0,0.1270737677127654,-0.5960392253767163,-0.34315301881202626,0.9543484208978039,-0.7231344393586678,-0.5410873689813303,-0.021462363613439103,0.0021226111695724706,0.0,0.10845088198347441,0.0,-0.6617962449932489,-0.6048389893468369,0.3136254605699378,-0.27769112274730534,0.3431380669464442,0.21216389872434707,-0.8054823067927064,1.8819069640206159,-1.065845546630051,-0.28737930256936056,-0.22622642190796205,-0.4042987394861489,-0.345455529724116,-1.2066643252842593,-0.29547437868744675,0.05873042520862515,0.0,-0.33691409406815165,-0.4825825492999444,-0.2731167246863303,0.03262314507811358,-0.3535240562477039,-0.12428494622184849,-0.05766920546847106,-0.07307276368800647,-0.24880802819253015,1.0100603973038342,0.08877510521098032,0.6601197239709864,-0.24707130579027725,-0.08385307886169116,-0.22636705907739407,-0.3043264035875189,1.6267162101738448,-0.3413248369595021,-0.2105385291903284,0.016319185193061653,0.8640068976362759,0.07524541446108976,-0.7972306905911073,-0.2563915038305975,-0.6999457852813795,-0.23913326249678632,-6.1696488154003E-4,-0.4445290414550974,0.6063858284610173,0.7100420358869364,0.293311857899304,0.3181082088727869,0.03192189477097261,-0.003561511958110835,0.0031977575118270754,-0.20891213420713078,-0.0354282715476536,0.022469281109062017,-0.4383890881290885,-0.20551695988334112,0.014202230022606385
9,14234.743105904963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4276350301148602,0.0,0.22430575331836206,-0.740320633937929,-0.5148888835013521,1.2423503842339063,-0.924116420290068,-0.5516142070203685,-0.08564017109725502,0.012552809301204603,0.0,0.25403981217157456,0.0,-0.917485325489239,-0.8780841367131955,0.47627361071456153,-0.36341311487666333,0.48247378714951483,0.3335442107932857,-1.1416731590164912,2.763413744040265,-1.5254807082726705,-0.42038238939299444,-0.3186224553787506,-0.5539793141326804,-0.492349990445139,-1.594468774476674,-0.40158786755846715,0.12685680909985284,0.0,-0.4725818050702505,-0.5819192248265417,-0.3595758666722653,0.15042909176877392,-0.49490187577139744,-0.18103204537428128,-0.07333251453799611,-0.03266294822202288,-0.3120950840336952,0.9134870401277766,0.0237682670399314,0.8069530088182191,-0.4919098881373648,-0.18575917971473482,-0.4853885270059747,-0.5655599718512323,1.9342044256247048,-0.48243334096273904,-0.3165031430284313,0.014969619768222944,0.9964553020348359,-0.028311973085461878,-0.8530060301282684,-0.25607506214821696,-0.6121524160216236,-0.23267995638433525,0.005798858876403953,-0.20569750608871365,0.9210736596073426,1.1296620063875444,0.5581184164304094,0.3956499760735429,0.04915284154366872,0.009836478254821975,2.2754265413655467E-4,-0.3200548766676708,0.27210987574325846,-0.05210928378119929,-0.44773374530362603,0.11461934575013294,-0.008815950142148875
