Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_o,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_stressJct_o,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20552.171817834384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4422022817984547E-4,0.0,-6.615940706603992E-5,-5.214032439696977E-4,-5.092613906585284E-5,1.2824544679557894E-4,-5.260132729581936E-4,-5.168173136511923E-4,1.1377418358055946E-4,-4.674407173434902E-6,0.0,-5.2054727425012336E-5,0.0,-0.003058098218782049,-6.145130697114785E-4,-1.9681033241444635E-4,-0.0011788019246841927,-4.1192013829994764E-4,-0.0012410037635499447,-0.0011823831676112243,-4.550630072812959E-5,-0.0011230379331413354,-2.9248791770253063E-4,-3.263797590663003E-4,-9.986454627863427E-4,-8.964840223613081E-4,-0.0016580585256204961,-2.760208037773859E-4,-1.5226066568157224E-4,0.0,-3.022051011607279E-4,-7.765595246610504E-4,-4.975795541215334E-4,-3.761888169070049E-4,-4.1341883344191583E-4,-1.1108589882091121E-4,-1.1484159743707967E-4,-4.2605176253775477E-4,-4.147117869419865E-4,0.0035563315806413204,3.8030766395819645E-4,6.899639196122518E-4,0.0012274237155768912,3.885151986127699E-4,0.0015055118124952984,0.0010439142117323423,0.0017224941487598972,5.200527049753013E-4,1.116058117530676E-4,2.0912162668932963E-4,0.0013133290340195606,8.588251457265966E-4,0.013854511533305476,-0.09706431261989623,-0.10848571122675575,-0.05818234284387412,1.1040301471563514E-5,5.782340939680838E-4,3.1962007256745016E-4,1.0917134681682427E-4,1.7531574232127273E-4,-0.002297973153509454,-1.276303052802583E-4,-1.2163705669732336E-5,-2.130733482863636E-5,-0.0020950137380186624,-1.7291246134266297E-4,-3.709898922607113E-4
2,20150.723605402673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.796926073102077E-4,0.0,-1.3527536173297866E-4,-9.050405563084638E-4,-1.5465201111434333E-4,-1.500535194053876E-5,-8.954958264269969E-4,-8.116850227914443E-4,-1.254396934715428E-6,-4.55886316831764E-5,0.0,-2.3745614059253806E-4,0.0,-0.003212881244778205,-6.912378821031607E-4,-1.6885308888846647E-4,-0.0012485715880493692,-3.782943982656423E-4,-0.0012574226075791639,-0.0013006279182610572,1.4084455024301342E-4,-0.001254122494247482,-3.279606535147468E-4,-3.55842928452934E-4,-0.0010664440309700051,-9.705097657374987E-4,-0.002425455080471722,-4.1203075321613185E-4,-2.2284377273606063E-4,0.0,-4.3898288479882175E-4,-0.001128989374558461,-7.25461435905507E-4,-5.503739876245987E-4,-6.055596491434212E-4,-1.6230115365354006E-4,-1.6878327859633734E-4,-6.27030433176938E-4,-6.064569792942106E-4,0.0048533512790776695,5.041683891529413E-4,9.581542022746155E-4,0.0016730242554085517,5.205187739463497E-4,0.0020545965106046216,0.0014237948766813396,0.0023959479412690348,6.909607891474971E-4,1.46514714997785E-4,2.825593844768254E-4,0.0018075766949020482,0.0011709953352642096,0.012070988955539317,-0.0961888708332583,-0.11249270613613727,-0.04440790539284296,1.654355387876126E-5,8.678255676930416E-4,4.731185545131407E-4,1.686683968178569E-4,2.6040503306329083E-4,-0.002859921146638593,-1.591031405458774E-4,-1.4616040327404541E-5,-2.6097214448333417E-5,-0.002600819729980229,-2.0326962118800426E-4,-4.5115716523209487E-4
3,19965.32026867403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0630494081296843,0.0,-0.0074915000101104905,-0.0465815825269162,-0.010521839065514165,-0.008680182520060807,-0.04596543171609262,-0.03770931330756468,-0.00795307865743018,-0.003872189552068479,0.0,-0.017934421790058122,0.0,-0.028765397461587194,-0.012120105719397088,0.0036099346440580313,-0.012680393766337488,0.00394052357192228,-0.005118675233181186,-0.019738883677192908,0.02698209214342234,-0.021401854298331118,-0.0057852547271562615,-0.004966676181617241,-0.01194107285162549,-0.012580554289217512,-0.09221121133836145,-0.015481627970704022,-0.008383765240213397,0.0,-0.016794971895408618,-0.04338353912070836,-0.027393517910642658,-0.02118478999649624,-0.022611213119538866,-0.006151596423662653,-0.0062441481817075515,-0.023414979202239453,-0.0230162440800392,0.12235254930448097,0.006346316653988498,0.03298298848258385,0.04014399514748826,0.00741416231843222,0.050768335846955,0.03418860177431297,0.08547125526122328,0.005968444553875722,2.360358981268208E-4,0.005282717481358852,0.053260351420265806,0.028826569510191986,-0.014371607371547626,-0.10944921377671732,-0.5192136684519852,-0.09055363210504101,6.91689248964032E-4,0.03575434616362192,0.020365874675111466,0.0072928510771395815,0.010822710212411497,0.016454821954050337,7.361563491966602E-4,2.2999939336961929E-4,3.2806317725981936E-4,0.01942381448836643,0.005385401429494898,0.007725096802021683
4,17435.055403914444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5502354731029481,0.0,-0.06123267229822993,-0.356771675854028,-0.09043627242156745,-0.08522665670367782,-0.3489460656432074,-0.29193106312139727,-0.08278228856900267,-0.033434202840433226,0.0,-0.1565093632962496,0.0,-0.20689230234627184,-0.09064741571455512,0.027390456989067575,-0.09030223325258226,0.030275712483298522,-0.03406848394525047,-0.14227343094878472,0.19881241571905012,-0.15532145153962007,-0.041936770103527726,-0.03581258989426218,-0.08574877294769083,-0.09107918506547305,-0.38266564959796434,-0.06248809690173457,-0.030896808676193967,0.0,-0.07358775952293539,-0.1904387497458861,-0.11034745843711244,-0.08791852164237551,-0.08928765524020892,-0.02587542015100374,-0.02311751876086609,-0.08698748414095599,-0.09529627181903812,0.8565696790291148,0.03774399965123341,0.23704576555818824,0.27956011562570593,0.04939089634167389,0.35377581100632466,0.23804549749363363,0.6127997598577601,0.03545593532248545,-3.027180880064329E-4,0.035941200686133344,0.37731043675547976,0.2004942689536433,-1.2199852903262378,-0.3526895138803285,-1.0457429676649057,-0.3151920486811093,0.0013479258273318062,0.032501708937688445,0.08842438655202786,0.029585393295099387,0.02158604971113844,0.05184714442231236,0.0016762393315046774,0.0015524055751293861,0.001781235707120842,0.0788555491669411,0.03786254172759937,0.0455486481785251
5,17336.40895181569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6012442944160388,0.0,-0.06308232735690888,-0.4387140091677079,-0.09871583764195192,0.039531481207419214,-0.4419948574332985,-0.40777284451586754,-0.04607787250468721,-0.03240013275882335,0.0,-0.15673329529305205,0.0,-0.30168507429696745,-0.14521117366173086,0.04848194487737094,-0.13119078801741504,0.055679016603290284,-0.03701073651790746,-0.22734983964029554,0.34990791041995223,-0.2609469330564538,-0.06754855262667171,-0.05800200935620417,-0.13207226919646842,-0.1311167491104809,-0.5445088194692591,-0.09358435647184009,-0.039630775473712306,0.0,-0.10693646752536343,-0.2700838816268169,-0.15277497347381735,-0.11777130250454132,-0.12696997629542678,-0.03779115135576648,-0.031488141993706184,-0.11610489935985491,-0.133585827864374,1.254538095095632,0.040863936117904086,0.366729628319232,0.39686064269508897,0.06470695783092018,0.49706211871783146,0.33561249327694576,0.9424655939337626,0.03164909458177141,-0.007547437200812904,0.05058533363099562,0.564684354247043,0.2888593510983204,-1.2388020437900629,-0.34868620911664117,-1.047262458961765,-0.37662142618863526,3.91736268453085E-5,-0.1034051057179543,0.1276468030755688,0.05773382588327276,-9.81438494405587E-4,-0.28279323588347316,-0.01634721301518256,0.00245482770553568,-3.700742529487513E-4,-0.23404709927709166,0.061502329411763,0.011998990842354673
6,16179.675707293049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6215468908108264,0.0,-0.05942625917899415,-0.521029812671282,-0.10288126873192825,0.2212795269190042,-0.5409360120391385,-0.5408798976175504,0.010974967615451546,-0.028091323317609523,0.0,-0.1428751199488011,0.0,-0.4078081605173401,-0.21253302303189317,0.07660947257778447,-0.17662105579245557,0.08928194212504788,-0.033691858084490586,-0.3309959466886768,0.5474311238751399,-0.39295005706953434,-0.0995051051542403,-0.08531989899238154,-0.18707497954273639,-0.17711474992963275,-0.7199185422394836,-0.12915546218828222,-0.04655401103772005,0.0,-0.14477546458652757,-0.35741146095713744,-0.1972384858943298,-0.1459313452806965,-0.16865894302480133,-0.05136605283281982,-0.04013921443702143,-0.14410402714904352,-0.17449240707888805,1.6549224182519147,0.03780723534702575,0.5158043784765607,0.4995969634745108,0.0715307108775633,0.6229286505078426,0.421546285753004,1.3191747497904887,0.007326017058865646,-0.021837139054821646,0.0627354547701472,0.7715005552240007,0.3742599473981066,-1.0780317532928931,-0.310387372033861,-0.9365104804062765,-0.37308124616392163,-0.0024833600909769183,-0.32973300251053594,0.16333073228950523,0.08986245616883284,-0.04088705763805025,-0.23487985196646763,-0.013822706346988754,0.006966412720515049,0.003161914408549832,-0.21126608047127604,0.15030245043836815,0.08124475083553649
7,15016.013377483012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1806892511255836,0.0,0.04032610033984428,-0.5805829040027243,-0.09611654204501589,1.2809770426471532,-0.716957194045375,-0.9400820392066802,0.32412949053286383,0.040530792099200935,0.0,0.08824240227812319,0.0,-0.8193109582501951,-0.5598342040529246,0.23207540507765567,-0.32124671405170424,0.25353906075424365,0.0566178415522334,-0.7617232571261123,1.525991382340795,-0.9683921039695923,-0.25338960484899214,-0.2001632161162749,-0.417917279085535,-0.36295831787418054,-1.385101051214631,-0.2981521940777847,-0.026883067761638676,0.0,-0.33549295238777255,-0.5924168696503316,-0.33095022091609705,-0.1573995215035272,-0.3497973759841225,-0.11705205879738265,-0.06887937179052069,-0.20101863120887936,-0.3110967140022209,2.535635996042018,0.0650446098965871,1.0122969649179974,0.4673564589539985,0.060533200583935985,0.6080700366950956,0.3643717620037055,2.585061874106187,-0.2200620995546479,-0.1359391657748839,0.06680309460503187,1.4207981494530575,0.490017445437994,-0.8846025407381963,-0.23781821130110745,-0.5142405058192507,-0.35018736010434864,0.013151581951914591,0.4840190314818196,0.4765393911894663,0.6593299816467441,0.5391553559967298,0.12553093818964592,0.02768640139990247,0.0024435575784455543,-0.005276819807009039,-0.19803296701853848,0.04598894365774628,-0.15526390349369984
8,14701.519198802427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24505561810512244,0.0,0.04400621844345071,-0.6373275696877366,-0.1260637374068588,1.3019850639914214,-0.782830354777167,-0.9741474346283888,0.2956298229847352,0.03843917520990657,0.0,0.0863152365628876,0.0,-0.8552027936325446,-0.6015358409587614,0.2543438983804226,-0.33018674184472824,0.27386063188291665,0.07925350411692605,-0.8080166269768448,1.6496939823064125,-1.030385588473464,-0.2723417380237133,-0.21186847836218517,-0.439796543466835,-0.3821445490624236,-1.4712787403406973,-0.31890682281038135,-0.02354762928448263,0.0,-0.3602420616725835,-0.6257918762018914,-0.3502054413256832,-0.15676024327850382,-0.37515397710308446,-0.12614143431236532,-0.07291854682131174,-0.20788990439467808,-0.32879404079471797,2.583069360757904,0.06429262153823062,1.0629985842370746,0.44050072818085134,0.0424148844535993,0.5868537400001415,0.34274902986243033,2.700523795703857,-0.243813153272357,-0.1513548058674853,0.06749222427253124,1.4772116494055847,0.48709542306805276,-0.8144056659211516,-0.22363068298753827,-0.44749986170333217,-0.3424000004909393,0.015241802077685308,0.595533671172517,0.5130378250988022,0.7239692165217482,0.6112983659270796,0.15075604500140105,0.03331199871987341,0.0017858971969711207,-0.003789143894091059,-0.21531858035391477,0.028842380093804774,-0.14066108930649224
9,13893.679705162529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19413024920606786,0.0,0.08459628535568757,-0.7287497811080623,-0.36671375543970464,1.1818474511260493,-0.9089276329114495,-0.8775844379939077,0.10814282057680918,0.051947971267956264,0.0,0.2745961029516499,0.0,-1.130011880168067,-0.8886944162698518,0.43061648682367853,-0.36023374688962806,0.3558751664971585,0.2072256393813122,-1.0855139490216914,2.3935208104915207,-1.3863716190277409,-0.4012421903172023,-0.27870133840722017,-0.5423965642657514,-0.5312962415906326,-2.403875432198242,-0.4940501988822029,-0.03805095099321317,0.0,-0.5717430052417507,-1.0878287319252613,-0.6211458352603443,-0.23191727269725285,-0.6488646654682089,-0.21360024034943959,-0.1291752061972424,-0.3494981808322515,-0.5389805005086887,2.566768790961703,-0.13581118123362176,1.3455972855267617,0.2785369120791635,-0.2024181405659647,0.4929788606749083,0.2379126047229408,3.234685794485049,-0.3564489695846213,-0.2460418850771432,0.07751739165640155,1.6358098231533718,0.4025082684074557,-0.690869933687026,-0.1892183685630254,-0.10478946274706996,-0.3150849674473862,0.026731895346937935,1.1518386768121198,0.7675073090676131,0.920301630445192,0.8451590322219508,0.15239728760845087,0.06839102271180891,0.032134903866858675,0.021802280465814436,-0.3234429814927163,0.548540210513633,0.272768131783761
10,13516.407224123417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1723330460205139,0.0,0.13821769878126522,-0.7606114316505332,-0.5486210681374661,1.2145975638084667,-0.9711158108940048,-0.8075521158418463,-0.026227881034334072,0.06365022561019001,0.0,0.414740905188362,0.0,-1.3394423520781096,-1.1253968900308031,0.5772671087511252,-0.3739015222479359,0.41872370859038,0.31562199573337424,-1.3109118780493567,3.022150381617254,-1.6924988714770735,-0.5060223918898127,-0.33442670602640595,-0.6245804901314131,-0.6426936563769806,-2.5023952050866183,-0.5249537257457826,0.01980470179758176,0.0,-0.6221824454090485,-1.1242201462197312,-0.6499504670273855,-0.1188188139248586,-0.7031628310451956,-0.2463474015516214,-0.12771189943445965,-0.27633316385668805,-0.5449417625378854,2.3632016046240407,-0.2886299964012603,1.540297701253235,0.03903144237237971,-0.39794758656640394,0.2799803675299306,0.04335743466635045,3.602697312700216,-0.49817253567707565,-0.3373275393889078,0.07070351166180537,1.7140238911467436,0.28272031830447536,-0.764158549040251,-0.19632085293889565,-0.1364973138979919,-0.3134213275570367,0.0283713868973535,1.1075623579244023,0.822750717023498,1.0568940412360042,0.8931414868188421,0.14737526523259295,0.09525555633702734,0.051922432699314146,0.03801131176828769,-0.4751927193589487,0.8871048952557736,0.519488640574107
11,13276.832524995827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22172202767502097,0.0,0.20349886464940015,-0.7557821217830124,-0.7119131250580786,1.121564863115309,-0.9152760141786535,-0.6171072838921968,-0.1671948242809494,0.04983251957046903,0.0,0.4539217271532343,0.0,-1.5530370205547632,-1.3189173377264114,0.7335491075465722,-0.3401977679545762,0.3533952440910617,0.34197545124400314,-1.4400970039473986,3.429408292162724,-1.882583951771988,-0.5883161585508763,-0.3613997935575607,-0.6377028283061508,-0.7593206824835438,-2.5937220521469504,-0.5313299287988975,0.06725711116852698,0.0,-0.6466309663987421,-1.1553812443291653,-0.7165284465073556,8.673407054131943E-4,-0.7567460611937687,-0.28015198399366714,-0.12794588455113548,-0.20963366103681919,-0.5514625959028375,2.29122251056232,-0.3665396720815202,1.615876438480505,-0.08642289077859377,-0.4646626610789626,0.23080391801729833,-0.14987410227183653,3.8413525805411686,-0.5451978590836327,-0.4076937469566121,0.07851111024184938,1.7245188443021726,0.24333796763188847,-0.7616925397047913,-0.18954691324645134,-0.13449619729941154,-0.3091341242775199,0.030382610735799943,1.0772452771168777,0.8361339137827554,1.041895336369314,0.7867356648566782,0.17989263651936718,0.11948911570903556,0.06368524174740843,0.021397871019152137,-0.48295870032852545,1.1058174536501117,0.19312757421127136
