Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_o,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_stressJct_o,g_walk_aadt,g_walk_aadt_c,g_walk_aadt_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20529.867333072707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.411938449214829E-4,0.0,-6.55777337489702E-5,-5.168190681449654E-4,-5.047839659732649E-5,1.2711791319537283E-4,-5.213885657718236E-4,-5.122734573126603E-4,1.1277388128501224E-4,-4.633309798980016E-6,0.0,-5.1597062410870926E-5,0.0,-0.003031211428018215,-6.091102725660179E-4,-1.9507997653663698E-4,-0.0011684379015451283,-4.0829853762608463E-4,-0.0012300928620220708,-0.0011719876581946225,-4.510620946271543E-5,-0.0011131641868558921,-2.8991636476943046E-4,-3.2351022916118785E-4,-9.898653747432969E-4,-8.886021374093107E-4,-0.0016434808798213027,-2.7359402966266056E-4,-1.5092199034583598E-4,0.0,-2.995481147785483E-4,-7.697320155486912E-4,-4.932048361095804E-4,-3.7288136590829193E-4,-4.0978405624466545E-4,-1.1010923191725635E-4,-1.1383191044196904E-4,-4.2230591666414595E-4,-4.110656421012738E-4,0.003525064323589779,3.7696400006802916E-4,6.838977588109819E-4,0.0012166322097918263,3.850993741014724E-4,0.0014922753569601448,0.0010347361209784689,0.0017073499851469704,5.154804030855322E-4,1.1062457377640522E-4,2.072830299475847E-4,0.0013017822489212667,8.512743575099034E-4,0.01373270270766237,-0.09621092346188355,-0.10841110487800121,-0.058550003565588385,1.0943235172707424E-5,5.73150261473251E-4,3.1680997380663763E-4,1.0821151264889524E-4,1.7377436681788043E-4,-0.0022777693801381968,-1.2650818000248967E-4,-1.2056762404389732E-5,-2.1120000801967767E-5,-0.0014821936558082937,-1.0130938159710811E-4,-2.405767369966693E-4
2,20112.57589081435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.996795959773853E-4,0.0,-1.3718954092459618E-4,-9.143630444898836E-4,-1.5796137626057898E-4,-2.1319237621175154E-5,-9.042697987143289E-4,-8.177831343814706E-4,-6.448007197469959E-6,-4.703940737823409E-5,0.0,-2.437411563036513E-4,0.0,-0.003193406192616278,-6.889419013439706E-4,-1.6631294115008715E-4,-0.0012413584465875986,-3.737536846466957E-4,-0.0012478797498537916,-0.0012950185733411074,1.4748714219347213E-4,-0.0012493954677695418,-3.267678147964074E-4,-3.541519717204353E-4,-0.0010605826202595863,-9.657241977169311E-4,-0.0024390981517578916,-4.146043679007146E-4,-2.240996397704858E-4,0.0,-4.4135560009406693E-4,-0.0011351145703024838,-7.294840751327344E-4,-5.534433876022183E-4,-6.090195168811419E-4,-1.6321379696194132E-4,-1.6976628034410247E-4,-6.306958740945972E-4,-6.098668764553483E-4,0.004871278542179815,5.05711018552626E-4,9.620266303444617E-4,0.0016791743603501584,5.222577634606549E-4,0.0020621996049124836,0.0014290498647699739,0.002405700193972681,6.931574218603889E-4,1.4694292638421454E-4,2.835507170067222E-4,0.0018145672982205437,0.0011753030938734844,0.011881940481092484,-0.09532134976625198,-0.11256833669725984,-0.04421784042762552,1.6650254164583726E-5,8.734819501212105E-4,4.759687190314801E-4,1.699051849358529E-4,2.6201593101399603E-4,-0.0028632904564514974,-1.5929597194305317E-4,-1.4618314038343823E-5,-2.611713249591411E-5,-0.001841628308719834,-1.1479456708424877E-4,-2.8865072431520693E-4
3,19956.881280845828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06499116459417387,0.0,-0.007721328854413663,-0.04803621670954723,-0.010847344286838052,-0.008933021136986366,-0.0474044954640243,-0.03888108965877056,-0.008197981390340125,-0.003993097695573536,0.0,-0.018492028159203464,0.0,-0.029718566392488523,-0.012510254141955023,0.003715916265277563,-0.013092838487657707,0.004059355154208625,-0.005299015622224963,-0.020367544163990683,0.02780581765786705,-0.022074953482514786,-0.005966362835897813,-0.00512063997528953,-0.012320320111740012,-0.012981557037819308,-0.09509342904590562,-0.015964339182557755,-0.008644844730921336,0.0,-0.01732100751647847,-0.04474151972426774,-0.02825080165397123,-0.021844222507843163,-0.023319783273368314,-0.006344525636543791,-0.006439562595363943,-0.02414648982477983,-0.0237360148255039,0.12614281190780371,0.006539634780784142,0.034015669695887325,0.04138203335472721,0.007636387636303379,0.052336861346093735,0.03524147862287341,0.08815415704251434,0.006137214478575176,2.3789413292384359E-4,0.00544380288253046,0.05492092872493478,0.029718761439638242,-0.01538189891830234,-0.10898291923859697,-0.5323943237504047,-0.09189775849777368,7.136601343174576E-4,0.036889511878088754,0.021012948721147572,0.007524163756325074,0.011166796856618352,0.01733127443119928,7.789971087959287E-4,2.3936477746571496E-4,3.420001721231465E-4,0.025461387300174852,0.006084711826303865,0.009116558722396209
4,17364.295261388885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5299469100856933,0.0,-0.05901156663327558,-0.34416857454993793,-0.08711042669637065,-0.0813825829905146,-0.3367169156735594,-0.28188466828752173,-0.07940141694731026,-0.03217600399194837,0.0,-0.15068751949962578,0.0,-0.20114671825951455,-0.08787290831134223,0.026373158158757404,-0.08768537345736659,0.02911660046112554,-0.03338242541659235,-0.13788243728386196,0.1919811126764171,-0.15043087715016126,-0.040610046626928784,-0.03468951529452206,-0.08317980661599632,-0.0883126268196177,-0.3716293914044891,-0.06066895062684591,-0.029989880935653437,0.0,-0.07147879810496426,-0.18491315429836153,-0.10727216967518621,-0.08520855356686202,-0.08690227797149566,-0.02516524443940822,-0.02250719321170177,-0.08457467738637876,-0.09254908785904191,0.8285860980694388,0.036562793786486886,0.2292717264570821,0.27040721604297563,0.04778339266641192,0.3421889807779727,0.23025475308765797,0.5927144997237841,0.03432672954226223,-2.7939922432475186E-4,0.03477518372180564,0.3649432567074327,0.1938972379234979,-1.1702861129982192,-0.3419517819938259,-1.0360305512454442,-0.305938012101987,0.0012738993778040682,0.02937073938085031,0.0852790075609313,0.028453018029256053,0.020488945850992247,0.04934133761762526,0.0015811144134112408,0.0014967011683936385,0.0017135354986316314,0.1259364881307888,0.04068953101111497,0.05472451112456846
5,16628.325688155157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5758913579608627,0.0,-0.06048140405460715,-0.4220122894624796,-0.09482985377433777,0.040808807178534245,-0.4255647739214765,-0.39320927190889277,-0.04272190248180308,-0.030967382371155622,0.0,-0.14950934692902032,0.0,-0.29375347865040724,-0.14109995799603015,0.046615113727781,-0.1275731146893438,0.053936097653498424,-0.03640171954416688,-0.22054487244225485,0.33789205421478347,-0.2528878303498244,-0.06550147300211079,-0.056282535889044735,-0.12841039500254564,-0.12700087069682203,-0.5264622555371846,-0.09000569930997666,-0.038280181581412775,0.0,-0.1035265200208405,-0.26173463999589786,-0.14807016916876323,-0.11375985770325656,-0.12296255355343162,-0.03662850056402599,-0.030481459180372518,-0.11219682127626718,-0.12917332880882287,1.2111079080423837,0.03824015964728875,0.3548876666930644,0.38330225509539495,0.0617137245502003,0.48052126746753876,0.3247358582034887,0.912305327398546,0.029586636090759785,-0.007373342014387485,0.048696462509305594,0.5454329405482332,0.27822674448732404,-1.1837876003948942,-0.3374748539337944,-1.0336008470807379,-0.3604231464024263,-1.2583362126800742E-4,-0.10892879847936404,0.12218777408156975,0.053943377599902365,-0.002839774848205315,-0.2830631611819497,-0.01637516152501249,0.0023719815655348937,-4.069236704258492E-4,-0.1391457419380077,0.056987557898690644,0.03312018876213819
6,15773.166983066167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5830243983622888,0.0,-0.05653987190677202,-0.47864407296034805,-0.09775698490533759,0.17787527924247457,-0.49488668251138346,-0.4872997644692046,3.4596773499188244E-4,-0.027329751978570342,0.0,-0.13653871007583357,0.0,-0.37046241794308493,-0.19087035193994994,0.0675675347738656,-0.16019206702069877,0.07892980737162661,-0.03277567541448266,-0.296289495700719,0.4843467693301721,-0.3498226365051104,-0.08910107508083656,-0.07630800749869683,-0.16856883097297656,-0.16012727895706896,-0.6515997721557362,-0.11536840844915389,-0.04261874598117512,0.0,-0.13105626514898705,-0.32438244471342936,-0.17972110377330586,-0.1326452821528191,-0.1531334284375847,-0.04651148588545243,-0.03662987548166559,-0.13141228973390873,-0.15825317593299873,1.4908995839798256,0.03419980784121233,0.46166434946478635,0.4526494303574574,0.06617089417446487,0.5652630286927941,0.38270127063333237,1.1806707080831462,0.01019023359524713,-0.018264348069899246,0.05703923615473476,0.6927237676528191,0.33730981807769805,-1.0673033590309242,-0.3096565990885934,-0.9544072883520789,-0.35606525430137687,-0.0021491198450842982,-0.28495880738078905,0.14599023351426063,0.07641335908303462,-0.033495456497177924,-0.24266013662331942,-0.0140195020067808,0.005952510010520239,0.0019359119622833173,-0.09667030694088058,0.11406710894260202,0.08394312533545237
7,14855.405054908613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2227463907199696,0.0,0.024687928894909582,-0.5226897689322934,-0.1030016657307265,0.9701554368902215,-0.6313794705924782,-0.7583944577708169,0.22667268645236865,0.024684680532580897,0.0,0.05330447226099533,0.0,-0.6689491971991595,-0.4565621726669112,0.19172051912154414,-0.2631422641563794,0.20806398193934084,0.05061095874641529,-0.6226342500610766,1.2541753404083456,-0.7874643423226182,-0.20939857149498192,-0.16323216547322034,-0.3393729169737238,-0.29898028935306453,-1.1423773161707524,-0.23974365476934523,-0.020419260080500826,0.0,-0.2749015646709346,-0.5039770486501322,-0.27989683320637604,-0.12526427190448727,-0.29337290339608224,-0.0969882799302108,-0.0578393347095542,-0.16455879163044335,-0.25687749905715207,1.993749543424555,0.013544373955351432,0.8141922815397786,0.37764949700607187,0.02539766631085915,0.48156450806521534,0.30242573924402094,2.0515396798607246,-0.18083590097907096,-0.10899859560346847,0.05512529011097882,1.133357872142024,0.3767881045671425,-1.0177953840008571,-0.27560216920710023,-0.7132532930021049,-0.3416535506126692,0.006067539039402059,0.10488464133072689,0.38723500376971426,0.48859721914237175,0.303345385560168,0.3503987406160106,0.03409926484591835,0.012791739458350642,0.005456567618351311,-0.4881766462640769,0.07375371021246441,-0.05112148530126756
8,13879.958579063717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6471958723687141,0.0,0.06052047455614353,-0.8864313843666094,-0.33365730855929854,1.1331686589089287,-1.053783533506037,-0.9583975996395212,0.025619535718074793,0.015553023646318909,0.0,0.05864539152848165,0.0,-0.8937801427456117,-0.7469911896368622,0.3547247199343374,-0.3113558750330203,0.3509394516082951,0.22609456024479985,-0.9368876321849652,2.155454028985365,-1.2156268691622105,-0.345531262255308,-0.2410262682647043,-0.48072689492254894,-0.426590803743609,-1.6570198011449428,-0.36896703395341046,0.02280040853576123,0.0,-0.4376635508147659,-0.687860947474748,-0.39019448395057027,-0.0735575386170252,-0.4573898594994021,-0.1581340841325412,-0.07939207466746494,-0.17545668797579184,-0.35451741542904014,2.184707221101478,-0.015103835248224881,1.125795783604773,0.1404681892542866,-0.10067305417387007,0.256688559385827,0.09152037810982158,2.712782582864646,-0.3442453546470483,-0.22197359917449574,0.0521342072960981,1.4525415811453772,0.3238745583007626,-0.6273164724834022,-0.19794734292437616,-0.3375329102295968,-0.2907220967508408,0.01797100157773129,0.7143117168226301,0.6396632617615048,0.9559203324886946,0.7400512051499879,0.5689984527763683,0.07797305875854309,0.013382172657300751,0.017190020083387714,-0.677516955417333,-0.04744950236275709,0.13213537866678096
9,13719.954793679817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6445549931184924,0.0,0.0685615092555469,-0.9009239099593238,-0.35753770011355257,1.147655172978305,-1.073955045140936,-0.9543825738425193,0.00827029350508009,0.017967887268586134,0.0,0.07856114659036886,0.0,-0.923437400953877,-0.7807630026156018,0.3759187844810562,-0.3138929342366956,0.3606043322775497,0.2432467344723598,-0.9690787863524422,2.2516376798993516,-1.2594882432352625,-0.3612406268821436,-0.2483461030022995,-0.49271339451773044,-0.44345109827501156,-1.73472355098773,-0.38558751221116633,0.02665855068808853,0.0,-0.45928713557006834,-0.720799929243475,-0.41045445763354177,-0.06986527933546786,-0.48226874183188656,-0.16689857496978822,-0.08333314180475396,-0.18075740529933818,-0.3702632318085949,2.1931886267775558,-0.03164982015656394,1.15457838603268,0.12080194031007843,-0.11750901778455997,0.24203165401088075,0.07100253335552685,2.767066135328923,-0.3540340898892617,-0.23438270041640905,0.052365561927316145,1.4714885777559326,0.3179409506472817,-0.6095624657800532,-0.19325827085355132,-0.3006769345288195,-0.287161675686538,0.01952185004390755,0.7946888506653501,0.6690551702903469,1.000036626098641,0.7863760628657125,0.5304795178378958,0.08054881764419214,0.015242214346867072,0.017512018490171068,-0.6295175946863355,-0.012528672141840204,0.1575486176702325
