Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_c,g_walk_grad,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4184.1961065172945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.622874031461291E-4,-4.3069427543985026E-4,-2.3524476083651888E-4,0.0,1.681175768238206E-4,1.9271833315393017E-5,0.0,-0.001222467628793839,3.264082974724431E-4,2.1717019126960764E-4,-1.1450097682947965E-4,-4.474129702593452E-4,-6.998009601166596E-5,0.0,-0.0012047148022478473,-4.971963182951604E-5,-9.152073055612554E-5,-2.470484524969094E-4,0.0,0.0,-4.7181902432968714E-4,0.0034919315532889205,7.385825220075653E-4,3.7561658831371415E-4,0.001252176505260053,8.253225028112249E-4,1.1867255407745693E-4,0.0,-0.006103017451626053,-0.00810417464225388,-0.1049411013931347,-0.05383247436189941,6.681540576579089E-6,2.5561827681595735E-4,3.5722410771276135E-4,3.1437472162252234E-4,-4.419596902840857E-5,-0.002481303144277329,-1.323278648907322E-4,-8.892232118911673E-5,-0.001818549337022566
2,3879.775463650683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.693888796761248E-4,-8.808773509630192E-4,-4.8043135048280307E-4,0.0,2.957312689676351E-4,2.4700962637103626E-5,0.0,-0.0015744219303186933,8.545263264409341E-4,5.365849695654908E-4,-3.5668396640200256E-5,-6.170260227468673E-4,-8.287771378486628E-5,0.0,-0.002279197587928103,-9.043463359777357E-5,-1.7481431388847356E-4,-4.6304406823547664E-4,0.0,0.0,-8.983468784597772E-4,0.006043581618928691,0.001298442871758734,6.597126551603416E-4,0.0022450092187406303,0.001383669094608016,1.9622244970641742E-4,0.0,-0.014087486737097355,0.008555708840378762,-0.1095162175766808,-0.024479551115347466,1.3492636543398036E-5,5.135625210986229E-4,7.224693040083733E-4,6.349752328695566E-4,-4.008279390776898E-5,-0.002303160393361148,-1.2324576877552665E-4,-8.153929590796594E-5,-0.0016439192009743409
3,3604.086539588065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011652582667008839,-0.009780868610210231,-0.005506643402005948,0.0,0.014870367609307026,0.002208438195888397,0.0,-0.024688903210077447,0.013071624695637244,0.00840648609662077,5.920415147176459E-4,-0.0103412436876762,-0.001774053662900812,0.0,-0.02656482465923023,9.190911712004853E-4,-0.001921795956019041,-0.004707742661728344,0.0,0.0,-0.011184700455430532,0.05540026214800921,0.011251291249477696,0.00570442522245025,0.027202871378345383,0.008786587522951549,6.51855608027226E-4,0.0,-0.06593033135076573,-0.007229514315266444,-0.18651185752510466,-0.01386649165947128,1.8108615889779846E-4,0.006206783858073279,0.009449725048556453,0.009131172002376783,0.0022398213163368715,0.12142411650925239,0.006432524976412576,0.00435952736068547,0.09344841332740561
4,3163.7337641468293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025039021749289084,-0.09597065346114948,-0.05344132600428829,0.0,0.10803388169728756,0.016646442140186027,0.0,-0.25945577155338695,0.11740121808620549,0.07517662244552172,-0.004578976370218252,-0.10243284044503556,-0.01597781005113285,0.0,-0.22221505658963275,0.019068449481846238,-0.011843785343984604,-0.03782717808383347,0.0,0.0,-0.09288383425642723,0.6056407598198204,0.10520420536700416,0.05361044509577378,0.2722051145162294,0.1087500606257353,0.007932177257000574,0.0,-0.6883117899841791,-0.1198988282782774,-0.597062731049197,-0.13610882014414655,0.0015536997250735324,0.047287090007579406,0.07675540790828558,0.09123876369410658,0.00413371227668387,0.20264830432360526,0.010552778640255334,0.006877443062721945,0.16864037205435745
5,3067.9444099323828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328149556980726,-0.11561290422330567,-0.06394654120928768,0.0,0.12960747253894656,0.019765704350880587,0.0,-0.30461065864037773,0.13573895494465826,0.0875152223106906,-0.0017403121946454772,-0.12158248919651748,-0.019233301774952926,0.0,-0.24318105860139705,0.030955860441246298,-0.011257437840552905,-0.03798883129319457,0.0,0.0,-0.10355881409150983,0.7081977475124994,0.1288330080056313,0.06553815574846845,0.32403760588839947,0.12243807598845721,0.00892901696009537,0.0,-0.7418843383792482,-0.12581806920642058,-0.5178506089723673,-0.13778977063318976,0.0017234985817885348,0.04094446698528695,0.07965336323556223,0.1163262384112417,0.004801853781893859,0.22812710526060803,0.011587121170803339,0.008220338575168608,0.19977818014366996
6,2448.321029523131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547563753235235,-0.3473334845906687,-0.18649980935779875,0.0,0.4728491484545226,0.0710652698661945,0.0,-0.8524354636893573,0.3568662133124104,0.24073241131377032,0.06440881749224228,-0.3636812194403595,-0.0657359673051326,0.0,-0.6634820689480154,0.17221157600489395,-0.01925500809143525,-0.06474284651647255,0.0,0.0,-0.2890782172792592,2.0064478388898594,0.45601794279675195,0.22933281256336652,1.0003391570555105,0.26927373191629667,0.020342504598472817,0.0,-0.3350699146928082,-0.03101934238198542,-0.13948563070841125,-0.11094637724850817,0.009033715037325961,0.21497582632104456,0.396448898007995,0.6398061116996395,0.009147396538877386,0.27833991266545477,0.009028120386991453,0.017962331786066647,0.43642095134769054
7,2404.397744921207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40395761555864423,-0.5702787748378858,-0.2828746326219597,0.0,0.7302794763371875,0.16555205679119173,0.0,-1.1133615792481437,0.6883904124285292,0.44477599667483303,0.37488114382467785,-0.4286729351622299,-0.16884286456537706,0.0,-0.4598968981195394,0.4112811645283671,-0.015441251563066558,0.158981265667782,0.0,0.0,-0.30307250721926066,2.4192683403666173,0.7102059659662938,0.3385615284381214,1.2737025605562087,0.1930451153596665,0.015466679756930175,0.0,-0.05948136491548528,0.023592985246580198,-0.2626086249996256,-0.10036123497609793,0.00490668203638327,-0.29690249383646655,-0.12057313266726144,0.5760948695374264,0.005314109868012273,0.1377134120117698,-0.0028692882045928698,0.029858678650444954,0.5870899117020999
8,2323.1497129225536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2265167231616096,-0.7921984451591904,-0.31218152025680124,0.0,0.9041771850183904,0.4175010066356227,0.0,-1.1102017131760407,1.1615217361921328,0.7242288776536772,1.1539514517337695,-0.13736782844651235,-0.45455833298597825,0.0,-0.22532364028144516,0.948617474818902,-0.036109635121898985,0.6518480596881662,0.0,0.0,-0.42056166489632557,2.465063594023073,1.0337991810441531,0.4430286686661937,1.317404642547573,0.03409042557381742,-0.01640596932683392,0.0,-0.16459236246628475,0.008525131577842161,-0.2465166361155819,-0.10056565110986043,0.013751780152375402,-0.39701663800140063,-0.08594433965803629,1.0123829412111987,-0.011145751579250355,-0.2856085097456626,-0.03734360838847885,0.04458495027218459,1.0815488540975273
9,2251.6136898983405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2583458870709678,-0.890290178661798,-0.27943668831808166,0.0,0.6586384470309262,0.5723539409266145,0.0,-0.9779456502833417,1.3803581155622422,0.8525779002272755,1.7256187622196975,0.16529541080136806,-0.6709974627557174,0.0,0.03732260302446341,1.3741558116053114,-0.06773351914249279,1.0762469233821894,0.0,0.0,-0.4910139518830813,2.7151498221922328,1.183696691421625,0.4664692822911094,1.297935065620208,0.1449910482389939,-0.04286818974675086,0.0,-0.15387509050914666,-0.0031060360658708465,-0.3025388053504241,-0.10753893238107629,0.02109160182125458,-0.48017924149401714,-0.060349340255294884,1.293149688273386,-0.027961283627314457,-0.6351669685117802,-0.06571687503953742,0.04449733570879112,1.5815892676560657
