Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_aadt,g_walk_aadt_c
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,4226.8433886898665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3013109051301087E-4,-4.0073555349310415E-4,-2.1888133837836665E-4,0.0,1.5642346332931945E-4,1.7931301228890906E-5,0.0,-0.0011374338359891158,3.037036181146759E-4,2.020640202653068E-4,-1.0653638773908145E-4,-4.162913103355428E-4,-6.511234095251406E-5,0.0,-0.001120915880730227,-4.626117716639368E-5,-8.51546275558154E-5,-2.2986397543793243E-4,0.0,0.0,-4.389997003564523E-4,0.003249035809306222,6.872073594541422E-4,3.494890227304852E-4,0.0011650761886583916,7.679137820826692E-4,1.1041779367534604E-4,0.0,-0.005678496826914526,-0.007540455251121499,-0.10459740264627668,-0.05704384758516458,3.3237590720043374E-4,-0.0016920526152385145,-0.0010040249821760608
2,3858.5300520954042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010994401248409392,-9.857018947750417E-4,-5.373630804522227E-4,0.0,3.172007442547401E-4,2.417663315559276E-5,0.0,-0.0016127660274145852,9.81856016273759E-4,6.126846284097353E-4,-9.290369371730455E-6,-6.420416940872373E-4,-8.304013060064097E-5,0.0,-0.0025185777923950573,-1.0035000396304051E-4,-1.9360310906589657E-4,-5.111305482630112E-4,0.0,0.0,-9.935075045022993E-4,0.00659355080491846,0.001423012460131943,7.228603950778552E-4,0.002460137157317116,0.0015035913298749376,2.1343094668586796E-4,0.0,-0.016060424803728386,0.013465122647086939,-0.11056071816385925,-0.01775090317810371,8.07611691016172E-4,-0.0015013527000431117,-8.660785575028226E-4
3,3400.3865619247435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07836859159980507,-0.05803123959585545,-0.032810614915643924,0.0,0.09417301325647304,0.014166927506461265,0.0,-0.15396377759011065,0.07931363802328882,0.05121624294690474,0.0032798283276227135,-0.0643956500213727,-0.011175898599436263,0.0,-0.16240675871375754,0.006367606164940067,-0.011602342897345099,-0.028515418763220515,0.0,0.0,-0.06861635612765223,0.33324322591628597,0.06566317890739112,0.03331069630110769,0.16610034378175076,0.051363715271084825,0.003303705738735561,0.0,-0.3504475465361773,-0.07284394460104479,-0.6216446950296654,-0.03501899297685201,0.05784639028979135,0.5990970312972752,0.358436962031305
4,3165.617039426851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08898832812617813,-0.10365158635526042,-0.05817153454811605,0.0,0.1461305295449206,0.022268592631086232,0.0,-0.27723083947890786,0.13661138022439745,0.08800383513667327,0.0028665295890041753,-0.11364755663207277,-0.019164248082137993,0.0,-0.2736709176445974,0.01332212395200489,-0.018645440329985583,-0.047244787554458545,0.0,0.0,-0.11578149200509377,0.6285599772640643,0.11693723660062158,0.05919046346410456,0.29659497587451433,0.10522719483161161,0.007864439227729444,0.0,-0.6624833051667829,-0.13212563882679007,-0.9484912217786665,-0.10412109231979233,0.07727079413902907,0.6679362121568962,0.397625123026651
5,2980.5065745535812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07876329516766198,-0.14567310933346989,-0.08046016012483337,0.0,0.18702518773461896,0.02808207145595335,0.0,-0.3673067122856123,0.18185263222042844,0.11741955336799577,0.011405574499027637,-0.1526690972616751,-0.025890701686788413,0.0,-0.30273686261587546,0.03633378566702501,-0.017906177574698638,-0.04371964645949854,0.0,0.0,-0.1350802168244868,0.8267639640718433,0.15865342930074505,0.07969074172937755,0.3934595464832238,0.13359515227190977,0.010511893797432129,0.0,-0.8375429736169404,-0.15590801747214178,-0.8259558275034443,-0.12116220137566902,0.010982934059429975,0.7402652437128865,0.4384215931445743
6,2556.6020635086206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4493561390681414,-0.472126496545097,-0.24548815729029938,0.0,0.7534327261927003,0.10833070253709282,0.0,-1.1037437516279383,0.5900491967172633,0.3878214693945135,0.1842491101083514,-0.5111280489945926,-0.09627315500665257,0.0,-0.8405994051496808,0.28203558152399977,-0.0213069745831351,-0.03153661674713592,0.0,0.0,-0.4180673346559535,2.421163079625162,0.5206454484025214,0.24678531842832274,1.208964910382405,0.29972260304544657,0.03288380885141406,0.0,-0.08207614409763087,0.011489197129135043,-0.44853219866756433,-0.07170116228533374,-0.28616743546590634,0.8867000184669624,0.4803638377965063
7,2445.733452045741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2783553735306707,-0.6073257785653239,-0.280680385148272,0.0,1.092366545058559,0.2200520098312742,0.0,-1.245083959107595,0.9308165797067527,0.593485684657672,0.5310516018453838,-0.5403359198611658,-0.20526001087134801,0.0,-1.1774387522794938,0.5438547191987748,-0.020736248728985513,0.05873924841590713,0.0,0.0,-0.6458491059406839,2.519508256896296,0.5115814162057083,0.21248665249083418,1.239503958942142,0.28005300470800915,0.027499570883036263,0.0,-0.1587406358491286,0.017311508182599803,-0.25374059229396695,-0.06648176328530388,-0.22191451059122352,0.8605808824239397,0.4079511160960346
8,2412.4197583869327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3475861072287236,-0.6463089792731525,-0.28528280303847015,0.0,1.0688022709586613,0.24598387016157552,0.0,-1.2247299122973367,0.9912582467994868,0.6266202521503117,0.6325524848132404,-0.510250733983515,-0.238936189413329,0.0,-1.2617718653316132,0.6226346387558256,-0.020990481525603004,0.09092930722552475,0.0,0.0,-0.7087766630396344,2.5798132922263948,0.4829410005078447,0.1921014702593746,1.2142313556844428,0.33884801937549514,0.02506841264148288,0.0,-0.15973446403345748,0.01705709997410867,-0.20462136812571208,-0.06584917317416443,-0.1297467874532246,0.8721058519344917,0.39189583309139736
9,2393.6942011613487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3863626816768428,-0.6638380932504758,-0.28561089285643204,0.0,1.0662681382117962,0.2583908214199304,0.0,-1.2144490276455258,1.0089626155939504,0.6348236550124855,0.6799450861317827,-0.4897187861342429,-0.25752198364324436,0.0,-1.311171683105767,0.667337561545354,-0.022105667072036303,0.10953541528847584,0.0,0.0,-0.7456747201829456,2.6130274018025506,0.4746935812988561,0.18720354188183685,1.21218484160425,0.358006325341412,0.024298929378037872,0.0,-0.16331306134869739,0.016905153058776184,-0.1704400110238277,-0.0656018139887026,-0.050731726876485306,0.8768721312816498,0.38407535656858577
