| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_23           |  0,0000000 |         |             |             |
| asc_carP                       |  1,6314219 | 0,65577 |   2,48779   | 0,01285 *   |
| b_carP_p.age_group_agg_15_24   |  1,1806861 | 0,58181 |   2,02935   | 0,04242 *   |
| b_carP_p.female                | -1,1393860 | 0,41806 |  -2,72540   | 0,00642 **  |
| b_carP_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carP_hh.cars_gr_2            | -1,1073567 | 0,51911 |  -2,13320   | 0,03291 *   |
| b_carP_hh.cars_gr_3            | -2,2856401 | 0,53795 |  -4,24878   | 0,00002 *** |
| b_carP_hh.cars_gr_23           |  0,0000000 |         |             |             |
| asc_pt                         | -0,8083228 | 0,67965 |  -1,18933   | 0,23431     |
| b_pt_p.age_group_agg_15_24     |  3,0545784 | 0,57082 |   5,35123   | 0,00000 *** |
| b_pt_p.female                  | -0,5201957 | 0,39522 |  -1,31621   | 0,18811     |
| b_pt_hh.cars_gr_0              |  2,5475169 | 0,24253 |   10,50393  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,4583111 | 0,51956 |  -2,80680   | 0,00500 **  |
| b_pt_hh.cars_gr_3              | -2,9615718 | 0,54151 |  -5,46913   | 0,00000 *** |
| b_pt_hh.cars_gr_23             |  0,0000000 |         |             |             |
| asc_bike                       | -0,1000437 | 0,70803 |  -0,14130   | 0,88763     |
| b_bike_p.age_group_agg_15_24   |  4,7048333 | 0,64241 |   7,32372   | 0,00000 *** |
| b_bike_p.female                | -2,6872611 | 0,51930 |  -5,17479   | 0,00000 *** |
| b_bike_hh.cars_gr_0            |  2,1792941 | 0,31549 |   6,90767   | 0,00000 *** |
| b_bike_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_23           | -2,6786907 | 0,61397 |  -4,36290   | 0,00001 *** |
| asc_walk                       |  3,3796031 | 0,66522 |   5,08044   | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  4,1134217 | 0,62335 |   6,59887   | 0,00000 *** |
| b_walk_p.female                | -1,0783823 | 0,43500 |  -2,47904   | 0,01317 *   |
| b_walk_hh.cars_gr_0            |  2,5548091 | 0,22373 |   11,41934  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,3259303 | 0,52397 |  -2,53054   | 0,01139 *   |
| b_walk_hh.cars_gr_3            | -2,4495554 | 0,55689 |  -4,39864   | 0,00001 *** |
| b_walk_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_car_time                     | -0,2603154 | 0,03084 |  -8,44124   | 0,00000 *** |
| b_pt_time                      | -0,0163517 | 0,00706 |  -2,31660   | 0,02053 *   |
| b_bike_cost                    | -0,1538855 | 0,02463 |  -6,24728   | 0,00000 *** |
| b_walk_cost                    | -0,1376133 | 0,00767 |  -17,95215  | 0,00000 *** |
| g_bike_stressLink              |  4,1354403 | 1,26205 |   3,27676   | 0,00105 **  |
| g_walk_aadt                    |  0,9842922 | 0,37250 |   2,64238   | 0,00823 **  |
| g_walk_aadt_c                  | -1,1176691 | 0,36310 |  -3,07815   | 0,00208 **  |


Iterations: 80

Start LL = 4864.317465400571
Final LL = 2076.8004584881396
