Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,4173.998777467959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7067554763493706E-4,-4.385091667570379E-4,-2.3951324626506954E-4,0.0,1.711680482749337E-4,1.962151821122532E-5,0.0,-0.0012446491440880631,3.323309333541722E-4,2.2111071599650723E-4,-1.1657858208374121E-4,-4.555312201081644E-4,-7.124987570432386E-5,0.0,-0.0012265741948254694,-5.062178804852182E-5,-9.318136224628512E-5,-2.5153111436737667E-4,0.0,0.0,-4.8038011883866897E-4,0.003555292194774443,7.519840053042004E-4,3.824321021990721E-4,0.0012748970842335011,8.40297871718815E-4,1.2082585205547455E-4,0.0,-0.006213755905353232,-0.008251223831565816,-0.10503075703189405,-0.052994770645320495,3.637058924423205E-4,-0.0025263260654148803,-1.3472893669810754E-4,-9.053580508103821E-5
2,3855.8679512927583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010361145701116602,-9.42550784814162E-4,-5.140573100723073E-4,0.0,3.1522824325126426E-4,2.5901837115190065E-5,0.0,-0.001636105349834689,9.250757786219343E-4,5.795442704799435E-4,-2.7482795871528164E-5,-6.446784392915539E-4,-8.551975861269467E-5,0.0,-0.0024300803027647103,-9.605472650801899E-5,-1.8645151710857896E-4,-4.934150445490462E-4,0.0,0.0,-9.581652394192724E-4,0.006407972093541978,0.0013774447344491888,6.998166831251626E-4,0.002385990285969356,0.0014637953243016861,2.072546143167986E-4,0.0,-0.015148593827320093,0.010506529749223696,-0.11015020841897484,-0.020268672866008093,7.728659467878146E-4,-0.002322473012059354,-1.243353494825415E-4,-8.214922182791695E-5
3,3460.1657345931435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05864018666118699,-0.04458990134812483,-0.025185352964340834,0.0,0.07133062741994425,0.01074228856254171,0.0,-0.11736848230186767,0.06108168238248399,0.03932279226089508,0.0024822884470186183,-0.04902747714718061,-0.008420752853081697,0.0,-0.12444510086167013,0.0046317824585044385,-0.008911207704291014,-0.021984129769281293,0.0,0.0,-0.052433869048845914,0.2560365801807618,0.050240416117026815,0.02549735551901389,0.12699317060145499,0.03978815598707001,0.0025461983085541345,0.0,-0.26931723658550644,-0.05726120644212898,-0.49911591035472996,-0.022958378306119784,0.04379967696811872,0.5605538222509939,0.029696868628620525,0.020105145868501675
4,3238.5533555085117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955567389754317,-0.10552673739860494,-0.059170100635673406,0.0,0.1425326239068767,0.02176463952994756,0.0,-0.28156162990807787,0.13698939599971097,0.08808070983437331,7.753687755199942E-4,-0.11451444834048974,-0.01894199124497707,0.0,-0.2807909613284154,0.011729453175654287,-0.019176948048768013,-0.04945467469250031,0.0,0.0,-0.11778278095217287,0.650904341782218,0.12132625196901417,0.0615223230412396,0.30254235478404223,0.11193097933775895,0.008609350887122698,0.0,-0.7042480917041682,-0.1444642977807971,-0.9796274474384432,-0.10834897790296472,0.0835258183193778,0.7535058357575314,0.03980741634691938,0.02671839839715917
5,3090.404188056641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07109557930850463,-0.13213812060458416,-0.0734177119599295,0.0,0.1672231899705348,0.025436056467741882,0.0,-0.33786300951822784,0.16408090334619227,0.10582943157552449,0.00467410680835051,-0.13849157710058652,-0.02293819225844275,0.0,-0.2992131032771052,0.025541171902693748,-0.01874965785280348,-0.04777473546259536,0.0,0.0,-0.12954244042571536,0.7774614043696295,0.14968990255341555,0.07572977065746525,0.3657007567032612,0.12984594449264952,0.009943055306519082,0.0,-0.8213590989458062,-0.16094058360182825,-0.9015285277058313,-0.11865472950763896,0.049847222392405306,0.8119805156241426,0.042867412840850494,0.02920492894082021
6,2581.509510827502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39918419805870153,-0.48445918976012137,-0.25390792366884607,0.0,0.7330142690977861,0.10916175697998945,0.0,-1.1184730873991124,0.5237071582380777,0.3516939692194191,0.1330349069364569,-0.49992492058794413,-0.08873371436111542,0.0,-0.8929668538642099,0.27153950513382524,-0.022825656996346345,-0.05804567022966321,0.0,0.0,-0.4236059915106912,2.582193529113317,0.6485617391649668,0.3197491462976584,1.3230694148159,0.3163816874129094,0.027458736872937532,0.0,-0.07799827125460745,0.007169822149330651,-0.47300425006698366,-0.07612537168665195,-0.17982006388224198,0.9888089092361024,0.05312867235504758,0.05321089641115406
7,2458.224110713939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118468812203798,-0.5993987948001103,-0.2740089344397206,0.0,1.0769425892393873,0.22461509148641848,0.0,-1.2648804931024737,0.7912929952751735,0.5166087009829148,0.4314172599024546,-0.514027217189255,-0.18706908573198744,0.0,-1.2894553110959182,0.5248091471388643,-0.02349097079240118,0.006496044652802804,0.0,0.0,-0.6597694851319402,2.716727447130981,0.7518353190393542,0.3410198141633628,1.4005011428410865,0.2857346996802013,0.015411675921828379,0.0,-0.1522897345295539,0.017003636521869113,-0.2449356788460924,-0.07127071796685967,-0.05786590947174036,0.9309810434570717,0.04991685898267934,0.06562383549134222
8,2416.3229705283666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4032170574183451,-0.6408804597203475,-0.27662911579683125,0.0,1.0534349114536357,0.2518246590922257,0.0,-1.2379149374013252,0.8463376341278998,0.5485044788285935,0.5315158115641038,-0.47885851106417987,-0.2186679729375629,0.0,-1.4012296812723777,0.6051089624291877,-0.02429966757774369,0.03163254053342289,0.0,0.0,-0.7307878067755674,2.785352092768682,0.7388993208120802,0.3240726348028624,1.3756577944567319,0.34539069425112245,0.010650936970295437,0.0,-0.15492326519864413,0.016867966145856075,-0.18448233596636238,-0.07062100419811473,0.059912488718861456,0.9320240710386538,0.04959373474347447,0.0677409201641245
9,2372.2318145247345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.498569505714674,-0.6821861956987347,-0.2782753555068167,0.0,1.0339771423093256,0.2793118416926436,0.0,-1.21001063331917,0.8993665474417543,0.5791073356192775,0.6335640047381641,-0.44144873627758446,-0.251530320219044,0.0,-1.5201676947814142,0.6892445418366008,-0.025662205696895174,0.05799588227075935,0.0,0.0,-0.8061512727806566,2.8580646755454726,0.7262568793140586,0.30741501221304757,1.3538244773078836,0.40269094054979493,0.0059359834662498405,0.0,-0.15891655031802926,0.016704552027321778,-0.11770933767524473,-0.06995465202744612,0.19795171973192752,0.9329892024542084,0.049263668833168364,0.07002255038054536
