Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_stressJct
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,4789.034684801274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012894069581083907,-0.0012012877525759693,-6.561421086035308E-4,0.0,4.6891170268040927E-4,5.375278626079717E-5,0.0,-0.003409693311783331,9.104144458209332E-4,6.057287172677893E-4,-3.1936486962304305E-4,-0.00124791935292683,-1.9518771680225236E-4,0.0,-0.0033601773225551816,-1.386774521634555E-4,-2.5526861858472333E-4,-6.89064836012269E-4,0.0,0.0,-0.0013159924514454177,0.009739657216283107,0.0020600462753962725,0.001047665671304358,0.0034925569844086704,0.00230198047916923,3.310001871619211E-4,0.0,-0.017022469385989503,-0.02260407508907314,-0.11378166585043858,0.028769956506033895,9.963655659968257E-4,-3.6908743041783184E-4
2,4737.507265585851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002085523231505284,-0.0027400634405614294,-0.001508765313051626,0.0,0.001654050880886633,2.370281671369532E-4,0.0,-0.007018981286779576,0.0029399592594922474,0.0018722009876548232,-3.9456550662316366E-4,-0.002659777103385646,-3.807433715865127E-4,0.0,-0.008328194237831424,-2.555062783859425E-4,-6.14479485840848E-4,-0.001689212978073416,0.0,0.0,-0.0032750857336049533,0.0214034781973013,0.003921958669481972,0.0019854543211990467,0.008170152560567724,0.004730448038903967,5.642378318185425E-4,0.0,-0.03170452922596177,4.64185949812998E-5,-0.13250130873964625,0.033749360594034473,0.0023938654869012166,-9.075622401788104E-4
3,4014.75552172249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022426090088489836,-0.14067145712172646,-0.07871009551734331,0.0,0.13728669537458,0.022031447962497203,0.0,-0.4710536881876883,0.17923426747491633,0.11483925031350958,-0.034779253976273794,-0.17391410585527933,-0.024697834712298472,0.0,-0.46275628883464365,-0.004407924503032576,-0.03250987330185662,-0.09089222852651296,0.0,0.0,-0.18446812725759618,1.1723531461293428,0.1770907156424291,0.08929654185428948,0.46920835747382317,0.2442657138384828,0.02253371026649903,0.0,-1.152366971739532,-0.23364590678296576,-1.7800480630754614,-0.16942828994126616,0.1303114922082919,-0.05849131811619207
4,3832.844025201457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0838854848476299,-0.18044459500205823,-0.10060695872683786,0.0,0.23595556776656063,0.034236561087844994,0.0,-0.5920289743954472,0.24988183910464273,0.15995247904200366,-0.017259912928694884,-0.23077293882359468,-0.03298408020062877,0.0,-0.49504903296264585,0.02535952178716476,-0.032719092609422504,-0.08257901949642503,0.0,0.0,-0.21133643561192086,1.3051499756966911,0.20092402652420532,0.10048753440675268,0.5560649399221702,0.24365609852895898,0.021689326909566677,0.0,-1.2327990857408178,-0.23005152399116505,-1.7165180698709377,-0.17577603744346032,-0.10148371072269188,-0.03447298599744372
5,3541.799522612391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270035119432308,-0.2440881460562631,-0.13527066965827025,0.0,0.4006158093255235,0.055737056748459385,0.0,-0.7682557815837128,0.3659520970815088,0.2335666440142677,0.020729004012314953,-0.3188865580803487,-0.04664363321410042,0.0,-0.5636300054626631,0.0733671954933669,-0.034375019536193215,-0.07168564428332112,0.0,0.0,-0.26158747160765483,1.4990398858763554,0.23417056410226064,0.11589324818983507,0.6908196751132489,0.2384397150113485,0.01840014429574891,0.0,-1.2112308588589786,-0.2167577268438212,-1.7249663092450775,-0.17538276234100492,-0.5151491409634263,0.014015221601470326
6,3483.6810723051335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553464064445737,-0.2864114266765777,-0.15242434851487044,0.0,0.402254279181266,0.06741063402238129,0.0,-0.8238256324483869,0.4538035379988073,0.28522140783036287,0.08901121748719931,-0.34960930608244434,-0.0623362175180438,0.0,-0.5069514417554899,0.14883310424626173,-0.022963328564696538,-0.013365213362721617,0.0,0.0,-0.2652767028555272,1.450395412840334,0.15359147598335754,0.07601200368791318,0.6298074721733397,0.2802560847654714,0.01019100488845991,0.0,-1.2743794875828005,-0.22412788621123966,-1.7872092243070006,-0.1802874118023572,-0.6397342431411572,0.05386517556258126
7,3376.820444925362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8772638702707388,-0.5815411531771248,-0.27995104787184366,0.0,0.5723375165596618,0.13875833804445364,0.0,-1.2784003522014031,0.9049700034974155,0.5547725472881893,0.4233993787348636,-0.54750309337214,-0.16189160034820566,0.0,-0.27219958536294575,0.6042336061136069,0.03559082218620164,0.3280480333130453,0.0,0.0,-0.3219605760761764,1.4822960238293776,-0.10974542134054,-0.037367577677339225,0.5461517010451549,0.4256326422126122,-0.02230351551277839,0.0,-1.1982598902613353,-0.1933358782869033,-1.8565229604314362,-0.16559773224021618,-0.43185038258980546,0.28397211589075116
8,3307.9687730228493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6567386150256069,-1.5251569715963988,-0.6493266071234223,0.0,0.27050588700791894,0.2676727297970538,0.0,-2.123984164630606,1.6156493772086606,0.9233772400188431,1.2511885999319794,-0.696417778312309,-0.4891258732268623,0.0,0.6639192417421593,2.0630830758249927,0.23116588387675804,1.4298718097665017,0.0,0.0,-0.4087694392537646,2.3120233269548427,-0.567244561475462,-0.11488579941487741,0.5860274359817244,1.0707359119259383,-0.07710576549857738,0.0,-0.7135969392836161,-0.10467960066252409,-1.8154881098991178,-0.1312840923537193,-0.40644898809651553,0.7846610875916029
9,3191.091847831037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8754620764454706,-2.0509658371654433,-0.8086389852643716,0.0,0.3033521711609694,0.35927894300015195,0.0,-2.515523155422832,1.4803203408111378,0.7339391486682509,1.6259142036831582,-0.400305083131145,-0.7846474717131874,0.0,1.4063958785207171,3.2642550751878274,0.3492877164737618,2.263577957447774,0.0,0.0,-0.44934124192624425,2.3950518235527904,-0.39107315098019657,0.21121647211647726,0.94412297377942,0.8824756148674576,-0.07496362563052957,0.0,-0.6727115249382151,-0.08552101489460676,-2.0146211514281065,-0.1313184421987845,-0.45919641980780956,1.0718692595737045
