Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4229.080531297757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2784283881380715E-4,-3.986036829275093E-4,-2.1771691291479247E-4,0.0,1.555913071247267E-4,1.7835908611591366E-5,0.0,-0.0011313828088363711,3.0208794713544867E-4,2.0098906114721896E-4,-1.0596962547602293E-4,-4.1407668479637774E-4,-6.476595021696872E-5,0.0,-0.0011149527273443922,-4.601507261921503E-5,-8.470161398507525E-5,-2.2864112351212945E-4,0.0,0.0,-4.3666426859518973E-4,0.003231751284017544,6.835514893190614E-4,3.476297782634967E-4,0.001158878107126504,7.638285623544303E-4,1.0983038274511407E-4,0.0,-0.005648287827147472,-0.0075003408303746305,-0.1045729449526821,-0.05727236975183071,6.183705782330433E-6,3.306077026897608E-4,2.9095098078578597E-4,-0.002296423770105766,-1.2246825023506992E-4,-8.229680945781447E-5,-0.0016830510751095651
2,3894.4339228243007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.747834227873668E-4,-8.76305071164616E-4,-4.7779616252954457E-4,0.0,2.866611713794167E-4,2.288696137085983E-5,0.0,-0.0015187580588191406,8.559839683955878E-4,5.363537695517296E-4,-2.6389892044151742E-5,-5.981836721903999E-4,-7.935734060203275E-5,0.0,-0.002255898337433896,-9.018793909522664E-5,-1.7324846092001432E-4,-4.5823802454136034E-4,0.0,0.0,-8.893359693010856E-4,0.005962087692932305,0.001284300126439597,6.524685677310998E-4,0.002216081316920104,0.0013644434024551021,1.9395211465884183E-4,0.0,-0.014129904130926007,0.009670397715357215,-0.10944303242943125,-0.02526339713157416,1.3417781481546196E-5,7.18591809713171E-4,6.312071519625108E-4,-0.002138576124947544,-1.1444652881352393E-4,-7.543551701695599E-5,-0.0015251235258575077
3,3606.760203713077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01263629795260566,-0.010072000957264585,-0.005670741181809812,0.0,0.015579147088392116,0.0023018217247872718,0.0,-0.025123303945644306,0.013422178432379596,0.008649547304814417,7.348222936386856E-4,-0.010596036395137806,-0.0018468624291173826,0.0,-0.027024639341222935,0.0010193750446056268,-0.001960607017817384,-0.0047435134439252555,0.0,0.0,-0.011431581509044171,0.05582982313853094,0.01160352993328325,0.005876389963621327,0.027777233571649247,0.0086582166479376,6.48582226908242E-4,0.0,-0.06754093120304473,-0.007169824133403356,-0.1877295386581025,-0.009875763562345947,1.887121562847234E-4,0.009845603728912744,0.009528805108644688,0.13909548910496558,0.00737332233274093,0.005007093712120288,0.10656653904375177
4,3184.367544157607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03209577085776402,-0.08520547770455483,-0.04756555705124272,0.0,0.1004250210500474,0.0154277989307347,0.0,-0.23354999597632853,0.10603248277205152,0.0680017297556555,-0.004298306332664811,-0.09238396574142797,-0.01459006729037278,0.0,-0.21824543181865624,0.011625994084503766,-0.013395820474174194,-0.03873868095246924,0.0,0.0,-0.09044335699305231,0.5526782137724159,0.09760717798926602,0.049616749156906385,0.24701993162928856,0.1003840838989551,0.007936060950414922,0.0,-0.6066479264185001,-0.11248024599655992,-0.7048016745670399,-0.11686168101522348,0.0014445744128139544,0.07299709653528837,0.08000141085746303,0.2631726059403834,0.013834813895232109,0.00923554703924697,0.21047703747641133
5,3051.7929203346785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02485509406017112,-0.10836421832894194,-0.0599815598953285,0.0,0.12258872553395855,0.01860083322281643,0.0,-0.2867464592608312,0.12855305141308052,0.082838492473423,-0.002102463198783638,-0.11445581512867616,-0.018160280594710792,0.0,-0.2391277215027822,0.02413401219047545,-0.012861081713377388,-0.03859199569505848,0.0,0.0,-0.10184085461344647,0.6728507630349355,0.1239808427543065,0.06290528428685561,0.3058973484637801,0.1179087878680837,0.009330924251981816,0.0,-0.7065862881681986,-0.12594339639606458,-0.6276203727149727,-0.12534069324986233,0.0014055710481336503,0.06270982185729587,0.09861222167850733,0.2892055353999735,0.014936812987387096,0.010519977255069988,0.24199641823379467
6,2632.682229737855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11525417936095617,-0.23026510129566527,-0.12385678974026307,0.0,0.3117079875885097,0.0461284315648057,0.0,-0.5740857038267129,0.24534694280030933,0.16379527332799088,0.03421224007770307,-0.24209599178547409,-0.04248401064958836,0.0,-0.4639588772103477,0.10142278798392626,-0.016330563345280075,-0.051986569046766615,0.0,0.0,-0.2035804635925284,1.3456350272720112,0.3009103513898675,0.15072500600522437,0.6574556696902867,0.19147397390607496,0.016419250469454097,0.0,-0.47726898611124646,-0.07278325938226278,-0.43774326069817415,-0.110564483920965,0.004219741198496443,0.16117200668579842,0.3487834395491609,0.30153547508909107,0.01434381786666594,0.016213247649875022,0.3615910469843171
7,2557.5915447315983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45403281129917156,-0.2897053511154793,-0.13911762103579356,0.0,0.43924923469111754,0.09584859980280969,0.0,-0.6239014135866818,0.38265872963196684,0.24670858985970007,0.18430288245485044,-0.22200265657474857,-0.09181199748034957,0.0,-0.5469926263768308,0.18390671883401627,-0.02942050777141953,0.006584871154305498,0.0,0.0,-0.2732606512954134,1.375523063952408,0.37676050478585066,0.17541525065968425,0.6598385846911913,0.15031343973817113,0.015672322562868334,0.0,-0.5209625360760781,-0.07333959693816801,-0.3536621682224858,-0.10835736996328599,0.00634697446345619,0.3246486998800076,0.37474044217106245,0.26495667981978877,0.011958423258002813,0.021874295924184037,0.39041935180438814
8,2472.820688357494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5623595636515151,-0.4857917811677058,-0.17509326024156907,0.0,0.31410848343431486,0.1946617299932157,0.0,-0.519608110445624,0.6065946328640759,0.3784870741784898,0.5738585423070375,-0.0035864432081346154,-0.23362088895500802,0.0,-0.6418291510758586,0.39813308310967066,-0.07977102843793593,0.2018898805344099,0.0,0.0,-0.40703879040167557,1.569424720313753,0.46350714605936205,0.17368816019281616,0.5828108518872503,0.22352861000337332,0.0069774541811518445,0.0,-0.5310327969256752,-0.08228416011171215,-0.2445729053698777,-0.1085612810232344,0.011975312504739776,0.8341634507668618,0.2397032938579385,0.15855555928574144,0.004836559880496627,0.026427643781417882,0.5637688435652106
9,2363.5594495829805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7610002605761853,-0.7365139408757121,-0.14738976834423467,0.0,0.3511121935112851,0.3593914317682321,0.0,-0.6773187855019376,0.8517396370193951,0.5185730176474643,1.1738969241445596,0.32185743389717797,-0.5271330490706886,0.0,-0.2949602240592304,0.9355717868508026,-0.21402797309643792,0.7673270280426797,0.0,0.0,-0.4770356914908814,1.9538393038562383,0.7474645345331186,0.2174452669768474,0.7941247342393292,0.04288985579372667,-0.027539586967385878,0.0,-0.388279395848357,-0.05694578653193023,-0.27076142883938736,-0.10090571636043894,0.012949335995784813,1.2349104941277023,-0.7348486701954218,-0.15484717560878591,-0.03386863981350947,0.030004351689904864,0.9887363219338043
