Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,4242.026272601527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.187665416526451E-4,-3.9014766789681677E-4,-2.1309824638737293E-4,0.0,1.5229057888752412E-4,1.7457536013029344E-5,0.0,-0.0011073815503263556,2.956794257620198E-4,1.9672526079900506E-4,-1.0372157613728899E-4,-4.052924240871402E-4,-6.339199941829693E-5,0.0,-0.0010913000180876884,-4.503890465496355E-5,-8.290474618967166E-5,-2.2379070978074256E-4,0.0,0.0,-4.274008328148465E-4,0.0031631926163393984,6.690505654302438E-4,3.4025512831414585E-4,0.001134293560840753,7.476246332870817E-4,1.0750043094813508E-4,0.0,-0.005528464531955485,-0.007341227913175372,-0.10447593407970068,-0.058178797612584064,6.052524081607725E-6,3.2359416061038227E-4,2.8477872003633683E-4,-1.1987019755988004E-4,-8.055095740586575E-5,-0.0016473466754812812
2,3887.384558286633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010044820709099735,-8.992959901723563E-4,-4.902718003949887E-4,0.0,2.907544155945539E-4,2.2663206883146204E-5,0.0,-0.0015266808766551895,8.836617441956512E-4,5.528835964625265E-4,-2.0619225890870408E-5,-6.034680251942385E-4,-7.935194750626513E-5,0.0,-0.0023081074482523096,-9.242950397745544E-5,-1.7735387799008227E-4,-4.6874564734538797E-4,0.0,0.0,-9.100675181135E-4,0.006082994282746316,0.0013118220150106228,6.664190237525747E-4,0.002263043554833245,0.0013910055900696358,1.9780960193804535E-4,0.0,-0.014567199547831172,0.010750065168019931,-0.10967265832540145,-0.023657367699959228,1.3764839687044853E-5,7.372380189434628E-4,6.474610658432374E-4,-1.121744741259947E-4,-7.378662351179608E-5,-0.0014924622367830402
3,3325.1554623574602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11455542862999268,-0.07641947819906277,-0.043185537058489216,0.0,0.1281299424180153,0.01912274101943976,0.0,-0.19603976548360047,0.10509939403529996,0.067856492782478,0.00663757073345629,-0.08318429591007656,-0.014717049973549128,0.0,-0.20680529527966096,0.009425213387861562,-0.014885750614810013,-0.03571544148837715,0.0,0.0,-0.08807766761711106,0.414132695463326,0.08520673973967843,0.0431401325154608,0.21305314231789216,0.06010791511644664,0.003595868353647229,0.0,-0.4400302519398823,-0.09377716629435397,-0.7531164565139585,-0.05095674636999088,0.0014653681508675427,0.07628392481746786,0.07448545145424813,0.06328529246321184,0.042967614665547146,0.9124773110468688
4,3247.69946862056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11417704132521105,-0.15411960532463895,-0.08579746694722529,0.0,0.20708106855384567,0.03147200341586198,0.0,-0.3910715611098554,0.19774333699665514,0.12743755897165102,0.009587843778780332,-0.16202576512598382,-0.027698646433001087,0.0,-0.3577130154483255,0.027537359609555008,-0.023491282402841117,-0.057622680624019595,0.0,0.0,-0.15506727167918669,0.8796094342860912,0.16892599012710297,0.08498788555504971,0.4197527819464899,0.14376541957441882,0.010819440501666616,0.0,-0.9434489765150718,-0.18287847728919723,-1.1123967599306184,-0.1643695001937548,0.001593376887374672,0.0666619288414886,0.12185854768871804,0.06849645552468092,0.045611735354423304,0.951929828008627
5,3028.543122133643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10040175143397666,-0.20581396924647613,-0.1130647063204058,0.0,0.2551691953726809,0.0386366210443248,0.0,-0.4974398609674386,0.24948799902815158,0.16158335863466652,0.019944627574062578,-0.20819445564087366,-0.03586009812037662,0.0,-0.38995152924381665,0.05558109783353264,-0.02277154424238447,-0.0523616260839249,0.0,0.0,-0.1778243980764988,1.1167633767650744,0.2245952290575643,0.11240880672845907,0.5361028224889585,0.1779127898963082,0.013987562204240375,0.0,-1.1408980118848122,-0.20895055847317856,-0.9587271358614196,-0.1822586158884876,3.927634979083302E-4,-0.024734967727189916,0.13416707608789072,0.0722423550617909,0.04952951146857535,1.0681183430891064
6,2481.283486606027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577404097683449,-0.5563079924195937,-0.2914534119548644,0.0,0.867114269670244,0.1284086235500303,0.0,-1.3297698667985216,0.6150491155335133,0.420553806056322,0.17011573693340323,-0.592226396917386,-0.11539607462835381,0.0,-0.9263154966978988,0.31189029872777374,-0.03393318175870252,-0.022522988130947177,0.0,0.0,-0.4676919458925129,2.7775838245049087,0.7211413221371443,0.34690703569941894,1.4000273999408943,0.3452344669502478,0.04178441491995831,0.0,-0.3599545585916457,-0.031348680943585144,-0.5525654601224359,-0.1353726114793773,-0.0021736047262217286,-0.34057976069728346,0.6946405239432284,0.06392600815751018,0.07043874973513675,1.2117298318295486
7,2354.5118571545418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2147247215714783,-0.672957269890812,-0.305598832521298,0.0,1.003250741759213,0.23012736882935445,0.0,-1.424702099527443,0.8344025974518609,0.5544051208362171,0.45602018783334675,-0.5355580656916237,-0.22656381132993755,0.0,-1.1629031696673016,0.5479840375846136,-0.04268592258814198,0.08318260085948949,0.0,0.0,-0.6625835080757727,2.836842396529592,0.7590468384163815,0.33199193182767944,1.3790665088759153,0.3920298860002787,0.03805683415282294,0.0,-0.49427084728080395,-0.039391984076296065,-0.3188746466564393,-0.13488461797609907,0.0014509519813190115,-0.1593096304505956,1.1220058534769972,0.10676140397890073,0.10341774124284092,1.1725470291385693
8,2302.81038263598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3107475403705455,-0.7300283847130975,-0.3097194623434958,0.0,0.9605045948008649,0.26618770622018995,0.0,-1.4180846678019274,0.9061920442198277,0.5987281354628619,0.5883777368176277,-0.4800439369540916,-0.2793791065592159,0.0,-1.261757353201033,0.6515430844152371,-0.05198013422275344,0.13743009332446965,0.0,0.0,-0.7508570952082694,2.928201778393247,0.7448514179499552,0.3091916294508409,1.3537433686131355,0.4711302333343028,0.036211793583706894,0.0,-0.5128549948500539,-0.0412191908669127,-0.21376205902318018,-0.13454871607485114,0.004736698633188039,0.031015025169886884,1.3099927368720683,0.12956594727555257,0.11570894066378289,1.1767879887398334
9,2260.8202481999724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3322222291934498,-0.9598282030673678,-0.3145452320598139,0.0,0.8925558085334426,0.4060222712402816,0.0,-1.3023064718729507,1.3651196992505374,0.8334682312760222,1.3345469200612445,-0.15858506169392456,-0.5693766089287833,0.0,-1.016821036238507,1.0158134376479149,-0.18442324930453566,0.6050913313676884,0.0,0.0,-0.9180890257304589,3.1040124273710017,0.76001598689725,0.2572525951062422,1.4231555513280087,0.4144235925739872,0.019926972066067337,0.0,-0.4424287042756738,-0.045987323168490656,-0.25907296029088955,-0.13054675767198495,0.00945748743510598,0.07422162481503974,1.288025860362765,0.17848015148822916,0.14725940410909735,1.1739779209721828
