Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_bike_stressLink_c,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,4242.589655238069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1834310247800053E-4,-3.897531669277762E-4,-2.128827703724736E-4,0.0,1.5213658903729443E-4,1.743988368433204E-5,0.0,-0.0011062618125177036,2.9538044711986287E-4,1.9652634046087174E-4,-1.0361669722690832E-4,-4.048826093754207E-4,-6.33279000855116E-5,0.0,-0.0010901965412503914,-4.499336320234718E-5,-8.282091638521274E-5,-2.235644219950262E-4,0.0,0.0,-4.2696866300687836E-4,0.0031599941285485197,6.683740495412159E-4,3.3991107658992416E-4,0.001133146610735065,7.46868666594008E-4,1.0739173101815745E-4,0.0,-0.005522874380342072,-0.007333804771211439,-0.10447140820276458,-0.05822108545953498,3.2326695575837116E-4,2.8449076373091513E-4,-1.1974898984037378E-4,-8.046950765396779E-5,-0.0016456809475702918
2,3879.581668570598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001031112111774022,-9.223214155382683E-4,-5.028047025512558E-4,0.0,2.969162537781279E-4,2.287666095742058E-5,0.0,-0.0015450514015136665,9.103225893131462E-4,5.69020187042641E-4,-1.674894514264413E-5,-6.122349652648524E-4,-8.00350405596932E-5,0.0,-0.0023629905077216713,-9.457582303391558E-5,-1.81616725394202E-4,-4.797930947551729E-4,0.0,0.0,-9.318400784630845E-4,0.006214422065846607,0.0013408005210535628,6.811229783030071E-4,0.002313873688591293,0.0014199558409213728,2.0187900633226923E-4,0.0,-0.014977431827005554,0.011582577065424753,-0.10990738349333874,-0.022100589108023073,7.559416804885032E-4,6.638559746654858E-4,-1.1172420258166506E-4,-7.34093861901362E-5,-0.0014840825667929113
3,3318.70526307554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11914569024760739,-0.08083399868419565,-0.04569331729105664,0.0,0.13495212836784015,0.020181701875110262,0.0,-0.2091325514250846,0.11109047723320696,0.07174471502755704,0.0065369698937733384,-0.08848728349531126,-0.01560604800704633,0.0,-0.22053425142483535,0.009806281247838035,-0.01584006091022258,-0.03819945546883255,0.0,0.0,-0.09378610479040368,0.4436345807504781,0.09037636767373669,0.04577823929230851,0.22684600094613006,0.06516562671637179,0.003940239445579574,0.0,-0.46889305036582024,-0.09984887914606438,-0.7989603843119589,-0.05561731668395346,0.0807759012529394,0.07888413767277858,0.06537824309700606,0.044386543650555846,0.9427404814569226
4,3205.995945641899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11468685265433744,-0.15040212151202398,-0.08371892865157632,0.0,0.20386450778455287,0.030946105853482717,0.0,-0.38148576922090927,0.19325408337632946,0.12460391106361698,0.009974344854802095,-0.15837242097257337,-0.02713769544440024,0.0,-0.3483787792065734,0.027388708162718732,-0.022889612779983436,-0.05579995022409574,0.0,0.0,-0.15137658750260607,0.8547542096808853,0.16457767833975506,0.08277386151285399,0.4092607892834861,0.1388684702967891,0.010371099868787956,0.0,-0.9119570025465531,-0.17630671813148374,-1.0835260935986795,-0.1555440532757528,0.06309868132053278,0.1176063208100514,0.06846461274176645,0.04564394042695278,0.9516007522529093
5,2991.461642986463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10260034586939434,-0.20322860096377596,-0.11154689589752168,0.0,0.25379605957651225,0.038307162520409846,0.0,-0.4896906886203599,0.24630449927093523,0.15958844043704198,0.020969012982073286,-0.20547716657153398,-0.03551394596352106,0.0,-0.3810471521968139,0.056217109443827795,-0.022123280263514768,-0.050258577026185455,0.0,0.0,-0.1746128738941317,1.094204884592792,0.22100939331839994,0.11050021706051866,0.527362714171092,0.1728798318495453,0.013589150002019625,0.0,-1.108358966963315,-0.20206285493214102,-0.9254365403609154,-0.17307855871907277,-0.030056999778033902,0.12991580234161892,0.07300518803805285,0.04999658727824607,1.0691182455598423
6,2459.652346972938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5606860039430497,-0.5538839395670582,-0.2896766226309296,0.0,0.85597623582531,0.12610902400385557,0.0,-1.301417076246618,0.6154820499008913,0.4189995226757559,0.17558276053516786,-0.5826245015907088,-0.11413842831148965,0.0,-0.9087017870296996,0.30826583176717814,-0.0333011288325969,-0.020622384748252613,0.0,0.0,-0.4606442448827959,2.729813439428288,0.7036310998300083,0.3375907826293111,1.3791312485197653,0.33682471263802594,0.04112771103626556,0.0,-0.3419900860767866,-0.02797836938921794,-0.5275230631213967,-0.12810134380787505,-0.34616761955366887,0.6717170997359708,0.07520724507346718,0.07376378182688859,1.2020968464294295
7,2338.355525344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1963880684701782,-0.6685982618574344,-0.3046876912171382,0.0,1.0002090162151442,0.22850100094251397,0.0,-1.3885824340547963,0.8426848006348663,0.5582788830454326,0.4710979833766479,-0.5283253827918815,-0.22583667416738928,0.0,-1.1412341883776544,0.5433143399807082,-0.04218451227200376,0.08658717911100022,0.0,0.0,-0.6542838013697281,2.7849853657955137,0.7383409719935201,0.32134717961178216,1.3593102949199152,0.37875404662986367,0.03748585833807394,0.0,-0.4717415424232406,-0.035913676382013135,-0.3042754244741136,-0.12744072012065147,-0.18472174047385115,1.0863945993391737,0.12150303285563915,0.10672241552927962,1.1614644441055821
8,2294.2041800990605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273250612908919,-0.7180237164566149,-0.3079716226146231,0.0,0.9574554471646209,0.26111504174599004,0.0,-1.3770893865462104,0.9087013138574869,0.5989393984102442,0.593905116795025,-0.47735610435924436,-0.273714848716496,0.0,-1.22484745923964,0.6358831319950463,-0.05076549705889004,0.13722811503516658,0.0,0.0,-0.7320281926222378,2.8663223216289855,0.7232118665081042,0.30009216241670933,1.3352283056458432,0.45170013813027554,0.03565394646916712,0.0,-0.4858495353169434,-0.037674071201681224,-0.21651777783472492,-0.1272341176419019,-0.024567200443777942,1.2468226114821315,0.14283627529891796,0.11767992342958589,1.1655883533350098
9,2247.076047019221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802581019517325,-0.9632435038552801,-0.3059582592847551,0.0,0.9522416782969968,0.41149041485448057,0.0,-1.246319559763717,1.3726182337088928,0.8300606126036303,1.4336209744073343,-0.08800509959556801,-0.6135395029311967,0.0,-0.9178100442952408,1.067510034393039,-0.21251764277243163,0.7071819066671794,0.0,0.0,-0.9331091117962063,3.0570907196754256,0.7693848298292383,0.26769363846702027,1.4892758310042002,0.29801953555025285,0.018606486478574456,0.0,-0.417336889503162,-0.0439262702613303,-0.2597207423108986,-0.12311161797515026,0.11020892761854573,1.1563268596358471,0.20930252174768163,0.15801374340546903,1.1578966982560852
