Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,4237.181826654038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.224363667684623E-4,-3.935666939366595E-4,-2.1496571481893084E-4,0.0,1.5362516447570935E-4,1.761052365112494E-5,0.0,-0.0011170859947409984,2.982705873639224E-4,1.9844924595824618E-4,-1.0463053138394885E-4,-4.088441699150081E-4,-6.394752983552902E-5,0.0,-0.0011008635333567569,-4.543359928085079E-5,-8.363127491039184E-5,-2.257518807095346E-4,0.0,0.0,-4.311463238098892E-4,0.003190912986891922,6.749137333879272E-4,3.4323692530954336E-4,0.0011442338463799355,7.541763784327491E-4,1.0844250186883886E-4,0.0,-0.005576912762588255,-0.007405562142147887,-0.10451515854887056,-0.057812301047960424,3.2642995062658856E-4,-1.2092066988249485E-4,-8.125685889795861E-5,-0.0016617830585320403
2,3868.9648221601537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010646303596584025,-9.527862464718151E-4,-5.194077425828916E-4,0.0,3.062344657471381E-4,2.341190253444121E-5,0.0,-0.0015757766607195738,9.448489642633958E-4,5.900559944883876E-4,-1.2839425238839289E-5,-6.25952962762411E-4,-8.135927717992253E-5,0.0,-0.0024374200594230516,-9.737649017477963E-5,-1.873503823605464E-4,-4.94778963352068E-4,0.0,0.0,-9.61344687692451E-4,0.006395066555403995,0.0013801070288522541,7.010754791231854E-4,0.002383510321055788,0.0014598465873924054,2.0741838153476197E-4,0.0,-0.015503383340733808,0.01252920229258054,-0.11022068635174001,-0.01999571736441215,7.808628011906256E-4,-1.1225658797426684E-4,-7.369825162544353E-5,-0.0014881449161745614
3,3293.913640788726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1250905178716454,-0.08740880605875379,-0.049426190351789384,0.0,0.1447104741741747,0.021710627050012917,0.0,-0.2290382118023867,0.12004198959218997,0.07753016939655172,0.006192215702415499,-0.09644147677978238,-0.01689897202742999,0.0,-0.2415337340992923,0.010255826747198596,-0.017288513175150563,-0.04206142969437625,0.0,0.0,-0.10244410043917476,0.4893396571424702,0.0980774637202447,0.049714534508399556,0.2476998725609331,0.0732815682804429,0.004502445548190356,0.0,-0.5123102711853783,-0.10864574941706542,-0.8688143575240179,-0.06472315692219086,0.08745144833879429,0.06744415024303406,0.045777281644477925,0.9731662202381712
4,3290.614668656627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10221977582150515,-0.20564586285613484,-0.1134604947451889,0.0,0.25469924336958644,0.03871224239984951,0.0,-0.5089010658235489,0.2550995296890815,0.1645445396693554,0.01592429761466334,-0.21104558436974985,-0.03599596169548763,0.0,-0.4220844404050639,0.04764879425609304,-0.025618735025357407,-0.061866944384929394,0.0,0.0,-0.18792620975325036,1.1524987106906872,0.22044742799263525,0.11036087196556932,0.5438452724212237,0.189857578196716,0.014887209194022744,0.0,-1.2215577649858922,-0.22280359129964844,-1.1485906513363133,-0.21814042402893347,0.013125082494843163,0.06860919590638972,0.04529003620715753,0.9256931796696338
5,3120.7818240085994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09942552200305475,-0.25367328290798963,-0.13867133347536045,0.0,0.3049944002285194,0.04641331101967921,0.0,-0.6098542312092372,0.3017928791258138,0.19606951537438558,0.027371581400062295,-0.25523928862818723,-0.044214647745246735,0.0,-0.45278461211985754,0.0771496234184114,-0.02448353775844213,-0.05516594002547325,0.0,0.0,-0.21019684777186284,1.3705379174040613,0.2750505241371714,0.13713949747374649,0.6528545667064933,0.2189881373896285,0.017600544220751333,0.0,-1.3546552117729285,-0.2380981861318496,-0.9839182302771114,-0.22584673740073166,-0.07690711471899846,0.07052557049115905,0.048716553027443495,1.0440117878002253
6,2497.3393586021266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416388522015574,-0.6663409333275403,-0.3511491550942646,0.0,0.9557661479615723,0.14735513864188385,0.0,-1.5516416254870193,0.71102216057523,0.4880218931016246,0.19344711476970888,-0.6817621332113586,-0.1370040738281925,0.0,-1.0492866797966247,0.37406435663228493,-0.031294109262016916,9.305122781479158E-5,0.0,0.0,-0.5261069449464248,3.3189527141157122,0.8314157361453329,0.4016486424346355,1.6440456101414764,0.4266290970388825,0.04610826524483835,0.0,-0.5077502251144964,-0.04123407075891655,-0.4366958749302762,-0.17784726900106915,0.09812227514563972,0.026990248683041923,0.05201686118266381,1.201954758862673
7,2453.885870326186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6673389249996193,-0.6919885463421459,-0.3578369519052959,0.0,0.9871056391530316,0.17084064138471453,0.0,-1.5758555973400752,0.751704700175457,0.5152536028305956,0.2514685214952439,-0.6652223323732035,-0.1638350648359756,0.0,-1.1036347639565753,0.4245023958809584,-0.032445739247208845,0.023686193003129383,0.0,0.0,-0.5672939843074842,3.3532811231920445,0.8487135899449678,0.4050716073198895,1.662223675904262,0.43178421998131933,0.04542873863732317,0.0,-0.5417114266502023,-0.04309840297589037,-0.35951852765501224,-0.17736785882339007,0.22288192529341505,0.0358870707657743,0.05923256630903193,1.2033595836409716
8,2425.465733261739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6565649656021986,-0.7326049353465443,-0.36953329029831145,0.0,0.9328426926705722,0.19232998155226225,0.0,-1.558780677260142,0.779214307130995,0.5406331229233177,0.3366411462252761,-0.6222235265648736,-0.2027531679020441,0.0,-1.150827460364349,0.4842058670909964,-0.03953407934780121,0.06068665148016339,0.0,0.0,-0.6116313566088083,3.423446170608763,0.8364825494040121,0.3917628814528175,1.6664273073438944,0.4858923176170693,0.04261366693658917,0.0,-0.5513340087422127,-0.04550939713668784,-0.2946937950021236,-0.17758615916066622,0.3713133167514867,0.05432754006118927,0.06611379257755329,1.2207451636172868
9,2362.356987430243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809910286750539,-1.1331033991606203,-0.479804635373746,0.0,0.8067831721932319,0.4465808627589931,0.0,-1.2980552863063415,1.0547329096062923,0.8337354049488737,1.5614273408718087,-0.0694578268943975,-0.7522478207901425,0.0,-1.2041913555690276,1.2547034560251857,-0.20471852871880616,0.711514337812632,0.0,0.0,-1.0178548000948793,3.575082983647042,0.7759594606099437,0.2906534617643079,1.9116759770452771,0.489670558283264,-0.0028963895946210808,0.0,-0.4324407936916242,-0.05011605248449306,-0.3704937058556125,-0.1699816796460049,0.11555174324732687,0.3353344637291614,0.19586951280194054,1.1842984346768695
10,2302.1161275818963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8422425606073034,-1.1378761235189434,-0.3854208119290582,0.0,0.8446418999758889,0.4994727539447436,0.0,-1.3473628818557324,0.45735963965682525,0.6271176060698914,2.1693372153128907,0.3965336961671618,-1.1632739878380423,0.0,-1.1273191593457768,2.0964852197504755,-0.4322766772086828,1.4935784690207048,0.0,0.0,-1.422988053315137,3.677284920999111,0.8091719342969864,0.2935321251294042,2.394579940837204,0.33710309161258334,-0.051263963498093305,0.0,-0.425635796113924,-0.0466404361727977,-0.38684101822703326,-0.1712944097016905,0.16330954408129256,0.6855718358079727,0.36942709822673575,1.161365270468783
11,2267.456676153367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120774057521174,-1.1264555486288688,-0.32648210988563087,0.0,0.9190640884539559,0.2337827414489943,0.0,-1.4090944847767242,0.4532578750186914,0.7465097715045026,2.262933933771529,0.30694440278134616,-1.1087333963881791,0.0,-0.9302984086886019,2.585745987287578,-0.7128202283143872,2.0981031218217803,0.0,0.0,-1.6365367914777345,3.644916884713622,0.6174873044721153,0.14710041615713176,2.6212663296363283,0.5020864916423509,-0.11167293744854254,0.0,-0.41152961230897844,-0.0407660082824827,-0.3929087781359127,-0.16552869433315925,0.23431682838981216,1.0161790805014261,0.510174648795261,1.133594737988617
12,2234.1833485930947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1473362160747331,-1.1458965319304557,-0.17835406754674485,0.0,0.6056092224309628,-0.2965467686479157,0.0,-1.2320493561418298,0.7679045139322728,0.7345665734749626,2.4038883118399474,0.4284503751788744,-0.9311608282888117,0.0,-0.5652521078067656,2.7024688924080738,-1.5539068525817434,2.717849380770484,0.0,0.0,-1.6973480785229316,3.558817662844188,1.2663106662944645,0.35083732865732886,3.195610561469989,0.6726933966362127,-0.29119947922136125,0.0,-0.3911507249779519,-0.044154432684397664,-0.3549037879598383,-0.16379644398323456,0.44570874888655654,1.7349901151892664,0.9109518886431223,1.0682423474710132
13,2219.4484073334206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1379362093083136,-0.9941030709677663,-0.06271852537928685,0.0,0.6612862510856485,-0.4049572334119898,0.0,-1.1778137196754728,0.899160532842192,0.6804364633190161,2.5904017631226743,0.3725178964630918,-0.930884099119703,0.0,-0.4662281668437368,2.6563332155727393,-1.7953824216742014,2.7943606989349354,0.0,0.0,-1.6448050479801875,3.620115567918203,1.377664281942051,0.3013385796693222,3.2637697930467895,0.5820667579702747,-0.3778762789487084,0.0,-0.3938915918876002,-0.04580093430529414,-0.3226737181367797,-0.16202183188931077,0.5509073061319758,1.9789071571926886,1.0312308691492533,1.0515296718436928
14,2207.0574272139024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3269673942649556,-0.7411550917464271,0.02588889980053352,0.0,0.4128136259058337,-0.44595644272133134,0.0,-1.4126027568450423,1.0607287191831238,0.4971835171717808,2.768887892435933,0.32562078935903555,-1.0623018353827702,0.0,-0.343069309933326,2.626659242778554,-1.9901385031072223,2.782335471188412,0.0,0.0,-1.4500934365226306,3.719332064118336,1.436377554264461,0.06338076280440791,3.274956768696247,0.5842378098165016,-0.5970316860214084,0.0,-0.360974887934362,-0.030147900304683475,-0.29756381607904225,-0.15519660451957118,0.5799126697535586,2.367169594270524,1.2109532838157924,1.0209724505332345
15,2189.8133053970205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3905671489511329,-0.8245840333712291,-0.30242005343794565,0.0,0.2279553127832275,-0.6379356865580821,0.0,-1.7423803782544902,1.3037967585928523,0.2515371050566302,2.8261966734226176,0.27085141571297194,-1.309528160978512,0.0,-0.2453017413696735,2.694346519144763,-2.095021897364697,2.685185679835495,0.0,0.0,-1.0958322075815434,3.7514710907862248,1.5373903155955715,-0.3181642170055227,3.237528987952143,0.21018238323531058,-0.9066759790730434,0.0,-0.3359269680060916,-0.017260416825889614,-0.25719045575107535,-0.14521854687621463,0.7234923583600577,2.9748299487146,1.4948427730331022,0.9700402074480001
