Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_stressJct,g_walk_stressJct_c
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,4076.26799984644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.512926928663264E-4,-5.136168653816681E-4,-2.80536992359415E-4,0.0,2.0048565246340657E-4,2.298228507333049E-5,0.0,-0.0014578322195957312,3.8925246083466164E-4,2.589824830625382E-4,-1.3654612135774618E-4,-5.335544501514962E-4,-8.345352980583033E-5,0.0,-0.0014366613992663811,-5.929227042111697E-5,-1.0914143378774088E-4,-2.9461327675941085E-4,0.0,0.0,-5.626594596739532E-4,0.004164241413926276,8.807835660035177E-4,4.4793494057477793E-4,0.001493261016481886,9.842238009547333E-4,1.4152086226326536E-4,0.0,-0.007278045870641162,-0.009664490599530515,-0.10589242335873411,-0.044943731196676565,4.2600131207877115E-4,-1.5780526244147565E-4,-1.0604274650498451E-4
2,4036.0321311725015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016134681465446847,-0.0015066412891368598,-8.220705859306123E-4,0.0,5.113398318368195E-4,4.015715564167311E-5,0.0,-0.0021725043149919323,0.0015918189890739556,9.845386379754388E-4,5.7724722690007926E-5,-8.901107436500514E-4,-1.07690752824595E-4,0.0,-0.0038124770507091104,-1.4386331345144027E-4,-2.925980454493381E-4,-7.709783936016149E-4,0.0,0.0,-0.0015068599262761683,0.009686130317261617,0.002078605964312927,0.0010559212331864673,0.003671145542349611,0.002174233457950765,3.019739177397712E-4,0.0,-0.02476835184667002,0.029689670185738322,-0.11591443244404148,0.01489720570939005,0.0012309475994069779,-1.321173625368143E-4,-8.66890564652273E-5
3,3725.3939980505775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018154361086035863,-0.09042496460721579,-0.050701270671511346,0.0,0.1009564363871808,0.015502158994328016,0.0,-0.28673410667985577,0.1127379933771367,0.07360989382106993,-0.016938930168148205,-0.10770654071736625,-0.016843598610936296,0.0,-0.2846253645288267,-4.0912390218438704E-4,-0.02033252914114327,-0.054695333835085416,0.0,0.0,-0.11500382874274545,0.6939623844413526,0.11568341038028185,0.05767906646741602,0.28961182491361404,0.1378661585558789,0.013628507904156987,0.0,-0.7635622848995228,-0.0742843838564832,-1.124132567838792,-0.1202768167341084,0.0849552010403269,-0.00439635203092659,-0.0020324955477431963
4,3563.254053030533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1486001643169184,-0.14172913012199823,-0.08090027249250638,0.0,0.22942848264701104,0.03659938951677212,0.0,-0.44209965908561955,0.15383961643615443,0.10969087925528304,0.0012016963882100044,-0.17068664500864797,-0.03738247311490109,0.0,-0.31979077771524433,0.04291602846659421,-0.0192461836918981,-0.04145672213041164,0.0,0.0,-0.14794030808988734,0.8606701540145597,0.18752504992049984,0.09368605638452443,0.4229654691290962,0.12497858705105606,0.012429969877094455,0.0,-0.8483176540897296,-0.07454185486875012,-0.9981483970266175,-0.12740173462940044,-0.09457395390732955,0.04024932113305997,0.03012542687501089
5,3362.1178140822967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155606339146636,-0.23824941636522945,-0.13920779498396063,0.0,0.5153764401931009,0.09431727611768854,0.0,-0.6848749126327548,0.23484573034489464,0.18888667055859598,0.09278861941746588,-0.27334729070964453,-0.0924021376181076,0.0,-0.4650031886644782,0.14422334292912364,-0.019851696203897165,-0.018551698845964304,0.0,0.0,-0.2469588641386513,1.0919243609117593,0.30985498697745445,0.15329102343700468,0.6485782447620864,0.07836266576646286,0.004336564403486962,0.0,-0.5874080263242007,-0.01992355832996328,-1.0531221542084714,-0.10460562940503859,-0.38485014093473835,0.1545833938250042,0.11069338810512802
6,3309.3154236871574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321278580545676,-0.28471334117629854,-0.16463004893759287,0.0,0.5196747068308967,0.12503314054224965,0.0,-0.6512025625483115,0.26996688037960853,0.2271341165149322,0.19728918793436323,-0.2440139434559779,-0.12754585999755105,0.0,-0.49122554335332613,0.2127490959139592,-0.016410645579333055,0.01537020094905528,0.0,0.0,-0.28570736144341385,1.1339081511227191,0.31957006433030555,0.1549577476243814,0.6670789691396706,0.09785911848087878,-0.003443821740975141,0.0,-0.558564520561381,-0.018197276902486684,-1.0920537104612664,-0.10382247667655366,-0.5666469551177873,0.23376586610272798,0.16285945121939968
7,3256.575743339659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5741507872024888,-0.3114619277226574,-0.17652633937269882,0.0,0.5271183799629181,0.1589204583012545,0.0,-0.6285053251545708,0.24124029866680333,0.23039894536379052,0.2578187550525495,-0.18035691273402393,-0.16686235653072046,0.0,-0.4691715988786952,0.3180851964064917,-0.007919794915116055,0.08356014618759933,0.0,0.0,-0.31635221174567774,1.130517635436701,0.3549514603867031,0.17353344932591935,0.71934309791757,0.07858748937267891,-0.017503195485354867,0.0,-0.5522706428255957,-0.02014486549671876,-1.1735357535853868,-0.1048734374835944,-0.7896999488313238,0.3700838725230108,0.2540719905527724
8,3034.1328163335943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48348247102225467,-0.5886577216031923,-0.291548657278495,0.0,0.4076936626572731,0.444572361605719,0.0,-0.48992110621756324,0.02542537741400905,0.30004071330481946,0.809784299293357,0.3234514666765162,-0.5052003884655644,0.0,-0.2666972363985295,1.3365088884597063,0.05663810145550755,0.7962589100266999,0.0,0.0,-0.6080889678010254,1.7171456576105637,0.6899576124690701,0.33476667101275903,1.3356069752172444,0.17646592122451882,-0.15097035726058397,0.0,-0.25937224332946646,0.012917437697516583,-1.2436068773437021,-0.09285593529568441,-0.9167456652612755,1.7600144916915195,1.17462637035629
9,2734.3357957877997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2518999016712073,-1.133084026893278,-0.5109310252271473,0.0,0.6792786165701491,0.9994895634626674,0.0,-0.060800031181434566,0.1356747667121732,0.7776234113306373,2.3931545903969047,1.0085231033361133,-1.1281292429373568,0.0,0.12930753365302372,3.5109773165831477,0.1476850605686497,2.3425320004365173,0.0,0.0,-1.2644979050962337,2.0871022156360133,0.964190325731433,0.42090367707113996,2.0828877281591316,0.30763570570416454,-0.46201596081308627,0.0,-0.40948804575742026,-0.05357115594535176,-1.380697342535043,-0.10483798614276658,-0.586503698737404,4.9091051462323,3.245655925960442
