Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt,g_walk_aadt_c
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,4238.8237835253585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.210759902966036E-4,-3.9229928678931954E-4,-2.1427345836636015E-4,0.0,1.5313044367116095E-4,1.7553812288380848E-5,0.0,-0.001113488630442291,2.9731006331529155E-4,1.978101776717611E-4,-1.0429358853449285E-4,-4.075275645439704E-4,-6.374159890281315E-5,0.0,-0.0010973184104286291,-4.5287288962053336E-5,-8.336195619720917E-5,-2.250248894484734E-4,0.0,0.0,-4.2975789856770154E-4,0.003180637254751901,6.727403012791842E-4,3.421315956689252E-4,0.0011405490575564087,7.517476959575636E-4,1.0809328328896048E-4,0.0,-0.005558953369163229,-0.007381713929040355,-0.10450061833420204,-0.0579481585582767,3.253787446711462E-4,0.0,-8.099518654274087E-5,-0.0016564316002959656,-9.828882937712832E-4
2,3870.738097119016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010611148112345465,-9.494498263555303E-4,-5.175849900130815E-4,0.0,3.0503325202715264E-4,2.330729620253751E-5,0.0,-0.0015707006198073035,9.412659375685177E-4,5.878388196457114E-4,-1.2944690030883347E-5,-6.238853949518826E-4,-8.110589653255982E-5,0.0,-0.0024288231760027515,-9.707503103062233E-5,-1.8670031792901833E-4,-4.930478693637217E-4,0.0,0.0,-9.579461901949901E-4,0.006373230502981978,0.0013755536399244562,6.987623103390672E-4,0.00237525744313467,0.0014549421336805726,2.0675165021542341E-4,0.0,-0.015448870702649005,0.012467124872012481,-0.11018505477409943,-0.020270894490812784,7.781029330595859E-4,0.0,-7.346621825036512E-5,-0.001483789204256967,-8.564104011863303E-4
3,3385.593658404747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05802004012030732,-0.04151544208196625,-0.023460991356201513,0.0,0.06795602851570347,0.010175561534361487,0.0,-0.10817408674162299,0.056688086678229,0.0366106244985278,0.0028929449115923755,-0.04553236708474119,-0.00797195735632563,0.0,-0.11440247305632552,0.004749885313686701,-0.008201959650381306,-0.019956309815371113,0.0,0.0,-0.04849142741188536,0.2327194234061962,0.046860136961295346,0.023751436984708642,0.11733858359699884,0.035131186402522954,0.0022461893440717143,0.0,-0.24954380737078624,-0.04867135859820465,-0.46559601161850517,-0.025293874087963568,0.04142530493586631,0.0,0.02150499543569543,0.4570992734654894,0.2736641013579475
4,3117.0702344717693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06888069725467925,-0.09340559690489245,-0.052297501183133595,0.0,0.12614174834743572,0.019220920576144065,0.0,-0.24824738714522165,0.12069147864318866,0.07770655588759495,0.0017131761567331994,-0.10118234137278745,-0.016933529758189732,0.0,-0.23812244943944846,0.01335656170258907,-0.015705860542910753,-0.040757792698138534,0.0,0.0,-0.10082722443785366,0.5665114988499905,0.10528738952543155,0.053320004059322725,0.2654079649780091,0.09580307998784035,0.007284695224806995,0.0,-0.6086099566634431,-0.11662793760072888,-0.8101896365090231,-0.10229659863724203,0.0693772760022075,0.0,0.025481967869381145,0.5434142524957019,0.3235094731611681
5,2931.953375163972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05690976943568316,-0.13587558185182963,-0.07487648498902062,0.0,0.1669979249597619,0.025016836513526892,0.0,-0.34111236450557414,0.164644968437564,0.10637798525776067,0.009022080706369142,-0.14076873915332708,-0.023709132297995376,0.0,-0.2700070845843558,0.03690232843400207,-0.014682049665089654,-0.03804381514610843,0.0,0.0,-0.12061587035269218,0.7731229237440284,0.1492065030907057,0.07509197421497207,0.3664292956849011,0.12548465336343034,0.01000736547445117,0.0,-0.787188000705213,-0.1408558006215014,-0.6778681307394447,-0.11835364005089115,0.023963597411162524,0.0,0.028252697204891725,0.6242660832496914,0.37081421097787437
6,2475.8900360081825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34601829969847575,-0.46918633830361495,-0.24574587055109132,0.0,0.7073280301234715,0.10207255621561846,0.0,-1.0910878116908482,0.547062359391769,0.36259990078402354,0.1638548692064747,-0.4955709890846969,-0.09441892998410006,0.0,-0.8409068517090843,0.27530217223660075,-0.017811997215279752,-0.03856050778533401,0.0,0.0,-0.40422506012720927,2.4889253835961687,0.5434414245718916,0.2620689716611967,1.236942373785727,0.31304115577426517,0.0338893905119096,0.0,-0.04882427443450921,0.02347201795820425,-0.23679482750974445,-0.07136161212044084,0.02650439402046624,0.0,0.035309387707913906,0.8062366477233052,0.45040568145240345
7,2422.686923246184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5218719609678809,-0.49987197992491295,-0.2558523392924059,0.0,0.7890829204764237,0.12680342778972267,0.0,-1.116784913195505,0.6234023148263372,0.40975105043337473,0.24236925489008876,-0.500035818003494,-0.11869669025823798,0.0,-0.9187248966479686,0.3276447875889534,-0.018837317331176582,-0.02042387111240337,0.0,0.0,-0.4534118287619542,2.521673523841323,0.5515443682094296,0.2603430936690714,1.2553223567088374,0.3006837830109716,0.033387758567710354,0.0,-0.06404112452327122,0.024956415988507667,-0.18225852138765142,-0.06982928117681156,0.09519491486285549,0.0,0.03883167389267059,0.8016479935646094,0.437688510706561
8,2376.6661565293934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5890888592500345,-0.5530536793141843,-0.2689788746592147,0.0,0.7711663742811546,0.15690983526561678,0.0,-1.0857697641334043,0.6971804512935695,0.4528223810979439,0.363979094134622,-0.4632800035406483,-0.15782564873328617,0.0,-1.0137434989428802,0.40638130488981,-0.02226657190083778,0.01556533084136406,0.0,0.0,-0.5205684200614121,2.5914298682632153,0.5309651376112673,0.24357518876742953,1.2433246594998053,0.35086657813938554,0.030273532455622507,0.0,-0.07175824313851088,0.0230812121475748,-0.11563748086928283,-0.06933467755800027,0.27343782374110015,0.0,0.042872525675393194,0.816709101850517,0.4234346049805492
9,2370.343657244973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5897113752992695,-0.7329855520038849,-0.2920792861881844,0.0,0.9357547367237437,0.2215945862756045,0.0,-1.0056433074648063,0.555350782707265,0.33443473006930863,0.6814977013479547,-0.2063075675059327,-0.3370756884148677,0.0,-0.9499501902635773,0.8159701917381055,-0.08054698943518727,0.3863000413010157,0.0,0.0,-0.67498912397686,2.656564731813951,0.6951621102422477,0.3771926631725043,1.5818982862032094,0.05477977810277063,0.010603904425945766,0.0,-0.12125196208434941,0.012684672270583458,-0.02868894456624349,-0.07258427382069832,0.8521816734938568,0.0,0.06970499504582146,0.8112328983027426,0.43181254306057476
