Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_c,g_walk_grad,g_walk_vgvi,g_walk_stressJct,g_walk_stressJct_c,g_walk_aadt
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4185.008208680133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.616547743545715E-4,-4.3010488105629585E-4,-2.3492283424333152E-4,0.0,1.6788751210922569E-4,1.9245460291731884E-5,0.0,-0.0012207947123062622,3.2596161585105553E-4,2.16872999274476E-4,-1.1434428509591559E-4,-4.468006967585401E-4,-6.98843299940941E-5,0.0,-0.00120306618006102,-4.965159175231097E-5,-9.139548671694637E-5,-2.4671037284581865E-4,0.0,0.0,-4.7117335175205643E-4,0.003487152931972993,7.375717902307889E-4,3.751025663725219E-4,0.001250462932915342,8.241930695321751E-4,1.185101536443797E-4,0.0,-0.006094665624323381,-0.008093084281202272,-0.10493433961900452,-0.05389565347029576,6.672397054796021E-6,2.552684695738357E-4,3.56735255422953E-4,3.139445076498231E-4,-4.413548794610376E-5,-0.002477907542755485,-1.32146777505081E-4,-8.880063320840706E-5,-0.0018160606975709198
2,3880.1545567152693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.69148300376891E-4,-8.804920132893131E-4,-4.802187506046929E-4,0.0,2.9547812567227435E-4,2.4663531887528363E-5,0.0,-0.0015731424575897157,8.542027493166009E-4,5.363684151376248E-4,-3.5546321281394936E-5,-6.165594254431871E-4,-8.280316454532505E-5,0.0,-0.00227804012314907,-9.04014562648616E-5,-1.7472887883002733E-4,-4.6280872187699627E-4,0.0,0.0,-8.978922089334638E-4,0.00604034435953303,0.0012978033301132993,6.593867856464531E-4,0.0022438039165626894,0.0013829332963115463,1.9612778452100446E-4,0.0,-0.014082968047029312,0.00856554480822728,-0.10951178388199458,-0.02451394000949873,1.3488428825686885E-5,5.133089100970367E-4,7.225002603308259E-4,6.34997917437089E-4,-4.003037658204143E-5,-0.002300187571224351,-1.230865837913035E-4,-8.142968284102683E-5,-0.0016418008114220284
3,3619.766716979608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043991773666975,-0.008917190871072277,-0.005018870909584151,0.0,0.013460709225362301,0.0019969719744286412,0.0,-0.02243895634389295,0.011885461506214836,0.007642647995050204,5.336145756252746E-4,-0.009396109968853207,-0.0016101929538683266,0.0,-0.02420021405498903,8.225233136313326E-4,-0.0017518104800355015,-0.004293555193793407,0.0,0.0,-0.01018418801944138,0.0505843467041661,0.010285382155750577,0.005214710911741058,0.02477519639595534,0.008060123992854199,6.071356760892505E-4,0.0,-0.060892016250529396,-0.005695822265152662,-0.17900784027389055,-0.01485087786284982,1.6485653527379822E-4,0.005659459904658142,0.008639930654621117,0.008343927028583274,0.002023139326764473,0.10966993684435453,0.005809791315303289,0.0039378314526447205,0.08440715055071824
4,3512.7444236175843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03167094240701815,-0.18246053899999193,-0.10144645484064296,0.0,0.1982402472232284,0.030631756989174516,0.0,-0.4916283371632693,0.22057211170792737,0.1411231435106164,-0.009390476356145126,-0.1934899509010475,-0.029892876624144575,0.0,-0.4018727419259599,0.041648126204098836,-0.019441907144448954,-0.06696410620432948,0.0,0.0,-0.16849614564706578,1.143969520666832,0.19607816302050365,0.10005173883599376,0.513354272041931,0.20553650636538195,0.014466391592402997,0.0,-1.3205402026708224,-0.22875408259741353,-0.8726380190560097,-0.25513863703588063,0.0029433254301730397,0.08769131568555208,0.14609633686484952,0.17834448994471858,0.0052726743766828114,0.24751171863536284,0.01268155926473264,0.008007490909783758,0.24156775213067344
5,3431.166518780613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03900243429126872,-0.20108057357534775,-0.11151220182389697,0.0,0.22390919750996804,0.034741615015056224,0.0,-0.5372343180120802,0.2380845223378983,0.15346439371704387,-0.005689348687874452,-0.21317760807056516,-0.03350961895686742,0.0,-0.4217832631272087,0.05429868785565664,-0.019185775080762715,-0.06597173695723653,0.0,0.0,-0.17940781496387667,1.2390258233492981,0.22097832149154628,0.11270535017154992,0.5640027392327962,0.21612753931151382,0.014885654349502847,0.0,-1.34461854081422,-0.22942227939597173,-0.791676952831081,-0.2527824312193055,0.0029836110111136215,0.07025379845636376,0.14024225604550514,0.20334800275949863,0.0061995913551250005,0.28618403139406057,0.014978241403561172,0.010607582639368235,0.24978010831541586
6,2896.7005023395623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36804367738795246,-0.5238006122714574,-0.2855946882791216,0.0,0.7701632996166424,0.12553459926160956,0.0,-1.3770307451780681,0.5576036862618279,0.3833207906279597,0.08771778923460814,-0.5805766794783884,-0.10827909650126852,0.0,-0.967832158736967,0.2657489527419896,-0.03732184097392942,-0.0765562444129384,0.0,0.0,-0.4298216051955166,2.9923506501814447,0.7036175751246807,0.35680631073267327,1.5141853298490178,0.3860362386872243,0.01953559898991195,0.0,-0.7378607692798005,-0.08156800007632306,-0.11589118114093822,-0.1914793987524213,0.01195090742824686,0.2291598897712583,0.5208010302889506,0.9751312774733991,0.019877632459310103,0.7359965452853042,0.04500414714188468,0.05434352428103879,0.10106653206649086
7,2580.078220138081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48966246257193013,-0.7656549343212367,-0.4152231839343139,0.0,1.1375486315940817,0.19054766034599996,0.0,-1.97569115523488,0.7891236187478822,0.5485097530776336,0.16857953636507175,-0.8452361671870301,-0.1624350320639878,0.0,-1.1541054376795377,0.44228242331638046,-0.04026647101288746,-0.026989870112101078,0.0,0.0,-0.5573055537797287,4.18528114067552,1.0630092842973256,0.53858832834153,2.188620421884381,0.4855438679554195,0.01991355476432134,0.0,-0.13521174493094945,0.04415802509558747,-0.03338995894824247,-0.16421847490697683,0.010468407039598185,-0.20281180294027387,0.2951773205889473,1.2958327209999707,0.028084278553061545,0.9984297001093103,0.0639025072147205,0.08678064432055532,-0.11724136212478808
8,2484.15245857662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0542276258383683,-0.9482861744026105,-0.45732069216955373,0.0,1.1761378471644894,0.4038190390870315,0.0,-1.9054229059582732,1.1459500825823938,0.7550889574331213,0.7525215577944134,-0.5639520739668864,-0.39861531628460006,0.0,-1.0071258021286207,0.8662937194178724,-0.029574970009256577,0.29481236484581164,0.0,0.0,-0.6227653047374174,4.1795027933242,1.2427121848017355,0.5994067259153953,2.346039705561524,0.35916203074434716,-0.028395145847726042,0.0,-0.25329917779974487,0.02051664222108063,-0.07112253446942912,-0.17327811770999638,0.012246189872827414,-0.3882331888133488,0.2780996670077283,1.7256856666724985,0.032482517040393226,1.3529441943070228,0.0988776927430183,0.1437067089829678,-0.65287592234021
9,2428.939215730096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9190499504777654,-1.045162262496716,-0.40786805581200186,0.0,0.5965959904082857,0.676421673592755,0.0,-1.6269692635633708,1.5875246161241714,0.9803580607608955,1.6878793017996538,-0.008894600415207288,-0.7617214220943627,0.0,-0.6689188911896268,1.4357360654096283,-0.07397031445986686,0.8765097831630614,0.0,0.0,-0.7027229522989832,4.583835410326042,1.2415665305319326,0.5445403346615278,2.4218611310330598,0.5769066460771297,-0.1262865405032633,0.0,-0.21220351449445612,-0.0011281486738154711,-0.09976256731093626,-0.1782903972839579,0.0172865553185917,-0.5589519668787419,0.40113138744401844,2.308367950171748,0.02674101790671386,1.5274383688835589,0.1273397183929878,0.19166713522431053,-0.7961145695815341
